date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,7.1,7.39,6.88,7.32,7.32,2.1285407E7,2.1285407E7,0.22,3.099,7.19667,"October 25, 22",0.03099
2022-10-24,7.24,7.55,7.1795,7.54,7.54,1.6226647E7,1.6226647E7,0.3,4.144,7.42317,"October 24, 22",0.04144
2022-10-21,6.97,7.2,6.91,7.16,7.16,1.0742675E7,1.0742675E7,0.19,2.726,7.09,"October 21, 22",0.02726
2022-10-20,6.81,7.04,6.75,7.01,7.01,2.0273615E7,2.0273615E7,0.2,2.937,6.93333,"October 20, 22",0.02937
2022-10-19,7.08,7.13,6.8,6.85,6.85,1.2627644E7,1.2627644E7,-0.23,-3.249,6.92667,"October 19, 22",-0.03249
2022-10-18,7.04,7.14,6.91,6.98,6.98,1.2116878E7,1.2116878E7,-0.06,-0.852,7.01,"October 18, 22",-0.00852
2022-10-17,6.86,6.89,6.69,6.85,6.85,8795771.0,8795771.0,-0.01,-0.146,6.81,"October 17, 22",-0.00146
2022-10-14,6.78,6.92,6.6204,6.67,6.67,8441831.0,8441831.0,-0.11,-1.622,6.7368,"October 14, 22",-0.01622
2022-10-13,6.42,6.8085,6.31,6.67,6.67,1.0779586E7,1.0779586E7,0.25,3.894,6.59617,"October 13, 22",0.03894
2022-10-12,6.34,6.54,6.21,6.47,6.47,1.0862903E7,1.0862903E7,0.13,2.05,6.40667,"October 12, 22",0.0205
2022-10-11,6.72,6.76,6.28,6.38,6.38,1.5927722E7,1.5927722E7,-0.34,-5.06,6.47333,"October 11, 22",-0.0506
2022-10-10,6.63,6.68,6.44,6.5,6.5,9022627.0,9022627.0,-0.13,-1.961,6.54,"October 10, 22",-0.01961
2022-10-07,6.86,6.89,6.51,6.61,6.61,1.1505439E7,1.1505439E7,-0.25,-3.644,6.67,"October 07, 22",-0.03644
2022-10-06,7.1,7.2,6.91,6.95,6.95,1.0953394E7,1.0953394E7,-0.15,-2.113,7.02,"October 06, 22",-0.02113
2022-10-05,6.98,7.18,6.9,7.15,7.15,7802742.0,7802742.0,0.17,2.436,7.07667,"October 05, 22",0.02436
2022-10-04,6.83,7.24,6.83,7.19,7.19,1.541272E7,1.541272E7,0.36,5.271,7.08667,"October 04, 22",0.05271
2022-10-03,6.67,6.79,6.49,6.64,6.64,1.0204239E7,1.0204239E7,-0.03,-0.45,6.64,"October 03, 22",-0.0045
2022-09-30,6.62,6.77,6.5699,6.63,6.63,1.31687E7,1.31687E7,0.01,0.151,6.65663,"September 30, 22",0.00151
2022-09-29,6.76,6.775,6.52,6.65,6.65,1.1518984E7,1.1518984E7,-0.11,-1.627,6.64833,"September 29, 22",-0.01627
2022-09-28,6.78,6.9707,6.775,6.89,6.89,1.6205146E7,1.6205146E7,0.11,1.622,6.87857,"September 28, 22",0.01622
2022-09-27,6.77,6.931,6.64,6.78,6.78,1.2894225E7,1.2894225E7,0.01,0.148,6.78367,"September 27, 22",0.00148
2022-09-26,6.91,7.02,6.62,6.63,6.63,1.1852164E7,1.1852164E7,-0.28,-4.052,6.75667,"September 26, 22",-0.04052
2022-09-23,6.99,7.01,6.75,6.91,6.91,1.9948421E7,1.9948421E7,-0.08,-1.144,6.89,"September 23, 22",-0.01144
2022-09-22,7.65,7.66,7.08,7.1,7.1,2.0152214E7,2.0152214E7,-0.55,-7.19,7.28,"September 22, 22",-0.0719
2022-09-21,7.89,7.97,7.64,7.64,7.64,1.2839967E7,1.2839967E7,-0.25,-3.169,7.75,"September 21, 22",-0.03169
2022-09-20,8.15,8.16,7.86,7.92,7.92,1.0370545E7,1.0370545E7,-0.23,-2.822,7.98,"September 20, 22",-0.02822
2022-09-19,7.86,8.19,7.83,8.16,8.16,9973164.0,9973164.0,0.3,3.817,8.06,"September 19, 22",0.03817
2022-09-16,8.0,8.01,7.82,7.92,7.92,1.7949168E7,1.7949168E7,-0.08,-1.0,7.91667,"September 16, 22",-0.01
2022-09-15,7.95,8.195,7.945,8.08,8.08,1.0279428E7,1.0279428E7,0.13,1.635,8.07333,"September 15, 22",0.01635
2022-09-14,7.94,7.99,7.705,7.98,7.98,1.0219607E7,1.0219607E7,0.04,0.504,7.89167,"September 14, 22",0.00504
2022-09-13,8.03,8.13,7.95,7.98,7.98,8280590.0,8280590.0,-0.05,-0.623,8.02,"September 13, 22",-0.00623
2022-09-12,8.37,8.54,8.35,8.39,8.39,7769818.0,7769818.0,0.02,0.239,8.42667,"September 12, 22",0.00239
