date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,38.15,38.79,37.07,37.77,37.77,1.5100193E7,1.5100193E7,-0.38,-0.996,37.87667,"October 25, 22",-0.00996
2022-10-24,35.775,36.92,33.17,36.66,36.66,2.9617298E7,2.9617298E7,0.885,2.474,35.58333,"October 24, 22",0.02474
2022-10-21,41.34,42.2,40.6187,42.15,42.15,8516700.0,8516700.0,0.81,1.959,41.65623,"October 21, 22",0.01959
2022-10-20,41.64,43.65,41.43,42.16,42.16,1.0833743E7,1.0833743E7,0.52,1.249,42.41333,"October 20, 22",0.01249
2022-10-19,42.52,42.775,40.61,41.22,41.22,1.1762169E7,1.1762169E7,-1.3,-3.057,41.535,"October 19, 22",-0.03057
2022-10-18,45.84,46.13,43.785,44.67,44.67,7825735.0,7825735.0,-1.17,-2.552,44.86167,"October 18, 22",-0.02552
2022-10-17,44.25,45.155,43.765,44.44,44.44,9118983.0,9118983.0,0.19,0.429,44.45333,"October 17, 22",0.00429
2022-10-14,45.265,45.27,42.21,42.33,42.33,1.2860809E7,1.2860809E7,-2.935,-6.484,43.27,"October 14, 22",-0.06484
2022-10-13,44.06,45.79,43.53,45.05,45.05,8881198.0,8881198.0,0.99,2.247,44.79,"October 13, 22",0.02247
2022-10-12,46.34,47.23,45.6099,46.4,46.4,5145211.0,5145211.0,0.06,0.129,46.4133,"October 12, 22",0.00129
2022-10-11,46.508,47.405,45.32,46.27,46.27,8667095.0,8667095.0,-0.238,-0.512,46.33167,"October 11, 22",-0.00512
2022-10-10,48.98,49.03,46.72,47.58,47.58,8791504.0,8791504.0,-1.4,-2.858,47.77667,"October 10, 22",-0.02858
2022-10-07,50.4,50.95,49.2,49.91,49.91,8249395.0,8249395.0,-0.49,-0.972,50.02,"October 07, 22",-0.00972
2022-10-06,52.55,53.058,51.64,51.66,51.66,6967531.0,6967531.0,-0.89,-1.694,52.11933,"October 06, 22",-0.01694
2022-10-05,53.68,54.378,52.5,52.98,52.98,9161293.0,9161293.0,-0.7,-1.304,53.286,"October 05, 22",-0.01304
2022-10-04,50.67,52.99,50.42,52.04,52.04,8167399.0,8167399.0,1.37,2.704,51.81667,"October 04, 22",0.02704
2022-10-03,49.38,49.595,48.09,49.52,49.52,9728209.0,9728209.0,0.14,0.284,49.06833,"October 03, 22",0.00284
2022-09-30,50.27,51.355,49.81,50.3,50.3,6553668.0,6553668.0,0.03,0.06,50.48833,"September 30, 22",6.0E-4
2022-09-29,51.38,52.09,50.09,51.25,51.25,6137098.0,6137098.0,-0.13,-0.253,51.14333,"September 29, 22",-0.00253
2022-09-28,51.32,53.25,50.55,52.93,52.93,5986350.0,5986350.0,1.61,3.137,52.24333,"September 28, 22",0.03137
2022-09-27,54.025,55.06,52.24,52.66,52.66,6099980.0,6099980.0,-1.365,-2.527,53.32,"September 27, 22",-0.02527
2022-09-26,53.23,54.68,53.1,53.34,53.34,6258298.0,6258298.0,0.11,0.207,53.70667,"September 26, 22",0.00207
2022-09-23,52.37,53.05,51.83,52.31,52.31,5624254.0,5624254.0,-0.06,-0.115,52.39667,"September 23, 22",-0.00115
2022-09-22,54.19,54.75,52.99,53.47,53.47,4552461.0,4552461.0,-0.72,-1.329,53.73667,"September 22, 22",-0.01329
2022-09-21,55.86,55.96,53.84,53.93,53.93,6178082.0,6178082.0,-1.93,-3.455,54.57667,"September 21, 22",-0.03455
2022-09-20,56.615,57.94,56.53,56.8,56.8,4296929.0,4296929.0,0.185,0.327,57.09,"September 20, 22",0.00327
2022-09-19,55.42,56.82,55.25,56.82,56.82,6204920.0,6204920.0,1.4,2.526,56.29667,"September 19, 22",0.02526
2022-09-16,56.51,56.905,55.09,55.37,55.37,7377058.0,7377058.0,-1.14,-2.017,55.78833,"September 16, 22",-0.02017
2022-09-15,57.505,58.15,57.0,57.65,57.65,5179502.0,5179502.0,0.145,0.252,57.6,"September 15, 22",0.00252
2022-09-14,57.41,57.66,56.25,57.4,57.4,5076665.0,5076665.0,-0.01,-0.017,57.10333,"September 14, 22",-1.7E-4
2022-09-13,58.33,59.24,57.28,57.43,57.43,7339367.0,7339367.0,-0.9,-1.543,57.98333,"September 13, 22",-0.01543
2022-09-12,60.99,61.83,60.12,61.79,61.79,5340495.0,5340495.0,0.8,1.312,61.24667,"September 12, 22",0.01312
2022-09-09,61.47,61.87,60.2,60.41,60.41,5004594.0,5004594.0,-1.06,-1.724,60.82667,"September 09, 22",-0.01724
2022-09-08,59.3,60.36,59.22,59.91,59.91,2941742.0,2941742.0,0.61,1.029,59.83,"September 08, 22",0.01029
