date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,170.17,171.09,168.52,170.71,170.71,5642020.0,5642020.0,0.54,0.317,170.10667,"October 25, 22",0.00317
2022-10-24,169.81,172.08,169.25,170.98,170.98,6854206.0,6854206.0,1.17,0.689,170.77,"October 24, 22",0.00689
2022-10-21,164.71,169.37,164.43,168.71,168.71,8487521.0,8487521.0,4.0,2.429,167.50333,"October 21, 22",0.02429
2022-10-20,165.0,165.74,164.33,165.11,165.11,5659996.0,5659996.0,0.11,0.067,165.06,"October 20, 22",6.7E-4
2022-10-19,166.0,166.25,163.89,164.69,164.69,1.0042679E7,1.0042679E7,-1.31,-0.789,164.94333,"October 19, 22",-0.00789
2022-10-18,165.0,167.17,163.05,166.01,166.01,1.0880529E7,1.0880529E7,1.01,0.612,165.41,"October 18, 22",0.00612
2022-10-17,165.4,167.21,165.01,166.59,166.59,6706214.0,6706214.0,1.19,0.719,166.27,"October 17, 22",0.00719
2022-10-14,164.44,165.68,163.6,164.46,164.46,5684728.0,5684728.0,0.02,0.012,164.58,"October 14, 22",1.2E-4
2022-10-13,160.89,165.99,160.75,165.15,165.15,6464551.0,6464551.0,4.26,2.648,163.96333,"October 13, 22",0.02648
2022-10-12,162.94,164.88,162.5,162.69,162.69,4340370.0,4340370.0,-0.25,-0.153,163.35667,"October 12, 22",-0.00153
2022-10-11,160.37,164.11,160.37,162.73,162.73,6212355.0,6212355.0,2.36,1.472,162.40333,"October 11, 22",0.01472
2022-10-10,160.63,161.28,159.18,160.41,160.41,5314427.0,5314427.0,-0.22,-0.137,160.29,"October 10, 22",-0.00137
2022-10-07,161.77,162.22,159.17,160.2,160.2,6363350.0,6363350.0,-1.57,-0.971,160.53,"October 07, 22",-0.00971
2022-10-06,164.7899933,165.0,161.6900024,161.9100037,161.9100037,5890700.0,5890700.0,-2.87999,-1.748,162.86667,"October 06, 22",-0.01748
2022-10-05,165.0200043,166.0399933,164.2100067,165.1100006,165.1100006,4539400.0,4539400.0,0.09,0.055,165.12,"October 05, 22",5.5E-4
2022-10-04,163.8500061,166.0,162.9199982,165.6199951,165.6199951,6236100.0,6236100.0,1.76999,1.08,164.84666,"October 04, 22",0.0108
2022-10-03,164.2899933,164.3800049,161.6999969,163.1999969,163.1999969,8657000.0,8657000.0,-1.09,-0.663,163.09333,"October 03, 22",-0.00663
2022-09-30,165.0,165.7400055,163.3200073,163.3600006,163.3600006,8980500.0,8980500.0,-1.64,-0.994,164.14,"September 30, 22",-0.00994
2022-09-29,166.4799957,167.1699982,163.8899994,164.5299988,164.5299988,7008100.0,7008100.0,-1.95,-1.171,165.19667,"September 29, 22",-0.01171
2022-09-28,166.25,167.3800049,165.1000061,166.3600006,166.3600006,8660900.0,8660900.0,0.11,0.066,166.28,"September 28, 22",6.6E-4
2022-09-27,166.3600006,167.6699982,164.3999939,164.9400024,164.9400024,8686700.0,8686700.0,-1.42,-0.854,165.67,"September 27, 22",-0.00854
2022-09-26,165.8000031,166.8399963,164.3800049,165.6999969,165.6999969,8735500.0,8735500.0,-0.10001,-0.06,165.64,"September 26, 22",-6.0E-4
2022-09-23,165.7400055,167.4799957,164.6600037,166.7200012,166.7200012,9595600.0,9595600.0,0.98,0.591,166.28667,"September 23, 22",0.00591
2022-09-22,163.1499939,167.1600037,162.8300018,166.1799927,166.1799927,7401100.0,7401100.0,3.03,1.857,165.39,"September 22, 22",0.01857
2022-09-21,165.0200043,166.8000031,163.2400055,163.2799988,163.2799988,8071200.0,8071200.0,-1.74001,-1.054,164.44,"September 21, 22",-0.01054
2022-09-20,165.2200012,165.8999939,164.3200073,164.9700012,164.9700012,7143400.0,7143400.0,-0.25,-0.151,165.06333,"September 20, 22",-0.00151
2022-09-19,166.3000031,166.4299927,164.0800018,166.2799988,166.2799988,7380900.0,7380900.0,-0.02,-0.012,165.59666,"September 19, 22",-1.2E-4
2022-09-16,165.3200073,167.6300049,164.75,167.6000061,167.6000061,2.01989E7,2.01989E7,2.28,1.379,166.66,"September 16, 22",0.01379
2022-09-15,164.4499969,166.0700073,164.1000061,165.0800018,165.0800018,7174500.0,7174500.0,0.63,0.383,165.08334,"September 15, 22",0.00383
2022-09-14,162.3800049,165.3600006,162.3800049,164.6600037,164.6600037,9555700.0,9555700.0,2.28,1.404,164.13334,"September 14, 22",0.01404
2022-09-13,163.5700073,164.4400024,160.8099976,161.3300018,161.3300018,6726400.0,6726400.0,-2.24001,-1.369,162.19333,"September 13, 22",-0.01369
2022-09-12,166.1100006,166.5700073,165.2200012,165.6399994,165.6399994,6365300.0,6365300.0,-0.47,-0.283,165.81,"September 12, 22",-0.00283
2022-09-09,164.9900055,166.1999969,164.3899994,165.7100067,165.7100067,5500600.0,5500600.0,0.72,0.436,165.43333,"September 09, 22",0.00436
2022-09-08,163.8800049,165.4199982,163.0800018,165.3899994,165.3899994,5838400.0,5838400.0,1.50999,0.921,164.63,"September 08, 22",0.00921
2022-09-07,162.9100037,164.4199982,162.1600037,164.0700073,164.0700073,4590600.0,4590600.0,1.16,0.712,163.55,"September 07, 22",0.00712
2022-09-06,163.9400024,166.2200012,162.8200073,163.1799927,163.1799927,7394600.0,7394600.0,-0.76001,-0.464,164.07333,"September 06, 22",-0.00464
