date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,27.73,29.5,27.705,29.14,29.14,1533566.0,1533566.0,1.41,5.085,28.78167,"October 25, 22",0.05085
2022-10-24,27.53,27.87,27.22,27.56,27.56,1557385.0,1557385.0,0.03,0.109,27.55,"October 24, 22",0.00109
2022-10-21,26.17,27.55,25.95,27.34,27.34,2505725.0,2505725.0,1.17,4.471,26.94667,"October 21, 22",0.04471
2022-10-20,26.82,27.25,26.32,26.48,26.48,1511018.0,1511018.0,-0.34,-1.268,26.68333,"October 20, 22",-0.01268
2022-10-19,27.44,27.51,26.27,26.64,26.64,2044716.0,2044716.0,-0.8,-2.915,26.80667,"October 19, 22",-0.02915
2022-10-18,27.9,28.27,27.465,27.91,27.91,2804878.0,2804878.0,0.01,0.036,27.88167,"October 18, 22",3.6E-4
2022-10-17,27.23,27.77,27.06,27.2,27.2,1855990.0,1855990.0,-0.03,-0.11,27.34333,"October 17, 22",-0.0011
2022-10-14,27.67,27.89,26.43,26.55,26.55,1862388.0,1862388.0,-1.12,-4.048,26.95667,"October 14, 22",-0.04048
2022-10-13,26.73,27.805,25.92,27.49,27.49,1990692.0,1990692.0,0.76,2.843,27.07167,"October 13, 22",0.02843
2022-10-12,27.98,28.13,27.44,27.54,27.54,1708287.0,1708287.0,-0.44,-1.573,27.70333,"October 12, 22",-0.01573
2022-10-11,27.7,28.805,27.605,28.12,28.12,1877648.0,1877648.0,0.42,1.516,28.17667,"October 11, 22",0.01516
2022-10-10,27.9,28.05,27.37,27.74,27.74,933731.0,933731.0,-0.16,-0.573,27.72,"October 10, 22",-0.00573
2022-10-07,28.12,28.31,27.38,27.75,27.75,1327940.0,1327940.0,-0.37,-1.316,27.81333,"October 07, 22",-0.01316
2022-10-06,28.13,28.77,28.06,28.66,28.66,1357398.0,1357398.0,0.53,1.884,28.49667,"October 06, 22",0.01884
2022-10-05,28.18,28.43,27.83,28.37,28.37,1912753.0,1912753.0,0.19,0.674,28.21,"October 05, 22",0.00674
2022-10-04,27.89,28.81,27.86,28.77,28.77,2691709.0,2691709.0,0.88,3.155,28.48,"October 04, 22",0.03155
2022-10-03,26.43,27.51,26.17,27.31,27.31,2265278.0,2265278.0,0.88,3.33,26.99667,"October 03, 22",0.0333
2022-09-30,25.89,26.33,25.56,25.92,25.92,1694648.0,1694648.0,0.03,0.116,25.93667,"September 30, 22",0.00116
2022-09-29,26.34,26.35,25.65,25.99,25.99,2358117.0,2358117.0,-0.35,-1.329,25.99667,"September 29, 22",-0.01329
2022-09-28,25.88,27.1987,25.7,26.99,26.99,2374744.0,2374744.0,1.11,4.289,26.62957,"September 28, 22",0.04289
2022-09-27,26.34,26.45,25.305,25.51,25.51,2035584.0,2035584.0,-0.83,-3.151,25.755,"September 27, 22",-0.03151
2022-09-26,27.01,27.3,25.99,26.01,26.01,1814207.0,1814207.0,-1.0,-3.702,26.43333,"September 26, 22",-0.03702
2022-09-23,26.4,27.22,26.27,27.2,27.2,3158499.0,3158499.0,0.8,3.03,26.89667,"September 23, 22",0.0303
2022-09-22,27.21,27.485,26.5,26.6,26.6,4827250.0,4827250.0,-0.61,-2.242,26.86167,"September 22, 22",-0.02242
2022-09-21,28.87,29.4,27.91,28.02,28.02,1887978.0,1887978.0,-0.85,-2.944,28.44333,"September 21, 22",-0.02944
2022-09-20,28.7,28.92,28.23,28.66,28.66,2068333.0,2068333.0,-0.04,-0.139,28.60333,"September 20, 22",-0.00139
2022-09-19,28.91,29.42,28.635,29.27,29.27,2899800.0,2899800.0,0.36,1.245,29.10833,"September 19, 22",0.01245
2022-09-16,27.7,28.52,27.51,28.37,28.37,2775782.0,2775782.0,0.67,2.419,28.13333,"September 16, 22",0.02419
2022-09-15,27.72,28.42,27.465,27.72,27.72,2195705.0,2195705.0,0.0,0.0,27.86833,"September 15, 22",0.0
2022-09-14,27.92,28.07,27.315,27.73,27.73,1803026.0,1803026.0,-0.19,-0.681,27.705,"September 14, 22",-0.00681
2022-09-13,28.84,28.84,27.67,27.79,27.79,1829305.0,1829305.0,-1.05,-3.641,28.1,"September 13, 22",-0.03641
2022-09-12,29.84,30.49,29.77,29.89,29.89,1480082.0,1480082.0,0.05,0.168,30.05,"September 12, 22",0.00168
2022-09-09,28.93,29.67,28.74,29.53,29.53,1107446.0,1107446.0,0.6,2.074,29.31333,"September 09, 22",0.02074
2022-09-08,28.16,28.67,27.77,28.65,28.65,1007800.0,1007800.0,0.49,1.74,28.36333,"September 08, 22",0.0174
2022-09-07,27.73,28.51,27.615,28.46,28.46,938995.0,938995.0,0.73,2.633,28.195,"September 07, 22",0.02633
2022-09-06,28.2,28.27,27.385,27.74,27.74,1477122.0,1477122.0,-0.46,-1.631,27.79833,"September 06, 22",-0.01631
2022-09-02,28.72,28.89,28.05,28.23,28.23,1153708.0,1153708.0,-0.49,-1.706,28.39,"September 02, 22",-0.01706
2022-09-01,28.29,28.42,27.74,28.25,28.25,1248450.0,1248450.0,-0.04,-0.141,28.13667,"September 01, 22",-0.00141
2022-08-31,29.3,29.4,28.5,28.65,28.65,1445755.0,1445755.0,-0.65,-2.218,28.85,"August 31, 22",-0.02218
2022-08-30,29.99,29.99,29.065,29.29,29.29,1076812.0,1076812.0,-0.7,-2.334,29.44833,"August 30, 22",-0.02334
2022-08-29,29.32,30.03,29.22,29.63,29.63,1127946.0,1127946.0,0.31,1.057,29.62667,"August 29, 22",0.01057
2022-08-26,31.07,31.18,29.36,29.54,29.54,1144614.0,1144614.0,-1.53,-4.924,30.02667,"August 26, 22",-0.04924
2022-08-25,29.66,31.13,29.66,31.05,31.05,1148532.0,1148532.0,1.39,4.686,30.61333,"August 25, 22",0.04686
2022-08-24,29.29,30.95,29.13,30.26,30.26,1667538.0,1667538.0,0.97,3.312,30.11333,"August 24, 22",0.03312
2022-08-23,29.88,30.4461,29.715,29.76,29.76,984378.0,984378.0,-0.12,-0.402,29.9737,"August 23, 22",-0.00402
2022-08-22,30.15,30.36,29.77,29.85,29.85,1185928.0,1185928.0,-0.3,-0.995,29.99333,"August 22, 22",-0.00995
2022-08-19,31.71,31.94,30.61,30.64,30.64,1436408.0,1436408.0,-1.07,-3.374,31.06333,"August 19, 22",-0.03374
2022-08-18,32.14,32.19,31.72,32.05,32.05,1119647.0,1119647.0,-0.09,-0.28,31.98667,"August 18, 22",-0.0028
2022-08-17,32.63,32.665,31.96,32.08,32.08,1113890.0,1113890.0,-0.55,-1.686,32.235,"August 17, 22",-0.01686
2022-08-16,32.75,33.535,32.231,33.09,33.09,1172394.0,1172394.0,0.34,1.038,32.952,"August 16, 22",0.01038
2022-08-15,33.37,33.52,32.755,32.99,32.99,853204.0,853204.0,-0.38,-1.139,33.08833,"August 15, 22",-0.01139
