date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,17.58,17.94,17.44,17.77,17.77,1.1506646E7,1.1506646E7,0.19,1.081,17.71667,"October 25, 22",0.01081
2022-10-24,16.98,17.96,16.98,17.73,17.73,1.6386905E7,1.6386905E7,0.75,4.417,17.55667,"October 24, 22",0.04417
2022-10-21,15.95,16.92,15.75,16.9,16.9,2.1912014E7,2.1912014E7,0.95,5.956,16.52333,"October 21, 22",0.05956
2022-10-20,16.02,16.695,15.65,15.85,15.85,2.1415267E7,2.1415267E7,-0.17,-1.061,16.065,"October 20, 22",-0.01061
2022-10-19,16.78,16.9995,16.415,16.49,16.49,1.4996479E7,1.4996479E7,-0.29,-1.728,16.63483,"October 19, 22",-0.01728
2022-10-18,17.26,17.41,16.81,16.98,16.98,1.6378716E7,1.6378716E7,-0.28,-1.622,17.06667,"October 18, 22",-0.01622
2022-10-17,16.87,17.025,16.715,16.89,16.89,1.054528E7,1.054528E7,0.02,0.119,16.87667,"October 17, 22",0.00119
2022-10-14,16.8,17.2,16.435,16.48,16.48,1.5888331E7,1.5888331E7,-0.32,-1.905,16.705,"October 14, 22",-0.01905
2022-10-13,15.44,16.795,15.255,16.71,16.71,1.5976931E7,1.5976931E7,1.27,8.225,16.25333,"October 13, 22",0.08225
2022-10-12,15.6,15.87,15.47,15.59,15.59,1.4212047E7,1.4212047E7,-0.01,-0.064,15.64333,"October 12, 22",-6.4E-4
2022-10-11,15.83,16.005,15.56,15.67,15.67,9949910.0,9949910.0,-0.16,-1.011,15.745,"October 11, 22",-0.01011
2022-10-10,16.2,16.31,15.84,15.94,15.94,1.15915E7,1.15915E7,-0.26,-1.605,16.03,"October 10, 22",-0.01605
2022-10-07,16.5,16.51,16.1,16.15,16.15,1.2932673E7,1.2932673E7,-0.35,-2.121,16.25333,"October 07, 22",-0.02121
2022-10-06,16.75,16.9300003,16.5799999,16.6200008,16.6200008,8821900.0,8821900.0,-0.13,-0.776,16.71,"October 06, 22",-0.00776
2022-10-05,16.7900009,16.9899998,16.7600002,16.8899994,16.8899994,6929300.0,6929300.0,0.1,0.596,16.88,"October 05, 22",0.00596
2022-10-04,16.7199993,17.1700001,16.7199993,17.1200008,17.1200008,1.23713E7,1.23713E7,0.4,2.392,17.00333,"October 04, 22",0.02392
2022-10-03,16.2800007,16.5900002,15.9899998,16.4699993,16.4699993,1.22531E7,1.22531E7,0.19,1.167,16.35,"October 03, 22",0.01167
2022-09-30,16.0900002,16.4400005,15.9799995,16.0200005,16.0200005,9116400.0,9116400.0,-0.07,-0.435,16.14667,"September 30, 22",-0.00435
2022-09-29,15.8999996,16.1800003,15.7399998,16.0300007,16.0300007,8992700.0,8992700.0,0.13,0.818,15.98333,"September 29, 22",0.00818
2022-09-28,15.9499998,16.3099995,15.9300003,16.1700001,16.1700001,1.1769E7,1.1769E7,0.22,1.379,16.13667,"September 28, 22",0.01379
2022-09-27,16.25,16.3299999,15.7700005,15.96,15.96,1.21102E7,1.21102E7,-0.29,-1.785,16.02,"September 27, 22",-0.01785
2022-09-26,16.2399998,16.5200005,16.0100002,16.1000004,16.1000004,1.14892E7,1.14892E7,-0.14,-0.862,16.21,"September 26, 22",-0.00862
2022-09-23,16.3299999,16.4899998,16.1000004,16.4200001,16.4200001,1.75777E7,1.75777E7,0.09,0.551,16.33667,"September 23, 22",0.00551
2022-09-22,17.25,17.25,16.5,16.5799999,16.5799999,1.344E7,1.344E7,-0.67,-3.884,16.77667,"September 22, 22",-0.03884
2022-09-21,17.6499996,17.7600002,17.1299992,17.1299992,17.1299992,1.09111E7,1.09111E7,-0.52,-2.946,17.34,"September 21, 22",-0.02946
2022-09-20,17.6599998,17.7399998,17.3899994,17.6100006,17.6100006,1.13575E7,1.13575E7,-0.05,-0.283,17.58,"September 20, 22",-0.00283
2022-09-19,17.3799992,17.9200001,17.3799992,17.8299999,17.8299999,8848000.0,8848000.0,0.45,2.589,17.71,"September 19, 22",0.02589
2022-09-16,17.8799992,17.8799992,17.4899998,17.7000008,17.7000008,1.66049E7,1.66049E7,-0.18,-1.007,17.69,"September 16, 22",-0.01007
2022-09-15,17.7199993,18.2900009,17.6800003,18.0699997,18.0699997,1.52197E7,1.52197E7,0.35,1.975,18.01333,"September 15, 22",0.01975
2022-09-14,18.1000004,18.1399994,17.5200005,17.6399994,17.6399994,1.38599E7,1.38599E7,-0.46,-2.541,17.76667,"September 14, 22",-0.02541
2022-09-13,18.5499992,18.6800003,17.9500008,18.0,18.0,8372300.0,8372300.0,-0.55,-2.965,18.21,"September 13, 22",-0.02965
2022-09-12,18.7999992,19.0599995,18.7399998,18.8999996,18.8999996,8724500.0,8724500.0,0.1,0.532,18.9,"September 12, 22",0.00532
2022-09-09,18.5699997,18.7900009,18.5400009,18.6599998,18.6599998,9411100.0,9411100.0,0.09,0.485,18.66333,"September 09, 22",0.00485
2022-09-08,17.6299992,18.5,17.5900002,18.4899998,18.4899998,9992400.0,9992400.0,0.86,4.878,18.19333,"September 08, 22",0.04878
2022-09-07,17.2199993,17.8199997,17.1599998,17.7700005,17.7700005,6318100.0,6318100.0,0.55,3.194,17.58333,"September 07, 22",0.03194
2022-09-06,17.6900005,17.6900005,17.1900005,17.3199997,17.3199997,9018400.0,9018400.0,-0.37,-2.092,17.4,"September 06, 22",-0.02092
2022-09-02,17.9300003,18.0599995,17.4599991,17.5499992,17.5499992,6913200.0,6913200.0,-0.38,-2.119,17.69,"September 02, 22",-0.02119
2022-09-01,17.6399994,17.7000008,17.2800007,17.6800003,17.6800003,7052100.0,7052100.0,0.04,0.227,17.55333,"September 01, 22",0.00227
2022-08-31,17.9799995,18.0100002,17.6700001,17.6900005,17.6900005,1.06059E7,1.06059E7,-0.29,-1.613,17.79,"August 31, 22",-0.01613
2022-08-30,18.1200008,18.1900005,17.8099995,17.8700008,17.8700008,1.03577E7,1.03577E7,-0.25,-1.38,17.95667,"August 30, 22",-0.0138
2022-08-29,18.1200008,18.1800003,17.8999996,18.0100002,18.0100002,1.02735E7,1.02735E7,-0.11,-0.607,18.03,"August 29, 22",-0.00607
2022-08-26,19.1299992,19.2099991,18.4300003,18.4300003,18.2350006,7755000.0,7755000.0,-0.895,-4.679,18.625,"August 26, 22",-0.04679
2022-08-25,18.7999992,19.1100006,18.7399998,19.0599995,18.8583336,5513300.0,5513300.0,0.05833,0.31,18.90278,"August 25, 22",0.0031
2022-08-24,18.7800007,18.8099995,18.5599995,18.75,18.5516129,6004800.0,6004800.0,-0.22839,-1.216,18.64054,"August 24, 22",-0.01216
2022-08-23,18.7299995,18.9799995,18.7299995,18.7700005,18.5714035,4827300.0,4827300.0,-0.1586,-0.847,18.76047,"August 23, 22",-0.00847
2022-08-22,18.9599991,19.0,18.6399994,18.7099991,18.5120354,7036500.0,7036500.0,-0.44796,-2.363,18.71734,"August 22, 22",-0.02363
2022-08-19,19.4500008,19.5200005,19.1599998,19.2999992,19.0957928,5672700.0,5672700.0,-0.35421,-1.821,19.2586,"August 19, 22",-0.01821
2022-08-18,19.4699993,19.6399994,19.3899994,19.6399994,19.4321957,6062200.0,6062200.0,-0.0378,-0.194,19.4874,"August 18, 22",-0.00194
2022-08-17,19.4899998,19.5200005,19.2000008,19.4400005,19.234314,9904600.0,9904600.0,-0.25569,-1.312,19.31811,"August 17, 22",-0.01312
2022-08-16,19.3500004,19.8700008,19.3400002,19.7800007,19.5707169,8757400.0,8757400.0,0.22072,1.141,19.59357,"August 16, 22",0.01141
2022-08-15,19.1800003,19.5599995,19.1000004,19.4500008,19.2442074,8235600.0,8235600.0,0.06421,0.335,19.3014,"August 15, 22",0.00335
2022-08-12,19.3600006,19.4200001,19.0599995,19.4099998,19.2046299,7441200.0,7441200.0,-0.15537,-0.803,19.22821,"August 12, 22",-0.00803
