date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,3.55,3.635,3.55,3.61,3.61,1.3420171E7,1.3420171E7,0.06,1.69,3.59833,"October 25, 22",0.0169
2022-10-24,3.53,3.55,3.47,3.54,3.54,1.3280628E7,1.3280628E7,0.01,0.283,3.52,"October 24, 22",0.00283
2022-10-21,3.41,3.62,3.4,3.58,3.58,1.8718973E7,1.8718973E7,0.17,4.985,3.53333,"October 21, 22",0.04985
2022-10-20,3.33,3.51,3.33,3.41,3.41,1.9975169E7,1.9975169E7,0.08,2.402,3.41667,"October 20, 22",0.02402
2022-10-19,3.36,3.4,3.3,3.34,3.34,1.6588066E7,1.6588066E7,-0.02,-0.595,3.34667,"October 19, 22",-0.00595
2022-10-18,3.45,3.49,3.36,3.43,3.43,1.7404223E7,1.7404223E7,-0.02,-0.58,3.42667,"October 18, 22",-0.0058
2022-10-17,3.46,3.49,3.4,3.42,3.42,1.4348933E7,1.4348933E7,-0.04,-1.156,3.43667,"October 17, 22",-0.01156
2022-10-14,3.51,3.54,3.34,3.35,3.35,1.5037161E7,1.5037161E7,-0.16,-4.558,3.41,"October 14, 22",-0.04558
2022-10-13,3.52,3.56,3.33,3.55,3.55,2.4266935E7,2.4266935E7,0.03,0.852,3.48,"October 13, 22",0.00852
2022-10-12,3.64,3.74,3.58,3.64,3.64,1.331552E7,1.331552E7,0.0,0.0,3.65333,"October 12, 22",0.0
2022-10-11,3.67,3.74,3.58,3.65,3.65,1.5754956E7,1.5754956E7,-0.02,-0.545,3.65667,"October 11, 22",-0.00545
2022-10-10,3.69,3.82,3.65,3.67,3.67,1.1312565E7,1.1312565E7,-0.02,-0.542,3.71333,"October 10, 22",-0.00542
2022-10-07,3.81,3.88,3.73,3.74,3.74,1.8307905E7,1.8307905E7,-0.07,-1.837,3.78333,"October 07, 22",-0.01837
2022-10-06,3.89,3.96,3.81,3.9,3.9,1.7711984E7,1.7711984E7,0.01,0.257,3.89,"October 06, 22",0.00257
2022-10-05,3.89,3.93,3.79,3.93,3.93,2.1589378E7,2.1589378E7,0.04,1.028,3.88333,"October 05, 22",0.01028
2022-10-04,4.04,4.07,3.96,4.01,4.01,2.1384826E7,2.1384826E7,-0.03,-0.743,4.01333,"October 04, 22",-0.00743
2022-10-03,3.85,3.98,3.84,3.95,3.95,2.2472911E7,2.2472911E7,0.1,2.597,3.92333,"October 03, 22",0.02597
2022-09-30,3.63,3.8476,3.565,3.76,3.76,2.7645125E7,2.7645125E7,0.13,3.581,3.7242,"September 30, 22",0.03581
2022-09-29,3.48,3.62,3.48,3.59,3.59,1.9938153E7,1.9938153E7,0.11,3.161,3.56333,"September 29, 22",0.03161
2022-09-28,3.37,3.57,3.33,3.52,3.52,2.8020827E7,2.8020827E7,0.15,4.451,3.47333,"September 28, 22",0.04451
2022-09-27,3.34,3.42,3.27,3.28,3.28,1.5995153E7,1.5995153E7,-0.06,-1.796,3.32333,"September 27, 22",-0.01796
2022-09-26,3.27,3.37,3.18,3.25,3.25,2.0633389E7,2.0633389E7,-0.02,-0.612,3.26667,"September 26, 22",-0.00612
2022-09-23,3.42,3.43,3.25,3.31,3.31,1.8438484E7,1.8438484E7,-0.11,-3.216,3.33,"September 23, 22",-0.03216
2022-09-22,3.56,3.64,3.49,3.55,3.55,1.8160117E7,1.8160117E7,-0.01,-0.281,3.56,"September 22, 22",-0.00281
2022-09-21,3.53,3.67,3.47,3.54,3.54,2.1265999E7,2.1265999E7,0.01,0.283,3.56,"September 21, 22",0.00283
2022-09-20,3.55,3.58,3.48,3.51,3.51,1.5463718E7,1.5463718E7,-0.04,-1.127,3.52333,"September 20, 22",-0.01127
2022-09-19,3.29,3.67,3.255,3.64,3.64,3.9314344E7,3.9314344E7,0.35,10.638,3.52167,"September 19, 22",0.10638
2022-09-16,3.25,3.39,3.17,3.29,3.29,2.1955201E7,2.1955201E7,0.04,1.231,3.28333,"September 16, 22",0.01231
2022-09-15,3.34,3.43,3.26,3.3,3.3,1.4519658E7,1.4519658E7,-0.04,-1.198,3.33,"September 15, 22",-0.01198
2022-09-14,3.41,3.49,3.38,3.38,3.38,8366797.0,8366797.0,-0.03,-0.88,3.41667,"September 14, 22",-0.0088
2022-09-13,3.41,3.5,3.38,3.4,3.4,9810644.0,9810644.0,-0.01,-0.293,3.42667,"September 13, 22",-0.00293
2022-09-12,3.61,3.64,3.53,3.56,3.56,9864549.0,9864549.0,-0.05,-1.385,3.57667,"September 12, 22",-0.01385
2022-09-09,3.52,3.57,3.47,3.55,3.55,8557144.0,8557144.0,0.03,0.852,3.53,"September 09, 22",0.00852
2022-09-08,3.38,3.46,3.35,3.45,3.45,1.0671927E7,1.0671927E7,0.07,2.071,3.42,"September 08, 22",0.02071
2022-09-07,3.29,3.45,3.225,3.42,3.42,1.3492005E7,1.3492005E7,0.13,3.951,3.365,"September 07, 22",0.03951
2022-09-06,3.33,3.43,3.26,3.29,3.29,1.11315E7,1.11315E7,-0.04,-1.201,3.32667,"September 06, 22",-0.01201
2022-09-02,3.2,3.36,3.175,3.28,3.28,1.6370257E7,1.6370257E7,0.08,2.5,3.27167,"September 02, 22",0.025
