date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,17.2,17.545,17.13,17.51,17.51,1.8030992E7,1.8030992E7,0.31,1.802,17.395,"October 25, 22",0.01802
2022-10-24,17.58,17.7,17.21,17.28,17.28,2.1278598E7,2.1278598E7,-0.3,-1.706,17.39667,"October 24, 22",-0.01706
2022-10-21,17.25,17.5599995,17.1100006,17.5200005,17.5200005,1.96293E7,1.96293E7,0.27,1.565,17.39667,"October 21, 22",0.01565
2022-10-20,17.3400002,17.6800003,16.9599991,17.1200008,17.1200008,4.02443E7,4.02443E7,-0.22,-1.269,17.25333,"October 20, 22",-0.01269
2022-10-19,17.7399998,18.0900002,17.6299992,17.9899998,17.9899998,1.92577E7,1.92577E7,0.25,1.409,17.90333,"October 19, 22",0.01409
2022-10-18,17.7099991,17.9500008,17.5,17.7700005,17.7700005,1.95384E7,1.95384E7,0.06,0.339,17.74,"October 18, 22",0.00339
2022-10-17,17.3999996,17.6499996,17.2999992,17.5,17.5,1.50661E7,1.50661E7,0.1,0.575,17.48333,"October 17, 22",0.00575
2022-10-14,17.5699997,17.75,17.1599998,17.1900005,17.1900005,1.70378E7,1.70378E7,-0.38,-2.163,17.36667,"October 14, 22",-0.02163
2022-10-13,16.8999996,17.7000008,16.8600006,17.6399994,17.6399994,1.83935E7,1.83935E7,0.74,4.379,17.4,"October 13, 22",0.04379
2022-10-12,17.0300007,17.1800003,16.8700008,17.0499992,17.0499992,1.45008E7,1.45008E7,0.02,0.117,17.03333,"October 12, 22",0.00117
2022-10-11,16.9400005,17.3600006,16.8400002,17.1599998,17.1599998,1.77035E7,1.77035E7,0.22,1.299,17.12,"October 11, 22",0.01299
2022-10-10,17.2999992,17.5799999,17.0400009,17.0699997,17.0699997,1.63238E7,1.63238E7,-0.23,-1.329,17.23,"October 10, 22",-0.01329
2022-10-07,17.3700008,17.4899998,17.0900002,17.2399998,17.2399998,1.66763E7,1.66763E7,-0.13,-0.748,17.27333,"October 07, 22",-0.00748
2022-10-06,17.6000004,17.7999992,17.3600006,17.3899994,17.3899994,1.92991E7,1.92991E7,-0.21,-1.193,17.51667,"October 06, 22",-0.01193
2022-10-05,17.5400009,17.7999992,17.3099995,17.7000008,17.7000008,1.95905E7,1.95905E7,0.16,0.912,17.60333,"October 05, 22",0.00912
2022-10-04,17.3199997,17.6800003,17.25,17.6700001,17.6700001,2.38066E7,2.38066E7,0.35,2.021,17.53333,"October 04, 22",0.02021
2022-10-03,17.1000004,17.2700005,16.9599991,17.1000004,17.1000004,2.47027E7,2.47027E7,0.0,0.0,17.11,"October 03, 22",0.0
2022-09-30,16.6100006,16.8600006,16.5,16.6399994,16.6399994,3.05335E7,3.05335E7,0.03,0.181,16.66667,"September 30, 22",0.00181
2022-09-29,16.6900005,16.7999992,16.4099998,16.7199993,16.7199993,2.76492E7,2.76492E7,0.03,0.18,16.64333,"September 29, 22",0.0018
2022-09-28,16.4099998,16.9500008,16.3500004,16.8400002,16.8400002,2.5192E7,2.5192E7,0.43,2.62,16.71333,"September 28, 22",0.0262
2022-09-27,16.3400002,16.6900005,16.2099991,16.3299999,16.3299999,2.53877E7,2.53877E7,-0.01,-0.061,16.41,"September 27, 22",-6.1E-4
2022-09-26,16.4300003,16.4899998,16.0499992,16.0900002,16.0900002,2.83339E7,2.83339E7,-0.34,-2.069,16.21,"September 26, 22",-0.02069
2022-09-23,17.0,17.0400009,16.3400002,16.5300007,16.5300007,2.55323E7,2.55323E7,-0.47,-2.765,16.63667,"September 23, 22",-0.02765
2022-09-22,17.7299995,17.7299995,17.3199997,17.3199997,17.3199997,1.82207E7,1.82207E7,-0.41,-2.312,17.45667,"September 22, 22",-0.02312
2022-09-21,18.1200008,18.1800003,17.5100002,17.5200005,17.5200005,2.0654E7,2.0654E7,-0.6,-3.311,17.73667,"September 21, 22",-0.03311
2022-09-20,17.9400005,17.9899998,17.7299995,17.8999996,17.8999996,1.65659E7,1.65659E7,-0.04,-0.223,17.87333,"September 20, 22",-0.00223
2022-09-19,17.5,18.0599995,17.5,18.0499992,18.0499992,1.68523E7,1.68523E7,0.55,3.143,17.87,"September 19, 22",0.03143
2022-09-16,18.2299995,18.2299995,17.7000008,17.8500004,17.8500004,3.4288E7,3.4288E7,-0.38,-2.084,17.92667,"September 16, 22",-0.02084
2022-09-15,18.3299999,18.5699997,18.2399998,18.3299999,18.3299999,1.7174E7,1.7174E7,0.0,0.0,18.38,"September 15, 22",0.0
2022-09-14,18.2999992,18.6299992,18.2700005,18.5300007,18.5300007,1.90936E7,1.90936E7,0.23,1.257,18.47667,"September 14, 22",0.01257
2022-09-13,18.5,18.6599998,18.0799999,18.1700001,18.1700001,2.06292E7,2.06292E7,-0.33,-1.784,18.30333,"September 13, 22",-0.01784
2022-09-12,18.5,18.7700005,18.4500008,18.7399998,18.7399998,1.51681E7,1.51681E7,0.24,1.297,18.65333,"September 12, 22",0.01297
2022-09-09,18.2199993,18.3899994,18.1599998,18.3099995,18.3099995,1.35952E7,1.35952E7,0.09,0.494,18.28667,"September 09, 22",0.00494
