date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,48.45,48.98,47.7,48.1,48.1,2698217.0,2698217.0,-0.35,-0.722,48.26,"October 25, 22",-0.00722
2022-10-24,47.84,48.96,47.73,48.44,48.44,1371755.0,1371755.0,0.6,1.254,48.37667,"October 24, 22",0.01254
2022-10-21,46.19,47.46,45.65,47.41,47.41,2917429.0,2917429.0,1.22,2.641,46.84,"October 21, 22",0.02641
2022-10-20,45.63,48.5,45.63,46.5,46.5,7086621.0,7086621.0,0.87,1.907,46.87667,"October 20, 22",0.01907
2022-10-19,50.0,50.33,48.68,49.42,49.42,2248410.0,2248410.0,-0.58,-1.16,49.47667,"October 19, 22",-0.0116
2022-10-18,50.63,51.08,49.42,49.95,49.95,1980421.0,1980421.0,-0.68,-1.343,50.15,"October 18, 22",-0.01343
2022-10-17,49.1,50.2,49.0,49.73,49.73,2306570.0,2306570.0,0.63,1.283,49.64333,"October 17, 22",0.01283
2022-10-14,49.06,49.35,48.22,48.53,48.53,1919544.0,1919544.0,-0.53,-1.08,48.7,"October 14, 22",-0.0108
2022-10-13,48.13,49.46,47.11,48.9,48.9,2310361.0,2310361.0,0.77,1.6,48.49,"October 13, 22",0.016
2022-10-12,48.36,49.74,47.89,48.89,48.89,2445168.0,2445168.0,0.53,1.096,48.84,"October 12, 22",0.01096
2022-10-11,47.78,48.61,47.55,48.04,48.04,1808109.0,1808109.0,0.26,0.544,48.06667,"October 11, 22",0.00544
2022-10-10,48.57,49.03,48.03,48.06,48.06,1784402.0,1784402.0,-0.51,-1.05,48.37333,"October 10, 22",-0.0105
2022-10-07,48.52,48.6,47.64,48.28,48.28,1433325.0,1433325.0,-0.24,-0.495,48.17333,"October 07, 22",-0.00495
2022-10-06,49.57,50.28,48.95,49.06,49.06,1309117.0,1309117.0,-0.51,-1.029,49.43,"October 06, 22",-0.01029
2022-10-05,50.2900009,50.7999992,49.5200005,49.7200012,49.7200012,1720700.0,1720700.0,-0.57,-1.133,50.01333,"October 05, 22",-0.01133
2022-10-04,50.5699997,51.2400017,50.1800003,50.7700005,50.7700005,2646500.0,2646500.0,0.2,0.395,50.73,"October 04, 22",0.00395
2022-10-03,49.3800011,50.2700005,49.0800018,49.9000015,49.9000015,2350000.0,2350000.0,0.52,1.053,49.75,"October 03, 22",0.01053
2022-09-30,49.6100006,49.9300003,48.8300018,48.9300003,48.9300003,2345500.0,2345500.0,-0.68,-1.371,49.23,"September 30, 22",-0.01371
2022-09-29,49.7799988,50.1100006,49.4500008,49.7799988,49.7799988,1296600.0,1296600.0,0.0,0.0,49.78,"September 29, 22",0.0
2022-09-28,49.0600014,50.2299995,48.6300011,49.9000015,49.9000015,1203700.0,1203700.0,0.84,1.712,49.58667,"September 28, 22",0.01712
2022-09-27,49.0800018,49.8400002,48.4599991,49.1899986,49.1899986,2119600.0,2119600.0,0.11,0.224,49.16333,"September 27, 22",0.00224
2022-09-26,47.7200012,49.5600014,47.6699982,48.7400017,48.7400017,3564800.0,3564800.0,1.02,2.137,48.65667,"September 26, 22",0.02137
2022-09-23,47.0600014,47.9199982,46.8199997,47.9099998,47.9099998,2295800.0,2295800.0,0.85,1.806,47.55,"September 23, 22",0.01806
2022-09-22,48.2099991,48.2799988,47.2599983,47.7299995,47.7299995,2029400.0,2029400.0,-0.48,-0.996,47.75667,"September 22, 22",-0.00996
2022-09-21,48.5400009,49.5299988,48.3499985,48.3499985,48.3499985,1227700.0,1227700.0,-0.19,-0.391,48.74333,"September 21, 22",-0.00391
2022-09-20,49.0099983,49.1399994,47.6599998,48.1800003,48.1800003,1073100.0,1073100.0,-0.83,-1.694,48.32667,"September 20, 22",-0.01694
2022-09-19,47.8600006,49.5400009,47.8100014,49.3800011,49.3800011,1476800.0,1476800.0,1.52,3.176,48.91,"September 19, 22",0.03176
2022-09-16,46.9700012,48.1399994,46.3800011,48.0200005,48.0200005,4861600.0,4861600.0,1.05,2.235,47.51333,"September 16, 22",0.02235
2022-09-15,49.9000015,50.4700012,48.1599998,48.5999985,48.5999985,2164300.0,2164300.0,-1.3,-2.605,49.07667,"September 15, 22",-0.02605
2022-09-14,49.8199997,50.0,49.2900009,49.9199982,49.9199982,1781600.0,1781600.0,0.1,0.201,49.73667,"September 14, 22",0.00201
2022-09-13,49.3899994,50.3100014,49.2099991,49.7400017,49.7400017,1592800.0,1592800.0,0.35,0.709,49.75333,"September 13, 22",0.00709
2022-09-12,51.5499992,52.0,50.9099998,50.9199982,50.9199982,1500600.0,1500600.0,-0.63,-1.222,51.27667,"September 12, 22",-0.01222
2022-09-09,50.0999985,51.0,50.0200005,50.9000015,50.9000015,1285000.0,1285000.0,0.8,1.597,50.64,"September 09, 22",0.01597
2022-09-08,49.5400009,49.7799988,48.8600006,49.75,49.75,1893600.0,1893600.0,0.21,0.424,49.46333,"September 08, 22",0.00424
2022-09-07,48.9599991,49.9000015,48.4599991,49.8800011,49.8800011,1556600.0,1556600.0,0.92,1.879,49.41333,"September 07, 22",0.01879
2022-09-06,50.0099983,50.2900009,48.7299995,49.0,49.0,1598300.0,1598300.0,-1.01,-2.02,49.34,"September 06, 22",-0.0202
2022-09-02,51.3100014,51.6699982,50.1699982,50.2999992,50.2999992,1485000.0,1485000.0,-1.01,-1.968,50.71333,"September 02, 22",-0.01968
2022-09-01,50.0200005,50.9799995,49.5499992,50.9099998,50.9099998,1833500.0,1833500.0,0.89,1.779,50.48,"September 01, 22",0.01779
2022-08-31,51.7400017,51.7400017,50.3899994,50.5099983,50.3899994,2661200.0,2661200.0,-1.35,-2.609,50.84,"August 31, 22",-0.02609
2022-08-30,51.5999985,51.9599991,50.7700005,51.4799995,51.3576927,1474200.0,1474200.0,-0.24231,-0.47,51.36256,"August 30, 22",-0.0047
2022-08-29,52.6199989,52.8199997,51.3800011,51.3899994,51.2679062,1533100.0,1533100.0,-1.35209,-2.57,51.82264,"August 29, 22",-0.0257
2022-08-26,54.4300003,54.7599983,52.9500008,52.9900017,52.864109,830800.0,830800.0,-1.56589,-2.877,53.5247,"August 26, 22",-0.02877
2022-08-25,53.8300018,54.5400009,53.5999985,54.5400009,54.4104271,1066600.0,1066600.0,0.58043,1.078,54.18348,"August 25, 22",0.01078
2022-08-24,53.6800003,54.1399994,53.0,53.6800003,53.5524673,1203200.0,1203200.0,-0.12753,-0.238,53.56416,"August 24, 22",-0.00238
2022-08-23,54.9399986,55.4399986,53.9700012,54.0400009,53.9116135,1712500.0,1712500.0,-1.02839,-1.872,54.44054,"August 23, 22",-0.01872
2022-08-22,54.7400017,55.6399994,54.3800011,54.7599983,54.6299019,1154900.0,1154900.0,-0.1101,-0.201,54.8833,"August 22, 22",-0.00201
2022-08-19,55.5800018,56.0299988,55.0900002,55.4700012,55.3382149,1172400.0,1172400.0,-0.24179,-0.435,55.48607,"August 19, 22",-0.00435
2022-08-18,55.8499985,56.2200012,55.75,56.0600014,55.926815,1072000.0,1072000.0,0.07682,0.138,55.96561,"August 18, 22",0.00138
2022-08-17,56.5200005,56.5200005,54.9599991,55.8600006,55.7272911,2363000.0,2363000.0,-0.79271,-1.403,55.73576,"August 17, 22",-0.01403
2022-08-16,56.3300018,57.5800018,56.25,56.9700012,56.8346519,1807000.0,1807000.0,0.50465,0.896,56.88822,"August 16, 22",0.00896
2022-08-15,56.0699997,56.7299995,55.7200012,56.4399986,56.3059082,1770900.0,1770900.0,0.23591,0.421,56.25197,"August 15, 22",0.00421
2022-08-12,56.0,56.4799995,55.9000015,56.4099998,56.2759819,1019900.0,1019900.0,0.27598,0.493,56.21866,"August 12, 22",0.00493
2022-08-11,55.5,56.5400009,55.3300018,56.1199989,55.9866714,1541000.0,1541000.0,0.48667,0.877,55.95222,"August 11, 22",0.00877
2022-08-10,54.5800018,55.3699989,54.1800003,55.1599998,55.0289536,2264100.0,2264100.0,0.44895,0.823,54.85965,"August 10, 22",0.00823
