date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,59.04,59.11,57.75,58.95,58.95,2.5155597E7,2.5155597E7,-0.09,-0.152,58.60333,"October 25, 22",-0.00152
2022-10-24,56.64,57.73,56.57,57.57,57.57,1.741774E7,1.741774E7,0.93,1.642,57.29,"October 24, 22",0.01642
2022-10-21,55.0,56.105,54.985,55.96,55.96,1.5034225E7,1.5034225E7,0.96,1.745,55.68333,"October 21, 22",0.01745
2022-10-20,55.77,55.92,54.96,55.08,55.08,1.6905693E7,1.6905693E7,-0.69,-1.237,55.32,"October 20, 22",-0.01237
2022-10-19,56.31,56.54,55.73,55.96,55.96,1.0182846E7,1.0182846E7,-0.35,-0.622,56.07667,"October 19, 22",-0.00622
2022-10-18,56.31,56.78,56.1,56.44,56.44,1.1821295E7,1.1821295E7,0.13,0.231,56.44,"October 18, 22",0.00231
2022-10-17,55.63,56.22,55.57,55.69,55.69,1.3721247E7,1.3721247E7,0.06,0.108,55.82667,"October 17, 22",0.00108
2022-10-14,56.29,56.47,54.94,54.98,54.98,1.5998759E7,1.5998759E7,-1.31,-2.327,55.46333,"October 14, 22",-0.02327
2022-10-13,54.48,56.08,54.26,55.87,55.87,1.6218396E7,1.6218396E7,1.39,2.551,55.40333,"October 13, 22",0.02551
2022-10-12,55.23,56.04,55.04,55.14,55.14,1.8374177E7,1.8374177E7,-0.09,-0.163,55.40667,"October 12, 22",-0.00163
2022-10-11,54.46,55.22,54.24,54.48,54.48,1.4304926E7,1.4304926E7,0.02,0.037,54.64667,"October 11, 22",3.7E-4
2022-10-10,54.6,54.96,54.02,54.39,54.39,1.0238522E7,1.0238522E7,-0.21,-0.385,54.45667,"October 10, 22",-0.00385
2022-10-07,54.99,55.09,54.25,54.51,54.51,1.1478598E7,1.1478598E7,-0.48,-0.873,54.61667,"October 07, 22",-0.00873
2022-10-06,56.0,56.1,54.87,55.03,55.03,1.7180673E7,1.7180673E7,-0.97,-1.732,55.33333,"October 06, 22",-0.01732
2022-10-05,56.5,56.65,55.51,56.24,56.24,1.4324073E7,1.4324073E7,-0.26,-0.46,56.13333,"October 05, 22",-0.0046
2022-10-04,56.95,57.81,56.46,56.78,56.78,1.8860875E7,1.8860875E7,-0.17,-0.299,57.01667,"October 04, 22",-0.00299
2022-10-03,56.36,56.85,56.06,56.65,56.65,1.6276189E7,1.6276189E7,0.29,0.515,56.52,"October 03, 22",0.00515
2022-09-30,56.87,57.13,56.0,56.02,56.02,1.6120612E7,1.6120612E7,-0.85,-1.495,56.38333,"September 30, 22",-0.01495
2022-09-29,57.09,57.29,56.0,56.57,56.57,1.4569174E7,1.4569174E7,-0.52,-0.911,56.62,"September 29, 22",-0.00911
2022-09-28,56.66,57.25,55.91,56.98,56.98,2.1476161E7,2.1476161E7,0.32,0.565,56.71333,"September 28, 22",0.00565
2022-09-27,58.08,58.37,56.31,56.38,56.38,2.3756483E7,2.3756483E7,-1.7,-2.927,57.02,"September 27, 22",-0.02927
2022-09-26,58.4900017,58.5699997,57.6899986,57.8699989,57.8699989,1.86701E7,1.86701E7,-0.62,-1.06,58.04333,"September 26, 22",-0.0106
2022-09-23,58.9599991,59.0999985,58.0,58.5999985,58.5999985,1.48234E7,1.48234E7,-0.36,-0.611,58.56667,"September 23, 22",-0.00611
2022-09-22,59.5499992,59.7299995,59.2000008,59.2599983,59.2599983,1.16576E7,1.16576E7,-0.29,-0.487,59.39667,"September 22, 22",-0.00487
2022-09-21,60.1399994,60.7000008,59.3899994,59.4000015,59.4000015,1.41653E7,1.41653E7,-0.74,-1.23,59.83,"September 21, 22",-0.0123
