date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,6.33,6.525,6.295,6.39,6.39,3934788.0,3934788.0,0.06,0.948,6.40333,"October 25, 22",0.00948
2022-10-24,6.5,6.55,6.31,6.35,6.35,4459822.0,4459822.0,-0.15,-2.308,6.40333,"October 24, 22",-0.02308
2022-10-21,6.32,6.5,6.195,6.48,6.48,7317959.0,7317959.0,0.16,2.532,6.39167,"October 21, 22",0.02532
2022-10-20,6.33,6.49,6.14,6.23,6.23,6781070.0,6781070.0,-0.1,-1.58,6.28667,"October 20, 22",-0.0158
2022-10-19,5.86,6.3,5.8306,6.2,6.2,5363734.0,5363734.0,0.34,5.802,6.1102,"October 19, 22",0.05802
2022-10-18,5.87,5.985,5.68,5.87,5.87,5497133.0,5497133.0,0.0,0.0,5.845,"October 18, 22",0.0
2022-10-17,5.87,5.975,5.78,5.87,5.87,4407679.0,4407679.0,0.0,0.0,5.875,"October 17, 22",0.0
2022-10-14,5.95,6.07,5.68,5.69,5.69,5686851.0,5686851.0,-0.26,-4.37,5.81333,"October 14, 22",-0.0437
2022-10-13,5.6,6.1,5.585,6.08,6.08,5919409.0,5919409.0,0.48,8.571,5.92167,"October 13, 22",0.08571
2022-10-12,5.72,5.8,5.52,5.73,5.73,5305128.0,5305128.0,0.01,0.175,5.68333,"October 12, 22",0.00175
2022-10-11,5.66,5.91,5.44,5.77,5.77,1.0015373E7,1.0015373E7,0.11,1.943,5.70667,"October 11, 22",0.01943
2022-10-10,6.16,6.21,5.82,5.87,5.87,4209732.0,4209732.0,-0.29,-4.708,5.96667,"October 10, 22",-0.04708
2022-10-07,6.3,6.41,6.055,6.13,6.13,5635953.0,5635953.0,-0.17,-2.698,6.19833,"October 07, 22",-0.02698
2022-10-06,6.01,6.34,6.01,6.31,6.31,6160058.0,6160058.0,0.3,4.992,6.22,"October 06, 22",0.04992
