date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,43.83,44.9285,43.75,44.77,44.77,4507549.0,4507549.0,0.94,2.145,44.48283,"October 25, 22",0.02145
2022-10-24,43.73,44.14,42.85,43.99,43.99,4623351.0,4623351.0,0.26,0.595,43.66,"October 24, 22",0.00595
2022-10-21,42.34,43.97,42.15,43.63,43.63,7091433.0,7091433.0,1.29,3.047,43.25,"October 21, 22",0.03047
2022-10-20,42.94,43.09,42.09,42.17,42.17,6084279.0,6084279.0,-0.77,-1.793,42.45,"October 20, 22",-0.01793
2022-10-19,43.28,43.655,42.91,42.94,42.94,7653364.0,7653364.0,-0.34,-0.786,43.16833,"October 19, 22",-0.00786
2022-10-18,42.57,43.315,42.36,43.16,43.16,8710295.0,8710295.0,0.59,1.386,42.945,"October 18, 22",0.01386
2022-10-17,43.31,43.4699,41.815,42.11,42.11,1.0963371E7,1.0963371E7,-1.2,-2.771,42.46497,"October 17, 22",-0.02771
2022-10-14,45.15,46.23,42.36,43.16,43.16,1.8869997E7,1.8869997E7,-1.99,-4.408,43.91667,"October 14, 22",-0.04408
2022-10-13,45.76,48.36,44.78,46.57,46.57,2.6615327E7,2.6615327E7,0.81,1.77,46.57,"October 13, 22",0.0177
2022-10-12,45.79,46.69,45.63,46.04,46.04,7440293.0,7440293.0,0.25,0.546,46.12,"October 12, 22",0.00546
2022-10-11,44.24,45.965,44.09,45.68,45.68,7218307.0,7218307.0,1.44,3.255,45.245,"October 11, 22",0.03255
2022-10-10,43.51,44.34,43.445,44.26,44.26,4155418.0,4155418.0,0.75,1.724,44.015,"October 10, 22",0.01724
2022-10-07,43.66,43.78,42.81,43.0,43.0,5268268.0,5268268.0,-0.66,-1.512,43.19667,"October 07, 22",-0.01512
2022-10-06,44.59,44.84,43.67,43.72,43.72,3767697.0,3767697.0,-0.87,-1.951,44.07667,"October 06, 22",-0.01951
2022-10-05,44.49,44.96,44.02,44.6,44.6,4085062.0,4085062.0,0.11,0.247,44.52667,"October 05, 22",0.00247
2022-10-04,44.16,44.84,44.02,44.7,44.7,4890809.0,4890809.0,0.54,1.223,44.52,"October 04, 22",0.01223
2022-10-03,43.83,44.08,43.29,43.75,43.75,8226084.0,8226084.0,-0.08,-0.183,43.70667,"October 03, 22",-0.00183
2022-09-30,44.78,44.88,43.565,43.75,43.75,3923553.0,3923553.0,-1.03,-2.3,44.065,"September 30, 22",-0.023
2022-09-29,45.21,45.53,44.52,44.68,44.68,3949281.0,3949281.0,-0.53,-1.172,44.91,"September 29, 22",-0.01172
2022-09-28,44.57,45.655,43.81,45.45,45.45,5487798.0,5487798.0,0.88,1.974,44.97167,"September 28, 22",0.01974
2022-09-27,45.18,45.3,44.19,44.29,44.29,4591231.0,4591231.0,-0.89,-1.97,44.59333,"September 27, 22",-0.0197
2022-09-26,44.8,45.28,44.38,45.0,45.0,5784875.0,5784875.0,0.2,0.446,44.88667,"September 26, 22",0.00446
2022-09-23,45.02,45.08,44.11,44.86,44.86,4958465.0,4958465.0,-0.16,-0.355,44.68333,"September 23, 22",-0.00355
2022-09-22,45.11,45.87,45.01,45.5,45.5,5210020.0,5210020.0,0.39,0.865,45.46,"September 22, 22",0.00865
