date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,74.93,79.04,74.755,78.6,78.6,2272663.0,2272663.0,3.67,4.898,77.465,"October 25, 22",0.04898
2022-10-24,73.92,74.73,72.825,74.44,74.44,2073768.0,2073768.0,0.52,0.703,73.99833,"October 24, 22",0.00703
2022-10-21,70.13,73.59,69.97,73.43,73.43,2751580.0,2751580.0,3.3,4.706,72.33,"October 21, 22",0.04706
2022-10-20,72.7,74.08,71.0,71.38,71.38,1767138.0,1767138.0,-1.32,-1.816,72.15333,"October 20, 22",-0.01816
2022-10-19,75.57,75.74,71.9308,72.29,72.29,2370647.0,2370647.0,-3.28,-4.34,73.32027,"October 19, 22",-0.0434
2022-10-18,76.08,77.19,75.55,76.87,76.87,1533442.0,1533442.0,0.79,1.038,76.53667,"October 18, 22",0.01038
2022-10-17,74.77,76.105,74.08,74.49,74.49,1447526.0,1447526.0,-0.28,-0.374,74.89167,"October 17, 22",-0.00374
2022-10-14,76.57,77.31,72.92,73.46,73.46,2070648.0,2070648.0,-3.11,-4.062,74.56333,"October 14, 22",-0.04062
2022-10-13,74.34,76.96,71.12,76.12,76.12,2858591.0,2858591.0,1.78,2.394,74.73333,"October 13, 22",0.02394
2022-10-12,77.7699966,78.0800018,76.0599976,76.5100021,76.5100021,2219200.0,2219200.0,-1.25999,-1.62,76.88333,"October 12, 22",-0.0162
2022-10-11,77.6699982,80.4000015,77.4100037,78.1600037,77.7850037,2496800.0,2496800.0,0.11501,0.148,78.53167,"October 11, 22",0.00148
2022-10-10,78.6999969,79.1699982,77.3399963,78.1800003,77.8049011,1567900.0,1567900.0,-0.8951,-1.137,78.10497,"October 10, 22",-0.01137
2022-10-07,78.7900009,78.9599991,77.3099976,78.1100006,77.7352371,1908200.0,1908200.0,-1.05476,-1.339,78.00174,"October 07, 22",-0.01339
2022-10-06,79.5999985,80.9700012,79.1200027,80.1600037,79.7754059,2473700.0,2473700.0,0.17541,0.22,79.95514,"October 06, 22",0.0022
2022-10-05,79.5,80.4499969,78.8099976,79.8499985,79.4668884,1612900.0,1612900.0,-0.03311,-0.042,79.57563,"October 05, 22",-4.2E-4
2022-10-04,79.8499985,81.3000031,79.6200027,80.9100037,80.5218048,2354300.0,2354300.0,0.67181,0.841,80.4806,"October 04, 22",0.00841
2022-10-03,75.8600006,78.5500031,74.6399994,78.1600037,77.7850037,2976800.0,2976800.0,1.925,2.538,76.99167,"October 03, 22",0.02538
2022-09-30,74.8899994,76.1999969,73.6900024,74.5500031,74.1923218,2575800.0,2575800.0,-0.69768,-0.932,74.69411,"September 30, 22",-0.00932
2022-09-29,75.9700012,76.25,74.4899979,74.9700012,74.6103058,1806000.0,1806000.0,-1.3597,-1.79,75.11677,"September 29, 22",-0.0179
2022-09-28,74.4199982,77.9800034,74.2099991,77.4800034,77.1082611,2823100.0,2823100.0,2.68826,3.612,76.43275,"September 28, 22",0.03612
2022-09-27,74.7300034,75.9400024,72.7699966,73.4700012,73.1175003,2770100.0,2770100.0,-1.6125,-2.158,73.9425,"September 27, 22",-0.02158
2022-09-26,76.2699966,77.1800003,73.5899963,73.6999969,73.3463898,2963600.0,2963600.0,-2.92361,-3.833,74.70546,"September 26, 22",-0.03833
2022-09-23,76.0999985,77.1200027,75.0899963,77.0699997,76.7002258,3497800.0,3497800.0,0.60023,0.789,76.30341,"September 23, 22",0.00789
2022-09-22,76.3099976,78.6900024,76.3000031,77.4300003,77.0585022,4770600.0,4770600.0,0.7485,0.981,77.3495,"September 22, 22",0.00981
2022-09-21,77.4300003,78.8899994,75.7799988,75.9199982,75.5557404,2398400.0,2398400.0,-1.87426,-2.421,76.74191,"September 21, 22",-0.02421
2022-09-20,76.9899979,77.8700027,76.1999969,76.8799973,76.5111389,2066700.0,2066700.0,-0.47886,-0.622,76.86038,"September 20, 22",-0.00622
2022-09-19,76.7799988,78.7099991,76.75,78.4700012,78.0935135,3256500.0,3256500.0,1.31351,1.711,77.85117,"September 19, 22",0.01711
2022-09-16,73.6800003,76.1500015,73.4199982,75.7900009,75.4263687,5339900.0,5339900.0,1.74637,2.37,74.99879,"September 16, 22",0.0237
2022-09-15,73.6299973,75.3099976,73.2300034,73.8199997,73.4658203,2672200.0,2672200.0,-0.16418,-0.223,74.00194,"September 15, 22",-0.00223
2022-09-14,74.4499969,74.8099976,72.4800034,73.4400024,73.0876465,3827500.0,3827500.0,-1.36235,-1.83,73.45922,"September 14, 22",-0.0183
2022-09-13,77.7699966,77.8799973,74.1500015,74.2300034,73.8738556,3646300.0,3646300.0,-3.89614,-5.01,75.30128,"September 13, 22",-0.0501
2022-09-12,80.7099991,81.7300034,80.2200012,80.6100006,80.2232437,1967300.0,1967300.0,-0.48676,-0.603,80.72442,"September 12, 22",-0.00603
2022-09-09,78.6399994,80.2099991,78.3700027,79.8199997,79.4370346,1402000.0,1402000.0,0.79704,1.014,79.33901,"September 09, 22",0.01014
2022-09-08,77.1100006,78.4899979,76.4400024,78.4100037,78.0338058,1598600.0,1598600.0,0.92381,1.198,77.6546,"September 08, 22",0.01198
2022-09-07,76.6100006,78.2099991,76.6100006,77.9000015,77.5262451,1560500.0,1560500.0,0.91624,1.196,77.44875,"September 07, 22",0.01196
2022-09-06,77.8099976,78.0400009,75.8899994,76.5400009,76.1727753,2167300.0,2167300.0,-1.63722,-2.104,76.70093,"September 06, 22",-0.02104
2022-09-02,78.4599991,79.4700012,77.2399979,77.8700027,77.4963913,2384600.0,2384600.0,-0.96361,-1.228,78.0688,"September 02, 22",-0.01228
2022-09-01,76.7699966,77.5,75.0899963,77.4899979,77.1182098,2866700.0,2866700.0,0.34821,0.454,76.5694,"September 01, 22",0.00454
2022-08-31,79.5899963,79.6299973,77.4400024,77.4499969,77.0783997,2244200.0,2244200.0,-2.5116,-3.156,78.04947,"August 31, 22",-0.03156
2022-08-30,80.5299988,80.9899979,78.5699997,78.9199982,78.5413513,2140900.0,2140900.0,-1.98865,-2.469,79.36712,"August 30, 22",-0.02469
2022-08-29,79.5800018,80.9199982,79.0299988,79.9000015,79.516655,1988400.0,1988400.0,-0.06335,-0.08,79.82222,"August 29, 22",-8.0E-4
2022-08-26,84.9499969,85.0999985,79.6900024,80.3300018,79.9445877,3298900.0,3298900.0,-5.00541,-5.892,81.5782,"August 26, 22",-0.05892
2022-08-25,82.1699982,85.1600037,82.1699982,84.9000015,84.4926605,2644700.0,2644700.0,2.32266,2.827,83.94089,"August 25, 22",0.02827
2022-08-24,81.5100021,84.9899979,81.3199997,83.8000031,83.3979416,2073400.0,2073400.0,1.88794,2.316,83.23598,"August 24, 22",0.02316
2022-08-23,82.6500015,83.2399979,82.0899963,82.1100006,81.7160492,1842200.0,1842200.0,-0.93395,-1.13,82.34868,"August 23, 22",-0.0113
2022-08-22,82.4700012,83.0699997,81.8700027,82.25,81.8553772,2385400.0,2385400.0,-0.61462,-0.745,82.26513,"August 22, 22",-0.00745
2022-08-19,84.7600021,85.0,83.1999969,83.8399963,83.4377441,3008400.0,3008400.0,-1.32226,-1.56,83.87925,"August 19, 22",-0.0156
2022-08-18,86.4700012,86.5,85.2200012,85.6500015,85.2390671,1980700.0,1980700.0,-1.23093,-1.424,85.65302,"August 18, 22",-0.01424
2022-08-17,86.75,87.2099991,85.3600006,86.2099991,85.7963715,3445600.0,3445600.0,-0.95363,-1.099,86.12212,"August 17, 22",-0.01099
2022-08-16,87.4400024,88.9700012,86.7099991,88.0699997,87.6474533,2435100.0,2435100.0,0.20745,0.237,87.77582,"August 16, 22",0.00237
2022-08-15,88.0100021,89.0800018,87.4300003,88.0800018,87.657402,2244200.0,2244200.0,-0.3526,-0.401,88.0558,"August 15, 22",-0.00401
2022-08-12,87.1600037,88.3499985,86.7799988,88.2699966,87.846489,2078800.0,2078800.0,0.68649,0.788,87.65883,"August 12, 22",0.00788
2022-08-11,87.9599991,89.3099976,87.3099976,87.7600021,87.3389435,2585900.0,2585900.0,-0.62106,-0.706,87.98631,"August 11, 22",-0.00706
2022-08-10,86.8099976,89.0100021,86.6699982,87.2799988,86.8612366,2346700.0,2346700.0,0.05124,0.059,87.51375,"August 10, 22",5.9E-4
2022-08-09,86.4199982,86.5899963,83.7900009,84.2699966,83.8656769,2396300.0,2396300.0,-2.55432,-2.956,84.74856,"August 09, 22",-0.02956
2022-08-08,85.4000015,87.5100021,85.4000015,86.6699982,86.2541656,1773000.0,1773000.0,0.85416,1.0,86.38806,"August 08, 22",0.01
2022-08-05,83.5699997,85.1999969,83.0400009,84.7300034,84.3234787,2315400.0,2315400.0,0.75348,0.902,84.18783,"August 05, 22",0.00902
2022-08-04,82.5699997,85.6200027,81.9300003,85.4000015,84.9902649,2826500.0,2826500.0,2.42027,2.931,84.18009,"August 04, 22",0.02931
2022-08-03,82.7200012,83.4100037,81.0,82.5599976,82.163887,2736800.0,2736800.0,-0.55611,-0.672,82.1913,"August 03, 22",-0.00672
2022-08-02,83.9400024,84.6999969,81.6100006,82.0,81.606575,3804800.0,3804800.0,-2.33343,-2.78,82.63886,"August 02, 22",-0.0278
2022-08-01,84.9899979,86.3499985,83.7200012,85.2300034,84.8210831,2702500.0,2702500.0,-0.16891,-0.199,84.96369,"August 01, 22",-0.00199
2022-07-29,85.1600037,85.1600037,83.2600021,85.0,84.5921783,2659900.0,2659900.0,-0.56783,-0.667,84.33739,"July 29, 22",-0.00667
2022-07-28,84.0,85.8000031,83.4499969,85.1999969,84.7912216,3183600.0,3183600.0,0.79122,0.942,84.68041,"July 28, 22",0.00942
