date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,62.1,63.78,61.5,63.13,63.13,376600.0,376600.0,1.03,1.659,62.80333,"October 25, 22",0.01659
2022-10-24,61.93,63.4285,60.9,62.12,62.12,452627.0,452627.0,0.19,0.307,62.1495,"October 24, 22",0.00307
2022-10-21,60.56,62.53,59.13,62.53,62.53,800141.0,800141.0,1.97,3.253,61.39667,"October 21, 22",0.03253
2022-10-20,61.94,62.9,58.82,60.07,60.07,808525.0,808525.0,-1.87,-3.019,60.59667,"October 20, 22",-0.03019
2022-10-19,59.82,61.75,57.63,60.75,60.75,1653016.0,1653016.0,0.93,1.555,60.04333,"October 19, 22",0.01555
2022-10-18,65.87,66.66,62.99,64.72,64.72,660427.0,660427.0,-1.15,-1.746,64.79,"October 18, 22",-0.01746
2022-10-17,65.14,66.29,62.86,65.4,65.4,1044780.0,1044780.0,0.26,0.399,64.85,"October 17, 22",0.00399
2022-10-14,69.46,69.48,63.835,63.91,63.91,842159.0,842159.0,-5.55,-7.99,65.74167,"October 14, 22",-0.0799
2022-10-13,68.84,73.3426,68.45,70.06,70.06,1335146.0,1335146.0,1.22,1.772,70.61753,"October 13, 22",0.01772
2022-10-12,70.1,71.57,68.93,70.41,70.41,586121.0,586121.0,0.31,0.442,70.30333,"October 12, 22",0.00442
2022-10-11,72.3,73.64,69.44,70.56,70.56,891876.0,891876.0,-1.74,-2.407,71.21333,"October 11, 22",-0.02407
2022-10-10,76.99,78.91,73.95,74.28,74.28,684064.0,684064.0,-2.71,-3.52,75.71333,"October 10, 22",-0.0352
2022-10-07,77.11,79.92,75.69,77.08,77.08,960537.0,960537.0,-0.03,-0.039,77.56333,"October 07, 22",-3.9E-4
2022-10-06,74.22,78.28,73.9,77.47,77.47,739202.0,739202.0,3.25,4.379,76.55,"October 06, 22",0.04379
2022-10-05,71.85,74.86,69.17,74.75,74.75,839340.0,839340.0,2.9,4.036,72.92667,"October 05, 22",0.04036
2022-10-04,71.0,72.56,69.53,72.56,72.56,760618.0,760618.0,1.56,2.197,71.55,"October 04, 22",0.02197
2022-10-03,66.85,68.29,66.03,67.71,67.71,821714.0,821714.0,0.86,1.286,67.34333,"October 03, 22",0.01286
2022-09-30,62.63,64.57,61.04,62.85,62.85,561327.0,561327.0,0.22,0.351,62.82,"September 30, 22",0.00351
2022-09-29,61.3,63.555,58.71,63.11,63.11,621389.0,621389.0,1.81,2.953,61.79167,"September 29, 22",0.02953
2022-09-28,56.24,62.9,55.3912,62.33,62.33,975795.0,975795.0,6.09,10.829,60.20707,"September 28, 22",0.10829
2022-09-27,54.68,55.85,52.8304,55.15,55.15,683891.0,683891.0,0.47,0.86,54.61013,"September 27, 22",0.0086
2022-09-26,55.5,56.4,52.5,53.08,53.08,976828.0,976828.0,-2.42,-4.36,53.99333,"September 26, 22",-0.0436
2022-09-23,59.5,60.45,54.8,56.3,56.3,1311415.0,1311415.0,-3.2,-5.378,57.18333,"September 23, 22",-0.05378
2022-09-22,65.83,66.59,63.42,63.44,63.44,828035.0,828035.0,-2.39,-3.631,64.48333,"September 22, 22",-0.03631
2022-09-21,67.02,67.72,64.11,64.3,64.3,403502.0,403502.0,-2.72,-4.058,65.37667,"September 21, 22",-0.04058
2022-09-20,66.0,66.4,63.34,65.42,65.42,636106.0,636106.0,-0.58,-0.879,65.05333,"September 20, 22",-0.00879
2022-09-19,64.0,67.96,63.68,66.93,66.93,692887.0,692887.0,2.93,4.578,66.19,"September 19, 22",0.04578
2022-09-16,69.21,69.65,66.31,68.19,68.19,1670325.0,1670325.0,-1.02,-1.474,68.05,"September 16, 22",-0.01474
2022-09-15,72.99,73.35,69.92,70.05,70.05,810989.0,810989.0,-2.94,-4.028,71.10667,"September 15, 22",-0.04028
2022-09-14,73.32,77.0,73.32,75.47,75.47,554321.0,554321.0,2.15,2.932,75.26333,"September 14, 22",0.02932
2022-09-13,72.92,74.815,71.27,71.71,71.71,546013.0,546013.0,-1.21,-1.659,72.59833,"September 13, 22",-0.01659
2022-09-12,75.74,76.64,73.68,74.3,74.3,461026.0,461026.0,-1.44,-1.901,74.87333,"September 12, 22",-0.01901
2022-09-09,73.44,74.43,71.33,74.34,74.34,607339.0,607339.0,0.9,1.225,73.36667,"September 09, 22",0.01225
2022-09-08,70.01,72.62,69.765,70.92,70.92,586290.0,586290.0,0.91,1.3,71.10167,"September 08, 22",0.013
2022-09-07,70.01,70.915,67.595,69.56,69.56,658094.0,658094.0,-0.45,-0.643,69.35667,"September 07, 22",-0.00643
2022-09-06,74.36,75.6,72.58,72.74,72.74,397388.0,397388.0,-1.62,-2.179,73.64,"September 06, 22",-0.02179
2022-09-02,75.19,76.115,72.29,73.4,73.4,511798.0,511798.0,-1.79,-2.381,73.935,"September 02, 22",-0.02381
2022-09-01,75.59,75.89,71.89,71.94,71.94,547593.0,547593.0,-3.65,-4.829,73.24,"September 01, 22",-0.04829
2022-08-31,74.2,80.18,73.51,77.61,77.61,542805.0,542805.0,3.41,4.596,77.1,"August 31, 22",0.04596
2022-08-30,79.75,79.85,74.95,76.32,76.32,598774.0,598774.0,-3.43,-4.301,77.04,"August 30, 22",-0.04301
2022-08-29,78.23,83.22,77.9,81.6,81.6,501847.0,501847.0,3.37,4.308,80.90667,"August 29, 22",0.04308
2022-08-26,80.39,81.5,77.44,79.07,79.07,512948.0,512948.0,-1.32,-1.642,79.33667,"August 26, 22",-0.01642
2022-08-25,79.0,80.93,76.88,80.53,80.53,679108.0,679108.0,1.53,1.937,79.44667,"August 25, 22",0.01937
2022-08-24,77.8,79.71,76.21,78.28,78.28,574629.0,574629.0,0.48,0.617,78.06667,"August 24, 22",0.00617
2022-08-23,75.39,80.25,75.39,76.85,76.85,661015.0,661015.0,1.46,1.937,77.49667,"August 23, 22",0.01937
2022-08-22,72.02,74.17,69.25,73.19,73.19,572152.0,572152.0,1.17,1.625,72.20333,"August 22, 22",0.01625
2022-08-19,74.43,76.03,72.87,73.36,73.36,500034.0,500034.0,-1.07,-1.438,74.08667,"August 19, 22",-0.01438
2022-08-18,70.18,75.92,70.18,75.58,75.58,882622.0,882622.0,5.4,7.694,73.89333,"August 18, 22",0.07694
2022-08-17,65.39,69.5901,65.39,69.26,69.26,820015.0,820015.0,3.87,5.918,68.08003,"August 17, 22",0.05918
2022-08-16,66.92,68.39,64.4654,65.71,65.71,556468.0,556468.0,-1.21,-1.808,66.18847,"August 16, 22",-0.01808
2022-08-15,63.83,67.24,62.35,66.27,66.27,799068.0,799068.0,2.44,3.823,65.28667,"August 15, 22",0.03823
2022-08-12,68.38,69.5302,66.66,68.71,68.71,508667.0,508667.0,0.33,0.483,68.30007,"August 12, 22",0.00483
2022-08-11,67.37,69.69,65.42,68.88,68.88,1031056.0,1031056.0,1.51,2.241,67.99667,"August 11, 22",0.02241
2022-08-10,63.64,65.28,61.75,64.55,64.55,739732.0,739732.0,0.91,1.43,63.86,"August 10, 22",0.0143
2022-08-09,65.86,66.8,62.53,63.64,63.64,927027.0,927027.0,-2.22,-3.371,64.32333,"August 09, 22",-0.03371
2022-08-08,65.81,67.35,63.9,64.38,64.38,1497551.0,1497551.0,-1.43,-2.173,65.21,"August 08, 22",-0.02173
2022-08-05,65.75,71.0,65.054,66.8,66.8,1310926.0,1310926.0,1.05,1.597,67.618,"August 05, 22",0.01597
2022-08-04,75.82,78.401,66.16,66.46,66.46,2264937.0,2264937.0,-9.36,-12.345,70.34033,"August 04, 22",-0.12345
2022-08-03,88.19,88.19,80.17,80.68,80.68,669232.0,669232.0,-7.51,-8.516,83.01333,"August 03, 22",-0.08516
2022-08-02,85.83,88.6699,84.5,86.55,86.55,380551.0,380551.0,0.72,0.839,86.5733,"August 02, 22",0.00839
2022-08-01,85.0,87.35,82.8774,86.44,86.44,384548.0,384548.0,1.44,1.694,85.5558,"August 01, 22",0.01694
2022-07-29,86.66,90.45,85.9,88.67,88.67,575100.0,575100.0,2.01,2.319,88.34,"July 29, 22",0.02319
2022-07-28,85.49,86.8699,81.7,84.3,84.3,453500.0,453500.0,-1.19,-1.392,84.28997,"July 28, 22",-0.01392
2022-07-27,78.68,84.56,77.96,84.36,84.36,518940.0,518940.0,5.68,7.219,82.29333,"July 27, 22",0.07219
2022-07-26,80.66,81.87,76.33,77.83,77.83,431507.0,431507.0,-2.83,-3.509,78.67667,"July 26, 22",-0.03509
2022-07-25,75.91,79.814,75.0201,78.96,78.96,463034.0,463034.0,3.05,4.018,77.93137,"July 25, 22",0.04018
2022-07-22,77.36,79.24,73.87,74.11,74.11,627576.0,627576.0,-3.25,-4.201,75.74,"July 22, 22",-0.04201
2022-07-21,76.15,76.89,72.58,76.72,76.72,513082.0,513082.0,0.57,0.749,75.39667,"July 21, 22",0.00749
2022-07-20,75.37,79.77,73.32,79.6,79.6,513048.0,513048.0,4.23,5.612,77.56333,"July 20, 22",0.05612
2022-07-19,72.04,76.73,71.9,76.51,76.51,617145.0,617145.0,4.47,6.205,75.04667,"July 19, 22",0.06205
2022-07-18,71.33,75.08,71.33,72.07,72.07,596311.0,596311.0,0.74,1.037,72.82667,"July 18, 22",0.01037
2022-07-15,68.35,68.98,65.47,68.49,68.49,533815.0,533815.0,0.14,0.205,67.64667,"July 15, 22",0.00205
2022-07-14,62.56,66.31,61.3,66.23,66.23,808004.0,808004.0,3.67,5.866,64.61333,"July 14, 22",0.05866
2022-07-13,63.84,68.22,63.8,65.95,65.95,628927.0,628927.0,2.11,3.305,65.99,"July 13, 22",0.03305
2022-07-12,62.46,66.74,61.21,65.19,65.19,801379.0,801379.0,2.73,4.371,64.38,"July 12, 22",0.04371
2022-07-11,66.1,67.31,64.0,65.95,65.95,611836.0,611836.0,-0.15,-0.227,65.75333,"July 11, 22",-0.00227
2022-07-08,68.17,68.97,65.61,67.79,67.79,833351.0,833351.0,-0.38,-0.557,67.45667,"July 08, 22",-0.00557
2022-07-07,66.55,69.35,66.45,67.48,67.48,771500.0,771500.0,0.93,1.397,67.76,"July 07, 22",0.01397
2022-07-06,63.39,65.99,60.81,64.03,64.03,1213361.0,1213361.0,0.64,1.01,63.61,"July 06, 22",0.0101
2022-07-05,66.23,66.3,60.79,63.78,63.78,1300774.0,1300774.0,-2.45,-3.699,63.62333,"July 05, 22",-0.03699
2022-07-01,69.37,70.46,65.35,68.89,68.89,778148.0,778148.0,-0.48,-0.692,68.23333,"July 01, 22",-0.00692
2022-06-30,71.0,73.17,67.82,68.94,68.94,974544.0,974544.0,-2.06,-2.901,69.97667,"June 30, 22",-0.02901
2022-06-29,81.9,82.71,72.8,73.85,73.85,709647.0,709647.0,-8.05,-9.829,76.45333,"June 29, 22",-0.09829
2022-06-28,78.5,80.3,76.61,80.15,80.15,733002.0,733002.0,1.65,2.102,79.02,"June 28, 22",0.02102
2022-06-27,73.37,78.5,71.79,76.12,76.12,929632.0,929632.0,2.75,3.748,75.47,"June 27, 22",0.03748
2022-06-24,75.94,77.8,71.94,72.12,72.12,1528209.0,1528209.0,-3.82,-5.03,73.95333,"June 24, 22",-0.0503
2022-06-23,80.12,80.5,71.78,74.27,74.27,931363.0,931363.0,-5.85,-7.302,75.51667,"June 23, 22",-0.07302
2022-06-22,79.31,82.14,78.2801,79.13,79.13,1037127.0,1037127.0,-0.18,-0.227,79.85003,"June 22, 22",-0.00227
2022-06-21,84.6,89.12,83.65,87.5,87.5,839316.0,839316.0,2.9,3.428,86.75667,"June 21, 22",0.03428
2022-06-17,88.88,89.39,79.79,81.47,81.47,1931726.0,1931726.0,-7.41,-8.337,83.55,"June 17, 22",-0.08337
2022-06-16,95.09,96.89,88.49,89.27,89.27,1096955.0,1096955.0,-5.82,-6.121,91.55,"June 16, 22",-0.06121
2022-06-15,103.45,104.21,95.59,98.69,98.69,924787.0,924787.0,-4.76,-4.601,99.49667,"June 15, 22",-0.04601
2022-06-14,108.43,109.07,101.78,104.92,104.92,640724.0,640724.0,-3.51,-3.237,105.25667,"June 14, 22",-0.03237
2022-06-13,106.0,106.9278,98.46,104.09,104.09,1001606.0,1001606.0,-1.91,-1.802,103.15927,"June 13, 22",-0.01802
2022-06-10,113.15,117.16,108.0,112.22,112.22,658203.0,658203.0,-0.93,-0.822,112.46,"June 10, 22",-0.00822
2022-06-09,113.73,118.44,112.35,114.83,114.83,703962.0,703962.0,1.1,0.967,115.20667,"June 09, 22",0.00967
2022-06-08,118.23,120.86,112.18,115.33,115.33,1130305.0,1130305.0,-2.9,-2.453,116.12333,"June 08, 22",-0.02453
2022-06-07,105.35,117.56,105.35,116.32,116.32,1001920.0,1001920.0,10.97,10.413,113.07667,"June 07, 22",0.10413
2022-06-06,107.96,108.98,105.35,106.0,106.0,599618.0,599618.0,-1.96,-1.815,106.77667,"June 06, 22",-0.01815
2022-06-03,100.42,107.8,100.19,107.04,107.04,1151316.0,1151316.0,6.62,6.592,105.01,"June 03, 22",0.06592
2022-06-02,97.59,101.95,96.3,100.98,100.98,1046004.0,1046004.0,3.39,3.474,99.74333,"June 02, 22",0.03474
2022-06-01,88.95,101.93,87.53,100.52,100.52,3760355.0,3760355.0,11.57,13.007,96.66,"June 01, 22",0.13007
2022-05-31,87.19,90.44,81.57,84.17,84.17,1335070.0,1335070.0,-3.02,-3.464,85.39333,"May 31, 22",-0.03464
2022-05-27,76.69,85.7999,75.665,84.95,84.95,993721.0,993721.0,8.26,10.771,82.1383,"May 27, 22",0.10771
2022-05-26,71.77,76.91,71.76,76.52,76.52,710790.0,710790.0,4.75,6.618,75.06333,"May 26, 22",0.06618
2022-05-25,67.9,71.65,67.58,70.75,70.75,534542.0,534542.0,2.85,4.197,69.99333,"May 25, 22",0.04197
2022-05-24,67.09,68.45,64.73,67.01,67.01,423909.0,423909.0,-0.08,-0.119,66.73,"May 24, 22",-0.00119
2022-05-23,63.78,68.88,62.365,68.69,68.69,604181.0,604181.0,4.91,7.698,66.645,"May 23, 22",0.07698
2022-05-20,63.93,64.71,61.06,62.75,62.75,370904.0,370904.0,-1.18,-1.846,62.84,"May 20, 22",-0.01846
2022-05-19,59.66,64.26,59.58,62.93,62.93,481500.0,481500.0,3.27,5.481,62.25667,"May 19, 22",0.05481
2022-05-18,63.59,64.09,59.4,61.07,61.07,552445.0,552445.0,-2.52,-3.963,61.52,"May 18, 22",-0.03963
2022-05-17,62.0,64.09,61.45,63.58,63.58,486215.0,486215.0,1.58,2.548,63.04,"May 17, 22",0.02548
2022-05-16,59.14,62.3,58.85,60.54,60.54,614554.0,614554.0,1.4,2.367,60.56333,"May 16, 22",0.02367
2022-05-13,57.55,59.55,56.76,58.39,58.39,849924.0,849924.0,0.84,1.46,58.23333,"May 13, 22",0.0146
2022-05-12,56.56,57.56,54.09,55.99,55.99,838649.0,838649.0,-0.57,-1.008,55.88,"May 12, 22",-0.01008
2022-05-11,61.2,63.13,57.76,58.06,58.06,925421.0,925421.0,-3.14,-5.131,59.65,"May 11, 22",-0.05131
2022-05-10,60.72,62.25,55.96,60.24,60.24,837555.0,837555.0,-0.48,-0.791,59.48333,"May 10, 22",-0.00791
2022-05-09,66.5,66.56,58.92,59.51,59.51,1167118.0,1167118.0,-6.99,-10.511,61.66333,"May 09, 22",-0.10511
2022-05-06,69.49,71.34,67.92,69.34,69.34,806705.0,806705.0,-0.15,-0.216,69.53333,"May 06, 22",-0.00216
2022-05-05,77.26,77.5,66.05,68.65,68.65,1441261.0,1441261.0,-8.61,-11.144,70.73333,"May 05, 22",-0.11144
2022-05-04,76.31,78.48,72.3,78.0,78.0,831912.0,831912.0,1.69,2.215,76.26,"May 04, 22",0.02215
2022-05-03,70.59,74.14,70.43,73.7,73.7,472139.0,472139.0,3.11,4.406,72.75667,"May 03, 22",0.04406
2022-05-02,69.45,71.03,66.47,70.32,70.32,799302.0,799302.0,0.87,1.253,69.27333,"May 02, 22",0.01253
2022-04-29,75.22,76.4,70.57,71.21,71.21,463132.0,463132.0,-4.01,-5.331,72.72667,"April 29, 22",-0.05331
2022-04-28,73.79,76.05,69.92,75.11,75.11,606745.0,606745.0,1.32,1.789,73.69333,"April 28, 22",0.01789
2022-04-27,73.01,74.25,71.04,73.3,73.3,405825.0,405825.0,0.29,0.397,72.86333,"April 27, 22",0.00397
