date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,19.86,20.03,19.5,19.77,19.77,7343830.0,7343830.0,-0.09,-0.453,19.76667,"October 25, 22",-0.00453
2022-10-24,19.87,19.985,19.36,19.68,19.68,2862520.0,2862520.0,-0.19,-0.956,19.675,"October 24, 22",-0.00956
2022-10-21,19.19,19.885,18.995,19.82,19.82,3132621.0,3132621.0,0.63,3.283,19.56667,"October 21, 22",0.03283
2022-10-20,19.4,19.96,19.23,19.25,19.25,2082145.0,2082145.0,-0.15,-0.773,19.48,"October 20, 22",-0.00773
2022-10-19,19.75,19.81,19.17,19.37,19.37,4266061.0,4266061.0,-0.38,-1.924,19.45,"October 19, 22",-0.01924
2022-10-18,20.27,20.485,19.555,19.83,19.83,2364056.0,2364056.0,-0.44,-2.171,19.95667,"October 18, 22",-0.02171
2022-10-17,20.0,20.13,19.76,19.91,19.91,2089307.0,2089307.0,-0.09,-0.45,19.93333,"October 17, 22",-0.0045
2022-10-14,20.49,20.5466,19.6,19.65,19.65,1205023.0,1205023.0,-0.84,-4.1,19.9322,"October 14, 22",-0.041
2022-10-13,19.19,20.2,19.02,20.11,20.11,2864297.0,2864297.0,0.92,4.794,19.77667,"October 13, 22",0.04794
2022-10-12,19.73,19.805,19.42,19.72,19.72,1490530.0,1490530.0,-0.01,-0.051,19.64833,"October 12, 22",-5.1E-4
2022-10-11,19.36,20.26,19.32,19.77,19.77,2753183.0,2753183.0,0.41,2.118,19.78333,"October 11, 22",0.02118
2022-10-10,19.84,20.03,19.115,19.43,19.43,2051507.0,2051507.0,-0.41,-2.067,19.525,"October 10, 22",-0.02067
2022-10-07,19.19,19.92,19.02,19.84,19.84,3580870.0,3580870.0,0.65,3.387,19.59333,"October 07, 22",0.03387
2022-10-06,19.65,19.94,19.27,19.48,19.48,1891862.0,1891862.0,-0.17,-0.865,19.56333,"October 06, 22",-0.00865
2022-10-05,19.18,19.81,19.125,19.69,19.69,2698513.0,2698513.0,0.51,2.659,19.54167,"October 05, 22",0.02659
2022-10-04,19.54,20.14,18.41,19.64,19.64,8650500.0,8650500.0,0.1,0.512,19.39667,"October 04, 22",0.00512
2022-10-03,19.03,19.335,18.63,19.08,19.08,3153062.0,3153062.0,0.05,0.263,19.015,"October 03, 22",0.00263
2022-09-30,18.78,19.5681,18.49,18.94,18.94,2817599.0,2817599.0,0.16,0.852,18.99937,"September 30, 22",0.00852
2022-09-29,19.24,19.265,18.26,18.75,18.75,3301569.0,3301569.0,-0.49,-2.547,18.75833,"September 29, 22",-0.02547
2022-09-28,19.53,19.71,19.24,19.57,19.57,2727233.0,2727233.0,0.04,0.205,19.50667,"September 28, 22",0.00205
2022-09-27,19.82,20.05,19.16,19.41,19.41,2495603.0,2495603.0,-0.41,-2.069,19.54,"September 27, 22",-0.02069
2022-09-26,19.9,20.265,19.52,19.71,19.71,3884609.0,3884609.0,-0.19,-0.955,19.83167,"September 26, 22",-0.00955
2022-09-23,19.88,19.98,19.37,19.9,19.9,3310169.0,3310169.0,0.02,0.101,19.75,"September 23, 22",0.00101
2022-09-22,20.82,20.935,19.84,20.15,20.15,4843541.0,4843541.0,-0.67,-3.218,20.30833,"September 22, 22",-0.03218
2022-09-21,21.36,21.62,20.9,20.96,20.96,1792154.0,1792154.0,-0.4,-1.873,21.16,"September 21, 22",-0.01873
2022-09-20,21.67,21.67,21.01,21.37,21.37,2030671.0,2030671.0,-0.3,-1.384,21.35,"September 20, 22",-0.01384
2022-09-19,20.52,21.935,20.452,21.78,21.78,3007056.0,3007056.0,1.26,6.14,21.389,"September 19, 22",0.0614
2022-09-16,21.78,21.78,20.83,20.9,20.9,5865593.0,5865593.0,-0.88,-4.04,21.17,"September 16, 22",-0.0404
2022-09-15,22.99,23.13,21.955,22.08,22.08,3239926.0,3239926.0,-0.91,-3.958,22.38833,"September 15, 22",-0.03958
2022-09-14,23.04,23.185,22.605,23.11,23.11,1976877.0,1976877.0,0.07,0.304,22.96667,"September 14, 22",0.00304
2022-09-13,22.77,23.295,22.7,23.04,23.04,2796963.0,2796963.0,0.27,1.186,23.01167,"September 13, 22",0.01186
2022-09-12,23.77,24.2,23.51,23.55,23.55,2553639.0,2553639.0,-0.22,-0.926,23.75333,"September 12, 22",-0.00926
2022-09-09,23.06,23.5899,22.93,23.53,23.53,1898255.0,1898255.0,0.47,2.038,23.34997,"September 09, 22",0.02038
2022-09-08,22.44,22.87,22.11,22.85,22.85,1765296.0,1765296.0,0.41,1.827,22.61,"September 08, 22",0.01827
2022-09-07,22.03,22.66,21.905,22.62,22.62,1376782.0,1376782.0,0.59,2.678,22.395,"September 07, 22",0.02678
2022-09-06,22.16,22.285,21.565,22.13,22.13,1954452.0,1954452.0,-0.03,-0.135,21.99333,"September 06, 22",-0.00135
2022-09-02,22.3,22.655,22.005,22.08,22.08,1127350.0,1127350.0,-0.22,-0.987,22.24667,"September 02, 22",-0.00987
2022-09-01,22.12,22.24,21.7,22.17,22.17,2616115.0,2616115.0,0.05,0.226,22.03667,"September 01, 22",0.00226
2022-08-31,22.45,22.66,22.07,22.12,22.12,1548428.0,1548428.0,-0.33,-1.47,22.28333,"August 31, 22",-0.0147
2022-08-30,22.76,22.79,22.23,22.45,22.45,2005815.0,2005815.0,-0.31,-1.362,22.49,"August 30, 22",-0.01362
2022-08-29,22.72,22.87,22.47,22.59,22.59,1484532.0,1484532.0,-0.13,-0.572,22.64333,"August 29, 22",-0.00572
2022-08-26,23.62,23.84,22.83,22.87,22.87,2518785.0,2518785.0,-0.75,-3.175,23.18,"August 26, 22",-0.03175
2022-08-25,23.65,23.89,23.52,23.73,23.73,1502961.0,1502961.0,0.08,0.338,23.71333,"August 25, 22",0.00338
2022-08-24,23.45,23.65,23.23,23.58,23.58,1721874.0,1721874.0,0.13,0.554,23.48667,"August 24, 22",0.00554
2022-08-23,23.64,23.9749,23.475,23.52,23.52,1289713.0,1289713.0,-0.12,-0.508,23.65663,"August 23, 22",-0.00508
2022-08-22,23.97,24.14,23.41,23.56,23.56,1584835.0,1584835.0,-0.41,-1.71,23.70333,"August 22, 22",-0.0171
2022-08-19,24.31,24.31,23.76,24.21,24.21,1733151.0,1733151.0,-0.1,-0.411,24.09333,"August 19, 22",-0.00411
2022-08-18,23.95,24.375,23.55,24.1,24.1,2291992.0,2291992.0,0.15,0.626,24.00833,"August 18, 22",0.00626
2022-08-17,23.72,23.77,23.2,23.47,23.47,1298031.0,1298031.0,-0.25,-1.054,23.48,"August 17, 22",-0.01054
2022-08-16,23.0,23.885,23.0,23.8,23.8,2735508.0,2735508.0,0.8,3.478,23.56167,"August 16, 22",0.03478
2022-08-15,23.24,23.39,23.11,23.21,23.21,1438386.0,1438386.0,-0.03,-0.129,23.23667,"August 15, 22",-0.00129
2022-08-12,23.29,23.58,23.11,23.54,23.54,1418315.0,1418315.0,0.25,1.073,23.41,"August 12, 22",0.01073
2022-08-11,23.13,23.44,22.965,23.17,23.17,2543855.0,2543855.0,0.04,0.173,23.19167,"August 11, 22",0.00173
2022-08-10,22.96,23.13,22.435,22.87,22.87,2281806.0,2281806.0,-0.09,-0.392,22.81167,"August 10, 22",-0.00392
2022-08-09,22.54,22.64,22.2201,22.55,22.55,3370057.0,3370057.0,0.01,0.044,22.47003,"August 09, 22",4.4E-4
2022-08-08,22.5,22.785,22.225,22.59,22.59,4505226.0,4505226.0,0.09,0.4,22.53333,"August 08, 22",0.004
2022-08-05,22.56,22.715,22.34,22.49,22.49,2449457.0,2449457.0,-0.07,-0.31,22.515,"August 05, 22",-0.0031
2022-08-04,22.57,22.82,22.33,22.81,22.81,3400355.0,3400355.0,0.24,1.063,22.65333,"August 04, 22",0.01063
2022-08-03,23.14,23.28,22.51,22.77,22.77,2873957.0,2873957.0,-0.37,-1.599,22.85333,"August 03, 22",-0.01599
2022-08-02,23.04,23.26,22.93,23.13,23.13,2780205.0,2780205.0,0.09,0.391,23.10667,"August 02, 22",0.00391
2022-08-01,23.19,23.53,22.99,23.16,23.16,2713835.0,2713835.0,-0.03,-0.129,23.22667,"August 01, 22",-0.00129
2022-07-29,23.21,23.31,22.86,23.2,23.2,2287814.0,2287814.0,-0.01,-0.043,23.12333,"July 29, 22",-4.3E-4
2022-07-28,22.98,23.32,22.695,23.29,23.29,4283426.0,4283426.0,0.31,1.349,23.10167,"July 28, 22",0.01349
2022-07-27,22.26,23.02,21.92,22.84,22.84,3914404.0,3914404.0,0.58,2.606,22.59333,"July 27, 22",0.02606
2022-07-26,21.87,22.42,21.61,21.98,21.98,3733295.0,3733295.0,0.11,0.503,22.00333,"July 26, 22",0.00503
2022-07-25,22.41,22.47,21.805,22.15,22.15,3706922.0,3706922.0,-0.26,-1.16,22.14167,"July 25, 22",-0.0116
2022-07-22,23.5,23.8,22.325,22.45,22.45,8479230.0,8479230.0,-1.05,-4.468,22.85833,"July 22, 22",-0.04468
2022-07-21,23.65,24.305,23.02,24.17,24.17,4861016.0,4861016.0,0.52,2.199,23.83167,"July 21, 22",0.02199
2022-07-20,22.77,23.5662,22.72,23.51,23.51,3835581.0,3835581.0,0.74,3.25,23.2654,"July 20, 22",0.0325
2022-07-19,21.81,22.965,21.81,22.58,22.58,3484759.0,3484759.0,0.77,3.53,22.45167,"July 19, 22",0.0353
2022-07-18,21.96,22.05,21.305,21.58,21.58,4503991.0,4503991.0,-0.38,-1.73,21.645,"July 18, 22",-0.0173
2022-07-15,21.78,21.93,20.94,21.63,21.63,2662036.0,2662036.0,-0.15,-0.689,21.5,"July 15, 22",-0.00689
2022-07-14,21.82,21.84,21.285,21.7,21.7,3030543.0,3030543.0,-0.12,-0.55,21.60833,"July 14, 22",-0.0055
2022-07-13,21.81,22.43,21.69,22.15,22.15,2457945.0,2457945.0,0.34,1.559,22.09,"July 13, 22",0.01559
2022-07-12,22.37,22.94,22.05,22.19,22.19,2763717.0,2763717.0,-0.18,-0.805,22.39333,"July 12, 22",-0.00805
2022-07-11,23.6,23.87,22.5,22.54,22.54,2813613.0,2813613.0,-1.06,-4.492,22.97,"July 11, 22",-0.04492
2022-07-08,22.99,23.08,22.52,22.76,22.76,1701502.0,1701502.0,-0.23,-1.0,22.78667,"July 08, 22",-0.01
2022-07-07,22.42,23.17,22.37,23.04,23.04,1671643.0,1671643.0,0.62,2.765,22.86,"July 07, 22",0.02765
