date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,83.52,84.7,83.46,84.5,84.5,5142029.0,5142029.0,0.98,1.173,84.22,"October 25, 22",0.01173
2022-10-24,84.13,84.46,83.065,83.88,83.88,5532029.0,5532029.0,-0.25,-0.297,83.80167,"October 24, 22",-0.00297
2022-10-21,82.25,83.525,80.99,83.26,83.26,5973102.0,5973102.0,1.01,1.228,82.59167,"October 21, 22",0.01228
2022-10-20,83.71,84.01,82.2,82.45,82.45,4043006.0,4043006.0,-1.26,-1.505,82.88667,"October 20, 22",-0.01505
2022-10-19,83.8,84.17,82.07,83.66,83.66,5469089.0,5469089.0,-0.14,-0.167,83.3,"October 19, 22",-0.00167
2022-10-18,84.88,85.13,83.5,84.1,84.1,6914187.0,6914187.0,-0.78,-0.919,84.24333,"October 18, 22",-0.00919
2022-10-17,82.8,83.58,82.34,82.76,82.76,9022555.0,9022555.0,-0.04,-0.048,82.89333,"October 17, 22",-4.8E-4
2022-10-14,84.11,84.7,81.34,81.61,81.61,5500313.0,5500313.0,-2.5,-2.972,82.55,"October 14, 22",-0.02972
2022-10-13,80.0,84.21,79.44,83.5,83.5,5941688.0,5941688.0,3.5,4.375,82.38333,"October 13, 22",0.04375
2022-10-12,81.65,82.02,80.3,80.31,80.31,6152798.0,6152798.0,-1.34,-1.641,80.87667,"October 12, 22",-0.01641
2022-10-11,82.03,82.88,81.0,81.89,81.89,5410481.0,5410481.0,-0.14,-0.171,81.92333,"October 11, 22",-0.00171
2022-10-10,82.89,83.06,81.56,81.84,81.84,3380829.0,3380829.0,-1.05,-1.267,82.15333,"October 10, 22",-0.01267
2022-10-07,83.91,84.04,82.01,82.42,82.42,4268181.0,4268181.0,-1.49,-1.776,82.82333,"October 07, 22",-0.01776
2022-10-06,84.75,85.05,83.83,84.42,84.42,5471615.0,5471615.0,-0.33,-0.389,84.43333,"October 06, 22",-0.00389
2022-10-05,83.69,85.37,83.58,85.05,85.05,3891013.0,3891013.0,1.36,1.625,84.66667,"October 05, 22",0.01625
2022-10-04,83.65,84.86,83.38,84.5,84.5,4872778.0,4872778.0,0.85,1.016,84.24667,"October 04, 22",0.01016
2022-10-03,81.5,83.24,81.21,82.7,82.7,5871553.0,5871553.0,1.2,1.472,82.38333,"October 03, 22",0.01472
2022-09-30,82.5999985,83.5500031,80.6900024,80.75,80.75,5972300.0,5972300.0,-1.85,-2.24,81.66334,"September 30, 22",-0.0224
