date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,5.86,5.94,5.86,5.91,5.91,448623.0,448623.0,0.05,0.853,5.90333,"October 25, 22",0.00853
2022-10-24,5.78,5.865,5.78,5.84,5.84,301554.0,301554.0,0.06,1.038,5.82833,"October 24, 22",0.01038
2022-10-21,5.71,5.85,5.705,5.83,5.83,426942.0,426942.0,0.12,2.102,5.795,"October 21, 22",0.02102
2022-10-20,5.78,5.815,5.64,5.76,5.76,584449.0,584449.0,-0.02,-0.346,5.73833,"October 20, 22",-0.00346
2022-10-19,5.8000002,5.8049998,5.711,5.79,5.79,547200.0,547200.0,-0.01,-0.172,5.76867,"October 19, 22",-0.00172
2022-10-18,5.8400002,5.8699999,5.8099999,5.8600001,5.8600001,334600.0,334600.0,0.02,0.342,5.84667,"October 18, 22",0.00342
2022-10-17,5.8400002,5.915,5.8400002,5.8699999,5.8699999,173500.0,173500.0,0.03,0.514,5.875,"October 17, 22",0.00514
2022-10-14,5.79,5.8150001,5.75,5.77,5.77,194500.0,194500.0,-0.02,-0.345,5.77833,"October 14, 22",-0.00345
2022-10-13,5.77,5.9050002,5.75,5.8400002,5.8400002,305200.0,305200.0,0.07,1.213,5.83167,"October 13, 22",0.01213
2022-10-12,5.6900001,5.7800002,5.6849999,5.75,5.75,144600.0,144600.0,0.06,1.054,5.73833,"October 12, 22",0.01054
2022-10-11,5.6999998,5.77,5.6799998,5.6900001,5.6900001,287800.0,287800.0,-0.01,-0.175,5.71333,"October 11, 22",-0.00175
2022-10-10,5.6999998,5.7649999,5.6799998,5.73,5.73,304000.0,304000.0,0.03,0.526,5.725,"October 10, 22",0.00526
2022-10-07,5.7399998,5.7649999,5.6999998,5.7399998,5.7399998,187100.0,187100.0,0.0,0.0,5.735,"October 07, 22",0.0
2022-10-06,5.8099999,5.8249998,5.7649999,5.79,5.79,192300.0,192300.0,-0.02,-0.344,5.79333,"October 06, 22",-0.00344
