date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,45.33,45.83,45.11,45.74,45.74,7905874.0,7905874.0,0.41,0.904,45.56,"October 25, 22",0.00904
2022-10-24,44.85,45.47,44.835,45.41,45.41,8429292.0,8429292.0,0.56,1.249,45.23833,"October 24, 22",0.01249
2022-10-21,43.5,44.53,43.39,44.48,44.48,7471484.0,7471484.0,0.98,2.253,44.13333,"October 21, 22",0.02253
2022-10-20,44.88,44.95,43.52,43.56,43.56,9709988.0,9709988.0,-1.32,-2.941,44.01,"October 20, 22",-0.02941
2022-10-19,44.88,45.02,44.43,44.67,44.67,5930453.0,5930453.0,-0.21,-0.468,44.70667,"October 19, 22",-0.00468
2022-10-18,45.19,45.41,44.59,44.77,44.77,7176443.0,7176443.0,-0.42,-0.929,44.92333,"October 18, 22",-0.00929
2022-10-17,45.55,45.79,44.405,44.59,44.59,7872616.0,7872616.0,-0.96,-2.108,44.92833,"October 17, 22",-0.02108
2022-10-14,46.0,46.59,45.1925,45.23,45.23,1.1229268E7,1.1229268E7,-0.77,-1.674,45.67083,"October 14, 22",-0.01674
2022-10-13,44.67,45.96,44.37,45.89,45.89,1.1909738E7,1.1909738E7,1.22,2.731,45.40667,"October 13, 22",0.02731
2022-10-12,44.32,45.3,44.26,44.75,44.75,1.0795797E7,1.0795797E7,0.43,0.97,44.77,"October 12, 22",0.0097
2022-10-11,44.22,45.08,43.95,44.35,44.35,1.456654E7,1.456654E7,0.13,0.294,44.46,"October 11, 22",0.00294
2022-10-10,43.02,43.75,43.01,43.46,43.46,1.1408775E7,1.1408775E7,0.44,1.023,43.40667,"October 10, 22",0.01023
2022-10-07,42.93,43.33,42.33,42.82,42.82,1.0524578E7,1.0524578E7,-0.11,-0.256,42.82667,"October 07, 22",-0.00256
2022-10-06,42.81,43.09,42.52,42.99,42.99,1.1155374E7,1.1155374E7,0.18,0.42,42.86667,"October 06, 22",0.0042
2022-10-05,42.28,43.18,42.175,42.9,42.9,6536186.0,6536186.0,0.62,1.466,42.75167,"October 05, 22",0.01466
2022-10-04,41.68,42.53,41.55,42.5,42.5,8394034.0,8394034.0,0.82,1.967,42.19333,"October 04, 22",0.01967
2022-10-03,40.8499985,41.5699997,40.7400017,41.3699989,41.3699989,9322200.0,9322200.0,0.52,1.273,41.22667,"October 03, 22",0.01273
2022-09-30,41.3899994,41.4900017,40.3499985,40.3800011,40.3800011,9112300.0,9112300.0,-1.01,-2.44,40.74,"September 30, 22",-0.0244
2022-09-29,41.2599983,41.3499985,40.9199982,41.1699982,41.1699982,5834700.0,5834700.0,-0.09,-0.218,41.14666,"September 29, 22",-0.00218
