date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,110.74,111.84,109.63,111.44,111.44,3138766.0,3138766.0,0.7,0.632,110.97,"October 25, 22",0.00632
2022-10-24,111.53,112.3,110.32,111.46,111.46,2634156.0,2634156.0,-0.07,-0.063,111.36,"October 24, 22",-6.3E-4
2022-10-21,109.82,111.62,107.73,111.38,111.38,3069699.0,3069699.0,1.56,1.421,110.24333,"October 21, 22",0.01421
2022-10-20,109.59,111.61,108.61,109.34,109.34,2732834.0,2732834.0,-0.25,-0.228,109.85333,"October 20, 22",-0.00228
2022-10-19,108.21,110.17,107.55,108.87,108.87,3627532.0,3627532.0,0.66,0.61,108.86333,"October 19, 22",0.0061
2022-10-18,106.92,108.62,106.09,108.16,108.16,2752451.0,2752451.0,1.24,1.16,107.62333,"October 18, 22",0.0116
2022-10-17,105.96,107.61,104.81,105.37,105.37,2340772.0,2340772.0,-0.59,-0.557,105.93,"October 17, 22",-0.00557
2022-10-14,108.41,109.91,103.68,104.1,104.1,3055617.0,3055617.0,-4.31,-3.976,105.89667,"October 14, 22",-0.03976
2022-10-13,103.79,110.2,103.33,109.07,109.07,3178342.0,3178342.0,5.28,5.087,107.53333,"October 13, 22",0.05087
2022-10-12,103.06,105.85,101.64,104.96,104.96,3049899.0,3049899.0,1.9,1.844,104.15,"October 12, 22",0.01844
2022-10-11,104.39,105.31,102.61,103.43,103.43,3023652.0,3023652.0,-0.96,-0.92,103.78333,"October 11, 22",-0.0092
2022-10-10,107.38,108.63,105.09,106.06,106.06,2750135.0,2750135.0,-1.32,-1.229,106.59333,"October 10, 22",-0.01229
2022-10-07,108.26,109.02,105.71,106.84,106.84,3114927.0,3114927.0,-1.42,-1.312,107.19,"October 07, 22",-0.01312
2022-10-06,106.92,108.39,106.21,107.86,107.86,2396518.0,2396518.0,0.94,0.879,107.48667,"October 06, 22",0.00879
2022-10-05,107.27,108.54,104.81,107.58,107.58,4492848.0,4492848.0,0.31,0.289,106.97667,"October 05, 22",0.00289
2022-10-04,104.6,107.8,104.05,107.72,107.72,5008230.0,5008230.0,3.12,2.983,106.52333,"October 04, 22",0.02983
