date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,96.86,98.29,96.35,97.71,97.71,8740345.0,8740345.0,0.85,0.878,97.45,"October 25, 22",0.00878
2022-10-24,96.45,98.42,96.27,97.37,97.37,1.1409118E7,1.1409118E7,0.92,0.954,97.35333,"October 24, 22",0.00954
2022-10-21,92.84,95.96,92.64,95.67,95.67,1.0294434E7,1.0294434E7,2.83,3.048,94.75667,"October 21, 22",0.03048
2022-10-20,93.2,93.4,92.36,92.94,92.94,7626457.0,7626457.0,-0.26,-0.279,92.9,"October 20, 22",-0.00279
2022-10-19,94.91,94.91,93.1,93.26,93.26,8546393.0,8546393.0,-1.65,-1.738,93.75667,"October 19, 22",-0.01738
2022-10-18,94.42,95.32,94.02,94.61,94.61,9529834.0,9529834.0,0.19,0.201,94.65,"October 18, 22",0.00201
2022-10-17,92.84,94.37,92.45,94.12,94.12,1.214015E7,1.214015E7,1.28,1.379,93.64667,"October 17, 22",0.01379
2022-10-14,92.27,93.36,91.74,92.18,92.18,9847992.0,9847992.0,-0.09,-0.098,92.42667,"October 14, 22",-9.8E-4
2022-10-13,89.5,92.72,89.27,92.49,92.49,9382306.0,9382306.0,2.99,3.341,91.49333,"October 13, 22",0.03341
2022-10-12,91.25,91.72,90.37,90.42,90.42,8521339.0,8521339.0,-0.83,-0.91,90.83667,"October 12, 22",-0.0091
2022-10-11,90.43,91.98,90.2,91.05,91.05,9743970.0,9743970.0,0.62,0.686,91.07667,"October 11, 22",0.00686
2022-10-10,89.93,91.59,89.71,90.48,90.48,1.4484228E7,1.4484228E7,0.55,0.612,90.59333,"October 10, 22",0.00612
2022-10-07,87.88,88.3,87.12,87.6,87.6,8837196.0,8837196.0,-0.28,-0.319,87.67333,"October 07, 22",-0.00319
2022-10-06,87.76,88.01,87.23,87.44,87.44,8055364.0,8055364.0,-0.32,-0.365,87.56,"October 06, 22",-0.00365
2022-10-05,88.58,88.78,88.02,88.39,88.39,6065704.0,6065704.0,-0.19,-0.214,88.39667,"October 05, 22",-0.00214
2022-10-04,87.54,88.65,87.0,88.39,88.39,7372543.0,7372543.0,0.85,0.971,88.01333,"October 04, 22",0.00971
2022-10-03,86.72,87.9,86.02,87.55,87.55,9187135.0,9187135.0,0.83,0.957,87.15667,"October 03, 22",0.00957
2022-09-30,87.25,87.62,86.1,86.12,86.12,9035927.0,9035927.0,-1.13,-1.295,86.61333,"September 30, 22",-0.01295
2022-09-29,87.0,87.42,86.23,86.64,86.64,6601645.0,6601645.0,-0.36,-0.414,86.76333,"September 29, 22",-0.00414
2022-09-28,86.99,87.25,86.2,86.78,86.78,6840141.0,6840141.0,-0.21,-0.241,86.74333,"September 28, 22",-0.00241
2022-09-27,86.82,87.63,85.67,85.84,85.84,6530951.0,6530951.0,-0.98,-1.129,86.38,"September 27, 22",-0.01129
2022-09-26,86.1200027,86.7099991,85.2900009,86.1800003,86.1800003,8841000.0,8841000.0,0.06,0.07,86.06,"September 26, 22",7.0E-4
2022-09-23,87.4000015,88.0100021,86.0899963,86.7799988,86.7799988,9037800.0,9037800.0,-0.62,-0.709,86.96,"September 23, 22",-0.00709
2022-09-22,84.5500031,88.1500015,84.5500031,87.5100021,87.5100021,1.23297E7,1.23297E7,2.96,3.501,86.73667,"September 22, 22",0.03501
2022-09-21,86.25,86.5,84.5199966,84.5299988,84.5299988,7190800.0,7190800.0,-1.72,-1.994,85.18333,"September 21, 22",-0.01994
2022-09-20,86.0699997,86.4499969,85.5899963,86.0,86.0,5454800.0,5454800.0,-0.07,-0.081,86.01333,"September 20, 22",-8.1E-4
2022-09-19,86.8499985,86.9400024,85.6399994,86.6399994,86.6399994,7748600.0,7748600.0,-0.21,-0.242,86.40667,"September 19, 22",-0.00242
