date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,29.32,29.74,29.12,29.65,29.65,9477902.0,9477902.0,0.33,1.126,29.50333,"October 25, 22",0.01126
2022-10-24,29.18,29.7,28.91,29.47,29.47,9393024.0,9393024.0,0.29,0.994,29.36,"October 24, 22",0.00994
2022-10-21,28.5,29.16,28.32,29.15,29.15,1.2491423E7,1.2491423E7,0.65,2.281,28.87667,"October 21, 22",0.02281
2022-10-20,28.7,29.18,28.1,28.23,28.23,1.1272663E7,1.1272663E7,-0.47,-1.638,28.50333,"October 20, 22",-0.01638
2022-10-19,27.57,28.68,27.37,28.35,28.35,1.1942803E7,1.1942803E7,0.78,2.829,28.13333,"October 19, 22",0.02829
2022-10-18,27.5,27.89,26.82,27.56,27.56,1.2616853E7,1.2616853E7,0.06,0.218,27.42333,"October 18, 22",0.00218
2022-10-17,27.63,28.13,26.85,27.14,27.14,1.5529413E7,1.5529413E7,-0.49,-1.773,27.37333,"October 17, 22",-0.01773
2022-10-14,27.91,28.53,27.0,27.05,27.05,1.1164632E7,1.1164632E7,-0.86,-3.081,27.52667,"October 14, 22",-0.03081
2022-10-13,26.94,28.63,26.91,28.33,28.33,1.2551997E7,1.2551997E7,1.39,5.16,27.95667,"October 13, 22",0.0516
2022-10-12,26.9,27.67,26.58,27.44,27.44,1.051165E7,1.051165E7,0.54,2.007,27.23,"October 12, 22",0.02007
2022-10-11,26.74,27.7,26.56,27.04,27.04,1.14517E7,1.14517E7,0.3,1.122,27.1,"October 11, 22",0.01122
2022-10-10,27.88,28.62,27.24,27.52,27.52,1.4810659E7,1.4810659E7,-0.36,-1.291,27.79333,"October 10, 22",-0.01291
2022-10-07,28.3,28.91,27.63,27.94,27.94,1.8551905E7,1.8551905E7,-0.36,-1.272,28.16,"October 07, 22",-0.01272
2022-10-06,26.92,28.33,26.79,28.25,28.25,1.6772429E7,1.6772429E7,1.33,4.941,27.79,"October 06, 22",0.04941
2022-10-05,26.52,27.34,26.12,27.19,27.19,1.6416429E7,1.6416429E7,0.67,2.526,26.88333,"October 05, 22",0.02526
2022-10-04,25.69,26.5,25.36,26.5,26.5,1.4078741E7,1.4078741E7,0.81,3.153,26.12,"October 04, 22",0.03153
2022-10-03,23.8,25.08,23.67,24.97,24.97,1.6464872E7,1.6464872E7,1.17,4.916,24.57333,"October 03, 22",0.04916
2022-09-30,22.43,22.98,22.2,22.58,22.58,1.4470758E7,1.4470758E7,0.15,0.669,22.58667,"September 30, 22",0.00669
2022-09-29,22.41,22.9,21.86,22.8,22.8,1.4297654E7,1.4297654E7,0.39,1.74,22.52,"September 29, 22",0.0174
2022-09-28,21.63,22.76,21.46,22.67,22.67,1.6697052E7,1.6697052E7,1.04,4.808,22.29667,"September 28, 22",0.04808
2022-09-27,21.53,21.84,21.09,21.39,21.39,1.3288591E7,1.3288591E7,-0.14,-0.65,21.44,"September 27, 22",-0.0065
2022-09-26,21.65,21.98,21.07,21.09,21.09,1.4368954E7,1.4368954E7,-0.56,-2.587,21.38,"September 26, 22",-0.02587
2022-09-23,23.35,23.35,21.62,21.9,21.9,1.5953449E7,1.5953449E7,-1.45,-6.21,22.29,"September 23, 22",-0.0621
2022-09-22,25.71,25.88,24.57,24.59,24.59,1.0431282E7,1.0431282E7,-1.12,-4.356,25.01333,"September 22, 22",-0.04356
2022-09-21,26.33,26.5,25.17,25.18,25.18,1.1018518E7,1.1018518E7,-1.15,-4.368,25.61667,"September 21, 22",-0.04368
2022-09-20,25.73,25.92,25.1,25.76,25.76,1.0145963E7,1.0145963E7,0.03,0.117,25.59333,"September 20, 22",0.00117
2022-09-19,25.31,26.09,25.22,25.93,25.93,9635741.0,9635741.0,0.62,2.45,25.74667,"September 19, 22",0.0245
2022-09-16,26.68,26.77,25.63,26.22,26.22,2.5446258E7,2.5446258E7,-0.46,-1.724,26.20667,"September 16, 22",-0.01724
2022-09-15,26.64,27.18,26.54,26.8,26.8,1.5241513E7,1.5241513E7,0.16,0.601,26.84,"September 15, 22",0.00601
2022-09-14,26.91,27.92,26.87,27.36,27.36,1.535862E7,1.535862E7,0.45,1.672,27.38333,"September 14, 22",0.01672
2022-09-13,26.75,27.42,26.3793,26.49,26.49,1.3645178E7,1.3645178E7,-0.26,-0.972,26.7631,"September 13, 22",-0.00972
2022-09-12,26.76,27.5,26.53,27.2,27.2,1.3266275E7,1.3266275E7,0.44,1.644,27.07667,"September 12, 22",0.01644
2022-09-09,26.11,26.6,25.93,26.35,26.35,1.2225241E7,1.2225241E7,0.24,0.919,26.29333,"September 09, 22",0.00919
2022-09-08,25.23,25.81,25.0,25.61,25.61,1.4229049E7,1.4229049E7,0.38,1.506,25.47333,"September 08, 22",0.01506
2022-09-07,24.74,25.35,24.41,24.92,24.92,1.3215627E7,1.3215627E7,0.18,0.728,24.89333,"September 07, 22",0.00728
2022-09-06,25.91,26.23,25.38,25.52,25.52,1.28585E7,1.28585E7,-0.39,-1.505,25.71,"September 06, 22",-0.01505
2022-09-02,25.72,26.0,25.4,25.71,25.71,1.2716148E7,1.2716148E7,-0.01,-0.039,25.70333,"September 02, 22",-3.9E-4
2022-09-01,25.09,25.27,24.44,24.92,24.92,1.4877446E7,1.4877446E7,-0.17,-0.678,24.87667,"September 01, 22",-0.00678
2022-08-31,24.88,26.06,24.7,25.59,25.59,1.5624156E7,1.5624156E7,0.71,2.854,25.45,"August 31, 22",0.02854
2022-08-30,26.15,26.15,25.21,25.58,25.58,1.3102819E7,1.3102819E7,-0.57,-2.18,25.64667,"August 30, 22",-0.0218
