date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,38.62,41.39,38.53,40.61,40.61,1.2594041E7,1.2594041E7,1.99,5.153,40.17667,"October 25, 22",0.05153
2022-10-24,39.73,39.74,36.905,38.39,38.39,1.3355721E7,1.3355721E7,-1.34,-3.373,38.345,"October 24, 22",-0.03373
2022-10-21,37.66,39.615,37.57,39.54,39.54,9675462.0,9675462.0,1.88,4.992,38.90833,"October 21, 22",0.04992
2022-10-20,38.39,39.92,37.87,38.07,38.07,1.0035621E7,1.0035621E7,-0.32,-0.834,38.62,"October 20, 22",-0.00834
2022-10-19,37.37,38.62,37.1,38.1,38.1,8269781.0,8269781.0,0.73,1.953,37.94,"October 19, 22",0.01953
2022-10-18,39.28,39.77,36.98,37.74,37.74,1.1748492E7,1.1748492E7,-1.54,-3.921,38.16333,"October 18, 22",-0.03921
2022-10-17,38.36,39.235,37.6,37.87,37.87,1.1758008E7,1.1758008E7,-0.49,-1.277,38.235,"October 17, 22",-0.01277
2022-10-14,39.94,40.09,36.94,37.01,37.01,1.3041031E7,1.3041031E7,-2.93,-7.336,38.01333,"October 14, 22",-0.07336
2022-10-13,35.99,40.06,35.3,39.13,39.13,1.8385355E7,1.8385355E7,3.14,8.725,38.16333,"October 13, 22",0.08725
2022-10-12,38.3,38.56,37.41,37.98,37.98,1.2697713E7,1.2697713E7,-0.32,-0.836,37.98333,"October 12, 22",-0.00836
2022-10-11,40.0,40.11,38.0,38.66,38.66,1.7719737E7,1.7719737E7,-1.34,-3.35,38.92333,"October 11, 22",-0.0335
2022-10-10,41.93,42.15,39.2,40.3,40.3,1.2934244E7,1.2934244E7,-1.63,-3.887,40.55,"October 10, 22",-0.03887
2022-10-07,46.1599998,46.3899994,42.2299995,42.3499985,42.3499985,1.80259E7,1.80259E7,-3.81,-8.254,43.65667,"October 07, 22",-0.08254
2022-10-06,48.3100014,49.2999992,47.6399994,47.9599991,47.9599991,1.25864E7,1.25864E7,-0.35,-0.724,48.3,"October 06, 22",-0.00724
2022-10-05,45.9099998,49.0800018,45.5699997,48.3600006,48.3000031,1.51679E7,1.51679E7,2.39,5.206,47.65,"October 05, 22",0.05206
2022-10-04,46.1599998,47.2099991,46.0800018,47.0400009,46.9816399,9763200.0,9763200.0,0.82164,1.78,46.75721,"October 04, 22",0.0178
2022-10-03,43.6100006,45.0699997,43.4799995,44.5,44.4447899,9859700.0,9859700.0,0.83479,1.914,44.3316,"October 03, 22",0.01914
2022-09-30,42.3699989,44.8499985,42.2799988,42.9099998,42.8567619,1.11209E7,1.11209E7,0.48676,1.149,43.32892,"September 30, 22",0.01149
2022-09-29,43.5699997,43.9199982,42.1100006,42.8699989,42.8168106,9648900.0,9648900.0,-0.75319,-1.729,42.94894,"September 29, 22",-0.01729
2022-09-28,42.6699982,44.8499985,42.6399994,44.5499992,44.4947281,9736100.0,9736100.0,1.82473,4.276,43.99491,"September 28, 22",0.04276
2022-09-27,43.4700012,44.0900002,42.5699997,43.4000015,43.3461571,1.0397E7,1.0397E7,-0.12384,-0.285,43.33539,"September 27, 22",-0.00285
2022-09-26,43.2700005,44.3300018,42.5200005,42.6100006,42.5571365,8920800.0,8920800.0,-0.71286,-1.647,43.13571,"September 26, 22",-0.01647
2022-09-23,42.8800011,43.4300003,42.3100014,43.2900009,43.2362938,1.13339E7,1.13339E7,0.35629,0.831,42.9921,"September 23, 22",0.00831
2022-09-22,45.4300003,45.5200005,43.3699989,43.5200005,43.4660072,1.20844E7,1.20844E7,-1.96399,-4.323,44.11867,"September 22, 22",-0.04323
