date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,78.61,80.67,78.61,80.51,80.51,6951211.0,6951211.0,1.9,2.417,79.93,"October 25, 22",0.02417
2022-10-24,79.53,81.1,78.57,79.43,79.43,8143395.0,8143395.0,-0.1,-0.126,79.7,"October 24, 22",-0.00126
2022-10-21,76.61,79.53,76.22,79.22,79.22,8149037.0,8149037.0,2.61,3.407,78.32333,"October 21, 22",0.03407
2022-10-20,77.6299973,78.5400009,76.1399994,76.5999985,76.5999985,7638100.0,7638100.0,-1.03,-1.327,77.09333,"October 20, 22",-0.01327
2022-10-19,79.1500015,79.5899963,77.3700027,77.6399994,77.6399994,7429600.0,7429600.0,-1.51,-1.908,78.2,"October 19, 22",-0.01908
2022-10-18,79.8000031,80.5899963,78.3799973,79.4400024,79.4400024,9767800.0,9767800.0,-0.36,-0.451,79.47,"October 18, 22",-0.00451
2022-10-17,76.8099976,78.2399979,76.3300018,77.1399994,77.1399994,1.14124E7,1.14124E7,0.33,0.43,77.23667,"October 17, 22",0.0043
2022-10-14,77.2300034,79.0599976,74.8300018,75.3000031,75.3000031,1.36585E7,1.36585E7,-1.93,-2.499,76.39667,"October 14, 22",-0.02499
2022-10-13,74.9800034,79.6600037,74.6699982,79.3199997,79.3199997,1.18115E7,1.18115E7,4.34,5.788,77.88333,"October 13, 22",0.05788
2022-10-12,76.9899979,77.8000031,76.3300018,76.5999985,76.5999985,6411600.0,6411600.0,-0.39,-0.507,76.91,"October 12, 22",-0.00507
2022-10-11,77.9199982,78.4100037,76.5400009,77.0,77.0,6271100.0,6271100.0,-0.92,-1.181,77.31667,"October 11, 22",-0.01181
2022-10-10,79.4400024,79.7200012,77.8199997,78.4100037,78.4100037,5418000.0,5418000.0,-1.03,-1.297,78.65,"October 10, 22",-0.01297
2022-10-07,80.6999969,80.7900009,78.3799973,78.9300003,78.9300003,7179900.0,7179900.0,-1.77,-2.193,79.36667,"October 07, 22",-0.02193
2022-10-06,82.4499969,83.1900024,81.1299973,81.3099976,81.3099976,6434800.0,6434800.0,-1.14,-1.383,81.87667,"October 06, 22",-0.01383
2022-10-05,82.0299988,83.5899963,81.3799973,83.1100006,83.1100006,5956500.0,5956500.0,1.08,1.317,82.69333,"October 05, 22",0.01317
2022-10-04,82.1999969,84.7399979,81.8000031,83.9700012,83.9700012,7875000.0,7875000.0,1.77,2.153,83.50333,"October 04, 22",0.02153
2022-10-03,80.0500031,80.9800034,78.3199997,80.3799973,80.3799973,8169200.0,8169200.0,0.32999,0.412,79.89333,"October 03, 22",0.00412
2022-09-30,79.7699966,81.1600037,78.8600006,79.0100021,79.0100021,8090300.0,8090300.0,-0.75999,-0.953,79.67667,"September 30, 22",-0.00953
2022-09-29,80.8000031,81.0299988,79.0299988,79.8600006,79.8600006,5892700.0,5892700.0,-0.94,-1.163,79.97333,"September 29, 22",-0.01163
2022-09-28,79.7600021,81.8899994,79.6900024,81.4700012,81.4700012,6693500.0,6693500.0,1.71,2.144,81.01667,"September 28, 22",0.02144
2022-09-27,80.6999969,80.8499985,78.3499985,79.4800034,79.4800034,6855400.0,6855400.0,-1.21999,-1.512,79.56,"September 27, 22",-0.01512
2022-09-26,80.9199982,81.6600037,79.0100021,79.7600021,79.7600021,8496000.0,8496000.0,-1.16,-1.434,80.14334,"September 26, 22",-0.01434
2022-09-23,83.2799988,83.6900024,80.2200012,81.5100021,81.5100021,9989600.0,9989600.0,-1.77,-2.125,81.80667,"September 23, 22",-0.02125
2022-09-22,86.9100037,87.25,84.2699966,84.7699966,84.7699966,8376300.0,8376300.0,-2.14001,-2.462,85.43,"September 22, 22",-0.02462
2022-09-21,87.9000015,89.1500015,86.3499985,86.3600006,86.3600006,9707800.0,9707800.0,-1.54,-1.752,87.28667,"September 21, 22",-0.01752
2022-09-20,88.0999985,88.4499969,86.3700027,87.1900024,87.1900024,8092300.0,8092300.0,-0.91,-1.033,87.33667,"September 20, 22",-0.01033
