date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,416.32,448.75,416.32,448.42,448.42,735612.0,735612.0,32.1,7.71,437.83,"October 25, 22",0.0771
2022-10-24,405.68,412.68,397.28,412.15,412.15,634094.0,634094.0,6.47,1.595,407.37,"October 24, 22",0.01595
2022-10-21,394.69,402.265,388.12,401.48,401.48,774046.0,774046.0,6.79,1.72,397.28833,"October 21, 22",0.0172
2022-10-20,397.71,399.47,390.38,393.66,393.66,532551.0,532551.0,-4.05,-1.018,394.50333,"October 20, 22",-0.01018
2022-10-19,401.79,404.09,395.28,398.79,398.79,261012.0,261012.0,-3.0,-0.747,399.38667,"October 19, 22",-0.00747
2022-10-18,417.51,417.75,405.27,408.56,408.56,289799.0,289799.0,-8.95,-2.144,410.52667,"October 18, 22",-0.02144
2022-10-17,398.74,406.175,398.74,402.96,402.96,409640.0,409640.0,4.22,1.058,402.625,"October 17, 22",0.01058
2022-10-14,411.87,412.78,387.225,388.72,388.72,400437.0,400437.0,-23.15,-5.621,396.24167,"October 14, 22",-0.05621
2022-10-13,390.88,408.105,385.0,406.08,406.08,557764.0,557764.0,15.2,3.889,399.72833,"October 13, 22",0.03889
2022-10-12,400.1,404.61,395.01,401.65,401.65,516056.0,516056.0,1.55,0.387,400.42333,"October 12, 22",0.00387
2022-10-11,404.67,409.37,393.905,399.35,399.35,501957.0,501957.0,-5.32,-1.315,400.875,"October 11, 22",-0.01315
2022-10-10,417.32,419.2,404.16,406.92,406.92,470422.0,470422.0,-10.4,-2.492,410.09333,"October 10, 22",-0.02492
2022-10-07,431.15,433.89,416.21,419.84,419.84,398331.0,398331.0,-11.31,-2.623,423.31333,"October 07, 22",-0.02623
2022-10-06,444.04,447.99,436.6,436.65,436.65,341530.0,341530.0,-7.39,-1.664,440.41333,"October 06, 22",-0.01664
2022-10-05,444.13,451.34,441.34,447.48,447.48,312202.0,312202.0,3.35,0.754,446.72,"October 05, 22",0.00754
2022-10-04,440.6,451.005,438.98,450.86,450.86,375446.0,375446.0,10.26,2.329,446.94833,"October 04, 22",0.02329
