date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,247.26,251.04,245.83,250.66,250.66,3.1335134E7,3.1335134E7,3.4,1.375,249.17667,"October 25, 22",0.01375
2022-10-24,243.76,247.84,241.295,247.25,247.25,2.4913545E7,2.4913545E7,3.49,1.432,245.46167,"October 24, 22",0.01432
2022-10-21,234.74,243.0,234.5,242.12,242.12,2.6300398E7,2.6300398E7,7.38,3.144,239.87333,"October 21, 22",0.03144
2022-10-20,235.77,241.31,234.87,236.15,236.15,2.181307E7,2.181307E7,0.38,0.161,237.44333,"October 20, 22",0.00161
2022-10-19,237.04,239.61,234.29,236.48,236.48,1.9985757E7,1.9985757E7,-0.56,-0.236,236.79333,"October 19, 22",-0.00236
2022-10-18,243.24,243.93,235.37,238.5,238.5,2.6330795E7,2.6330795E7,-4.74,-1.949,239.26667,"October 18, 22",-0.01949
2022-10-17,235.82,238.96,235.135,237.53,237.53,2.8144916E7,2.8144916E7,1.71,0.725,237.20833,"October 17, 22",0.00725
2022-10-14,235.54,237.24,228.34,228.56,228.56,3.0200905E7,3.0200905E7,-6.98,-2.963,231.38,"October 14, 22",-0.02963
2022-10-13,219.85,236.1,219.13,234.24,234.24,4.2554821E7,4.2554821E7,14.39,6.545,229.82333,"October 13, 22",0.06545
2022-10-12,225.4,227.86,223.96,225.75,225.75,2.190537E7,2.190537E7,0.35,0.155,225.85667,"October 12, 22",0.00155
2022-10-11,227.62,229.06,224.11,225.41,225.41,3.0476279E7,3.0476279E7,-2.21,-0.971,226.19333,"October 11, 22",-0.00971
2022-10-10,233.05,234.559,226.73,229.25,229.25,2.9746082E7,2.9746082E7,-3.8,-1.631,230.17967,"October 10, 22",-0.01631
2022-10-07,240.902,241.32,233.17,234.24,234.24,3.7769839E7,3.7769839E7,-6.662,-2.765,236.24333,"October 07, 22",-0.02765
2022-10-06,247.93,250.34,246.08,246.79,246.79,2.0207927E7,2.0207927E7,-1.14,-0.46,247.73667,"October 06, 22",-0.0046
2022-10-05,245.99,250.58,244.1,249.2,249.2,2.0349159E7,2.0349159E7,3.21,1.305,247.96,"October 05, 22",0.01305
2022-10-04,245.09,250.36,244.975,248.88,248.88,3.4890171E7,3.4890171E7,3.79,1.546,248.07167,"October 04, 22",0.01546
2022-10-03,235.41,241.61,234.66,240.74,240.74,2.8881185E7,2.8881185E7,5.33,2.264,239.00333,"October 03, 22",0.02264
2022-09-30,238.29,240.54,232.73,232.9,232.9,3.5697844E7,3.5697844E7,-5.39,-2.262,235.39,"September 30, 22",-0.02262
2022-09-29,238.89,239.95,234.41,237.5,237.5,2.7486522E7,2.7486522E7,-1.39,-0.582,237.28667,"September 29, 22",-0.00582
2022-09-28,236.81,242.33,234.73,241.07,241.07,2.9030836E7,2.9030836E7,4.26,1.799,239.37667,"September 28, 22",0.01799
2022-09-27,239.98,241.8,234.5,236.41,236.41,2.7019953E7,2.7019953E7,-3.57,-1.488,237.57,"September 27, 22",-0.01488
2022-09-26,237.045,241.45,236.9,237.45,237.45,2.7695989E7,2.7695989E7,0.405,0.171,238.6,"September 26, 22",0.00171
2022-09-23,239.54,241.13,235.2,237.92,237.92,3.4177602E7,3.4177602E7,-1.62,-0.676,238.08333,"September 23, 22",-0.00676
2022-09-22,237.8704,243.86,237.57,240.98,240.98,3.1063734E7,3.1063734E7,3.1096,1.307,240.80333,"September 22, 22",0.01307
2022-09-21,244.27,247.66,238.9,238.95,238.95,2.8626076E7,2.8626076E7,-5.32,-2.178,241.83667,"September 21, 22",-0.02178
2022-09-20,242.065,243.51,239.64,242.45,242.45,2.666044E7,2.666044E7,0.385,0.159,241.86667,"September 20, 22",0.00159
2022-09-19,242.465,245.14,240.85,244.52,244.52,2.6827016E7,2.6827016E7,2.055,0.848,243.50333,"September 19, 22",0.00848
2022-09-16,244.26,245.3,242.0627,244.74,244.74,3.9794251E7,3.9794251E7,0.48,0.197,244.03423,"September 16, 22",0.00197
2022-09-15,249.77,251.4,244.02,245.38,245.38,3.1533829E7,3.1533829E7,-4.39,-1.758,246.93333,"September 15, 22",-0.01758
2022-09-14,253.53,254.23,249.86,252.22,252.22,2.3915187E7,2.3915187E7,-1.31,-0.517,252.10333,"September 14, 22",-0.00517
2022-09-13,258.84,260.4,251.59,251.99,251.99,3.3354482E7,3.3354482E7,-6.85,-2.646,254.66,"September 13, 22",-0.02646
2022-09-12,265.78,267.45,265.16,266.65,266.65,1.8749061E7,1.8749061E7,0.87,0.327,266.42,"September 12, 22",0.00327
2022-09-09,260.5,265.23,260.29,264.46,264.46,2.2093503E7,2.2093503E7,3.96,1.52,263.32667,"September 09, 22",0.0152
2022-09-08,257.51,260.43,254.79,258.52,258.52,2.0319958E7,2.0319958E7,1.01,0.392,257.91333,"September 08, 22",0.00392
2022-09-07,254.7,258.83,253.22,258.09,258.09,2.4126717E7,2.4126717E7,3.39,1.331,256.71333,"September 07, 22",0.01331
2022-09-06,256.2,257.83,251.94,253.25,253.25,2.1329687E7,2.1329687E7,-2.95,-1.151,254.34,"September 06, 22",-0.01151
2022-09-02,261.695,264.74,254.47,256.06,256.06,2.2857149E7,2.2857149E7,-5.635,-2.153,258.42333,"September 02, 22",-0.02153
2022-09-01,258.87,260.89,255.41,260.4,260.4,2.3264118E7,2.3264118E7,1.53,0.591,258.9,"September 01, 22",0.00591
2022-08-31,265.39,267.11,261.33,261.47,261.47,2.4792481E7,2.4792481E7,-3.92,-1.477,263.30333,"August 31, 22",-0.01477
2022-08-30,266.67,267.05,260.66,262.97,262.97,2.2768389E7,2.2768389E7,-3.7,-1.387,263.56,"August 30, 22",-0.01387
2022-08-29,265.85,267.4,263.85,265.23,265.23,2.0338844E7,2.0338844E7,-0.62,-0.233,265.49333,"August 29, 22",-0.00233
2022-08-26,279.08,280.34,267.98,268.09,268.09,2.7549952E7,2.7549952E7,-10.99,-3.938,272.13667,"August 26, 22",-0.03938
2022-08-25,277.33,279.02,274.52,278.85,278.85,1.658428E7,1.658428E7,1.52,0.548,277.46333,"August 25, 22",0.00548
2022-08-24,275.41,277.23,275.11,275.79,275.79,1.8138451E7,1.8138451E7,0.38,0.138,276.04333,"August 24, 22",0.00138
