date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,56.68,57.03,55.34,55.87,55.87,1.7213866E7,1.7213866E7,-0.81,-1.429,56.08,"October 25, 22",-0.01429
2022-10-24,56.23,56.8,55.0702,56.24,56.24,1.5293858E7,1.5293858E7,0.01,0.018,56.03673,"October 24, 22",1.8E-4
2022-10-21,53.49,56.27,53.335,56.05,56.05,2.020036E7,2.020036E7,2.56,4.786,55.21833,"October 21, 22",0.04786
2022-10-20,53.5,55.1,53.17,53.7,53.7,1.5712435E7,1.5712435E7,0.2,0.374,53.99,"October 20, 22",0.00374
2022-10-19,52.09,53.43,52.06,53.03,53.03,1.4787227E7,1.4787227E7,0.94,1.805,52.84,"October 19, 22",0.01805
2022-10-18,55.01,55.14,51.66,52.55,52.55,1.9776371E7,1.9776371E7,-2.46,-4.472,53.11667,"October 18, 22",-0.04472
2022-10-17,54.6,54.99,52.85,53.5,53.5,1.8249323E7,1.8249323E7,-1.1,-2.015,53.78,"October 17, 22",-0.02015
2022-10-14,55.235,55.44,52.6,52.72,52.72,2.0409642E7,2.0409642E7,-2.515,-4.553,53.58667,"October 14, 22",-0.04553
2022-10-13,51.352,55.92,50.74,54.86,54.86,2.7606903E7,2.7606903E7,3.508,6.831,53.84,"October 13, 22",0.06831
2022-10-12,53.6,53.77,52.39,52.75,52.75,1.8133282E7,1.8133282E7,-0.85,-1.586,52.97,"October 12, 22",-0.01586
2022-10-11,50.64,54.78,50.33,53.71,53.71,3.2814078E7,3.2814078E7,3.07,6.062,52.94,"October 11, 22",0.06062
2022-10-10,53.07,53.13,50.77,51.38,51.38,1.722326E7,1.722326E7,-1.69,-3.184,51.76,"October 10, 22",-0.03184
2022-10-07,53.5600014,54.6500015,52.5099983,52.9099998,52.9099998,2.1972E7,2.1972E7,-0.65,-1.214,53.35667,"October 07, 22",-0.01214
2022-10-06,54.4000015,55.1100006,53.2999992,54.6199989,54.5049973,1.71494E7,1.71494E7,0.105,0.193,54.305,"October 06, 22",0.00193
2022-10-05,52.8800011,55.2000008,52.1699982,54.7299995,54.6147652,2.04183E7,2.04183E7,1.73476,3.281,53.99492,"October 05, 22",0.03281
2022-10-04,53.5600014,54.8100014,52.6599998,53.9599991,53.846386,2.42755E7,2.42755E7,0.28638,0.535,53.77213,"October 04, 22",0.00535
2022-10-03,51.0099983,53.0900002,50.6399994,51.7200012,51.6111069,2.46324E7,2.46324E7,0.60111,1.178,51.78037,"October 03, 22",0.01178
2022-09-30,50.5400009,52.0600014,49.8100014,50.0999985,49.9945145,3.8909E7,3.8909E7,-0.54549,-1.079,50.62151,"September 30, 22",-0.01079
2022-09-29,50.0400009,50.2999992,49.2200012,50.0099983,49.904705,2.55821E7,2.55821E7,-0.1353,-0.27,49.80824,"September 29, 22",-0.0027
2022-09-28,50.1100006,51.1899986,50.0999985,51.0,50.8926201,1.77843E7,1.77843E7,0.78262,1.562,50.72754,"September 28, 22",0.01562
2022-09-27,49.8199997,50.6500015,49.4000015,50.5800018,50.4735069,1.72975E7,1.72975E7,0.65351,1.312,50.1745,"September 27, 22",0.01312
2022-09-26,49.9300003,50.4599991,48.8100014,48.8800011,48.7770844,1.92668E7,1.92668E7,-1.15292,-2.309,49.34903,"September 26, 22",-0.02309
2022-09-23,49.2799988,50.1500015,48.4500008,50.0999985,49.9945145,2.45733E7,2.45733E7,0.71452,1.45,49.53151,"September 23, 22",0.0145
2022-09-22,49.7999992,50.3699989,49.3499985,49.6599998,49.5554428,2.1317E7,2.1317E7,-0.24456,-0.491,49.75848,"September 22, 22",-0.00491
2022-09-21,49.7400017,52.5099983,49.7200012,50.0999985,49.9945145,3.11173E7,3.11173E7,0.25451,0.512,50.7415,"September 21, 22",0.00512
2022-09-20,51.5299988,51.5900002,50.5900002,50.7999992,50.6930428,1.93738E7,1.93738E7,-0.83696,-1.624,50.95768,"September 20, 22",-0.01624
2022-09-19,51.9700012,52.7700005,51.8800011,52.0999985,51.990303,1.92514E7,1.92514E7,0.0203,0.039,52.21343,"September 19, 22",3.9E-4
2022-09-16,51.8899994,53.0099983,51.4900017,52.8499985,52.7387238,2.48886E7,2.48886E7,0.84872,1.636,52.41291,"September 16, 22",0.01636
2022-09-15,52.7000008,53.4500008,51.9799995,52.6899986,52.5790596,1.56208E7,1.56208E7,-0.12094,-0.229,52.66969,"September 15, 22",-0.00229
2022-09-14,53.8899994,54.2299995,52.4599991,53.1100006,52.9981804,1.99849E7,1.99849E7,-0.89182,-1.655,53.22939,"September 14, 22",-0.01655
2022-09-13,55.7000008,56.2400017,53.1399994,53.6199989,53.507103,2.23618E7,2.23618E7,-2.1929,-3.937,54.2957,"September 13, 22",-0.03937
2022-09-12,57.4599991,58.1399994,57.0299988,57.9399986,57.8180084,1.07115E7,1.07115E7,0.35801,0.623,57.66267,"September 12, 22",0.00623
2022-09-09,56.1699982,57.6800003,56.1699982,57.4399986,57.3190613,1.39256E7,1.39256E7,1.14906,2.046,57.05635,"September 09, 22",0.02046
2022-09-08,54.4900017,55.9199982,53.7400017,55.3899994,55.2733765,1.84153E7,1.84153E7,0.78337,1.438,54.97779,"September 08, 22",0.01438
2022-09-07,55.3100014,55.7200012,54.0099983,55.0,54.8841972,1.70306E7,1.70306E7,-0.4258,-0.77,54.8714,"September 07, 22",-0.0077
2022-09-06,56.3300018,56.6899986,55.1300011,55.2299995,55.1137123,1.21333E7,1.21333E7,-1.21629,-2.159,55.64457,"September 06, 22",-0.02159
2022-09-02,58.2999992,58.7999992,56.0,56.3300018,56.2113991,1.28049E7,1.28049E7,-2.0886,-3.583,57.0038,"September 02, 22",-0.03583
2022-09-01,55.2599983,57.4000015,54.7900009,57.3100014,57.1893349,1.75945E7,1.75945E7,1.92934,3.491,56.45978,"September 01, 22",0.03491
