date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,133.95,138.35,132.3,137.43,137.43,145797.0,145797.0,3.48,2.598,136.02667,"October 25, 22",0.02598
2022-10-24,128.81,133.51,128.03,133.03,133.03,116729.0,116729.0,4.22,3.276,131.52333,"October 24, 22",0.03276
2022-10-21,130.31,134.99,128.141,132.0,132.0,148401.0,148401.0,1.69,1.297,131.71033,"October 21, 22",0.01297
2022-10-20,129.25,130.875,127.74,129.66,129.66,90910.0,90910.0,0.41,0.317,129.425,"October 20, 22",0.00317
2022-10-19,120.07,127.15,120.07,126.83,126.83,124287.0,124287.0,6.76,5.63,124.68333,"October 19, 22",0.0563
2022-10-18,120.26,123.45,117.3583,120.07,120.07,100905.0,100905.0,-0.19,-0.158,120.29277,"October 18, 22",-0.00158
2022-10-17,119.66,122.432,117.73,119.12,119.12,79837.0,79837.0,-0.54,-0.451,119.76067,"October 17, 22",-0.00451
2022-10-14,122.2,123.7,115.98,116.24,116.24,90040.0,90040.0,-5.96,-4.877,118.64,"October 14, 22",-0.04877
2022-10-13,114.94,124.34,113.13,123.9,123.9,120096.0,120096.0,8.96,7.795,120.45667,"October 13, 22",0.07795
2022-10-12,120.16,120.16,114.57,118.02,118.02,111208.0,111208.0,-2.14,-1.781,117.58333,"October 12, 22",-0.01781
2022-10-11,119.0,124.21,118.07,120.75,120.75,111002.0,111002.0,1.75,1.471,121.01,"October 11, 22",0.01471
2022-10-10,128.63,131.12,121.73,122.77,122.77,125803.0,125803.0,-5.86,-4.556,125.20667,"October 10, 22",-0.04556
2022-10-07,129.09,132.94,128.38,129.9,129.9,132600.0,132600.0,0.81,0.627,130.40667,"October 07, 22",0.00627
2022-10-06,128.25,131.54,128.25,130.25,130.25,115705.0,115705.0,2.0,1.559,130.01333,"October 06, 22",0.01559
2022-10-05,120.87,129.34,119.48,129.03,129.03,160602.0,160602.0,8.16,6.751,125.95,"October 05, 22",0.06751
2022-10-04,117.27,120.64,115.06,120.62,120.62,184040.0,184040.0,3.35,2.857,118.77333,"October 04, 22",0.02857
2022-10-03,108.33,113.28,108.0,112.29,112.29,243418.0,243418.0,3.96,3.655,111.19,"October 03, 22",0.03655
2022-09-30,101.66,104.425,98.88,101.45,101.45,225734.0,225734.0,-0.21,-0.207,101.585,"September 30, 22",-0.00207
2022-09-29,101.3,102.78,98.0,102.62,102.62,114545.0,114545.0,1.32,1.303,101.13333,"September 29, 22",0.01303
2022-09-28,100.5,103.41,98.71,102.56,102.56,199090.0,199090.0,2.06,2.05,101.56,"September 28, 22",0.0205
2022-09-27,101.77,104.17,98.06,98.55,98.55,181364.0,181364.0,-3.22,-3.164,100.26,"September 27, 22",-0.03164
2022-09-26,95.77,99.5039,93.775,97.78,97.78,242145.0,242145.0,2.01,2.099,97.01963,"September 26, 22",0.02099
2022-09-23,102.03,102.1,92.73,94.4,94.4,262040.0,262040.0,-7.63,-7.478,96.41,"September 23, 22",-0.07478
2022-09-22,116.34,118.49,109.23,109.71,109.71,163941.0,163941.0,-6.63,-5.699,112.47667,"September 22, 22",-0.05699
2022-09-21,122.93,123.47,113.89,114.04,114.04,150108.0,150108.0,-8.89,-7.232,117.13333,"September 21, 22",-0.07232
2022-09-20,123.21,125.48,113.86,118.46,118.46,182113.0,182113.0,-4.75,-3.855,119.26667,"September 20, 22",-0.03855
2022-09-19,120.0,125.41,118.32,124.67,124.67,104345.0,104345.0,4.67,3.892,122.8,"September 19, 22",0.03892
2022-09-16,128.39,129.06,121.6564,124.59,124.59,291706.0,291706.0,-3.8,-2.96,125.10213,"September 16, 22",-0.0296
2022-09-15,130.06,132.5,127.64,130.91,130.91,105693.0,105693.0,0.85,0.654,130.35,"September 15, 22",0.00654
2022-09-14,128.88,134.97,128.66,134.5,134.5,131946.0,131946.0,5.62,4.361,132.71,"September 14, 22",0.04361
2022-09-13,129.1,132.29,123.57,126.02,126.02,125407.0,125407.0,-3.08,-2.386,127.29333,"September 13, 22",-0.02386
2022-09-12,131.21,133.297,128.39,133.1,133.1,115320.0,115320.0,1.89,1.44,131.59567,"September 12, 22",0.0144
2022-09-09,126.48,129.52,126.375,129.35,129.35,103016.0,103016.0,2.87,2.269,128.415,"September 09, 22",0.02269
2022-09-08,123.0,123.04,119.4,121.78,121.78,101660.0,101660.0,-1.22,-0.992,121.40667,"September 08, 22",-0.00992
2022-09-07,122.2,124.24,118.59,121.02,121.02,155615.0,155615.0,-1.18,-0.966,121.28333,"September 07, 22",-0.00966
2022-09-06,133.19,133.87,124.475,127.39,127.39,127096.0,127096.0,-5.8,-4.355,128.57833,"September 06, 22",-0.04355
2022-09-02,128.72,134.15,126.41,132.48,132.48,123405.0,123405.0,3.76,2.921,131.01333,"September 02, 22",0.02921
2022-09-01,127.69,129.42,119.9704,123.71,123.71,129999.0,129999.0,-3.98,-3.117,124.3668,"September 01, 22",-0.03117
2022-08-31,128.0,134.6036,126.65,132.51,132.51,203286.0,203286.0,4.51,3.523,131.25453,"August 31, 22",0.03523
2022-08-30,139.52,139.52,130.0,132.33,132.33,109173.0,109173.0,-7.19,-5.153,133.95,"August 30, 22",-0.05153
2022-08-29,139.76,146.58,139.76,143.98,143.98,106699.0,106699.0,4.22,3.019,143.44,"August 29, 22",0.03019
2022-08-26,145.2,148.06,136.53,140.75,140.75,108509.0,108509.0,-4.45,-3.065,141.78,"August 26, 22",-0.03065
2022-08-25,143.77,148.39,141.33,147.53,147.53,111907.0,111907.0,3.76,2.615,145.75,"August 25, 22",0.02615
2022-08-24,137.22,144.97,137.22,143.89,143.89,158511.0,158511.0,6.67,4.861,142.02667,"August 24, 22",0.04861
2022-08-23,129.79,139.76,129.79,135.36,135.36,137612.0,137612.0,5.57,4.292,134.97,"August 23, 22",0.04292
2022-08-22,124.75,127.14,122.3,126.3,126.3,88703.0,88703.0,1.55,1.242,125.24667,"August 22, 22",0.01242
2022-08-19,129.67,129.67,126.1,126.92,126.92,106703.0,106703.0,-2.75,-2.121,127.56333,"August 19, 22",-0.02121
2022-08-18,123.9,132.84,123.9,131.71,131.71,110407.0,110407.0,7.81,6.303,129.48333,"August 18, 22",0.06303
2022-08-17,122.57,125.479,121.6237,123.1,123.1,70671.0,70671.0,0.53,0.432,123.4009,"August 17, 22",0.00432
2022-08-16,126.99,127.1112,121.41,123.46,123.46,71760.0,71760.0,-3.53,-2.78,123.99373,"August 16, 22",-0.0278
2022-08-15,124.22,126.09,119.58,125.82,125.82,100238.0,100238.0,1.6,1.288,123.83,"August 15, 22",0.01288
2022-08-12,129.38,133.18,127.26,133.04,133.04,81601.0,81601.0,3.66,2.829,131.16,"August 12, 22",0.02829
2022-08-11,129.7,132.91,129.05,130.56,130.56,126594.0,126594.0,0.86,0.663,130.84,"August 11, 22",0.00663
2022-08-10,125.48,126.86,119.41,124.52,124.52,96605.0,96605.0,-0.96,-0.765,123.59667,"August 10, 22",-0.00765
2022-08-09,127.54,128.69,123.655,124.89,124.89,125073.0,125073.0,-2.65,-2.078,125.745,"August 09, 22",-0.02078
2022-08-08,123.51,126.34,121.59,123.42,123.42,122002.0,122002.0,-0.09,-0.073,123.78333,"August 08, 22",-7.3E-4
2022-08-05,114.51,127.22,113.2247,123.65,123.65,165503.0,165503.0,9.14,7.982,121.3649,"August 05, 22",0.07982
2022-08-04,133.0,133.14,115.41,115.64,115.64,178170.0,178170.0,-17.36,-13.053,121.39667,"August 04, 22",-0.13053
2022-08-03,141.23,141.52,129.62,133.14,133.14,120503.0,120503.0,-8.09,-5.728,134.76,"August 03, 22",-0.05728
2022-08-02,137.31,143.39,137.17,139.36,139.36,112805.0,112805.0,2.05,1.493,139.97333,"August 02, 22",0.01493
2022-08-01,135.0,138.28,130.77,136.4,136.4,147707.0,147707.0,1.4,1.037,135.15,"August 01, 22",0.01037
