date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,0.9,0.93,0.8923,0.9265,0.9265,2221654.0,2221654.0,0.0265,2.944,0.91627,"October 25, 22",0.02944
2022-10-24,0.875,0.903,0.85,0.9002,0.9002,2222397.0,2222397.0,0.0252,2.88,0.8844,"October 24, 22",0.0288
2022-10-21,0.866,0.8954,0.855,0.8825,0.8825,2305270.0,2305270.0,0.0165,1.905,0.87763,"October 21, 22",0.01905
2022-10-20,0.87,0.91,0.85,0.87,0.87,1456895.0,1456895.0,0.0,0.0,0.87667,"October 20, 22",0.0
2022-10-19,0.88,0.89,0.85,0.86,0.86,1372012.0,1372012.0,-0.02,-2.273,0.86667,"October 19, 22",-0.02273
2022-10-18,0.91,0.93,0.89,0.89,0.89,1174188.0,1174188.0,-0.02,-2.198,0.90333,"October 18, 22",-0.02198
2022-10-17,0.9,0.91,0.87,0.89,0.89,1619132.0,1619132.0,-0.01,-1.111,0.89,"October 17, 22",-0.01111
2022-10-14,0.93,0.94,0.85,0.88,0.88,1766254.0,1766254.0,-0.05,-5.376,0.89,"October 14, 22",-0.05376
2022-10-13,0.89,0.9377,0.8416,0.92,0.92,2153336.0,2153336.0,0.03,3.371,0.89977,"October 13, 22",0.03371
2022-10-12,0.89,0.92,0.87,0.92,0.92,912531.0,912531.0,0.03,3.371,0.90333,"October 12, 22",0.03371
2022-10-11,0.96,0.96,0.88,0.88,0.88,1591932.0,1591932.0,-0.08,-8.333,0.90667,"October 11, 22",-0.08333
2022-10-10,0.91,0.96,0.89,0.95,0.95,1762171.0,1762171.0,0.04,4.396,0.93333,"October 10, 22",0.04396
2022-10-07,0.99,1.0,0.92,0.94,0.94,3405237.0,3405237.0,-0.05,-5.051,0.95333,"October 07, 22",-0.05051
2022-10-06,0.95,1.03,0.95,1.01,1.01,1714286.0,1714286.0,0.06,6.316,0.99667,"October 06, 22",0.06316
2022-10-05,0.95,0.97,0.93,0.96,0.96,2032148.0,2032148.0,0.01,1.053,0.95333,"October 05, 22",0.01053
2022-10-04,1.03,1.05,0.95,0.98,0.98,5318003.0,5318003.0,-0.05,-4.854,0.99333,"October 04, 22",-0.04854
2022-10-03,0.91,1.02,0.91,1.01,1.01,5389728.0,5389728.0,0.1,10.989,0.98,"October 03, 22",0.10989
2022-09-30,0.8623,0.925,0.845,0.88,0.88,3039664.0,3039664.0,0.0177,2.053,0.88333,"September 30, 22",0.02053
2022-09-29,0.83,0.87,0.81,0.85,0.85,2208523.0,2208523.0,0.02,2.41,0.84333,"September 29, 22",0.0241
2022-09-28,0.75,0.87,0.75,0.84,0.84,4118014.0,4118014.0,0.09,12.0,0.82,"September 28, 22",0.12
2022-09-27,0.79,0.7935,0.73,0.74,0.74,2413510.0,2413510.0,-0.05,-6.329,0.7545,"September 27, 22",-0.06329
2022-09-26,0.78,0.82,0.75,0.76,0.76,3707143.0,3707143.0,-0.02,-2.564,0.77667,"September 26, 22",-0.02564
2022-09-23,0.83,0.84,0.78,0.79,0.79,3498195.0,3498195.0,-0.04,-4.819,0.80333,"September 23, 22",-0.04819
2022-09-22,0.87,0.89,0.86,0.87,0.87,1328320.0,1328320.0,0.0,0.0,0.87333,"September 22, 22",0.0
2022-09-21,0.89,0.9,0.83,0.87,0.87,2497050.0,2497050.0,-0.02,-2.247,0.86667,"September 21, 22",-0.02247
2022-09-20,0.91,0.92,0.85,0.89,0.89,2876219.0,2876219.0,-0.02,-2.198,0.88667,"September 20, 22",-0.02198
2022-09-19,0.88,0.92,0.86,0.92,0.92,2658655.0,2658655.0,0.04,4.545,0.9,"September 19, 22",0.04545
2022-09-16,0.85,0.91,0.82,0.91,0.91,1.5470096E7,1.5470096E7,0.06,7.059,0.88,"September 16, 22",0.07059
2022-09-15,0.84,0.88,0.81,0.86,0.86,3849979.0,3849979.0,0.02,2.381,0.85,"September 15, 22",0.02381
2022-09-14,0.7936,0.868,0.79,0.8429,0.8429,4158128.0,4158128.0,0.0493,6.212,0.83363,"September 14, 22",0.06212
2022-09-13,0.77,0.84,0.76,0.7873,0.7873,4961838.0,4961838.0,0.0173,2.247,0.79577,"September 13, 22",0.02247
2022-09-12,0.79,0.83,0.77,0.8116,0.8116,4745860.0,4745860.0,0.0216,2.734,0.80387,"September 12, 22",0.02734
2022-09-09,0.72,0.87,0.7,0.78,0.78,1.1296887E7,1.1296887E7,0.06,8.333,0.78333,"September 09, 22",0.08333
2022-09-08,0.67,0.6948,0.645,0.6927,0.6927,3962292.0,3962292.0,0.0227,3.388,0.6775,"September 08, 22",0.03388
2022-09-07,0.62,0.7,0.61,0.67,0.67,6411181.0,6411181.0,0.05,8.065,0.66,"September 07, 22",0.08065
