date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,88.03,91.93,87.9,91.72,91.72,7196242.0,7196242.0,3.69,4.192,90.51667,"October 25, 22",0.04192
2022-10-24,87.79,88.84,86.2508,88.01,88.01,7860199.0,7860199.0,0.22,0.251,87.70027,"October 24, 22",0.00251
2022-10-21,87.02,88.78,86.71,88.5,88.5,7851852.0,7851852.0,1.48,1.701,87.99667,"October 21, 22",0.01701
2022-10-20,89.47,90.58,86.61,86.83,86.83,1.3499475E7,1.3499475E7,-2.64,-2.951,88.00667,"October 20, 22",-0.02951
2022-10-19,88.26,89.74,87.76,88.57,88.57,4542007.0,4542007.0,0.31,0.351,88.69,"October 19, 22",0.00351
2022-10-18,92.6,92.85,89.15,89.68,89.68,6278179.0,6278179.0,-2.92,-3.153,90.56,"October 18, 22",-0.03153
2022-10-17,89.53,90.69,88.7,89.97,89.97,8195321.0,8195321.0,0.44,0.491,89.78667,"October 17, 22",0.00491
2022-10-14,90.51,90.88,87.49,87.55,87.55,7586446.0,7586446.0,-2.96,-3.27,88.64,"October 14, 22",-0.0327
2022-10-13,86.39,89.81,86.05,89.56,89.56,8442653.0,8442653.0,3.17,3.669,88.47333,"October 13, 22",0.03669
2022-10-12,88.0,88.88,87.31,88.51,88.51,8771278.0,8771278.0,0.51,0.58,88.23333,"October 12, 22",0.0058
2022-10-11,86.04,88.25,85.75,87.99,87.99,1.170939E7,1.170939E7,1.95,2.266,87.33,"October 11, 22",0.02266
2022-10-10,87.76,87.78,85.07,86.69,86.69,7989700.0,7989700.0,-1.07,-1.219,86.51333,"October 10, 22",-0.01219
2022-10-07,88.54,88.76,86.69,87.16,87.16,8552451.0,8552451.0,-1.38,-1.559,87.53667,"October 07, 22",-0.01559
2022-10-06,90.49,92.64,89.81,90.17,90.17,9947553.0,9947553.0,-0.32,-0.354,90.87333,"October 06, 22",-0.00354
2022-10-05,87.4899979,91.6999969,87.1500015,91.0999985,91.0999985,1.27266E7,1.27266E7,3.61,4.126,89.98333,"October 05, 22",0.04126
