date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-12,27.98,27.98,27.98,27.98,27.98,,,0.0,0.0,,"October 12, 22",0.0
2022-10-11,27.98,28.0,27.97,27.98,27.98,2.2431157E7,2.2431157E7,0.0,0.0,27.98333,"October 11, 22",0.0
2022-10-10,27.96,27.99,27.96,27.97,27.97,3578686.0,3578686.0,0.01,0.036,27.97333,"October 10, 22",3.6E-4
2022-10-07,27.94,27.97,27.94,27.96,27.96,5523447.0,5523447.0,0.02,0.072,27.95667,"October 07, 22",7.2E-4
2022-10-06,27.92,27.95,27.92,27.93,27.93,3082574.0,3082574.0,0.01,0.036,27.93333,"October 06, 22",3.6E-4
2022-10-05,27.89,27.92,27.89,27.9,27.9,1513042.0,1513042.0,0.01,0.036,27.90333,"October 05, 22",3.6E-4
2022-10-04,27.9,27.93,27.87,27.92,27.92,3492994.0,3492994.0,0.02,0.072,27.90667,"October 04, 22",7.2E-4
2022-10-03,27.86,27.93,27.81,27.87,27.87,1.2620449E7,1.2620449E7,0.01,0.036,27.87,"October 03, 22",3.6E-4
2022-09-30,27.75,27.805,27.695,27.72,27.72,6244705.0,6244705.0,-0.03,-0.108,27.74,"September 30, 22",-0.00108
2022-09-29,27.85,27.87,27.71,27.74,27.74,5719327.0,5719327.0,-0.11,-0.395,27.77333,"September 29, 22",-0.00395
2022-09-28,27.83,27.89,27.82,27.85,27.85,5624483.0,5624483.0,0.02,0.072,27.85333,"September 28, 22",7.2E-4
2022-09-27,27.86,27.86,27.7825,27.79,27.79,3598860.0,3598860.0,-0.07,-0.251,27.81083,"September 27, 22",-0.00251
2022-09-26,27.81,27.84,27.79,27.79,27.79,2004863.0,2004863.0,-0.02,-0.072,27.80667,"September 26, 22",-7.2E-4
2022-09-23,27.88,27.88,27.8,27.8,27.8,5233762.0,5233762.0,-0.08,-0.287,27.82667,"September 23, 22",-0.00287
2022-09-22,27.88,27.88,27.84,27.84,27.84,2039760.0,2039760.0,-0.04,-0.143,27.85333,"September 22, 22",-0.00143
2022-09-21,27.86,27.89,27.83,27.87,27.87,3179610.0,3179610.0,0.01,0.036,27.86333,"September 21, 22",3.6E-4
2022-09-20,27.83,27.86,27.8,27.85,27.85,5173754.0,5173754.0,0.02,0.072,27.83667,"September 20, 22",7.2E-4
2022-09-19,27.82,27.85,27.77,27.82,27.82,6160876.0,6160876.0,0.0,0.0,27.81333,"September 19, 22",0.0
2022-09-16,27.83,27.835,27.755,27.83,27.83,8737390.0,8737390.0,0.0,0.0,27.80667,"September 16, 22",0.0
2022-09-15,27.87,27.89,27.8,27.8,27.8,4835032.0,4835032.0,-0.07,-0.251,27.83,"September 15, 22",-0.00251
2022-09-14,27.88,27.89,27.85,27.85,27.85,3444384.0,3444384.0,-0.03,-0.108,27.86333,"September 14, 22",-0.00108
2022-09-13,27.85,27.89,27.85,27.86,27.86,2516230.0,2516230.0,0.01,0.036,27.86667,"September 13, 22",3.6E-4
2022-09-12,27.88,27.88,27.86,27.86,27.86,2259119.0,2259119.0,-0.02,-0.072,27.86667,"September 12, 22",-7.2E-4
2022-09-09,27.87,27.88,27.86,27.86,27.86,1833729.0,1833729.0,-0.01,-0.036,27.86667,"September 09, 22",-3.6E-4
2022-09-08,27.87,27.87,27.85,27.87,27.87,2124210.0,2124210.0,0.0,0.0,27.86333,"September 08, 22",0.0
2022-09-07,27.86,27.89,27.855,27.89,27.89,2582306.0,2582306.0,0.03,0.108,27.87833,"September 07, 22",0.00108
2022-09-06,27.86,27.88,27.85,27.86,27.86,3389719.0,3389719.0,0.0,0.0,27.86333,"September 06, 22",0.0
2022-09-02,27.88,27.885,27.84,27.85,27.85,3116197.0,3116197.0,-0.03,-0.108,27.85833,"September 02, 22",-0.00108
2022-09-01,27.86,27.9,27.835,27.89,27.89,7661575.0,7661575.0,0.03,0.108,27.875,"September 01, 22",0.00108
2022-08-31,27.87,27.92,27.83,27.84,27.84,5787063.0,5787063.0,-0.03,-0.108,27.86333,"August 31, 22",-0.00108
2022-08-30,27.85,27.895,27.85,27.86,27.86,2707106.0,2707106.0,0.01,0.036,27.86833,"August 30, 22",3.6E-4
2022-08-29,27.82,27.91,27.82,27.85,27.85,2267709.0,2267709.0,0.03,0.108,27.86,"August 29, 22",0.00108
2022-08-26,27.85,27.87,27.835,27.84,27.84,2210224.0,2210224.0,-0.01,-0.036,27.84833,"August 26, 22",-3.6E-4
2022-08-25,27.82,27.9,27.81,27.84,27.84,1559603.0,1559603.0,0.02,0.072,27.85,"August 25, 22",7.2E-4
