date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,4.34,4.46,4.32,4.41,4.41,3.1447303E7,3.1447303E7,0.07,1.613,4.39667,"October 25, 22",0.01613
2022-10-24,4.28,4.34,4.24,4.29,4.29,3.8240478E7,3.8240478E7,0.01,0.234,4.29,"October 24, 22",0.00234
2022-10-21,4.14,4.25,4.1348,4.25,4.25,3.6979914E7,3.6979914E7,0.11,2.657,4.2116,"October 21, 22",0.02657
2022-10-20,4.23,4.3299999,4.0799999,4.1599998,4.1599998,6.24349E7,6.24349E7,-0.07,-1.655,4.19,"October 20, 22",-0.01655
2022-10-19,4.6100001,4.6399999,4.5300002,4.5599999,4.5599999,3.42545E7,3.42545E7,-0.05,-1.085,4.57667,"October 19, 22",-0.01085
2022-10-18,4.7199998,4.73,4.6199999,4.6500001,4.6500001,4.60388E7,4.60388E7,-0.07,-1.483,4.66667,"October 18, 22",-0.01483
2022-10-17,4.6100001,4.6599998,4.5599999,4.5799999,4.5799999,3.94446E7,3.94446E7,-0.03,-0.651,4.6,"October 17, 22",-0.00651
2022-10-14,4.5500002,4.5700002,4.4299998,4.4499998,4.4499998,2.99901E7,2.99901E7,-0.1,-2.198,4.48333,"October 14, 22",-0.02198
2022-10-13,4.3600001,4.54,4.3200002,4.52,4.52,3.83665E7,3.83665E7,0.16,3.67,4.46,"October 13, 22",0.0367
2022-10-12,4.3699999,4.4099998,4.3499999,4.3499999,4.3499999,1.92411E7,1.92411E7,-0.02,-0.458,4.37,"October 12, 22",-0.00458
2022-10-11,4.3600001,4.4000001,4.29,4.3099999,4.3099999,2.14828E7,2.14828E7,-0.05,-1.147,4.33333,"October 11, 22",-0.01147
2022-10-10,4.4099998,4.4200001,4.3200002,4.3499999,4.3499999,1.58317E7,1.58317E7,-0.06,-1.361,4.36333,"October 10, 22",-0.01361
2022-10-07,4.4400001,4.4499998,4.3899999,4.4200001,4.4200001,1.91202E7,1.91202E7,-0.02,-0.45,4.42,"October 07, 22",-0.0045
2022-10-06,4.5100002,4.5500002,4.48,4.5100002,4.5100002,1.83712E7,1.83712E7,0.0,0.0,4.51333,"October 06, 22",0.0
2022-10-05,4.54,4.6100001,4.5100002,4.5599999,4.5599999,1.7768E7,1.7768E7,0.02,0.441,4.56,"October 05, 22",0.00441
2022-10-04,4.54,4.6199999,4.5300002,4.6100001,4.6100001,2.13657E7,2.13657E7,0.07,1.542,4.58667,"October 04, 22",0.01542
2022-10-03,4.3600001,4.4499998,4.3299999,4.3899999,4.3899999,2.29923E7,2.29923E7,0.03,0.688,4.39,"October 03, 22",0.00688
2022-09-30,4.2600002,4.3400002,4.2600002,4.27,4.27,1.6812E7,1.6812E7,0.01,0.235,4.29,"September 30, 22",0.00235
2022-09-29,4.2800002,4.29,4.21,4.2800002,4.2800002,1.97362E7,1.97362E7,0.0,0.0,4.26,"September 29, 22",0.0
2022-09-28,4.2600002,4.3699999,4.2399998,4.3600001,4.3600001,2.29301E7,2.29301E7,0.1,2.347,4.32333,"September 28, 22",0.02347
2022-09-27,4.29,4.3200002,4.1900001,4.2199998,4.2199998,2.43587E7,2.43587E7,-0.07,-1.632,4.24333,"September 27, 22",-0.01632
2022-09-26,4.2399998,4.3000002,4.1999998,4.2399998,4.2399998,2.30564E7,2.30564E7,0.0,0.0,4.24667,"September 26, 22",0.0
2022-09-23,4.29,4.3200002,4.2199998,4.2600002,4.2600002,3.22093E7,3.22093E7,-0.03,-0.699,4.26667,"September 23, 22",-0.00699
2022-09-22,4.4899998,4.5,4.4200001,4.4400001,4.4400001,2.3289E7,2.3289E7,-0.05,-1.114,4.45333,"September 22, 22",-0.01114
2022-09-21,4.5500002,4.6300001,4.5,4.5,4.5,1.93432E7,1.93432E7,-0.05,-1.099,4.54333,"September 21, 22",-0.01099
2022-09-20,4.5799999,4.6300001,4.5599999,4.5900002,4.5900002,1.39636E7,1.39636E7,0.01,0.218,4.59333,"September 20, 22",0.00218
2022-09-19,4.5500002,4.6900001,4.5500002,4.6799998,4.6799998,2.53878E7,2.53878E7,0.13,2.857,4.64,"September 19, 22",0.02857
2022-09-16,4.73,4.77,4.5900002,4.6300001,4.6300001,5.81443E7,5.81443E7,-0.1,-2.114,4.66333,"September 16, 22",-0.02114
2022-09-15,4.9099998,4.9400001,4.8600001,4.8699999,4.8699999,2.28735E7,2.28735E7,-0.04,-0.815,4.89,"September 15, 22",-0.00815
2022-09-14,4.9400001,4.98,4.8899999,4.9400001,4.9400001,2.46898E7,2.46898E7,0.0,0.0,4.93667,"September 14, 22",0.0
2022-09-13,5.0700002,5.0900002,4.96,4.96,4.96,2.39103E7,2.39103E7,-0.11,-2.17,5.00333,"September 13, 22",-0.0217
2022-09-12,5.1399999,5.1900001,5.1100001,5.1300001,5.1300001,2.14018E7,2.14018E7,-0.01,-0.195,5.14333,"September 12, 22",-0.00195
2022-09-09,5.0500002,5.0999999,5.04,5.0700002,5.0700002,1.76385E7,1.76385E7,0.02,0.396,5.07,"September 09, 22",0.00396
2022-09-08,4.9200001,5.0100002,4.9000001,5.0,5.0,2.36507E7,2.36507E7,0.08,1.626,4.97,"September 08, 22",0.01626
2022-09-07,4.9400001,5.0100002,4.9099998,5.0,5.0,2.14166E7,2.14166E7,0.06,1.215,4.97333,"September 07, 22",0.01215
2022-09-06,4.9699998,4.98,4.8800001,4.9200001,4.9200001,3.0641E7,3.0641E7,-0.05,-1.006,4.92667,"September 06, 22",-0.01006
2022-09-02,5.0500002,5.0799999,4.9200001,4.9299998,4.9299998,3.44319E7,3.44319E7,-0.12,-2.376,4.97667,"September 02, 22",-0.02376
2022-09-01,5.0,5.02,4.9099998,4.98,4.98,2.91301E7,2.91301E7,-0.02,-0.4,4.97,"September 01, 22",-0.004
2022-08-31,5.04,5.0900002,5.0300002,5.0500002,5.0500002,3.95269E7,3.95269E7,0.01,0.198,5.05667,"August 31, 22",0.00198
2022-08-30,4.8600001,4.8800001,4.79,4.8200002,4.8200002,2.55724E7,2.55724E7,-0.04,-0.823,4.83,"August 30, 22",-0.00823
2022-08-29,4.8200002,4.8600001,4.8000002,4.8099999,4.8099999,3.29455E7,3.29455E7,-0.01,-0.207,4.82333,"August 29, 22",-0.00207
2022-08-26,5.02,5.0599999,4.8699999,4.8699999,4.8699999,4.41356E7,4.41356E7,-0.15,-2.988,4.93333,"August 26, 22",-0.02988
2022-08-25,4.98,5.0700002,4.9699998,5.0700002,5.0700002,2.64567E7,2.64567E7,0.09,1.807,5.03667,"August 25, 22",0.01807
2022-08-24,4.9099998,4.9899998,4.9000001,4.9499998,4.9499998,2.53492E7,2.53492E7,0.04,0.815,4.94667,"August 24, 22",0.00815
2022-08-23,4.9099998,5.0100002,4.9099998,4.9400001,4.9400001,3.50871E7,3.50871E7,0.03,0.611,4.95333,"August 23, 22",0.00611
2022-08-22,4.9499998,4.96,4.9099998,4.9499998,4.9499998,2.74717E7,2.74717E7,0.0,0.0,4.94,"August 22, 22",0.0
2022-08-19,5.0500002,5.0799999,5.0,5.04,5.04,2.76163E7,2.76163E7,-0.01,-0.198,5.04,"August 19, 22",-0.00198
2022-08-18,5.0700002,5.1300001,5.04,5.1300001,5.1300001,1.53295E7,1.53295E7,0.06,1.183,5.1,"August 18, 22",0.01183
2022-08-17,5.1199999,5.1300001,5.02,5.0599999,5.0599999,2.58972E7,2.58972E7,-0.06,-1.172,5.07,"August 17, 22",-0.01172
2022-08-16,5.0999999,5.1799998,5.0900002,5.1700001,5.1700001,2.18708E7,2.18708E7,0.07,1.373,5.14667,"August 16, 22",0.01373
2022-08-15,5.0999999,5.1300001,5.0599999,5.1100001,5.1100001,2.22695E7,2.22695E7,0.01,0.196,5.1,"August 15, 22",0.00196
2022-08-12,5.1700001,5.21,5.1599998,5.21,5.21,1.65189E7,1.65189E7,0.04,0.774,5.19333,"August 12, 22",0.00774
2022-08-11,5.21,5.25,5.1900001,5.21,5.21,2.12542E7,2.12542E7,0.0,0.0,5.21667,"August 11, 22",0.0
2022-08-10,5.1999998,5.2199998,5.1599998,5.21,5.21,1.79773E7,1.79773E7,0.01,0.192,5.19667,"August 10, 22",0.00192
2022-08-09,5.1799998,5.1900001,5.0700002,5.0799999,5.0799999,2.51003E7,2.51003E7,-0.1,-1.931,5.11333,"August 09, 22",-0.01931
2022-08-08,5.2199998,5.2800002,5.1799998,5.1999998,5.1999998,2.64676E7,2.64676E7,-0.02,-0.383,5.22,"August 08, 22",-0.00383
2022-08-05,5.1500001,5.2600002,5.1399999,5.2600002,5.2600002,3.04024E7,3.04024E7,0.11,2.136,5.22,"August 05, 22",0.02136
2022-08-04,5.21,5.2600002,5.1999998,5.23,5.23,2.23416E7,2.23416E7,0.02,0.384,5.23,"August 04, 22",0.00384
2022-08-03,5.1700001,5.2199998,5.1500001,5.2199998,5.2199998,2.41902E7,2.41902E7,0.05,0.967,5.19667,"August 03, 22",0.00967
2022-08-02,5.1700001,5.21,5.1500001,5.1500001,5.1500001,2.90765E7,2.90765E7,-0.02,-0.387,5.17,"August 02, 22",-0.00387
2022-08-01,5.2199998,5.27,5.1900001,5.23,5.23,2.74843E7,2.74843E7,0.01,0.192,5.23,"August 01, 22",0.00192
2022-07-29,5.1900001,5.1999998,5.1500001,5.1799998,5.1799998,1.6225E7,1.6225E7,-0.01,-0.193,5.17667,"July 29, 22",-0.00193
2022-07-28,5.1500001,5.1999998,5.1300001,5.1999998,5.1999998,1.86116E7,1.86116E7,0.05,0.971,5.17667,"July 28, 22",0.00971
2022-07-27,5.1199999,5.21,5.0999999,5.1700001,5.1700001,2.37034E7,2.37034E7,0.05,0.977,5.16,"July 27, 22",0.00977
2022-07-26,5.0799999,5.0900002,5.0300002,5.04,5.04,1.73091E7,1.73091E7,-0.04,-0.787,5.05333,"July 26, 22",-0.00787
2022-07-25,5.1199999,5.1700001,5.0799999,5.1100001,5.1100001,2.38007E7,2.38007E7,-0.01,-0.195,5.12,"July 25, 22",-0.00195
2022-07-22,5.0900002,5.1599998,5.0799999,5.0999999,5.0999999,2.58849E7,2.58849E7,0.01,0.196,5.11333,"July 22, 22",0.00196
2022-07-21,4.9699998,5.1399999,4.96,5.1199999,5.1199999,3.7441E7,3.7441E7,0.15,3.018,5.07333,"July 21, 22",0.03018
2022-07-20,4.6799998,4.7199998,4.6399999,4.6999998,4.6999998,2.22493E7,2.22493E7,0.02,0.427,4.68667,"July 20, 22",0.00427
2022-07-19,4.5700002,4.6900001,4.5599999,4.6799998,4.6799998,2.08096E7,2.08096E7,0.11,2.407,4.64333,"July 19, 22",0.02407
2022-07-18,4.6300001,4.6599998,4.5599999,4.5700002,4.5700002,2.31601E7,2.31601E7,-0.06,-1.296,4.59667,"July 18, 22",-0.01296
