date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,132.81,136.57,132.56,136.51,136.51,1647680.0,1647680.0,3.7,2.786,135.21333,"October 25, 22",0.02786
2022-10-24,134.87,135.725,132.28,134.75,134.75,2190805.0,2190805.0,-0.12,-0.089,134.25167,"October 24, 22",-8.9E-4
2022-10-21,125.33,135.56,125.28,135.56,135.56,3677804.0,3677804.0,10.23,8.162,132.13333,"October 21, 22",0.08162
2022-10-20,117.35,126.42,116.08,124.92,124.92,3323914.0,3323914.0,7.57,6.451,122.47333,"October 20, 22",0.06451
2022-10-19,124.22,125.92,121.82,121.89,121.89,2130011.0,2130011.0,-2.33,-1.876,123.21,"October 19, 22",-0.01876
2022-10-18,124.89,125.8,122.7,124.46,124.46,1247113.0,1247113.0,-0.43,-0.344,124.32,"October 18, 22",-0.00344
2022-10-17,121.68,124.4,121.35,122.09,122.09,1473241.0,1473241.0,0.41,0.337,122.61333,"October 17, 22",0.00337
2022-10-14,124.41,124.7154,118.03,118.71,118.71,1940249.0,1940249.0,-5.7,-4.582,120.48513,"October 14, 22",-0.04582
2022-10-13,116.45,124.93,114.86,124.0,124.0,2139019.0,2139019.0,7.55,6.483,121.26333,"October 13, 22",0.06483
2022-10-12,118.77,120.13,117.56,119.31,119.31,1316011.0,1316011.0,0.54,0.455,119.0,"October 12, 22",0.00455
2022-10-11,116.97,121.23,116.61,118.86,118.86,1655249.0,1655249.0,1.89,1.616,118.9,"October 11, 22",0.01616
2022-10-10,117.16,118.62,116.16,118.07,118.07,1285046.0,1285046.0,0.91,0.777,117.61667,"October 10, 22",0.00777
2022-10-07,117.0,117.45,113.94,115.01,115.01,1923562.0,1923562.0,-1.99,-1.701,115.46667,"October 07, 22",-0.01701
2022-10-06,116.18,120.46,116.18,117.81,117.81,2172016.0,2172016.0,1.63,1.403,118.15,"October 06, 22",0.01403
2022-10-05,117.38,118.77,116.28,117.85,117.85,1612442.0,1612442.0,0.47,0.4,117.63333,"October 05, 22",0.004
2022-10-04,116.01,119.51,115.57,119.31,119.31,2158050.0,2158050.0,3.3,2.845,118.13,"October 04, 22",0.02845
2022-10-03,109.81,115.0,109.27,114.33,114.33,2397829.0,2397829.0,4.52,4.116,112.86667,"October 03, 22",0.04116
2022-09-30,104.9800034,109.1600037,104.3600006,106.9899979,106.9899979,2251000.0,2251000.0,2.00999,1.915,106.83667,"September 30, 22",0.01915
2022-09-29,106.0500031,106.5,103.8300018,105.2900009,105.2900009,1425100.0,1425100.0,-0.76,-0.717,105.20667,"September 29, 22",-0.00717
2022-09-28,104.6399994,107.4100037,103.9899979,106.9199982,106.4199982,1555200.0,1555200.0,1.78,1.701,105.94,"September 28, 22",0.01701
2022-09-27,104.9000015,105.8600006,103.75,105.2900009,104.7976227,1590300.0,1590300.0,-0.10238,-0.098,104.80254,"September 27, 22",-9.8E-4
2022-09-26,104.5500031,106.25,102.8600006,103.3899994,102.9065094,2078900.0,2078900.0,-1.64349,-1.572,104.0055,"September 26, 22",-0.01572
2022-09-23,105.9899979,106.5500031,103.5699997,105.8700027,105.3749084,1982200.0,1982200.0,-0.61509,-0.58,105.16497,"September 23, 22",-0.0058
2022-09-22,112.4300003,112.6299973,107.9300003,108.8499985,108.3409729,2436900.0,2436900.0,-4.08903,-3.637,109.63366,"September 22, 22",-0.03637
2022-09-21,114.1900024,115.5,110.4199982,110.5,109.9832611,2553600.0,2553600.0,-4.20674,-3.684,111.96775,"September 21, 22",-0.03684
2022-09-20,116.1699982,116.6500015,112.8199997,113.5199966,112.9891281,2324300.0,2324300.0,-3.18087,-2.738,114.15304,"September 20, 22",-0.02738
2022-09-19,116.0899963,119.1299973,115.1999969,118.8199997,118.2643509,1728100.0,1728100.0,2.17435,1.873,117.53145,"September 19, 22",0.01873
2022-09-16,115.7099991,117.7399979,114.1500015,117.0800018,116.532486,3868300.0,3868300.0,0.82249,0.711,116.14083,"September 16, 22",0.00711
2022-09-15,121.2300034,121.2399979,116.5999985,117.2699966,116.7215958,3278300.0,3278300.0,-4.50841,-3.719,118.1872,"September 15, 22",-0.03719
2022-09-14,130.9900055,131.8699951,119.3300018,120.7099991,120.1455078,5548600.0,5548600.0,-10.8445,-8.279,123.78183,"September 14, 22",-0.08279
2022-09-13,138.5399933,140.6699982,135.1399994,136.1000061,135.4635468,1705100.0,1705100.0,-3.07645,-2.221,137.09118,"September 13, 22",-0.02221
2022-09-12,144.6699982,145.4400024,140.7700043,141.7200012,141.0572662,1416100.0,1416100.0,-3.61273,-2.497,142.42242,"September 12, 22",-0.02497
2022-09-09,141.0,144.0399933,140.6600037,143.5599976,142.8886566,1636900.0,1636900.0,1.88866,1.339,142.52955,"September 09, 22",0.01339
2022-09-08,135.0500031,139.6600037,134.2200012,139.4199982,138.7680206,1489800.0,1489800.0,3.71802,2.753,137.54934,"September 08, 22",0.02753
2022-09-07,132.3500061,136.0,130.3699951,135.6100006,134.9758301,1389700.0,1389700.0,2.62582,1.984,133.78194,"September 07, 22",0.01984
2022-09-06,131.0,135.0299988,130.4199982,134.4499969,133.8212585,2076700.0,2076700.0,2.82126,2.154,133.09042,"September 06, 22",0.02154
2022-09-02,132.6999969,134.2899933,129.9299927,130.7799988,130.1684265,1087900.0,1087900.0,-2.53157,-1.908,131.4628,"September 02, 22",-0.01908
2022-09-01,130.2400055,130.5700073,126.7099991,130.3999939,129.7901917,2110200.0,2110200.0,-0.44981,-0.345,129.0234,"September 01, 22",-0.00345
2022-08-31,135.2200012,136.2400055,131.0800018,132.9400024,132.3183289,2333200.0,2333200.0,-2.90167,-2.146,133.21278,"August 31, 22",-0.02146
2022-08-30,139.4100037,139.5599976,133.4600067,135.1999969,134.567749,1924200.0,1924200.0,-4.84225,-3.473,135.86258,"August 30, 22",-0.03473
2022-08-29,138.9499969,141.5399933,137.3999939,139.5599976,138.9073639,1195500.0,1195500.0,-0.04263,-0.031,139.28245,"August 29, 22",-3.1E-4
2022-08-26,144.6300049,146.1000061,140.4199982,140.5099945,139.8529205,1610300.0,1610300.0,-4.77708,-3.303,142.12431,"August 26, 22",-0.03303
2022-08-25,138.7299957,144.2400055,138.7299957,144.2100067,143.5356293,1476100.0,1476100.0,4.80563,3.464,142.16854,"August 25, 22",0.03464
