date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,126.935,133.0,126.6401,132.61,132.61,5.0121399E7,5.0121399E7,5.675,4.471,130.75003,"October 25, 22",0.04471
2022-10-24,125.08,127.1,120.65,125.99,125.99,5.1750258E7,5.1750258E7,0.91,0.728,124.58,"October 24, 22",0.00728
2022-10-21,120.982,124.98,118.87,124.66,124.66,6.0954904E7,6.0954904E7,3.678,3.04,122.83667,"October 21, 22",0.0304
2022-10-20,121.13,127.69,121.05,121.94,121.94,6.5003706E7,6.5003706E7,0.81,0.669,123.56,"October 20, 22",0.00669
2022-10-19,118.79,123.5,118.34,120.51,120.51,5.2228139E7,5.2228139E7,1.72,1.448,120.78333,"October 19, 22",0.01448
2022-10-18,123.44,124.91,116.18,119.67,119.67,6.5938464E7,6.5938464E7,-3.77,-3.054,120.25333,"October 18, 22",-0.03054
2022-10-17,115.18,119.48,115.17,118.88,118.88,5.8079715E7,5.8079715E7,3.7,3.212,117.84333,"October 17, 22",0.03212
2022-10-14,120.57,121.11,112.05,112.27,112.27,7.1344807E7,7.1344807E7,-8.3,-6.884,115.14333,"October 14, 22",-0.06884
2022-10-13,109.71,120.7799,108.13,119.6,119.6,8.4290534E7,8.4290534E7,9.89,9.015,116.16997,"October 13, 22",0.09015
2022-10-12,115.79,117.35,113.46,115.0,115.0,4.9262446E7,4.9262446E7,-0.79,-0.682,115.27,"October 12, 22",-0.00682
2022-10-11,115.61,118.4494,112.83,115.86,115.86,6.6748204E7,6.6748204E7,0.25,0.216,115.71313,"October 11, 22",0.00216
2022-10-10,120.37,121.24,114.08,116.7,116.7,6.9793799E7,6.9793799E7,-3.67,-3.049,117.34,"October 10, 22",-0.03049
2022-10-07,125.05,126.69,120.22,120.76,120.76,6.7249241E7,6.7249241E7,-4.29,-3.431,122.55667,"October 07, 22",-0.03431
2022-10-06,132.2,136.56,131.03,131.3,131.3,6.4210753E7,6.4210753E7,-0.9,-0.681,132.96333,"October 06, 22",-0.00681
2022-10-05,129.11,133.21,126.21,132.09,132.09,5.0618683E7,5.0618683E7,2.98,2.308,130.50333,"October 05, 22",0.02308
2022-10-04,128.79,132.2,128.79,131.67,131.67,5.8420405E7,5.8420405E7,2.88,2.236,130.88667,"October 04, 22",0.02236
2022-10-03,123.47,126.78,121.05,125.12,125.12,5.4659432E7,5.4659432E7,1.65,1.336,124.31667,"October 03, 22",0.01336
2022-09-30,120.87,126.3205,120.75,121.39,121.39,5.6569039E7,5.6569039E7,0.52,0.43,122.82017,"September 30, 22",0.0043
2022-09-29,124.48,125.0,119.4601,122.2,122.2,5.3128856E7,5.3128856E7,-2.28,-1.832,122.22003,"September 29, 22",-0.01832
2022-09-28,124.1,128.23,123.55,127.36,127.36,5.4130032E7,5.4130032E7,3.26,2.627,126.38,"September 28, 22",0.02627
2022-09-27,125.07,127.36,122.58,124.13,124.13,5.5389461E7,5.5389461E7,-0.94,-0.752,124.69,"September 27, 22",-0.00752
2022-09-26,124.9100037,126.5899963,122.1399994,122.2799988,122.2799988,5.47343E7,5.47343E7,-2.63,-2.106,123.67,"September 26, 22",-0.02106
2022-09-23,124.1999969,126.1100006,122.5699997,125.1600037,125.1600037,6.6184E7,6.6184E7,0.96001,0.773,124.61333,"September 23, 22",0.00773
2022-09-22,130.6999969,131.4900055,124.2799988,125.6100006,125.6100006,7.59162E7,7.59162E7,-5.09,-3.894,127.12667,"September 22, 22",-0.03894
2022-09-21,132.1300049,140.3099976,131.1000061,132.6100006,132.6100006,8.07679E7,8.07679E7,0.48,0.363,134.67333,"September 21, 22",0.00363
2022-09-20,132.1499939,134.8300018,130.5700073,131.7599945,131.7599945,5.24818E7,5.24818E7,-0.39,-0.295,132.38667,"September 20, 22",-0.00295
2022-09-19,130.1199951,134.6300049,130.1000061,133.8200073,133.8200073,5.69685E7,5.69685E7,3.70001,2.844,132.85001,"September 19, 22",0.02844
2022-09-16,127.4199982,132.1199951,126.1699982,131.9799957,131.9799957,6.69991E7,6.69991E7,4.56,3.579,130.09,"September 16, 22",0.03579
2022-09-15,130.1499939,132.3300018,127.9000015,129.2899933,129.2899933,5.23625E7,5.23625E7,-0.86,-0.661,129.84,"September 15, 22",-0.00661
2022-09-14,132.5399933,132.8999939,129.1300049,131.2799988,131.2799988,5.88507E7,5.88507E7,-1.25999,-0.951,131.10333,"September 14, 22",-0.00951
2022-09-13,138.0200043,139.2200012,130.9900055,131.3099976,131.3099976,7.14956E7,7.14956E7,-6.71001,-4.862,133.84,"September 13, 22",-0.04862
2022-09-12,143.6900024,145.4700012,141.9799957,145.0500031,145.0500031,4.84159E7,4.84159E7,1.36,0.946,144.16667,"September 12, 22",0.00946
2022-09-09,141.5700073,144.7400055,141.2599945,143.8699951,143.8699951,4.86612E7,4.86612E7,2.29999,1.625,143.29,"September 09, 22",0.01625
2022-09-08,134.5899963,140.0800018,133.6900024,139.8999939,139.8999939,6.24873E7,6.24873E7,5.31,3.945,137.89,"September 08, 22",0.03945
2022-09-07,135.6300049,138.3800049,133.4600067,137.1399994,137.1399994,5.12657E7,5.12657E7,1.50999,1.113,136.32667,"September 07, 22",0.01113
2022-09-06,137.3099976,137.7899933,133.5099945,134.6499939,134.6100006,5.35751E7,5.35751E7,-2.7,-1.966,135.30333,"September 06, 22",-0.01966
2022-09-02,141.0,141.7100067,135.9100037,136.4700012,136.4294586,7.4259E7,7.4259E7,-4.57054,-3.242,138.01649,"September 02, 22",-0.03242
2022-09-01,142.0899963,143.8000031,132.6999969,139.3699951,139.328598,1.178865E8,1.178865E8,-2.7614,-1.943,138.60953,"September 01, 22",-0.01943
2022-08-31,153.8399963,155.3999939,149.5899963,150.9400024,150.8951569,5.7371E7,5.7371E7,-2.94484,-1.914,151.96172,"August 31, 22",-0.01914
2022-08-30,159.6000061,160.3899994,151.8200073,154.6799927,154.6340485,5.30181E7,5.30181E7,-4.96596,-3.112,155.61469,"August 30, 22",-0.03112
