date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-08-26,146.54,147.61,144.05,145.53,145.53,301925.0,301925.0,-1.01,-0.689,145.73,"August 26, 22",-0.00689
2022-08-25,148.62,148.63,143.68,146.47,146.47,255398.0,255398.0,-2.15,-1.447,146.26,"August 25, 22",-0.01447
2022-08-24,145.0,147.12,142.65,146.74,146.74,391708.0,391708.0,1.74,1.2,145.50333,"August 24, 22",0.012
2022-08-23,139.63,144.94,138.26,144.41,144.41,616031.0,616031.0,4.78,3.423,142.53667,"August 23, 22",0.03423
2022-08-22,133.09,138.06,130.65,137.97,137.97,390318.0,390318.0,4.88,3.667,135.56,"August 22, 22",0.03667
2022-08-19,134.96,137.0,133.6975,134.75,134.75,328912.0,328912.0,-0.21,-0.156,135.14917,"August 19, 22",-0.00156
2022-08-18,136.0,139.68,135.315,136.72,136.72,451923.0,451923.0,0.72,0.529,137.23833,"August 18, 22",0.00529
2022-08-17,130.0,135.17,129.41,133.99,133.99,369174.0,369174.0,3.99,3.069,132.85667,"August 17, 22",0.03069
2022-08-16,134.28,136.47,130.05,132.36,132.36,478221.0,478221.0,-1.92,-1.43,132.96,"August 16, 22",-0.0143
2022-08-15,130.8,133.44,126.8,132.94,132.94,546264.0,546264.0,2.14,1.636,131.06,"August 15, 22",0.01636
2022-08-12,133.79,138.34,132.35,137.26,137.26,485957.0,485957.0,3.47,2.594,135.98333,"August 12, 22",0.02594
2022-08-11,133.35,136.04,131.31,134.57,134.57,487770.0,487770.0,1.22,0.915,133.97333,"August 11, 22",0.00915
2022-08-10,129.39,130.06,124.4501,129.96,129.96,537197.0,537197.0,0.57,0.441,128.1567,"August 10, 22",0.00441
2022-08-09,128.82,129.6653,125.855,127.01,127.01,447388.0,447388.0,-1.81,-1.405,127.5101,"August 09, 22",-0.01405
2022-08-08,125.75,128.0,124.14,125.96,125.96,344299.0,344299.0,0.21,0.167,126.03333,"August 08, 22",0.00167
2022-08-05,117.58,125.97,117.58,124.77,124.77,479821.0,479821.0,7.19,6.115,122.77333,"August 05, 22",0.06115
2022-08-04,124.0,127.41,119.61,120.09,120.09,686304.0,686304.0,-3.91,-3.153,122.37,"August 04, 22",-0.03153
2022-08-02,127.08,128.37,123.5003,127.38,127.38,275444.0,275444.0,0.3,0.236,126.41677,"August 02, 22",0.00236
2022-08-01,125.7,128.36,122.65,127.14,127.14,332560.0,332560.0,1.44,1.146,126.05,"August 01, 22",0.01146
2022-07-27,118.36,121.59,117.76,121.15,121.15,356922.0,356922.0,2.79,2.357,120.16667,"July 27, 22",0.02357
2022-07-26,119.65,120.74,115.675,117.6,117.6,248565.0,248565.0,-2.05,-1.713,118.005,"July 26, 22",-0.01713
2022-07-25,113.68,118.43,113.68,118.23,118.23,277333.0,277333.0,4.55,4.002,116.78,"July 25, 22",0.04002
2022-07-22,113.07,115.135,111.8,113.14,113.14,364181.0,364181.0,0.07,0.062,113.35833,"July 22, 22",6.2E-4
2022-07-21,113.76,114.5,111.12,114.07,114.07,314228.0,314228.0,0.31,0.273,113.23,"July 21, 22",0.00273
2022-07-20,113.27,117.02,111.9,116.66,116.66,304869.0,304869.0,3.39,2.993,115.19333,"July 20, 22",0.02993
2022-07-19,109.51,114.125,108.16,113.85,113.85,458287.0,458287.0,4.34,3.963,112.045,"July 19, 22",0.03963
2022-07-18,109.03,113.08,107.41,108.21,108.21,600015.0,600015.0,-0.82,-0.752,109.56667,"July 18, 22",-0.00752
