date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,56.15,57.645,55.9,57.59,57.59,1683635.0,1683635.0,1.44,2.565,57.045,"October 25, 22",0.02565
2022-10-24,56.96,57.0,55.94,56.31,56.31,2170973.0,2170973.0,-0.65,-1.141,56.41667,"October 24, 22",-0.01141
2022-10-21,55.4300003,56.7299995,54.75,56.5999985,56.5999985,2343400.0,2343400.0,1.17,2.111,56.02667,"October 21, 22",0.02111
2022-10-20,55.1199989,55.9000015,54.4900017,55.0699997,55.0699997,2697500.0,2697500.0,-0.05,-0.091,55.15333,"October 20, 22",-9.1E-4
2022-10-19,55.4599991,56.0699997,54.9399986,55.1399994,55.1399994,2938300.0,2938300.0,-0.32,-0.577,55.38333,"October 19, 22",-0.00577
2022-10-18,55.5699997,56.3800011,54.8800011,55.6699982,55.6699982,2224700.0,2224700.0,0.1,0.18,55.64333,"October 18, 22",0.0018
2022-10-17,54.7299995,55.4399986,54.5999985,54.7999992,54.7999992,2576200.0,2576200.0,0.07,0.128,54.94667,"October 17, 22",0.00128
2022-10-14,55.4099998,56.0800018,53.7400017,54.0699997,54.0699997,2710600.0,2710600.0,-1.34,-2.418,54.63,"October 14, 22",-0.02418
2022-10-13,52.8800011,55.9000015,52.6199989,55.6800003,55.6800003,2243700.0,2243700.0,2.8,5.295,54.73333,"October 13, 22",0.05295
2022-10-12,53.0800018,53.75,52.4700012,53.4599991,53.4599991,1683800.0,1683800.0,0.38,0.716,53.22667,"October 12, 22",0.00716
2022-10-11,52.6599998,54.4300003,52.6100006,53.5900002,53.5900002,2358100.0,2358100.0,0.93,1.766,53.54333,"October 11, 22",0.01766
2022-10-10,54.4300003,55.4900017,53.1800003,53.2900009,53.2900009,1921800.0,1921800.0,-1.14,-2.094,53.98667,"October 10, 22",-0.02094
2022-10-07,55.5299988,55.6399994,53.9500008,54.5299988,54.5299988,3595600.0,3595600.0,-1.0,-1.801,54.70667,"October 07, 22",-0.01801
2022-10-06,55.9799995,57.2900009,55.3899994,55.6300011,55.6300011,2246000.0,2246000.0,-0.35,-0.625,56.10333,"October 06, 22",-0.00625
2022-10-05,55.8100014,56.9599991,55.0499992,56.5200005,56.5200005,2367200.0,2367200.0,0.71,1.272,56.17667,"October 05, 22",0.01272
2022-10-04,54.5699997,56.3800011,54.3400002,56.3199997,56.3199997,2758500.0,2758500.0,1.75,3.207,55.68,"October 04, 22",0.03207
2022-10-03,52.9500008,53.8499985,52.7200012,53.5499992,53.5499992,2579100.0,2579100.0,0.6,1.133,53.37333,"October 03, 22",0.01133
2022-09-30,51.8199997,52.2700005,51.0299988,51.2400017,51.2400017,3876400.0,3876400.0,-0.58,-1.119,51.51333,"September 30, 22",-0.01119
2022-09-29,52.4399986,52.4399986,50.75,51.9799995,51.9799995,3203500.0,3203500.0,-0.46,-0.877,51.72333,"September 29, 22",-0.00877
2022-09-28,51.4000015,53.1300011,50.8899994,52.9399986,52.9399986,3812400.0,3812400.0,1.54,2.996,52.32,"September 28, 22",0.02996
2022-09-27,51.5900002,52.3600006,50.5600014,50.9799995,50.9799995,3008300.0,3008300.0,-0.61,-1.182,51.3,"September 27, 22",-0.01182
2022-09-26,52.4399986,52.7599983,50.5,50.5800018,50.5800018,3765800.0,3765800.0,-1.86,-3.547,51.28,"September 26, 22",-0.03547
2022-09-23,55.7200012,55.7599983,51.8800011,52.7599983,52.7599983,4643700.0,4643700.0,-2.96,-5.312,53.46667,"September 23, 22",-0.05312
2022-09-22,59.0900002,59.1300011,57.5900002,57.6199989,57.6199989,2168900.0,2168900.0,-1.47,-2.488,58.11333,"September 22, 22",-0.02488
2022-09-21,60.7099991,60.7900009,58.4199982,58.4300003,58.4300003,2874500.0,2874500.0,-2.28,-3.756,59.21333,"September 21, 22",-0.03756
2022-09-20,60.5400009,60.5999985,59.0600014,59.7000008,59.7000008,1999400.0,1999400.0,-0.84,-1.388,59.78667,"September 20, 22",-0.01388
2022-09-19,58.75,60.9000015,58.7299995,60.9000015,60.9000015,1851900.0,1851900.0,2.15,3.66,60.17667,"September 19, 22",0.0366
2022-09-16,62.0699997,62.2099991,59.5,60.2200012,60.2200012,5467300.0,5467300.0,-1.85,-2.981,60.64333,"September 16, 22",-0.02981
2022-09-15,62.2799988,63.6199989,62.0699997,62.4599991,62.4599991,2628800.0,2628800.0,0.18,0.289,62.71667,"September 15, 22",0.00289
2022-09-14,62.1699982,63.9700012,62.1599998,63.4399986,63.4399986,3735100.0,3735100.0,1.27,2.043,63.19,"September 14, 22",0.02043
2022-09-13,62.5600014,63.3100014,61.3100014,61.6800003,61.6800003,3225200.0,3225200.0,-0.88,-1.407,62.1,"September 13, 22",-0.01407
2022-09-12,63.2200012,64.1299973,62.7700005,63.8699989,63.8699989,1572600.0,1572600.0,0.65,1.028,63.59,"September 12, 22",0.01028
2022-09-09,62.2299995,62.7700005,61.7999992,62.4900017,62.4900017,1352900.0,1352900.0,0.26,0.418,62.35333,"September 09, 22",0.00418
2022-09-08,60.3600006,61.3499985,60.0499992,61.3100014,61.3100014,1687000.0,1687000.0,0.95,1.574,60.90333,"September 08, 22",0.01574
2022-09-07,58.7700005,60.5499992,58.3600006,60.3800011,60.3800011,1898100.0,1898100.0,1.61,2.739,59.76333,"September 07, 22",0.02739
2022-09-06,61.1300011,61.2200012,59.3699989,59.5600014,59.5600014,1947200.0,1947200.0,-1.57,-2.568,60.05,"September 06, 22",-0.02568
