date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,65.43,67.6,65.4,66.59,66.59,6572805.0,6572805.0,1.16,1.773,66.53,"October 25, 22",0.01773
2022-10-24,66.48,66.88,63.99,65.35,65.35,5918997.0,5918997.0,-1.13,-1.7,65.40667,"October 24, 22",-0.017
2022-10-21,61.4,65.89,60.91,65.68,65.68,8201799.0,8201799.0,4.28,6.971,64.16,"October 21, 22",0.06971
2022-10-20,61.0,63.26,60.44,61.52,61.52,5534208.0,5534208.0,0.52,0.852,61.74,"October 20, 22",0.00852
2022-10-19,60.01,61.74,59.65,60.77,60.77,4199402.0,4199402.0,0.76,1.266,60.72,"October 19, 22",0.01266
2022-10-18,62.39,62.7,59.47,60.73,60.73,5003651.0,5003651.0,-1.66,-2.661,60.96667,"October 18, 22",-0.02661
2022-10-17,59.57,60.76,59.02,59.79,59.79,5881494.0,5881494.0,0.22,0.369,59.85667,"October 17, 22",0.00369
2022-10-14,61.74,61.94,57.62,57.77,57.77,6372493.0,6372493.0,-3.97,-6.43,59.11,"October 14, 22",-0.0643
2022-10-13,56.21,61.37,54.93,60.63,60.63,1.0022351E7,1.0022351E7,4.42,7.863,58.97667,"October 13, 22",0.07863
2022-10-12,58.85,59.68,58.18,58.95,58.95,4571547.0,4571547.0,0.1,0.17,58.93667,"October 12, 22",0.0017
2022-10-11,60.72,60.88,58.34,59.47,59.47,9112970.0,9112970.0,-1.25,-2.059,59.56333,"October 11, 22",-0.02059
2022-10-10,64.82,64.85,59.68,61.93,61.93,8861000.0,8861000.0,-2.89,-4.459,62.15333,"October 10, 22",-0.04459
2022-10-07,68.01,68.17,63.11,64.83,64.83,1.0336225E7,1.0336225E7,-3.18,-4.676,65.37,"October 07, 22",-0.04676
2022-10-06,69.63,71.5706,69.0603,70.25,70.25,6438598.0,6438598.0,0.62,0.89,70.29363,"October 06, 22",0.0089
2022-10-05,67.5,69.84,66.88,69.51,69.51,5886851.0,5886851.0,2.01,2.978,68.74333,"October 05, 22",0.02978
2022-10-04,66.995,68.94,66.81,68.92,68.92,6281951.0,6281951.0,1.925,2.873,68.22333,"October 04, 22",0.02873
2022-10-03,63.01,65.54,61.94,64.79,64.79,6357314.0,6357314.0,1.78,2.825,64.09,"October 03, 22",0.02825
2022-09-30,62.72,64.7,62.31,62.33,62.33,5845841.0,5845841.0,-0.39,-0.622,63.11333,"September 30, 22",-0.00622
2022-09-29,64.0,64.31,61.42,62.94,62.94,7078039.0,7078039.0,-1.06,-1.656,62.89,"September 29, 22",-0.01656
2022-09-28,63.125,65.89,63.0343,65.5,65.5,5071004.0,5071004.0,2.375,3.762,64.8081,"September 28, 22",0.03762
2022-09-27,64.36,65.06,62.75,64.29,64.29,4906263.0,4906263.0,-0.07,-0.109,64.03333,"September 27, 22",-0.00109
2022-09-26,62.91,65.17,62.61,62.7,62.7,5272814.0,5272814.0,-0.21,-0.334,63.49333,"September 26, 22",-0.00334
2022-09-23,63.58,64.18,61.66,63.31,63.31,8227554.0,8227554.0,-0.27,-0.425,63.05,"September 23, 22",-0.00425
2022-09-22,68.18,68.72,64.17,64.96,64.96,6954624.0,6954624.0,-3.22,-4.723,65.95,"September 22, 22",-0.04723
2022-09-21,69.07,71.77,68.32,68.34,68.34,6725538.0,6725538.0,-0.73,-1.057,69.47667,"September 21, 22",-0.01057
2022-09-20,69.43,70.04,67.93,68.48,68.48,5053519.0,5053519.0,-0.95,-1.368,68.81667,"September 20, 22",-0.01368
2022-09-19,67.61,70.89,67.59,70.16,70.16,6673164.0,6673164.0,2.55,3.772,69.54667,"September 19, 22",0.03772
2022-09-16,67.11,69.01,66.3,68.94,68.94,8519362.0,8519362.0,1.83,2.727,68.08333,"September 16, 22",0.02727
2022-09-15,68.21,69.49,67.21,68.15,68.15,4636541.0,4636541.0,-0.06,-0.088,68.28333,"September 15, 22",-8.8E-4
2022-09-14,67.72,69.09,66.27,68.57,68.57,6007998.0,6007998.0,0.85,1.255,67.97667,"September 14, 22",0.01255
2022-09-13,68.59,69.08,66.57,66.87,66.87,9889773.0,9889773.0,-1.72,-2.508,67.50667,"September 13, 22",-0.02508
2022-09-12,71.95,72.33,70.67,71.9,71.9,5592671.0,5592671.0,-0.05,-0.069,71.63333,"September 12, 22",-6.9E-4
2022-09-09,71.59,72.92,71.02,71.67,71.67,8263507.0,8263507.0,0.08,0.112,71.87,"September 09, 22",0.00112
2022-09-08,66.66,70.61,66.385,70.55,70.55,9769858.0,9769858.0,3.89,5.836,69.18167,"September 08, 22",0.05836
2022-09-07,66.1,67.8898,65.635,67.36,67.36,5834153.0,5834153.0,1.26,1.906,66.9616,"September 07, 22",0.01906
2022-09-06,67.75,67.79,65.03,66.05,66.05,6894412.0,6894412.0,-1.7,-2.509,66.29,"September 06, 22",-0.02509
2022-09-02,69.63,70.36,66.86,67.51,67.51,6661814.0,6661814.0,-2.12,-3.045,68.24333,"September 02, 22",-0.03045
2022-09-01,66.712,68.58,65.47,68.22,68.22,9856061.0,9856061.0,1.508,2.26,67.42333,"September 01, 22",0.0226
