date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,73.45,74.11,72.61,73.14,73.14,8470939.0,8470939.0,-0.31,-0.422,73.28667,"October 25, 22",-0.00422
2022-10-24,72.93,73.69,71.78,72.92,72.92,1.1297933E7,1.1297933E7,-0.01,-0.014,72.79667,"October 24, 22",-1.4E-4
2022-10-21,71.03,72.79,70.31,72.7,72.7,1.5649595E7,1.5649595E7,1.67,2.351,71.93333,"October 21, 22",0.02351
2022-10-20,67.53,69.92,67.19,69.25,69.25,1.7598761E7,1.7598761E7,1.72,2.547,68.78667,"October 20, 22",0.02547
2022-10-19,66.49,67.19,65.775,66.3,66.3,5113966.0,5113966.0,-0.19,-0.286,66.42167,"October 19, 22",-0.00286
2022-10-18,68.0,68.58,66.33,67.03,67.03,6574171.0,6574171.0,-0.97,-1.426,67.31333,"October 18, 22",-0.01426
2022-10-17,65.88,67.565,65.87,67.02,67.02,1.0715989E7,1.0715989E7,1.14,1.73,66.81833,"October 17, 22",0.0173
2022-10-14,65.72,66.615,64.21,64.31,64.31,7787634.0,7787634.0,-1.41,-2.145,65.045,"October 14, 22",-0.02145
2022-10-13,62.48,65.705,62.27,65.2,65.2,1.003143E7,1.003143E7,2.72,4.353,64.39167,"October 13, 22",0.04353
2022-10-12,62.62,64.28,62.17,63.78,63.78,9009435.0,9009435.0,1.16,1.852,63.41,"October 12, 22",0.01852
2022-10-11,61.8499985,63.0999985,61.6500015,62.4099998,62.4099998,7376900.0,7376900.0,0.56,0.905,62.38667,"October 11, 22",0.00905
2022-10-10,63.6100006,63.9000015,62.0200005,62.5699997,62.25,6407200.0,6407200.0,-1.36,-2.138,62.72333,"October 10, 22",-0.02138
2022-10-07,64.4899979,64.6200027,62.7400017,63.2900009,62.96632,7137900.0,7137900.0,-1.52368,-2.363,63.44211,"October 07, 22",-0.02363
2022-10-06,66.3300018,66.8099976,65.2200012,65.3000031,64.9660416,6992000.0,6992000.0,-1.36396,-2.056,65.66535,"October 06, 22",-0.02056
2022-10-05,65.3399963,67.1900024,64.9800034,66.6399994,66.2991867,9201600.0,9201600.0,0.95919,1.468,66.1564,"October 05, 22",0.01468
2022-10-04,63.7999992,65.8300018,63.7999992,65.6900024,65.3540497,9892600.0,9892600.0,1.55405,2.436,64.99468,"October 04, 22",0.02436
2022-10-03,60.9900017,63.2400017,60.8100014,63.0800018,62.7573929,9661400.0,9661400.0,1.76739,2.898,62.26913,"October 03, 22",0.02898
2022-09-30,61.2599983,62.1399994,61.0600014,61.0699997,60.7576714,9791300.0,9791300.0,-0.50233,-0.82,61.31922,"September 30, 22",-0.0082
2022-09-29,62.2900009,62.5999985,60.7799988,61.4000015,61.0859871,8882100.0,8882100.0,-1.20401,-1.933,61.48866,"September 29, 22",-0.01933
2022-09-28,62.6199989,63.3499985,62.25,63.0699997,62.7474442,8549900.0,8549900.0,0.12745,0.204,62.78248,"September 28, 22",0.00204
2022-09-27,64.1600037,64.4000015,62.0400009,62.4199982,62.1007652,9284800.0,9284800.0,-2.05924,-3.21,62.84692,"September 27, 22",-0.0321
2022-09-26,64.3300018,64.9199982,63.3899994,63.4500008,63.1254997,6897800.0,6897800.0,-1.2045,-1.872,63.81183,"September 26, 22",-0.01872
2022-09-23,65.3499985,65.4400024,63.8699989,64.5500031,64.2198792,9282500.0,9282500.0,-1.13012,-1.729,64.50996,"September 23, 22",-0.01729
2022-09-22,66.8499985,66.9400024,65.8399963,66.0299988,65.6923065,7190700.0,7190700.0,-1.15769,-1.732,66.15744,"September 22, 22",-0.01732
2022-09-21,68.7099991,68.8799973,66.7399979,66.75,66.4086227,6768200.0,6768200.0,-2.30138,-3.349,67.34287,"September 21, 22",-0.03349
2022-09-20,68.2699966,68.4599991,67.4499969,68.1100006,67.7616653,8624300.0,8624300.0,-0.50833,-0.745,67.89055,"September 20, 22",-0.00745
2022-09-19,68.1999969,69.1299973,67.9100037,69.0699997,68.7167587,8364000.0,8364000.0,0.51676,0.758,68.58559,"September 19, 22",0.00758
2022-09-16,69.5800018,69.8000031,68.25,68.8300018,68.4779892,2.34114E7,2.34114E7,-1.10201,-1.584,68.84266,"September 16, 22",-0.01584
2022-09-15,71.5,72.0899963,69.75,70.2399979,69.8807755,1.24781E7,1.24781E7,-1.61922,-2.265,70.57359,"September 15, 22",-0.02265
2022-09-14,75.7900009,75.8700027,71.7699966,72.1200027,71.7511597,2.16014E7,2.16014E7,-4.03884,-5.329,73.13039,"September 14, 22",-0.05329
2022-09-13,76.0599976,79.4100037,75.7799988,76.0400009,75.6511154,2.94765E7,2.94765E7,-0.40888,-0.538,76.94704,"September 13, 22",-0.00538
2022-09-12,76.6299973,77.3799973,76.2699966,77.0800018,76.6857986,1.56289E7,1.56289E7,0.0558,0.073,76.7786,"September 12, 22",7.3E-4
2022-09-09,74.6500015,76.0100021,74.4400024,75.9100037,75.5217819,7762400.0,7762400.0,0.87178,1.168,75.32393,"September 09, 22",0.01168
2022-09-08,74.0299988,74.8000031,73.6100006,74.6500015,74.268219,6897100.0,6897100.0,0.23822,0.322,74.22607,"September 08, 22",0.00322
2022-09-07,73.6800003,74.6699982,73.4199982,74.4899979,74.1090393,5792600.0,5792600.0,0.42904,0.582,74.06635,"September 07, 22",0.00582
2022-09-06,74.6999969,75.1900024,73.5500031,73.8300018,73.4524155,7090100.0,7090100.0,-1.24758,-1.67,74.06414,"September 06, 22",-0.0167
2022-09-02,75.7399979,76.7699966,74.4800034,74.6800003,74.2980652,1.10277E7,1.10277E7,-1.44193,-1.904,75.18269,"September 02, 22",-0.01904
2022-09-01,74.1200027,75.3700027,73.5299988,75.3000031,74.9149017,8139800.0,8139800.0,0.7949,1.072,74.60497,"September 01, 22",0.01072
2022-08-31,74.4599991,75.1500015,74.0400009,74.1500015,73.7707825,8612900.0,8612900.0,-0.68922,-0.926,74.32026,"August 31, 22",-0.00926
2022-08-30,74.4199982,74.6699982,73.4599991,74.1399994,73.7608261,5099100.0,5099100.0,-0.65917,-0.886,73.96361,"August 30, 22",-0.00886
2022-08-29,74.1100006,74.8600006,74.0699997,74.1900024,73.8105774,4295500.0,4295500.0,-0.29942,-0.404,74.24686,"August 29, 22",-0.00404
2022-08-26,76.9800034,77.2600021,74.5699997,74.6500015,74.268219,4904100.0,4904100.0,-2.71178,-3.523,75.36607,"August 26, 22",-0.03523
2022-08-25,76.3399963,76.9100037,75.9800034,76.8899994,76.4967651,3523400.0,3523400.0,0.15677,0.205,76.46226,"August 25, 22",0.00205
2022-08-24,76.4700012,76.5599976,76.0500031,76.1699982,75.7804489,3876400.0,3876400.0,-0.68955,-0.902,76.13015,"August 24, 22",-0.00902
2022-08-23,76.25,77.0100021,76.25,76.4100037,76.0192261,4432300.0,4432300.0,-0.23077,-0.303,76.42641,"August 23, 22",-0.00303
2022-08-22,77.9300003,77.9300003,76.1699982,76.4599991,76.0689621,5757700.0,5757700.0,-1.86104,-2.388,76.72299,"August 22, 22",-0.02388
2022-08-19,79.0299988,79.1299973,78.4400024,78.6600037,78.2577133,4679000.0,4679000.0,-0.77229,-0.977,78.60924,"August 19, 22",-0.00977
2022-08-18,79.2799988,79.8799973,79.0100021,79.3199997,78.9143372,4120500.0,4120500.0,-0.36566,-0.461,79.26811,"August 18, 22",-0.00461
2022-08-17,79.0,79.7699966,78.9499969,79.25,78.844696,5185100.0,5185100.0,-0.1553,-0.197,79.18823,"August 17, 22",-0.00197
2022-08-16,78.9000015,79.6600037,78.8499985,79.5199966,79.1133118,6185100.0,6185100.0,0.21331,0.27,79.20777,"August 16, 22",0.0027
2022-08-15,78.8399963,79.4199982,78.5,79.1100006,78.7054138,3733500.0,3733500.0,-0.13458,-0.171,78.87514,"August 15, 22",-0.00171
2022-08-12,78.0,79.4199982,77.6600037,79.1500015,78.7452087,6692300.0,6692300.0,0.74521,0.955,78.6084,"August 12, 22",0.00955
2022-08-11,77.9499969,78.0,77.0800018,77.1600037,76.7653885,5554600.0,5554600.0,-1.18461,-1.52,77.2818,"August 11, 22",-0.0152
2022-08-10,77.5899963,77.9800034,77.1999969,77.5400009,77.1434402,5258500.0,5258500.0,-0.44656,-0.576,77.44115,"August 10, 22",-0.00576
2022-08-09,76.2099991,76.9100037,75.8399963,76.7699966,76.3773727,4243700.0,4243700.0,0.16737,0.22,76.37579,"August 09, 22",0.0022
2022-08-08,76.9199982,77.4300003,76.2699966,76.4700012,76.0789108,4733500.0,4733500.0,-0.84109,-1.093,76.59297,"August 08, 22",-0.01093
2022-08-05,76.2699966,77.4000015,76.0,77.3499985,76.9544144,4858100.0,4858100.0,0.68442,0.897,76.78481,"August 05, 22",0.00897
2022-08-04,77.4499969,77.8499985,77.1100006,77.4000015,77.004158,3656200.0,3656200.0,-0.44584,-0.576,77.32139,"August 04, 22",-0.00576
2022-08-03,76.7200012,77.7600021,76.3000031,77.3700027,76.9743118,6127800.0,6127800.0,0.25431,0.331,77.01144,"August 03, 22",0.00331
2022-08-02,76.9899979,77.2600021,76.0599976,76.3499985,75.9595261,6403400.0,6403400.0,-1.03047,-1.338,76.42651,"August 02, 22",-0.01338
2022-08-01,77.1800003,77.8099976,76.6999969,77.4400024,77.0439529,5227500.0,5227500.0,-0.13605,-0.176,77.18465,"August 01, 22",-0.00176
2022-07-29,77.0100021,78.1600037,77.0,77.8399963,77.4419022,5926600.0,5926600.0,0.4319,0.561,77.53397,"July 29, 22",0.00561
