date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,70.82,71.5625,70.211,71.09,71.09,1.2389874E7,1.2389874E7,0.27,0.381,70.9545,"October 25, 22",0.00381
2022-10-24,70.81,72.14,70.3,70.83,70.83,1.2903064E7,1.2903064E7,0.02,0.028,71.09,"October 24, 22",2.8E-4
2022-10-21,69.83,71.66,69.1627,71.26,71.26,1.6716172E7,1.6716172E7,1.43,2.048,70.69423,"October 21, 22",0.02048
2022-10-20,69.45,70.48,68.2816,68.85,68.85,1.5404074E7,1.5404074E7,-0.6,-0.864,69.20387,"October 20, 22",-0.00864
2022-10-19,67.6,68.98,67.425,68.46,68.46,1.7117541E7,1.7117541E7,0.86,1.272,68.28833,"October 19, 22",0.01272
2022-10-18,67.75,68.26,65.86,67.78,67.78,1.5636191E7,1.5636191E7,0.03,0.044,67.3,"October 18, 22",4.4E-4
2022-10-17,68.08,69.4,67.27,67.36,67.36,1.4816468E7,1.4816468E7,-0.72,-1.058,68.01,"October 17, 22",-0.01058
2022-10-14,67.4,69.0577,66.18,66.68,66.68,1.7834016E7,1.7834016E7,-0.72,-1.068,67.3059,"October 14, 22",-0.01068
2022-10-13,63.66,68.49,63.66,68.0,68.0,2.2440742E7,2.2440742E7,4.34,6.817,66.71667,"October 13, 22",0.06817
2022-10-12,63.66,65.86,62.7719,65.11,65.11,1.760907E7,1.760907E7,1.45,2.278,64.58063,"October 12, 22",0.02278
2022-10-11,64.16,65.45,62.736,64.03,64.03,2.2433111E7,2.2433111E7,-0.13,-0.203,64.072,"October 11, 22",-0.00203
2022-10-10,69.1,70.28,65.59,65.63,65.63,2.3934535E7,2.3934535E7,-3.47,-5.022,67.16667,"October 10, 22",-0.05022
2022-10-07,70.86,72.0372,69.07,69.8,69.8,2.8997216E7,2.8997216E7,-1.06,-1.496,70.3024,"October 07, 22",-0.01496
2022-10-06,67.6,70.83,67.51,70.5,70.5,2.3280489E7,2.3280489E7,2.9,4.29,69.61333,"October 06, 22",0.0429
2022-10-05,66.07,68.16,65.64,67.74,67.74,2.5115191E7,2.5115191E7,1.67,2.528,67.18,"October 05, 22",0.02528
2022-10-04,65.1600037,67.1399994,64.7300034,66.1699982,66.1699982,2.51053E7,2.51053E7,1.00999,1.55,66.01333,"October 04, 22",0.0155
2022-10-03,63.7200012,65.0299988,63.4000015,64.0599976,64.0599976,2.54514E7,2.54514E7,0.34,0.534,64.16333,"October 03, 22",0.00534
2022-09-30,60.7999992,62.2200012,60.4099998,61.4500008,61.4500008,1.94424E7,1.94424E7,0.65,1.069,61.36,"September 30, 22",0.01069
2022-09-29,61.2200012,63.1199989,60.5499992,62.1100006,62.1100006,3.00914E7,3.00914E7,0.89,1.454,61.92667,"September 29, 22",0.01454
2022-09-28,58.9599991,61.5999985,58.6300011,61.4099998,61.4099998,2.23439E7,2.23439E7,2.45,4.155,60.54667,"September 28, 22",0.04155
2022-09-27,58.8800011,59.4700012,57.6699982,58.5299988,58.5299988,2.81875E7,2.81875E7,-0.35,-0.594,58.55667,"September 27, 22",-0.00594
2022-09-26,58.3100014,59.2299995,57.4300003,57.8800011,57.8800011,2.53907E7,2.53907E7,-0.43,-0.737,58.18,"September 26, 22",-0.00737
2022-09-23,59.6899986,60.0699997,58.0400009,58.7299995,58.7299995,2.96301E7,2.96301E7,-0.96,-1.608,58.94667,"September 23, 22",-0.01608
2022-09-22,63.1899986,64.2699966,61.75,61.8800011,61.8800011,2.03432E7,2.03432E7,-1.31,-2.073,62.63333,"September 22, 22",-0.02073
2022-09-21,65.6299973,65.9599991,62.3199997,62.6800003,62.6800003,1.85972E7,1.85972E7,-2.95,-4.495,63.65333,"September 21, 22",-0.04495
2022-09-20,64.0999985,64.8199997,63.25,64.2799988,64.2799988,2.02642E7,2.02642E7,0.18,0.281,64.11667,"September 20, 22",0.00281
2022-09-19,62.5999985,64.9400024,62.4300003,64.6800003,64.6800003,1.96774E7,1.96774E7,2.08,3.323,64.01667,"September 19, 22",0.03323
2022-09-16,65.0,65.0400009,63.0099983,64.4100037,64.4100037,5.74377E7,5.74377E7,-0.59,-0.908,64.15333,"September 16, 22",-0.00908
2022-09-15,65.8000031,66.1399994,65.0100021,65.0899963,65.0899963,2.43821E7,2.43821E7,-0.71001,-1.079,65.41333,"September 15, 22",-0.01079
2022-09-14,66.2200012,67.7900009,65.7600021,67.1999969,67.1999969,2.8407E7,2.8407E7,0.98,1.48,66.91667,"September 14, 22",0.0148
2022-09-13,65.6299973,66.7799988,64.5199966,65.3399963,65.3399963,2.54464E7,2.54464E7,-0.29,-0.442,65.54666,"September 13, 22",-0.00442
2022-09-12,67.0,67.8099976,65.6800003,66.8000031,66.8000031,2.63491E7,2.63491E7,-0.2,-0.299,66.76333,"September 12, 22",-0.00299
2022-09-09,65.5500031,65.8799973,64.2900009,65.6100006,65.6100006,2.17083E7,2.17083E7,0.06,0.092,65.26,"September 09, 22",9.2E-4
2022-09-08,66.0,66.1999969,64.0299988,64.6100006,64.4800034,2.20527E7,2.20527E7,-1.52,-2.303,64.90333,"September 08, 22",-0.02303
2022-09-07,65.3000031,66.0100021,64.4000015,65.4300003,65.2983475,2.24884E7,2.24884E7,-0.00166,-0.003,65.23612,"September 07, 22",-3.0E-5
2022-09-06,68.9899979,69.5100021,66.5800018,66.8799973,66.74543,2.16764E7,2.16764E7,-2.24457,-3.253,67.61181,"September 06, 22",-0.03253
2022-09-02,70.6100006,70.9000015,68.2699966,68.7699966,68.6316299,2.27766E7,2.27766E7,-1.97837,-2.802,69.26721,"September 02, 22",-0.02802
2022-09-01,69.2399979,69.9300003,67.8399963,68.4000015,68.2623749,2.15043E7,2.15043E7,-0.97762,-1.412,68.67746,"September 01, 22",-0.01412
2022-08-31,70.3399963,72.4000015,69.5500031,71.0,70.8571396,2.15791E7,2.15791E7,0.51714,0.735,70.93571,"August 31, 22",0.00735
2022-08-30,73.5,73.8600006,71.1800003,72.0100021,71.8651123,2.61529E7,2.61529E7,-1.63489,-2.224,72.3017,"August 30, 22",-0.02224
2022-08-29,73.1999969,77.1299973,72.8199997,75.2600021,75.1085739,2.9995E7,2.9995E7,1.90858,2.607,75.01952,"August 29, 22",0.02607
2022-08-26,74.3899994,75.3600006,73.1200027,73.5500031,73.4020157,2.05811E7,2.05811E7,-0.98798,-1.328,73.96067,"August 26, 22",-0.01328
2022-08-25,75.5,76.0999985,73.5299988,74.4800034,74.3301468,2.27846E7,2.27846E7,-1.16985,-1.549,74.65338,"August 25, 22",-0.01549
