date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,13.97,14.23,13.811,13.92,13.92,3.3324793E7,3.3324793E7,-0.05,-0.358,13.987,"October 25, 22",-0.00358
2022-10-24,15.37,15.425,14.12,14.19,14.19,6.0224379E7,6.0224379E7,-1.18,-7.677,14.57833,"October 24, 22",-0.07677
2022-10-21,15.385,16.32,15.33,16.05,16.05,5.7380761E7,5.7380761E7,0.665,4.322,15.9,"October 21, 22",0.04322
2022-10-20,15.18,15.44,15.09,15.44,15.44,3.517445E7,3.517445E7,0.26,1.713,15.32333,"October 20, 22",0.01713
2022-10-19,14.35,14.89,14.325,14.87,14.87,3.4801709E7,3.4801709E7,0.52,3.624,14.695,"October 19, 22",0.03624
2022-10-18,14.09,14.39,13.87,14.35,14.35,2.9746144E7,2.9746144E7,0.26,1.845,14.20333,"October 18, 22",0.01845
2022-10-17,14.02,14.295,13.81,13.98,13.98,3.3654921E7,3.3654921E7,-0.04,-0.285,14.02833,"October 17, 22",-0.00285
2022-10-14,14.32,14.36,13.94,13.95,13.95,2.8355421E7,2.8355421E7,-0.37,-2.584,14.08333,"October 14, 22",-0.02584
2022-10-13,13.75,14.75,13.67,14.43,14.43,4.1594485E7,4.1594485E7,0.68,4.945,14.28333,"October 13, 22",0.04945
2022-10-12,13.92,14.01,13.68,13.89,13.89,2.1681271E7,2.1681271E7,-0.03,-0.216,13.86,"October 12, 22",-0.00216
2022-10-11,14.01,14.34,13.95,14.0,14.0,2.7825181E7,2.7825181E7,-0.01,-0.071,14.09667,"October 11, 22",-7.1E-4
2022-10-10,14.46,14.63,14.21,14.24,14.24,2.4256906E7,2.4256906E7,-0.22,-1.521,14.36,"October 10, 22",-0.01521
2022-10-07,14.5,14.75,14.25,14.35,14.35,3.0973444E7,3.0973444E7,-0.15,-1.034,14.45,"October 07, 22",-0.01034
2022-10-06,14.15,14.51,14.1,14.51,14.51,3.0526759E7,3.0526759E7,0.36,2.544,14.37333,"October 06, 22",0.02544
2022-10-05,13.67,14.23,13.66,14.11,14.11,2.9987033E7,2.9987033E7,0.44,3.219,14.0,"October 05, 22",0.03219
2022-10-04,14.22,14.25,13.6,13.67,13.67,3.424981E7,3.424981E7,-0.55,-3.868,13.84,"October 04, 22",-0.03868
2022-10-03,13.73,13.95,13.53,13.9,13.9,6.316145E7,6.316145E7,0.17,1.238,13.79333,"October 03, 22",0.01238
2022-09-30,12.04,12.5854,12.0,12.34,12.34,3.619977E7,3.619977E7,0.3,2.492,12.30847,"September 30, 22",0.02492
2022-09-29,11.98,12.23,11.85,12.14,12.14,3.3304674E7,3.3304674E7,0.16,1.336,12.07333,"September 29, 22",0.01336
2022-09-28,12.34,12.35,11.95,12.26,12.26,3.7501512E7,3.7501512E7,-0.08,-0.648,12.18667,"September 28, 22",-0.00648
2022-09-27,12.36,12.5063,12.19,12.25,12.25,2.8634228E7,2.8634228E7,-0.11,-0.89,12.31543,"September 27, 22",-0.0089
2022-09-26,12.33,12.48,12.01,12.16,12.16,3.9163941E7,3.9163941E7,-0.17,-1.379,12.21667,"September 26, 22",-0.01379
2022-09-23,13.25,13.28,12.47,12.55,12.55,4.3193451E7,4.3193451E7,-0.7,-5.283,12.76667,"September 23, 22",-0.05283
2022-09-22,13.58,13.92,13.42,13.82,13.82,2.5081108E7,2.5081108E7,0.24,1.767,13.72,"September 22, 22",0.01767
2022-09-21,13.67,13.73,13.34,13.43,13.43,2.528475E7,2.528475E7,-0.24,-1.756,13.5,"September 21, 22",-0.01756
2022-09-20,13.42,13.69,13.39,13.54,13.54,2.331432E7,2.331432E7,0.12,0.894,13.54,"September 20, 22",0.00894
2022-09-19,12.88,13.62,12.84,13.52,13.52,2.6545624E7,2.6545624E7,0.64,4.969,13.32667,"September 19, 22",0.04969
