date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,45.27,45.82,44.89,45.59,45.59,2.055162E7,2.055162E7,0.32,0.707,45.43333,"October 25, 22",0.00707
2022-10-24,45.075,45.87,44.985,45.54,45.54,1.8673848E7,1.8673848E7,0.465,1.032,45.465,"October 24, 22",0.01032
2022-10-21,43.31,45.16,42.99,44.95,44.95,3.6577809E7,3.6577809E7,1.64,3.787,44.36667,"October 21, 22",0.03787
2022-10-20,43.2700005,43.4099998,42.8199997,42.9099998,42.9099998,1.7714E7,1.7714E7,-0.36,-0.832,43.04667,"October 20, 22",-0.00832
2022-10-19,43.9099998,44.0699997,42.7400017,43.1100006,43.1100006,2.30547E7,2.30547E7,-0.8,-1.822,43.30667,"October 19, 22",-0.01822
2022-10-18,44.0499992,44.3600006,43.6199989,44.0900002,44.0900002,1.84428E7,1.84428E7,0.04,0.091,44.02333,"October 18, 22",9.1E-4
2022-10-17,43.1899986,43.8100014,43.1899986,43.6500015,43.6500015,1.66784E7,1.66784E7,0.46,1.065,43.55,"October 17, 22",0.01065
2022-10-14,42.8899994,43.3800011,42.3600006,42.8600006,42.8600006,1.69805E7,1.69805E7,-0.03,-0.07,42.86667,"October 14, 22",-7.0E-4
2022-10-13,41.7599983,43.1599998,41.7000008,42.9799995,42.9799995,2.31352E7,2.31352E7,1.22,2.921,42.61333,"October 13, 22",0.02921
2022-10-12,42.0900002,43.1399994,41.9199982,42.0299988,42.0299988,1.88036E7,1.88036E7,-0.06,-0.143,42.36333,"October 12, 22",-0.00143
2022-10-11,41.6599998,42.5699997,41.4500008,41.9199982,41.9199982,2.09812E7,2.09812E7,0.26,0.624,41.98,"October 11, 22",0.00624
2022-10-10,42.3499985,42.6199989,41.75,41.75,41.75,1.7888E7,1.7888E7,-0.6,-1.417,42.04,"October 10, 22",-0.01417
2022-10-07,43.0499992,43.0499992,41.9199982,42.3199997,42.3199997,2.00931E7,2.00931E7,-0.73,-1.696,42.43,"October 07, 22",-0.01696
2022-10-06,43.7599983,43.7799988,43.0400009,43.0900002,43.0900002,2.20682E7,2.20682E7,-0.67,-1.531,43.30333,"October 06, 22",-0.01531
2022-10-05,44.1199989,44.3699989,43.6800003,44.1199989,44.1199989,1.56734E7,1.56734E7,0.0,0.0,44.05667,"October 05, 22",0.0
2022-10-04,44.25,44.8400002,44.0900002,44.4599991,44.4599991,2.81988E7,2.81988E7,0.21,0.475,44.46333,"October 04, 22",0.00475
2022-10-03,44.0699997,44.2799988,43.4900017,44.1399994,44.1399994,2.28343E7,2.28343E7,0.07,0.159,43.97,"October 03, 22",0.00159
2022-09-30,44.1699982,44.6100006,43.7299995,43.7599983,43.7599983,2.29569E7,2.29569E7,-0.41,-0.928,44.03333,"September 30, 22",-0.00928
2022-09-29,44.4099998,44.6199989,43.9500008,44.1599998,44.1599998,1.35599E7,1.35599E7,-0.25,-0.563,44.24333,"September 29, 22",-0.00563
2022-09-28,44.6699982,44.8100014,44.2200012,44.4300003,44.4300003,1.65326E7,1.65326E7,-0.24,-0.537,44.48667,"September 28, 22",-0.00537
2022-09-27,44.2200012,44.5800018,43.7400017,44.0900002,44.0900002,2.15627E7,2.15627E7,-0.13,-0.294,44.13667,"September 27, 22",-0.00294
2022-09-26,43.8100014,44.3300018,43.6699982,43.8300018,43.8300018,1.86802E7,1.86802E7,0.02,0.046,43.94333,"September 26, 22",4.6E-4
2022-09-23,44.4399986,44.5600014,43.5800018,44.0800018,44.0800018,1.88653E7,1.88653E7,-0.36,-0.81,44.07334,"September 23, 22",-0.0081
2022-09-22,43.6699982,45.0,43.5200005,44.5699997,44.5699997,1.85081E7,1.85081E7,0.9,2.061,44.36333,"September 22, 22",0.02061
2022-09-21,44.8100014,44.9799995,43.9000015,43.9199982,43.9199982,1.75052E7,1.75052E7,-0.89,-1.986,44.26667,"September 21, 22",-0.01986
2022-09-20,45.0,45.2700005,44.4399986,44.7700005,44.7700005,1.5369E7,1.5369E7,-0.23,-0.511,44.82667,"September 20, 22",-0.00511
2022-09-19,45.6800003,45.8800011,44.7799988,45.4399986,45.4399986,1.62562E7,1.62562E7,-0.24,-0.525,45.36667,"September 19, 22",-0.00525
2022-09-16,46.0900002,46.6199989,45.6399994,46.0299988,46.0299988,3.06282E7,3.06282E7,-0.06,-0.13,46.09667,"September 16, 22",-0.0013
2022-09-15,46.1100006,46.2900009,45.7000008,45.9399986,45.9399986,1.5802E7,1.5802E7,-0.17,-0.369,45.97667,"September 15, 22",-0.00369
2022-09-14,46.2000008,46.4099998,45.7799988,46.1500015,46.1500015,1.71625E7,1.71625E7,-0.05,-0.108,46.11333,"September 14, 22",-0.00108
2022-09-13,47.1300011,47.3199997,46.0200005,46.1899986,46.1899986,1.66032E7,1.66032E7,-0.94,-1.994,46.51,"September 13, 22",-0.01994
2022-09-12,48.0800018,48.3499985,47.6899986,47.7599983,47.7599983,1.37448E7,1.37448E7,-0.32,-0.666,47.93333,"September 12, 22",-0.00666
2022-09-09,47.2000008,47.9900017,47.0999985,47.8400002,47.8400002,1.75017E7,1.75017E7,0.64,1.356,47.64333,"September 09, 22",0.01356
2022-09-08,46.0200005,47.1199989,45.8699989,47.0800018,47.0800018,1.8271E7,1.8271E7,1.06,2.303,46.69,"September 08, 22",0.02303
2022-09-07,45.7000008,46.2099991,45.3800011,46.1300011,46.1300011,1.53789E7,1.53789E7,0.43,0.941,45.90667,"September 07, 22",0.00941
2022-09-06,45.9599991,46.4399986,45.5299988,45.7599983,45.7599983,1.71535E7,1.71535E7,-0.2,-0.435,45.91,"September 06, 22",-0.00435
2022-09-02,46.7400017,46.7999992,45.5299988,45.7000008,45.7000008,1.46627E7,1.46627E7,-1.04,-2.225,46.01,"September 02, 22",-0.02225
2022-09-01,45.1399994,46.6500015,45.1399994,46.6300011,46.6300011,1.99476E7,1.99476E7,1.49,3.301,46.14,"September 01, 22",0.03301
