date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,129.6,131.18,128.47,130.86,130.86,6640918.0,6640918.0,1.26,0.972,130.17,"October 25, 22",0.00972
2022-10-24,129.49,130.44,128.35,129.37,129.37,6944394.0,6944394.0,-0.12,-0.093,129.38667,"October 24, 22",-9.3E-4
2022-10-21,126.54,128.95,126.48,128.58,128.58,6394213.0,6394213.0,2.04,1.612,128.00333,"October 21, 22",0.01612
2022-10-20,128.6199951,129.7700043,126.6800003,126.9899979,126.9899979,8166200.0,8166200.0,-1.63,-1.267,127.81333,"October 20, 22",-0.01267
2022-10-19,131.6399994,133.0,129.5099945,129.5599976,128.6470032,9993700.0,9993700.0,-2.993,-2.274,130.38567,"October 19, 22",-0.02274
2022-10-18,129.3300018,130.0700073,127.6600037,128.3699951,127.4653778,7114200.0,7114200.0,-1.86462,-1.442,128.39846,"October 18, 22",-0.01442
2022-10-17,126.0100021,128.2799988,125.8600006,127.3399963,126.4426422,6664600.0,6664600.0,0.43264,0.343,126.86088,"October 17, 22",0.00343
2022-10-14,126.75,127.0199966,124.7699966,125.0800018,124.1985703,5516800.0,5516800.0,-2.55143,-2.013,125.32952,"October 14, 22",-0.02013
2022-10-13,123.5100021,126.75,122.9199982,126.3099976,125.419899,6910500.0,6910500.0,1.9099,1.546,125.02997,"October 13, 22",0.01546
2022-10-12,124.8399963,125.8099976,124.4100037,124.4300003,123.5531464,6823500.0,6823500.0,-1.28685,-1.031,124.59105,"October 12, 22",-0.01031
2022-10-11,123.6900024,125.6999969,123.5999985,124.2300034,123.3545609,5516200.0,5516200.0,-0.33544,-0.271,124.21819,"October 11, 22",-0.00271
2022-10-10,123.3700027,124.25,122.1800003,123.7600021,122.8878708,6923300.0,6923300.0,-0.48213,-0.391,123.10596,"October 10, 22",-0.00391
2022-10-07,126.5,126.5800018,123.7600021,124.2699966,123.3942719,6095000.0,6095000.0,-3.10573,-2.455,124.57809,"October 07, 22",-0.02455
2022-10-06,128.8899994,129.0599976,126.3499985,126.4800034,125.588707,5530800.0,5530800.0,-3.30129,-2.561,126.99957,"October 06, 22",-0.02561
2022-10-05,129.1999969,130.0899963,128.0899963,129.1999969,128.2895355,5071100.0,5071100.0,-0.91046,-0.705,128.82318,"October 05, 22",-0.00705
2022-10-04,129.1000061,130.8699951,128.6999969,130.1000061,129.183197,7211600.0,7211600.0,0.08319,0.064,129.5844,"October 04, 22",6.4E-4
2022-10-03,127.25,129.1000061,126.6800003,128.5099945,127.604393,8477700.0,8477700.0,0.35439,0.278,127.7948,"October 03, 22",0.00278
2022-09-30,129.0,129.0399933,126.2099991,126.25,125.360321,9419900.0,9419900.0,-3.63968,-2.821,126.8701,"September 30, 22",-0.02821
2022-09-29,131.8699951,131.8699951,128.2599945,128.6999969,127.7930527,7128500.0,7128500.0,-4.07694,-3.092,129.30768,"September 29, 22",-0.03092
2022-09-28,133.0200043,133.0200043,131.1900024,131.9799957,131.049942,1.04551E7,1.04551E7,-1.97006,-1.481,131.75332,"September 28, 22",-0.01481
2022-09-27,135.9600067,136.9400024,131.7100067,131.9799957,131.049942,7722200.0,7722200.0,-4.91006,-3.611,133.23332,"September 27, 22",-0.03611
2022-09-26,135.5800018,136.8200073,134.9900055,135.7100067,134.7536621,7396400.0,7396400.0,-0.82634,-0.609,135.52122,"September 26, 22",-0.00609
2022-09-23,135.6799927,136.5,133.9499969,135.5800018,134.6245728,6519000.0,6519000.0,-1.05542,-0.778,135.02486,"September 23, 22",-0.00778
2022-09-22,135.7400055,137.0700073,135.2400055,136.2100067,135.2501373,5061600.0,5061600.0,-0.48987,-0.361,135.85338,"September 22, 22",-0.00361
2022-09-21,138.0800018,138.1999969,135.7100067,135.7299957,134.7735138,6413900.0,6413900.0,-3.30649,-2.395,136.22784,"September 21, 22",-0.02395
2022-09-20,137.4100037,137.9700012,136.5299988,137.5,136.5310516,5589800.0,5589800.0,-0.87895,-0.64,137.01035,"September 20, 22",-0.0064
2022-09-19,138.1999969,138.4600067,137.2299957,137.9900055,137.0175934,6056000.0,6056000.0,-1.1824,-0.856,137.5692,"September 19, 22",-0.00856
2022-09-16,137.4400024,139.0599976,137.1100006,138.2799988,137.305542,9319200.0,9319200.0,-0.13446,-0.098,137.82518,"September 16, 22",-9.8E-4
2022-09-15,138.7799988,138.8899994,136.6399994,137.4400024,136.4714661,5320700.0,5320700.0,-2.30853,-1.663,137.33382,"September 15, 22",-0.01663
2022-09-14,138.6600037,139.6600037,137.6699982,138.5099945,137.5339203,6137800.0,6137800.0,-1.12608,-0.812,138.28797,"September 14, 22",-0.00812
2022-09-13,140.7799988,141.4299927,137.8600006,138.1799927,137.2062531,6350200.0,6350200.0,-3.57375,-2.539,138.83208,"September 13, 22",-0.02539
2022-09-12,139.4100037,141.8000031,139.1100006,141.1000061,140.1056824,5818700.0,5818700.0,0.69568,0.499,140.33856,"September 12, 22",0.00499
2022-09-09,137.9499969,141.0899963,137.3000031,139.9600067,138.9737244,6434300.0,6434300.0,1.02373,0.742,139.12124,"September 09, 22",0.00742
2022-09-08,137.0099945,138.4900055,136.0599976,137.8600006,136.888504,7380500.0,7380500.0,-0.12149,-0.089,137.14617,"September 08, 22",-8.9E-4
2022-09-07,136.0299988,137.7599945,136.0200043,137.6799927,136.7097778,6609400.0,6609400.0,0.67978,0.5,136.82993,"September 07, 22",0.005
2022-09-06,135.8800049,137.9400024,135.2899933,135.6300049,134.6742249,8217200.0,8217200.0,-1.20578,-0.887,135.96807,"September 06, 22",-0.00887
2022-09-02,140.4199982,141.1499939,136.5500031,137.1600037,136.1934509,7076500.0,7076500.0,-4.22655,-3.01,137.96448,"September 02, 22",-0.0301
2022-09-01,137.8300018,139.7599945,136.7599945,139.6399994,138.6559601,7446500.0,7446500.0,0.82596,0.599,138.39198,"September 01, 22",0.00599
2022-08-31,140.3999939,140.8800049,137.8600006,137.9400024,136.9679413,8406900.0,8406900.0,-3.43205,-2.444,138.56932,"August 31, 22",-0.02444
2022-08-30,142.4100037,142.4100037,139.9100037,140.1799927,139.1921539,5203700.0,5203700.0,-3.21785,-2.26,140.50405,"August 30, 22",-0.0226
2022-08-29,141.3000031,142.6900024,141.0200043,141.6900024,140.6915283,5272100.0,5272100.0,-0.60847,-0.431,141.46718,"August 29, 22",-0.00431
2022-08-26,146.0,146.5299988,142.0200043,142.2899933,141.2872772,6086600.0,6086600.0,-4.71272,-3.228,143.27909,"August 26, 22",-0.03228
2022-08-25,145.2299957,145.7799988,144.4900055,145.6999969,144.6732635,5097600.0,5097600.0,-0.55673,-0.383,144.98109,"August 25, 22",-0.00383
2022-08-24,146.6100006,147.2599945,145.1199951,145.8200073,144.7924194,5903200.0,5903200.0,-1.81758,-1.24,145.72414,"August 24, 22",-0.0124
2022-08-23,148.4299927,148.4400024,145.8300018,146.4499969,145.4179688,5268200.0,5268200.0,-3.01202,-2.029,146.56266,"August 23, 22",-0.02029
2022-08-22,148.9799957,150.1300049,148.8399963,149.3300018,148.2776794,6380700.0,6380700.0,-0.70232,-0.471,149.08256,"August 22, 22",-0.00471
2022-08-19,149.2100067,150.6300049,148.7200012,149.7299957,148.6748505,6502500.0,6502500.0,-0.53516,-0.359,149.34162,"August 19, 22",-0.00359
2022-08-18,148.8699951,149.9900055,148.5200043,149.7700043,148.7145844,3829000.0,3829000.0,-0.15541,-0.104,149.07486,"August 18, 22",-0.00104
2022-08-17,149.1000061,149.75,148.8800049,149.2400055,148.188324,4834600.0,4834600.0,-0.91168,-0.611,148.93944,"August 17, 22",-0.00611
2022-08-16,148.3600006,150.6000061,148.3600006,149.9299927,148.8734436,7093000.0,7093000.0,0.51344,0.346,149.27782,"August 16, 22",0.00346
