date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,87.34,88.69,87.095,88.5,88.5,4123099.0,4123099.0,1.16,1.328,88.095,"October 25, 22",0.01328
2022-10-24,86.58,87.94,86.255,87.19,87.19,4192541.0,4192541.0,0.61,0.705,87.12833,"October 24, 22",0.00705
2022-10-21,85.15,87.01,84.44,86.51,86.51,6780658.0,6780658.0,1.36,1.597,85.98667,"October 21, 22",0.01597
2022-10-20,85.0,86.69,84.52,85.03,85.03,4846011.0,4846011.0,0.03,0.035,85.41333,"October 20, 22",3.5E-4
2022-10-19,86.68,87.15,85.75,86.47,86.47,4197508.0,4197508.0,-0.21,-0.242,86.45667,"October 19, 22",-0.00242
2022-10-18,86.84,87.34,85.97,86.31,86.31,3480881.0,3480881.0,-0.53,-0.61,86.54,"October 18, 22",-0.0061
2022-10-17,86.1,86.45,85.07,85.57,85.57,3277247.0,3277247.0,-0.53,-0.616,85.69667,"October 17, 22",-0.00616
2022-10-14,87.81,88.3,85.09,85.26,85.26,3534434.0,3534434.0,-2.55,-2.904,86.21667,"October 14, 22",-0.02904
2022-10-13,84.17,87.42,84.0,87.23,87.23,4486763.0,4486763.0,3.06,3.635,86.21667,"October 13, 22",0.03635
2022-10-12,86.25,87.38,85.6,85.67,85.67,3901234.0,3901234.0,-0.58,-0.672,86.21667,"October 12, 22",-0.00672
2022-10-11,84.01,86.69,84.01,85.62,85.62,5036567.0,5036567.0,1.61,1.916,85.44,"October 11, 22",0.01916
2022-10-10,84.93,85.6,84.0,84.0,84.0,2717795.0,2717795.0,-0.93,-1.095,84.53333,"October 10, 22",-0.01095
2022-10-07,85.26,85.61,84.22,84.65,84.65,3464923.0,3464923.0,-0.61,-0.715,84.82667,"October 07, 22",-0.00715
2022-10-06,86.53,86.85,84.83,85.47,85.47,4963738.0,4963738.0,-1.06,-1.225,85.71667,"October 06, 22",-0.01225
2022-10-05,86.35,87.46,86.2,86.97,86.97,4317486.0,4317486.0,0.62,0.718,86.87667,"October 05, 22",0.00718
2022-10-04,85.38,87.5,85.06,87.0,87.0,5484129.0,5484129.0,1.62,1.897,86.52,"October 04, 22",0.01897
2022-10-03,84.17,85.44,83.74,85.03,85.03,4789945.0,4789945.0,0.86,1.022,84.73667,"October 03, 22",0.01022
2022-09-30,86.0,86.3600006,82.8499985,83.0100021,83.0100021,7257000.0,7257000.0,-2.99,-3.477,84.07333,"September 30, 22",-0.03477
2022-09-29,87.1200027,87.5,85.6100006,86.0899963,86.0899963,4301400.0,4301400.0,-1.03001,-1.182,86.4,"September 29, 22",-0.01182
2022-09-28,87.2799988,87.8300018,86.0999985,87.3499985,87.3499985,8287300.0,8287300.0,0.07,0.08,87.09333,"September 28, 22",8.0E-4
2022-09-27,89.4800034,90.1299973,86.8300018,87.0199966,87.0199966,7067800.0,7067800.0,-2.46001,-2.749,87.99333,"September 27, 22",-0.02749
2022-09-26,91.4100037,92.3600006,90.0500031,90.1699982,88.8999939,4482200.0,4482200.0,-2.51001,-2.746,90.43667,"September 26, 22",-0.02746
2022-09-23,95.0,95.1600037,90.6200027,91.7900009,90.4971848,5286000.0,5286000.0,-4.50282,-4.74,92.0924,"September 23, 22",-0.0474
2022-09-22,96.3799973,96.9800034,95.2600021,95.7900009,94.4408417,3802900.0,3802900.0,-1.93916,-2.012,95.56028,"September 22, 22",-0.02012
2022-09-21,96.1900024,97.4700012,96.0800018,96.4199982,95.0619659,5183800.0,5183800.0,-1.12804,-1.173,96.20399,"September 21, 22",-0.01173
2022-09-20,95.5199966,96.7300034,95.0899963,96.0100021,94.6577454,3616700.0,3616700.0,-0.86225,-0.903,95.49258,"September 20, 22",-0.00903
2022-09-19,94.8799973,96.0400009,94.3000031,95.9199982,94.5690079,4048000.0,4048000.0,-0.31099,-0.328,94.96967,"September 19, 22",-0.00328
2022-09-16,95.4899979,95.7600021,94.0299988,95.5599976,94.2140808,1.0447E7,1.0447E7,-1.27592,-1.336,94.66803,"September 16, 22",-0.01336
2022-09-15,93.8300018,94.4800034,93.1399994,94.0400009,92.7154922,3661200.0,3661200.0,-1.11451,-1.188,93.44516,"September 15, 22",-0.01188
2022-09-14,94.4199982,94.4899979,93.0899963,93.6999969,92.3802795,3498600.0,3498600.0,-2.03972,-2.16,93.32009,"September 14, 22",-0.0216
2022-09-13,96.9599991,97.1999969,93.75,94.0199966,92.6957703,3196400.0,3196400.0,-4.26423,-4.398,94.54859,"September 13, 22",-0.04398
2022-09-12,97.5,98.2300034,97.2399979,97.6600037,96.2845078,3675600.0,3675600.0,-1.21549,-1.247,97.2515,"September 12, 22",-0.01247
2022-09-09,96.0699997,97.8700027,95.5800018,97.0599976,95.692955,3418600.0,3418600.0,-0.37704,-0.392,96.38099,"September 09, 22",-0.00392
2022-09-08,94.3799973,95.9899979,94.0899963,95.6200027,94.2732391,3641700.0,3641700.0,-0.10676,-0.113,94.78441,"September 08, 22",-0.00113
