date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,14.87,14.94,14.415,14.6,14.6,2930883.0,2930883.0,-0.27,-1.816,14.65167,"October 25, 22",-0.01816
2022-10-24,14.87,15.15,14.6816,15.06,15.06,1898336.0,1898336.0,0.19,1.278,14.96387,"October 24, 22",0.01278
2022-10-21,14.95,15.22,14.63,14.96,14.96,2146449.0,2146449.0,0.01,0.067,14.93667,"October 21, 22",6.7E-4
2022-10-20,14.985,15.1,14.66,14.9,14.9,1971559.0,1971559.0,-0.085,-0.567,14.88667,"October 20, 22",-0.00567
2022-10-19,14.04,14.68,13.92,14.57,14.57,2630544.0,2630544.0,0.53,3.775,14.39,"October 19, 22",0.03775
2022-10-18,14.02,14.385,13.71,14.14,14.14,2235186.0,2235186.0,0.12,0.856,14.07833,"October 18, 22",0.00856
2022-10-17,13.69,14.042,13.43,13.62,13.62,2220576.0,2220576.0,-0.07,-0.511,13.69733,"October 17, 22",-0.00511
2022-10-14,14.04,14.27,13.245,13.29,13.29,2084804.0,2084804.0,-0.75,-5.342,13.60167,"October 14, 22",-0.05342
2022-10-13,13.46,14.4875,13.155,14.45,14.45,3275820.0,3275820.0,0.99,7.355,14.03083,"October 13, 22",0.07355
2022-10-12,13.56,13.86,13.13,13.78,13.78,1761444.0,1761444.0,0.22,1.622,13.59,"October 12, 22",0.01622
2022-10-11,13.47,14.09,13.45,13.68,13.68,1862924.0,1862924.0,0.21,1.559,13.74,"October 11, 22",0.01559
2022-10-10,14.17,14.45,13.74,13.88,13.88,1825913.0,1825913.0,-0.29,-2.047,14.02333,"October 10, 22",-0.02047
2022-10-07,14.55,14.73,14.18,14.29,14.29,2173920.0,2173920.0,-0.26,-1.787,14.4,"October 07, 22",-0.01787
2022-10-06,14.14,14.6,14.0,14.41,14.41,2506005.0,2506005.0,0.27,1.909,14.33667,"October 06, 22",0.01909
2022-10-05,13.4499998,14.4499998,13.3400002,14.3100004,14.3100004,2889400.0,2889400.0,0.86,6.394,14.03333,"October 05, 22",0.06394
2022-10-04,12.8500004,13.3800001,12.7799997,13.3699999,13.3699999,2777000.0,2777000.0,0.52,4.047,13.17667,"October 04, 22",0.04047
2022-10-03,12.4200001,12.7600002,12.3699999,12.6000004,12.6000004,2764300.0,2764300.0,0.18,1.449,12.57667,"October 03, 22",0.01449
2022-09-30,11.6199999,11.9200001,11.3900003,11.6800003,11.6800003,2747100.0,2747100.0,0.06,0.516,11.66333,"September 30, 22",0.00516
2022-09-29,11.7799997,11.8699999,11.4499998,11.8400002,11.8400002,1533800.0,1533800.0,0.06,0.509,11.72,"September 29, 22",0.00509
2022-09-28,11.4799995,12.0799999,11.3199997,11.9899998,11.9899998,2393100.0,2393100.0,0.51,4.443,11.79667,"September 28, 22",0.04443
2022-09-27,11.4700003,11.7399998,11.1099997,11.3900003,11.3900003,3316300.0,3316300.0,-0.08,-0.697,11.41333,"September 27, 22",-0.00697
2022-09-26,11.0200005,11.6899996,10.7600002,11.1099997,11.1099997,5316400.0,5316400.0,0.09,0.817,11.18667,"September 26, 22",0.00817
2022-09-23,12.1899996,12.1899996,10.6899996,10.8599997,10.8599997,7820000.0,7820000.0,-1.33,-10.911,11.24667,"September 23, 22",-0.10911
2022-09-22,13.75,13.8999996,12.96,12.9899998,12.9899998,2287500.0,2287500.0,-0.76,-5.527,13.28333,"September 22, 22",-0.05527
2022-09-21,14.04,14.1000004,13.3699999,13.3900003,13.3900003,1655900.0,1655900.0,-0.65,-4.63,13.62,"September 21, 22",-0.0463
2022-09-20,13.9399996,13.9899998,13.3699999,13.5699997,13.5699997,2173500.0,2173500.0,-0.37,-2.654,13.64333,"September 20, 22",-0.02654
2022-09-19,13.3999996,14.21,13.3599997,14.1499996,14.1499996,2136400.0,2136400.0,0.75,5.597,13.90667,"September 19, 22",0.05597
2022-09-16,14.5900002,14.5900002,13.6800003,13.9799995,13.9799995,4927300.0,4927300.0,-0.61,-4.181,14.08333,"September 16, 22",-0.04181
2022-09-15,14.8500004,14.9700003,14.5299997,14.6700001,14.6700001,1903500.0,1903500.0,-0.18,-1.212,14.72333,"September 15, 22",-0.01212
2022-09-14,15.1199999,15.75,15.1000004,15.4499998,15.4499998,2325800.0,2325800.0,0.33,2.183,15.43333,"September 14, 22",0.02183
2022-09-13,14.9799995,15.4899998,14.6199999,14.8500004,14.8500004,2418800.0,2418800.0,-0.13,-0.868,14.98667,"September 13, 22",-0.00868
2022-09-12,15.3900003,15.3999996,14.9099998,15.3400002,15.3400002,2310200.0,2310200.0,-0.05,-0.325,15.21667,"September 12, 22",-0.00325
2022-09-09,14.96,15.1000004,14.6599998,14.9899998,14.9899998,2506200.0,2506200.0,0.03,0.201,14.91667,"September 09, 22",0.00201
2022-09-08,14.3599997,14.5100002,14.04,14.3500004,14.3500004,2189600.0,2189600.0,-0.01,-0.07,14.3,"September 08, 22",-7.0E-4
2022-09-07,14.4899998,14.6800003,13.9300003,14.3599997,14.3599997,3289700.0,3289700.0,-0.13,-0.897,14.32333,"September 07, 22",-0.00897
2022-09-06,15.6700001,15.75,14.6400003,15.0600004,15.0600004,1905900.0,1905900.0,-0.61,-3.893,15.15,"September 06, 22",-0.03893
2022-09-02,14.8900003,15.4799995,14.5900002,15.3400002,15.3400002,2077000.0,2077000.0,0.45,3.022,15.13667,"September 02, 22",0.03022
2022-09-01,14.6999998,14.6999998,14.0299997,14.2799997,14.2799997,2373100.0,2373100.0,-0.42,-2.857,14.33667,"September 01, 22",-0.02857
2022-08-31,14.2200003,15.1700001,14.1999998,14.8999996,14.8999996,2128300.0,2128300.0,0.68,4.782,14.75667,"August 31, 22",0.04782
2022-08-30,15.4799995,15.6000004,14.5900002,14.79,14.75,2418100.0,2418100.0,-0.73,-4.716,14.98,"August 30, 22",-0.04716
2022-08-29,15.5100002,16.1800003,15.4200001,16.0,15.956728,2957300.0,2957300.0,0.44673,2.88,15.85224,"August 29, 22",0.0288
2022-08-26,16.2399998,16.25,15.4099998,15.6999998,15.6575394,2549600.0,2549600.0,-0.58246,-3.587,15.77251,"August 26, 22",-0.03587
2022-08-25,16.3999996,16.7000008,16.3099995,16.3899994,16.3456726,1975400.0,1975400.0,-0.05433,-0.331,16.45189,"August 25, 22",-0.00331
2022-08-24,15.96,16.4500008,15.7200003,16.3199997,16.2758617,2037000.0,2037000.0,0.31586,1.979,16.14862,"August 24, 22",0.01979
2022-08-23,15.9300003,16.3799992,15.6700001,15.9399996,15.8968897,2573900.0,2573900.0,-0.03311,-0.208,15.9823,"August 23, 22",-0.00208
2022-08-22,14.7600002,15.29,14.5,15.2200003,15.1788378,3182000.0,3182000.0,0.41884,2.838,14.98961,"August 22, 22",0.02838
2022-08-19,15.0299997,15.29,14.8100004,15.0699997,15.0292425,1559700.0,1559700.0,-7.6E-4,-0.005,15.04308,"August 19, 22",-5.0E-5
2022-08-18,14.6800003,15.4099998,14.5799999,15.2399998,15.1987829,2369800.0,2369800.0,0.51878,3.534,15.06293,"August 18, 22",0.03534
2022-08-17,14.1700001,14.5100002,14.0799999,14.3100004,14.2712994,1571100.0,1571100.0,0.1013,0.715,14.2871,"August 17, 22",0.00715
2022-08-16,14.6899996,14.96,14.1199999,14.2700005,14.2314072,2199000.0,2199000.0,-0.45859,-3.122,14.43714,"August 16, 22",-0.03122
2022-08-15,14.5200005,14.6899996,13.8999996,14.5,14.4607849,3063100.0,3063100.0,-0.05922,-0.408,14.35026,"August 15, 22",-0.00408
2022-08-12,15.0699997,15.3999996,14.8100004,15.3900003,15.3483782,2105400.0,2105400.0,0.27838,1.847,15.18613,"August 12, 22",0.01847
2022-08-11,15.0900002,15.4300003,15.0900002,15.2700005,15.2287025,1370800.0,1370800.0,0.1387,0.919,15.24957,"August 11, 22",0.00919
2022-08-10,14.7399998,14.7799997,14.0900002,14.71,14.6702166,1568500.0,1568500.0,-0.06978,-0.473,14.51341,"August 10, 22",-0.00473
2022-08-09,14.6499996,15.0100002,14.5200005,14.6599998,14.6203518,1517100.0,1517100.0,-0.02965,-0.202,14.71678,"August 09, 22",-0.00202
2022-08-08,14.3299999,14.5200005,14.0500002,14.3699999,14.3311357,1881000.0,1881000.0,0.00114,0.008,14.30038,"August 08, 22",8.0E-5
2022-08-05,13.7299995,14.8199997,13.6999998,14.3699999,14.3311357,2171500.0,2171500.0,0.60114,4.378,14.28371,"August 05, 22",0.04378
2022-08-04,15.4799995,15.5600004,13.8000002,13.8599997,13.8225155,3351200.0,3351200.0,-1.65748,-10.707,14.39417,"August 04, 22",-0.10707
2022-08-03,16.5300007,16.5599995,15.25,15.5299997,15.487999,2462300.0,2462300.0,-1.042,-6.304,15.766,"August 03, 22",-0.06304
2022-08-02,16.4799995,16.8299999,16.0200005,16.2999992,16.2559166,1850000.0,1850000.0,-0.22408,-1.36,16.36864,"August 02, 22",-0.0136
2022-08-01,16.2600002,16.4500008,15.8299999,16.3999996,16.3556461,2665800.0,2665800.0,0.09565,0.588,16.21188,"August 01, 22",0.00588
2022-07-29,16.0900002,17.1700001,16.0900002,16.5499992,16.5052395,3071100.0,3071100.0,0.41524,2.581,16.58841,"July 29, 22",0.02581
2022-07-28,15.5100002,15.96,15.04,15.8100004,15.7672424,3785700.0,3785700.0,0.25724,1.659,15.58908,"July 28, 22",0.01659
2022-07-27,14.4799995,15.4499998,14.3400002,15.3100004,15.2685947,4445300.0,4445300.0,0.7886,5.446,15.01953,"July 27, 22",0.05446
2022-07-26,14.54,14.7799997,14.1000004,14.1400003,14.101759,1568100.0,1568100.0,-0.43824,-3.014,14.32725,"July 26, 22",-0.03014
2022-07-25,13.6599998,14.3999996,13.4399996,14.3599997,14.3211632,1669900.0,1669900.0,0.66116,4.84,14.05372,"July 25, 22",0.0484
2022-07-22,13.4700003,13.9200001,13.1999998,13.3299999,13.2939491,2213500.0,2213500.0,-0.17605,-1.307,13.47132,"July 22, 22",-0.01307
2022-07-21,13.5699997,13.7600002,12.8999996,13.3199997,13.2839756,2645000.0,2645000.0,-0.28602,-2.108,13.31466,"July 21, 22",-0.02108
2022-07-20,13.8999996,14.3599997,13.7200003,14.3000002,14.2613258,2193500.0,2193500.0,0.36133,2.599,14.11378,"July 20, 22",0.02599
