date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,86.17,89.66,85.9612,89.24,89.24,1.763274E7,1.763274E7,3.07,3.563,88.28707,"October 25, 22",0.03563
2022-10-24,84.55,84.55,80.86,83.32,83.32,1.3299633E7,1.3299633E7,-1.23,-1.455,82.91,"October 24, 22",-0.01455
2022-10-21,83.624,85.12,82.35,83.94,83.94,1.442383E7,1.442383E7,0.316,0.378,83.80333,"October 21, 22",0.00378
2022-10-20,84.68,87.6,84.0,84.78,84.78,1.0582568E7,1.0582568E7,0.1,0.118,85.46,"October 20, 22",0.00118
2022-10-19,84.36,85.76,83.3072,84.47,84.47,8590115.0,8590115.0,0.11,0.13,84.5124,"October 19, 22",0.0013
2022-10-18,87.418,87.75,84.615,85.29,85.29,9922236.0,9922236.0,-2.128,-2.434,85.885,"October 18, 22",-0.02434
2022-10-17,82.705,84.83,82.63,84.66,84.66,1.9542268E7,1.9542268E7,1.955,2.364,84.04,"October 17, 22",0.02364
2022-10-14,84.26,85.52,80.29,80.47,80.47,1.1764895E7,1.1764895E7,-3.79,-4.498,82.09333,"October 14, 22",-0.04498
2022-10-13,79.352,84.785,79.3501,84.04,84.04,1.5013925E7,1.5013925E7,4.688,5.908,82.72503,"October 13, 22",0.05908
2022-10-12,83.54,85.17,82.32,83.81,83.81,1.106943E7,1.106943E7,0.27,0.323,83.76667,"October 12, 22",0.00323
2022-10-11,84.09,84.82,79.82,83.09,83.09,1.609895E7,1.609895E7,-1.0,-1.189,82.57667,"October 11, 22",-0.01189
2022-10-10,87.38,87.85,84.24,84.52,84.52,2.0932518E7,2.0932518E7,-2.86,-3.273,85.53667,"October 10, 22",-0.03273
2022-10-07,92.18,92.8,89.685,90.17,90.17,9230139.0,9230139.0,-2.01,-2.181,90.885,"October 07, 22",-0.02181
2022-10-06,93.22,95.57,93.22,94.42,94.42,8652593.0,8652593.0,1.2,1.287,94.40333,"October 06, 22",0.01287
2022-10-05,91.02,94.55,90.99,93.83,93.83,9804383.0,9804383.0,2.81,3.087,93.12333,"October 05, 22",0.03087
2022-10-04,89.55,93.0,89.5,92.79,92.79,1.1239945E7,1.1239945E7,3.24,3.618,91.76333,"October 04, 22",0.03618
2022-10-03,87.53,88.055,85.445,87.18,87.18,1.0417144E7,1.0417144E7,-0.35,-0.4,86.89333,"October 03, 22",-0.004
2022-09-30,87.95,89.5125,85.98,86.07,86.07,1.0577283E7,1.0577283E7,-1.88,-2.138,87.1875,"September 30, 22",-0.02138
2022-09-29,89.67,90.5599,87.71,88.7,88.7,1.0773209E7,1.0773209E7,-0.97,-1.082,88.98997,"September 29, 22",-0.01082
2022-09-28,85.83,91.65,85.56,91.12,91.12,1.4916604E7,1.4916604E7,5.29,6.163,89.44333,"September 28, 22",0.06163
2022-09-27,85.35,87.695,84.59,85.75,85.75,1.1628463E7,1.1628463E7,0.4,0.469,86.01167,"September 27, 22",0.00469
2022-09-26,87.065,89.04,84.13,84.26,84.26,1.6936424E7,1.6936424E7,-2.805,-3.222,85.81,"September 26, 22",-0.03222
2022-09-23,86.92,87.63,85.68,86.97,86.97,1.2176856E7,1.2176856E7,0.05,0.058,86.76,"September 23, 22",5.8E-4
2022-09-22,90.855,91.5,87.1,87.66,87.66,1.2997716E7,1.2997716E7,-3.195,-3.517,88.75333,"September 22, 22",-0.03517
2022-09-21,93.07,95.64,91.13,91.18,91.18,1.4459192E7,1.4459192E7,-1.89,-2.031,92.65,"September 21, 22",-0.02031
2022-09-20,92.13,93.4831,90.395,91.63,91.63,1.5906202E7,1.5906202E7,-0.5,-0.543,91.83603,"September 20, 22",-0.00543
2022-09-19,93.0,95.145,92.63,95.03,95.03,1.097785E7,1.097785E7,2.03,2.183,94.26833,"September 19, 22",0.02183
2022-09-16,94.9,94.95,91.85,94.0,94.0,1.7467562E7,1.7467562E7,-0.9,-0.948,93.6,"September 16, 22",-0.00948
2022-09-15,95.1,98.98,95.02,96.4,96.4,1.5029284E7,1.5029284E7,1.3,1.367,96.8,"September 15, 22",0.01367
2022-09-14,96.76,97.84,95.54,97.66,97.66,1.5117918E7,1.5117918E7,0.9,0.93,97.01333,"September 14, 22",0.0093
2022-09-13,94.19,97.36,93.8,95.01,95.01,1.5097039E7,1.5097039E7,0.82,0.871,95.39,"September 13, 22",0.00871
2022-09-12,97.28,99.3,96.85,97.65,97.65,1.1237012E7,1.1237012E7,0.37,0.38,97.93333,"September 12, 22",0.0038
2022-09-09,96.2,97.26,95.66,96.23,96.23,1.2030735E7,1.2030735E7,0.03,0.031,96.38333,"September 09, 22",3.1E-4
2022-09-08,93.6,96.377,93.4,96.17,96.17,1.011392E7,1.011392E7,2.57,2.746,95.31567,"September 08, 22",0.02746
2022-09-07,91.88,95.555,91.76,94.97,94.97,9506863.0,9506863.0,3.09,3.363,94.095,"September 07, 22",0.03363
2022-09-06,91.16,92.205,89.811,91.615,91.615,9198934.0,9198934.0,0.455,0.499,91.21033,"September 06, 22",0.00499
2022-09-02,93.71,94.06,90.63,91.13,91.13,8674300.0,8674300.0,-2.58,-2.753,91.94,"September 02, 22",-0.02753
2022-09-01,92.252,92.86,89.8,92.66,92.66,1.0452366E7,1.0452366E7,0.408,0.442,91.77333,"September 01, 22",0.00442
2022-08-31,95.435,96.3799,93.23,93.44,93.44,1.458686E7,1.458686E7,-1.995,-2.09,94.34997,"August 31, 22",-0.0209
2022-08-30,93.28,94.52,90.75,91.8,91.8,8773754.0,8773754.0,-1.48,-1.587,92.35667,"August 30, 22",-0.01587
2022-08-29,91.025,93.97,90.95,92.66,92.66,1.1062981E7,1.1062981E7,1.635,1.796,92.52667,"August 29, 22",0.01796
2022-08-26,96.895,97.455,92.63,92.7,92.7,1.2281374E7,1.2281374E7,-4.195,-4.329,94.26167,"August 26, 22",-0.04329
2022-08-25,94.14,96.76,93.9701,96.72,96.72,8169159.0,8169159.0,2.58,2.741,95.8167,"August 25, 22",0.02741
2022-08-24,93.12,95.77,93.02,93.76,93.76,8958038.0,8958038.0,0.64,0.687,94.18333,"August 24, 22",0.00687
2022-08-23,93.03,95.29,92.4,93.2,93.2,1.1390853E7,1.1390853E7,0.17,0.183,93.63,"August 23, 22",0.00183
2022-08-22,94.05,95.29,93.13,93.58,93.58,1.2150585E7,1.2150585E7,-0.47,-0.5,94.0,"August 22, 22",-0.005
2022-08-19,97.89,98.41,95.9,96.56,96.56,1.127573E7,1.127573E7,-1.33,-1.359,96.95667,"August 19, 22",-0.01359
2022-08-18,98.752,100.63,97.16,99.86,99.86,1.1244817E7,1.1244817E7,1.108,1.122,99.21667,"August 18, 22",0.01122
2022-08-17,100.05,101.0,99.02,99.42,99.42,1.0652059E7,1.0652059E7,-0.63,-0.63,99.81333,"August 17, 22",-0.0063
2022-08-16,102.57,103.03,100.16,102.08,102.08,1.4115365E7,1.4115365E7,-0.49,-0.478,101.75667,"August 16, 22",-0.00478
2022-08-15,100.72,102.21,100.47,101.51,101.51,1.0126168E7,1.0126168E7,0.79,0.784,101.39667,"August 15, 22",0.00784
2022-08-12,100.548,101.78,100.01,101.1,101.1,1.2321722E7,1.2321722E7,0.552,0.549,100.96333,"August 12, 22",0.00549
2022-08-11,101.12,101.95,98.55,99.11,99.11,1.6435928E7,1.6435928E7,-2.01,-1.988,99.87,"August 11, 22",-0.01988
2022-08-10,98.09,99.0,96.36,98.91,98.91,1.7078178E7,1.7078178E7,0.82,0.836,98.09,"August 10, 22",0.00836
2022-08-09,95.45,95.78,93.61,94.48,94.48,1.2352252E7,1.2352252E7,-0.97,-1.016,94.62333,"August 09, 22",-0.01016
2022-08-08,96.35,98.94,95.32,96.26,96.26,1.9541261E7,1.9541261E7,-0.09,-0.093,96.84,"August 08, 22",-9.3E-4
2022-08-05,95.24,96.99,94.41,95.32,95.32,1.2282273E7,1.2282273E7,0.08,0.084,95.57333,"August 05, 22",8.4E-4
2022-08-04,97.9,98.41,94.47,96.98,96.98,2.0146572E7,2.0146572E7,-0.92,-0.94,96.62,"August 04, 22",-0.0094
2022-08-03,101.14,101.9465,97.2724,97.92,97.92,5.3766894E7,5.3766894E7,-3.22,-3.184,99.0463,"August 03, 22",-0.03184
2022-08-02,87.11,90.67,86.91,89.63,89.63,1.9448578E7,1.9448578E7,2.52,2.893,89.07,"August 02, 22",0.02893
2022-08-01,87.05,89.21,85.27,88.565,88.565,1.1696742E7,1.1696742E7,1.515,1.74,87.68167,"August 01, 22",0.0174
2022-07-29,86.52,87.62,84.82,86.53,86.53,1.21157E7,1.21157E7,0.01,0.012,86.32333,"July 29, 22",1.2E-4
2022-07-28,85.54,86.5,83.35,85.86,85.86,1.2477696E7,1.2477696E7,0.32,0.374,85.23667,"July 28, 22",0.00374
2022-07-27,83.1,87.02,81.36,86.42,86.42,3.0538142E7,3.0538142E7,3.32,3.995,84.93333,"July 27, 22",0.03995
2022-07-26,80.03,80.22,76.71,77.04,77.04,1.3013129E7,1.3013129E7,-2.99,-3.736,77.99,"July 26, 22",-0.03736
2022-07-25,80.85,82.28,79.04,81.65,81.65,1.1208561E7,1.1208561E7,0.8,0.989,80.99,"July 25, 22",0.00989
2022-07-22,82.65,84.51,80.35,81.05,81.05,1.2270735E7,1.2270735E7,-1.6,-1.936,81.97,"July 22, 22",-0.01936
2022-07-21,79.79,84.13,79.78,82.75,82.75,1.7849727E7,1.7849727E7,2.96,3.71,82.22,"July 21, 22",0.0371
2022-07-20,76.88,80.31,76.85,80.24,80.24,1.3914829E7,1.3914829E7,3.36,4.37,79.13333,"July 20, 22",0.0437
2022-07-19,75.46,77.9,74.32,77.74,77.74,1.1531812E7,1.1531812E7,2.28,3.021,76.65333,"July 19, 22",0.03021
2022-07-18,75.118,76.56,73.62,74.13,74.13,1.3942862E7,1.3942862E7,-0.988,-1.315,74.77,"July 18, 22",-0.01315
2022-07-15,70.53,73.9899,70.31,73.91,73.91,1.4155988E7,1.4155988E7,3.38,4.792,72.73663,"July 15, 22",0.04792
2022-07-14,70.52,70.85,68.71,69.55,69.55,9822621.0,9822621.0,-0.97,-1.375,69.70333,"July 14, 22",-0.01375
2022-07-13,69.22,72.06,68.51,71.36,71.36,1.2037946E7,1.2037946E7,2.14,3.092,70.64333,"July 13, 22",0.03092
2022-07-12,70.46,72.51,70.46,71.43,71.43,1.2295374E7,1.2295374E7,0.97,1.377,71.46667,"July 12, 22",0.01377
2022-07-11,72.66,73.28,70.0698,70.47,70.47,1.0852018E7,1.0852018E7,-2.19,-3.014,71.27327,"July 11, 22",-0.03014
2022-07-08,73.12,74.76,71.84,73.43,73.43,1.1714801E7,1.1714801E7,0.31,0.424,73.34333,"July 08, 22",0.00424
2022-07-07,73.18,75.15,72.77,75.04,75.04,1.0740015E7,1.0740015E7,1.86,2.542,74.32,"July 07, 22",0.02542
2022-07-06,74.83,75.4,72.63,73.24,73.24,9426633.0,9426633.0,-1.59,-2.125,73.75667,"July 06, 22",-0.02125
2022-07-05,70.18,74.485,68.77,74.4,74.4,1.2833179E7,1.2833179E7,4.22,6.013,72.55167,"July 05, 22",0.06013
2022-07-01,69.84,71.7,69.66,71.4,71.4,9727993.0,9727993.0,1.56,2.234,70.92,"July 01, 22",0.02234
2022-06-30,70.82,70.89,67.58,69.84,69.84,1.425051E7,1.425051E7,-0.98,-1.384,69.43667,"June 30, 22",-0.01384
2022-06-29,71.212,72.15,69.7701,71.47,71.47,1.1328197E7,1.1328197E7,0.258,0.362,71.13003,"June 29, 22",0.00362
2022-06-28,75.68,76.92,71.6121,71.82,71.82,1.5006758E7,1.5006758E7,-3.86,-5.1,73.4507,"June 28, 22",-0.051
2022-06-27,77.99,78.45,75.32,75.94,75.94,1.1657914E7,1.1657914E7,-2.05,-2.629,76.57,"June 27, 22",-0.02629
2022-06-24,74.79,78.66,74.4,77.68,77.68,2.9844235E7,2.9844235E7,2.89,3.864,76.91333,"June 24, 22",0.03864
2022-06-23,73.27,73.9959,71.56,73.81,73.81,1.6947657E7,1.6947657E7,0.54,0.737,73.12197,"June 23, 22",0.00737
2022-06-22,74.51,74.575,71.3788,72.97,72.97,1.3591625E7,1.3591625E7,-1.54,-2.067,72.9746,"June 22, 22",-0.02067
2022-06-21,74.51,74.99,72.28,72.37,72.37,1.4935297E7,1.4935297E7,-2.14,-2.872,73.21333,"June 21, 22",-0.02872
2022-06-17,71.33,73.6599,70.47,72.9,72.9,1.7231692E7,1.7231692E7,1.57,2.201,72.3433,"June 17, 22",0.02201
2022-06-16,73.33,74.03,70.71,71.23,71.23,1.4405389E7,1.4405389E7,-2.1,-2.864,71.99,"June 16, 22",-0.02864
2022-06-15,73.47,77.1,72.39,75.83,75.83,1.5110797E7,1.5110797E7,2.36,3.212,75.10667,"June 15, 22",0.03212
2022-06-14,74.3,75.07,71.455,72.46,72.46,1.6329345E7,1.6329345E7,-1.84,-2.476,72.995,"June 14, 22",-0.02476
2022-06-13,76.03,78.12,73.46,73.72,73.72,1.9675054E7,1.9675054E7,-2.31,-3.038,75.1,"June 13, 22",-0.03038
2022-06-10,80.43,81.42,78.25,79.3,79.3,1.9131123E7,1.9131123E7,-1.13,-1.405,79.65667,"June 10, 22",-0.01405
2022-06-09,86.81,88.13,84.07,84.11,84.11,1.1772206E7,1.1772206E7,-2.7,-3.11,85.43667,"June 09, 22",-0.0311
2022-06-08,88.32,89.32,86.89,87.51,87.51,9130511.0,9130511.0,-0.81,-0.917,87.90667,"June 08, 22",-0.00917
2022-06-07,85.1,88.81,84.52,88.59,88.59,1.0424412E7,1.0424412E7,3.49,4.101,87.30667,"June 07, 22",0.04101
2022-06-06,87.96,88.99,86.41,86.81,86.81,1.2472412E7,1.2472412E7,-1.15,-1.307,87.40333,"June 06, 22",-0.01307
2022-06-03,86.68,88.1,85.7,86.53,86.53,1.1803551E7,1.1803551E7,-0.15,-0.173,86.77667,"June 03, 22",-0.00173
2022-06-02,82.22,88.61,82.22,88.32,88.32,1.7286489E7,1.7286489E7,6.1,7.419,86.38333,"June 02, 22",0.07419
2022-06-01,85.47,86.77,81.85,82.48,82.48,1.1019898E7,1.1019898E7,-2.99,-3.498,83.7,"June 01, 22",-0.03498
2022-05-31,84.705,86.5915,83.15,85.21,85.21,1.3068166E7,1.3068166E7,0.505,0.596,84.98383,"May 31, 22",0.00596
2022-05-27,81.16,85.42,80.74,85.21,85.21,1.686849E7,1.686849E7,4.05,4.99,83.79,"May 27, 22",0.0499
2022-05-26,80.37,81.3,79.751,80.42,80.42,2.1669617E7,2.1669617E7,0.05,0.062,80.49033,"May 26, 22",6.2E-4
2022-05-25,77.96,80.78,77.25,80.12,80.12,1.4071182E7,1.4071182E7,2.16,2.771,79.38333,"May 25, 22",0.02771
2022-05-24,79.89,80.0,77.2,78.65,78.65,1.3310547E7,1.3310547E7,-1.24,-1.552,78.61667,"May 24, 22",-0.01552
2022-05-23,80.44,82.06,79.28,81.18,81.18,1.2309915E7,1.2309915E7,0.74,0.92,80.84,"May 23, 22",0.0092
2022-05-20,83.71,83.77,77.56,80.54,80.54,1.6887937E7,1.6887937E7,-3.17,-3.787,80.62333,"May 20, 22",-0.03787
2022-05-19,76.83,82.31,76.83,81.28,81.28,1.9779658E7,1.9779658E7,4.45,5.792,80.14,"May 19, 22",0.05792
2022-05-18,78.6,79.9383,76.77,77.18,77.18,1.5956531E7,1.5956531E7,-1.42,-1.807,77.96277,"May 18, 22",-0.01807
2022-05-17,79.89,81.27,77.315,79.75,79.75,1.2677511E7,1.2677511E7,-0.14,-0.175,79.445,"May 17, 22",-0.00175
2022-05-16,78.59,79.06,76.1884,77.65,77.65,1.5432536E7,1.5432536E7,-0.94,-1.196,77.6328,"May 16, 22",-0.01196
2022-05-13,76.37,79.19,76.37,78.83,78.83,1.7113028E7,1.7113028E7,2.46,3.221,78.13,"May 13, 22",0.03221
2022-05-12,73.75,76.555,71.8312,74.29,74.29,2.936225E7,2.936225E7,0.54,0.732,74.2254,"May 12, 22",0.00732
2022-05-11,77.75,80.3586,75.02,75.17,75.17,1.6723171E7,1.6723171E7,-2.58,-3.318,76.84953,"May 11, 22",-0.03318
2022-05-10,81.71,82.27,76.13,78.75,78.75,2.1126512E7,2.1126512E7,-2.96,-3.623,79.05,"May 10, 22",-0.03623
2022-05-09,79.89,82.14,78.85,79.53,79.53,2.5400656E7,2.5400656E7,-0.36,-0.451,80.17333,"May 09, 22",-0.00451
2022-05-06,85.32,85.34,80.9,81.68,81.68,2.1370549E7,2.1370549E7,-3.64,-4.266,82.64,"May 06, 22",-0.04266
2022-05-05,90.73,90.73,84.17,85.43,85.43,2.2068171E7,2.2068171E7,-5.3,-5.842,86.77667,"May 05, 22",-0.05842
2022-05-04,90.25,92.85,87.14,92.72,92.72,1.5430134E7,1.5430134E7,2.47,2.737,90.90333,"May 04, 22",0.02737
2022-05-03,91.48,92.25,90.04,90.71,90.71,1.522822E7,1.522822E7,-0.77,-0.842,91.0,"May 03, 22",-0.00842
2022-05-02,87.55,92.49,86.82,91.53,91.53,2.1340768E7,2.1340768E7,3.98,4.546,90.28,"May 02, 22",0.04546
2022-04-29,91.0,94.49,87.75,87.93,87.93,2.4733396E7,2.4733396E7,-3.07,-3.374,90.05667,"April 29, 22",-0.03374
2022-04-28,85.06,93.18,84.37,92.09,92.09,4.2836678E7,4.2836678E7,7.03,8.265,89.88,"April 28, 22",0.08265
2022-04-27,83.57,86.6,82.12,82.61,82.61,2.3957865E7,2.3957865E7,-0.96,-1.149,83.77667,"April 27, 22",-0.01149
2022-04-26,86.77,86.8652,83.57,83.7,83.7,1.6971657E7,1.6971657E7,-3.07,-3.538,84.71173,"April 26, 22",-0.03538
2022-04-25,85.325,87.9296,84.43,87.78,87.78,1.568463E7,1.568463E7,2.455,2.877,86.7132,"April 25, 22",0.02877
2022-04-22,89.295,90.23,85.98,86.03,86.03,2.1053203E7,2.1053203E7,-3.265,-3.656,87.41333,"April 22, 22",-0.03656
2022-04-21,96.135,97.61,88.81,89.4,89.4,2.7127724E7,2.7127724E7,-6.735,-7.006,91.94,"April 21, 22",-0.07006
2022-04-20,100.0,101.95,94.43,94.9,94.9,2.648905E7,2.648905E7,-5.1,-5.1,97.09333,"April 20, 22",-0.051
2022-04-19,100.0,104.86,99.91,103.66,103.66,1.2768273E7,1.2768273E7,3.66,3.66,102.81,"April 19, 22",0.0366
2022-04-18,102.05,103.0,99.135,100.58,100.58,1.5031486E7,1.5031486E7,-1.47,-1.44,100.905,"April 18, 22",-0.0144
2022-04-14,105.08,105.7,102.07,102.31,102.31,1.3575073E7,1.3575073E7,-2.77,-2.636,103.36,"April 14, 22",-0.02636
2022-04-13,102.59,105.95,102.29,105.17,105.17,2.64824E7,2.64824E7,2.58,2.515,104.47,"April 13, 22",0.02515
2022-04-12,111.64,112.68,107.75,108.25,108.25,1.2215511E7,1.2215511E7,-3.39,-3.037,109.56,"April 12, 22",-0.03037
2022-04-11,109.75,111.395,108.4519,109.81,109.81,1.0706755E7,1.0706755E7,0.06,0.055,109.88563,"April 11, 22",5.5E-4
2022-04-08,112.26,113.235,110.25,111.21,111.21,1.0522173E7,1.0522173E7,-1.05,-0.935,111.565,"April 08, 22",-0.00935
2022-04-07,111.52,114.33,110.1,113.04,113.04,1.247192E7,1.247192E7,1.52,1.363,112.49,"April 07, 22",0.01363
2022-04-06,115.26,115.51,110.86,112.49,112.49,1.6239547E7,1.6239547E7,-2.77,-2.403,112.95333,"April 06, 22",-0.02403
2022-04-05,122.83,122.918,117.2025,117.65,117.65,1.277923E7,1.277923E7,-5.18,-4.217,119.25683,"April 05, 22",-0.04217
2022-04-04,117.06,122.32,116.89,121.86,121.86,1.5233519E7,1.5233519E7,4.8,4.1,120.35667,"April 04, 22",0.041
2022-04-01,116.0,118.24,115.04,116.67,116.67,1.103348E7,1.103348E7,0.67,0.578,116.65,"April 01, 22",0.00578
