date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,116.57,119.94,116.225,119.17,119.17,6167621.0,6167621.0,2.6,2.23,118.445,"October 25, 22",0.0223
2022-10-24,116.34,117.0211,114.24,116.38,116.38,6526259.0,6526259.0,0.04,0.034,115.88037,"October 24, 22",3.4E-4
2022-10-21,111.75,115.99,111.02,115.74,115.74,7443165.0,7443165.0,3.99,3.57,114.25,"October 21, 22",0.0357
2022-10-20,113.17,116.09,111.72,111.98,111.98,7730418.0,7730418.0,-1.19,-1.052,113.26333,"October 20, 22",-0.01052
2022-10-19,110.86,113.67,110.75,112.85,112.85,5614974.0,5614974.0,1.99,1.795,112.42333,"October 19, 22",0.01795
2022-10-18,114.95,116.09,109.54,111.21,111.21,8898165.0,8898165.0,-3.74,-3.254,112.28,"October 18, 22",-0.03254
2022-10-17,113.92,114.48,110.61,111.59,111.59,7880976.0,7880976.0,-2.33,-2.045,112.22667,"October 17, 22",-0.02045
2022-10-14,114.63,114.99,109.79,109.95,109.95,7990304.0,7990304.0,-4.68,-4.083,111.57667,"October 14, 22",-0.04083
2022-10-13,105.38,115.2,104.669,112.86,112.86,1.0210363E7,1.0210363E7,7.48,7.098,110.90967,"October 13, 22",0.07098
2022-10-12,110.32,110.8,108.38,108.64,108.64,6980441.0,6980441.0,-1.68,-1.523,109.27333,"October 12, 22",-0.01523
2022-10-11,112.0,112.49,108.65,110.03,110.03,1.075477E7,1.075477E7,-1.97,-1.759,110.39,"October 11, 22",-0.01759
2022-10-10,120.59,121.04,113.45,114.6,114.6,9498364.0,9498364.0,-5.99,-4.967,116.36333,"October 10, 22",-0.04967
2022-10-07,122.62,124.11,120.32,120.91,120.91,8616737.0,8616737.0,-1.71,-1.395,121.78,"October 07, 22",-0.01395
2022-10-06,124.51,127.21,124.4,125.28,125.28,6233818.0,6233818.0,0.77,0.618,125.63,"October 06, 22",0.00618
2022-10-05,120.8799973,125.5599976,120.5299988,124.8899994,124.8899994,7070300.0,7070300.0,4.01,3.317,123.66,"October 05, 22",0.03317
2022-10-04,120.4000015,122.4499969,120.3199997,122.3700027,122.3700027,6637200.0,6637200.0,1.97,1.636,121.71333,"October 04, 22",0.01636
2022-10-03,114.9899979,118.3199997,113.6699982,117.2200012,117.2200012,7481700.0,7481700.0,2.23,1.939,116.40333,"October 03, 22",0.01939
2022-09-30,113.7600021,116.2799988,112.9199982,112.9800034,112.9800034,7565700.0,7565700.0,-0.78,-0.686,114.06,"September 30, 22",-0.00686
2022-09-29,117.2799988,117.4700012,113.4599991,114.8399963,114.8399963,1.21258E7,1.21258E7,-2.44,-2.08,115.25667,"September 29, 22",-0.0208
2022-09-28,118.5800018,120.4499969,117.7799988,118.9300003,118.9300003,1.13212E7,1.13212E7,0.35,0.295,119.05333,"September 28, 22",0.00295
2022-09-27,121.5599976,122.6800003,118.75,120.3399963,120.3399963,5544400.0,5544400.0,-1.22,-1.004,120.59,"September 27, 22",-0.01004
2022-09-26,121.5400009,123.1800003,119.5899963,119.7399979,119.7399979,6424600.0,6424600.0,-1.8,-1.481,120.83666,"September 26, 22",-0.01481
2022-09-23,122.3399963,122.6800003,119.0500031,121.1900024,121.1900024,1.06734E7,1.06734E7,-1.14999,-0.94,120.97334,"September 23, 22",-0.0094
2022-09-22,124.75,125.1600037,122.4700012,123.6800003,123.6800003,8753000.0,8753000.0,-1.07,-0.858,123.77,"September 22, 22",-0.00858
2022-09-21,125.4400024,129.7899933,124.5,124.6200027,124.6200027,8123700.0,8123700.0,-0.82,-0.654,126.30333,"September 21, 22",-0.00654
2022-09-20,125.7399979,126.5500031,123.8899994,124.7699966,124.7699966,5672700.0,5672700.0,-0.97,-0.771,125.07,"September 20, 22",-0.00771
2022-09-19,123.6200027,127.1800003,123.4100037,126.6500015,126.6500015,5922700.0,5922700.0,3.03,2.451,125.74667,"September 19, 22",0.02451
2022-09-16,124.1200027,125.7399979,123.0500031,124.9499969,124.9499969,1.38163E7,1.38163E7,0.82999,0.669,124.58,"September 16, 22",0.00669
2022-09-15,126.6999969,128.0800018,124.2300034,124.9800034,124.9800034,7459600.0,7459600.0,-1.71999,-1.358,125.76334,"September 15, 22",-0.01358
2022-09-14,126.2699966,127.9000015,125.5,127.5299988,127.5299988,7509300.0,7509300.0,1.26,0.998,126.97667,"September 14, 22",0.00998
2022-09-13,128.3800049,129.8999939,124.4899979,124.9300003,124.9300003,9610900.0,9610900.0,-3.45,-2.687,126.44,"September 13, 22",-0.02687
2022-09-12,133.0,134.2200012,132.3200073,133.0,133.0,7081300.0,7081300.0,0.0,0.0,133.18,"September 12, 22",0.0
2022-09-09,130.6799927,132.6100006,130.3099976,132.0500031,132.0500031,5097300.0,5097300.0,1.37001,1.048,131.65667,"September 09, 22",0.01048
2022-09-08,127.4700012,129.8000031,125.9000015,128.8500061,128.8500061,6618800.0,6618800.0,1.38,1.083,128.18334,"September 08, 22",0.01083
2022-09-07,127.4700012,129.7799988,126.3700027,128.6000061,128.6000061,5340100.0,5340100.0,1.13,0.886,128.25,"September 07, 22",0.00886
2022-09-06,128.8399963,129.5200043,126.2099991,126.6699982,126.6699982,6674200.0,6674200.0,-2.17,-1.684,127.46667,"September 06, 22",-0.01684
2022-09-02,131.6399994,132.6699982,127.5599976,128.4799957,128.4799957,6120300.0,6120300.0,-3.16,-2.4,129.57,"September 02, 22",-0.024
2022-09-01,129.9799957,130.1300049,126.0800018,129.9199982,129.9199982,8716300.0,8716300.0,-0.06,-0.046,128.71,"September 01, 22",-4.6E-4
2022-08-31,133.7899933,134.1699982,131.3000031,132.2700043,132.2700043,8701100.0,8701100.0,-1.51999,-1.136,132.58,"August 31, 22",-0.01136
2022-08-30,137.8000031,138.3000031,132.9400024,134.4100037,133.6600037,6147400.0,6147400.0,-4.14,-3.004,134.96667,"August 30, 22",-0.03004
2022-08-29,137.8099976,139.1300049,136.1100006,137.0800018,136.3151093,6852300.0,6852300.0,-1.49489,-1.085,137.18504,"August 29, 22",-0.01085
2022-08-26,146.1600037,147.3600006,138.0500031,138.3800049,137.6078491,7918600.0,7918600.0,-8.55215,-5.851,141.00595,"August 26, 22",-0.05851
2022-08-25,142.3399963,147.0,142.0200043,146.25,145.4339294,5618800.0,5618800.0,3.09393,2.174,144.81798,"August 25, 22",0.02174
2022-08-24,140.25,141.7100067,138.6100006,141.3099976,140.5214996,5113100.0,5113100.0,0.2715,0.194,140.2805,"August 24, 22",0.00194
2022-08-23,142.0899963,143.6100006,140.5599976,140.7200012,139.9347839,4499300.0,4499300.0,-2.15521,-1.517,141.36826,"August 23, 22",-0.01517
2022-08-22,145.3000031,145.8099976,141.1000061,141.6100006,140.8198242,6736800.0,6736800.0,-4.48018,-3.083,142.57661,"August 22, 22",-0.03083
2022-08-19,149.2899933,150.3800049,146.8999939,147.6000061,146.776413,5400300.0,5400300.0,-2.51358,-1.684,148.0188,"August 19, 22",-0.01684
2022-08-18,148.0700073,152.9100037,147.7599945,151.3800049,150.5353088,7808200.0,7808200.0,2.4653,1.665,150.40177,"August 18, 22",0.01665
2022-08-17,148.2299957,149.6300049,146.3600006,148.5299988,147.7012024,5169600.0,5169600.0,-0.52879,-0.357,147.89707,"August 17, 22",-0.00357
2022-08-16,151.4499969,152.4900055,148.8500061,150.0299988,149.1928406,5270800.0,5270800.0,-2.25716,-1.49,150.17762,"August 16, 22",-0.0149
2022-08-15,150.3200073,152.6999969,148.3999939,152.1300049,151.2811279,4502900.0,4502900.0,0.96112,0.639,150.79371,"August 15, 22",0.00639
2022-08-12,148.0,151.4700012,147.1799927,151.2899933,150.4458008,4967500.0,4967500.0,2.4458,1.653,149.6986,"August 12, 22",0.01653
2022-08-11,148.3099976,151.6399994,147.0200043,147.8300018,147.0051117,6243200.0,6243200.0,-1.30489,-0.88,148.55504,"August 11, 22",-0.0088
2022-08-10,145.8500061,147.1799927,143.6900024,146.9900055,146.1698151,6840000.0,6840000.0,0.31981,0.219,145.67994,"August 10, 22",0.00219
2022-08-09,145.5899963,146.5,141.3099976,142.5099945,141.714798,6770800.0,6770800.0,-3.8752,-2.662,143.17493,"August 09, 22",-0.02662
2022-08-08,149.8099976,151.1900024,146.5500031,147.8099976,146.9852295,5553300.0,5553300.0,-2.82477,-1.886,148.24174,"August 08, 22",-0.01886
2022-08-05,148.5700073,151.2799988,147.6699982,150.2100067,149.3718414,5041300.0,5041300.0,0.80183,0.54,149.44061,"August 05, 22",0.0054
2022-08-04,148.6799927,151.1600037,147.7100067,151.0099945,150.1673737,6254700.0,6254700.0,1.48738,1.0,149.67913,"August 04, 22",0.01
2022-08-03,147.6600037,150.3399963,146.5899963,149.1600037,148.3276978,6890200.0,6890200.0,0.66769,0.452,148.41923,"August 03, 22",0.00452
2022-08-02,145.6900024,149.3999939,144.8399963,147.0299988,146.2095795,5946400.0,5946400.0,0.51958,0.357,146.81652,"August 02, 22",0.00357
2022-08-01,144.3099976,149.4600067,144.0700073,147.4299927,146.6073456,7611400.0,7611400.0,2.29735,1.592,146.71245,"August 01, 22",0.01592
2022-07-29,144.6000061,145.3099976,140.6699982,145.0599976,144.2505646,1.17494E7,1.17494E7,-0.34944,-0.242,143.41019,"July 29, 22",-0.00242
2022-07-28,149.7799988,149.9900055,143.0,146.4499969,145.6328125,1.7051E7,1.7051E7,-4.14719,-2.769,146.20761,"July 28, 22",-0.02769
2022-07-27,151.5299988,154.8000031,150.5500031,153.4199982,152.5639191,1.2863E7,1.2863E7,1.03392,0.682,152.63798,"July 27, 22",0.00682
2022-07-26,152.6199951,152.6999969,149.8099976,149.9700012,149.1331787,5941800.0,5941800.0,-3.48682,-2.285,150.54772,"July 26, 22",-0.02285
2022-07-25,152.8000031,154.0399933,151.6699982,153.25,152.3948669,4928900.0,4928900.0,-0.40514,-0.265,152.70162,"July 25, 22",-0.00265
2022-07-22,155.6600037,156.6600037,152.3500061,153.6999969,152.8423615,7200100.0,7200100.0,-2.81764,-1.81,153.95079,"July 22, 22",-0.0181
2022-07-21,152.8800049,155.9199982,150.6300049,155.8600006,154.9903107,8060400.0,8060400.0,2.11031,1.38,153.84677,"July 21, 22",0.0138
2022-07-20,147.4299927,152.3300018,146.6199951,151.7100067,150.8634796,8517400.0,8517400.0,3.43349,2.329,149.93783,"July 20, 22",0.02329
2022-07-19,144.1399994,148.4700012,143.1799927,147.3699951,146.5476837,9686500.0,9686500.0,2.40768,1.67,146.06589,"July 19, 22",0.0167
2022-07-18,145.9700012,146.4299927,140.8200073,141.6900024,140.8993835,7856600.0,7856600.0,-5.07062,-3.474,142.71646,"July 18, 22",-0.03474
