date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,4.11,5.09,4.095,4.75,4.75,4413816.0,4413816.0,0.64,15.572,4.645,"October 25, 22",0.15572
2022-10-24,4.11,4.145,3.925,4.11,4.11,1683186.0,1683186.0,0.0,0.0,4.06,"October 24, 22",0.0
2022-10-21,4.01,4.2,3.9,4.2,4.2,2544034.0,2544034.0,0.19,4.738,4.1,"October 21, 22",0.04738
2022-10-20,4.01,4.16,3.97,4.03,4.03,1890581.0,1890581.0,0.02,0.499,4.05333,"October 20, 22",0.00499
2022-10-19,4.09,4.175,3.965,4.04,4.04,2097309.0,2097309.0,-0.05,-1.222,4.06,"October 19, 22",-0.01222
2022-10-18,4.16,4.34,4.11,4.19,4.19,2562634.0,2562634.0,0.03,0.721,4.21333,"October 18, 22",0.00721
2022-10-17,3.97,4.115,3.86,4.0,4.0,2989280.0,2989280.0,0.03,0.756,3.99167,"October 17, 22",0.00756
2022-10-14,4.26,4.32,3.84,3.86,3.86,4605478.0,4605478.0,-0.4,-9.39,4.00667,"October 14, 22",-0.0939
2022-10-13,4.3,4.34,4.08,4.17,4.17,5923491.0,5923491.0,-0.13,-3.023,4.19667,"October 13, 22",-0.03023
2022-10-12,4.73,4.755,4.45,4.45,4.45,3033278.0,3033278.0,-0.28,-5.92,4.55167,"October 12, 22",-0.0592
2022-10-11,4.45,4.925,4.385,4.76,4.76,2291496.0,2291496.0,0.31,6.966,4.69,"October 11, 22",0.06966
2022-10-10,4.67,4.74,4.48,4.53,4.53,1495080.0,1495080.0,-0.14,-2.998,4.58333,"October 10, 22",-0.02998
2022-10-07,5.04,5.1032,4.605,4.64,4.64,2547429.0,2547429.0,-0.4,-7.937,4.78273,"October 07, 22",-0.07937
2022-10-06,5.4,5.68,5.0864,5.22,5.22,2841918.0,2841918.0,-0.18,-3.333,5.3288,"October 06, 22",-0.03333
2022-10-05,5.5,5.55,5.245,5.41,5.41,2725324.0,2725324.0,-0.09,-1.636,5.40167,"October 05, 22",-0.01636
2022-10-04,5.02,5.73,5.0,5.72,5.72,5182586.0,5182586.0,0.7,13.944,5.48333,"October 04, 22",0.13944
2022-10-03,4.95,4.95,4.44,4.87,4.87,4310026.0,4310026.0,-0.08,-1.616,4.75333,"October 03, 22",-0.01616
2022-09-30,5.02,5.2,4.7101,4.95,4.95,4741748.0,4741748.0,-0.07,-1.394,4.95337,"September 30, 22",-0.01394
2022-09-29,5.75,5.99,4.865,5.06,5.06,1.088561E7,1.088561E7,-0.69,-12.0,5.305,"September 29, 22",-0.12
2022-09-28,6.56,7.13,6.39,7.03,7.03,2165814.0,2165814.0,0.47,7.165,6.85,"September 28, 22",0.07165
