date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,19.72,20.31,19.69,20.3,20.3,1346213.0,1346213.0,0.58,2.941,20.1,"October 25, 22",0.02941
2022-10-24,19.34,19.98,19.19,19.71,19.71,1302037.0,1302037.0,0.37,1.913,19.62667,"October 24, 22",0.01913
2022-10-21,18.98,19.245,18.73,19.19,19.19,1171249.0,1171249.0,0.21,1.106,19.055,"October 21, 22",0.01106
2022-10-20,19.17,19.4,18.67,18.87,18.87,1127074.0,1127074.0,-0.3,-1.565,18.98,"October 20, 22",-0.01565
2022-10-19,19.3,19.56,18.91,19.22,19.22,1509632.0,1509632.0,-0.08,-0.415,19.23,"October 19, 22",-0.00415
2022-10-18,19.62,19.815,19.205,19.49,19.49,1425799.0,1425799.0,-0.13,-0.663,19.50333,"October 18, 22",-0.00663
2022-10-17,19.37,19.62,19.07,19.27,19.27,2314097.0,2314097.0,-0.1,-0.516,19.32,"October 17, 22",-0.00516
2022-10-14,19.56,19.6223,18.7725,18.79,18.79,1118744.0,1118744.0,-0.77,-3.937,19.0616,"October 14, 22",-0.03937
2022-10-13,18.77,19.645,18.31,19.46,19.46,2375096.0,2375096.0,0.69,3.676,19.13833,"October 13, 22",0.03676
2022-10-12,19.32,19.32,18.77,18.97,18.97,2028687.0,2028687.0,-0.35,-1.812,19.02,"October 12, 22",-0.01812
2022-10-11,19.0,19.56,19.0,19.29,19.29,1892134.0,1892134.0,0.29,1.526,19.28333,"October 11, 22",0.01526
2022-10-10,19.93,19.96,19.11,19.13,19.13,1559313.0,1559313.0,-0.8,-4.014,19.4,"October 10, 22",-0.04014
2022-10-07,20.53,20.7,19.89,19.91,19.91,1254677.0,1254677.0,-0.62,-3.02,20.16667,"October 07, 22",-0.0302
2022-10-06,20.7000008,20.8500004,20.3500004,20.75,20.75,1754000.0,1754000.0,0.05,0.242,20.65,"October 06, 22",0.00242
2022-10-05,20.8099995,20.8899994,20.4599991,20.8299999,20.8299999,1767800.0,1767800.0,0.02,0.096,20.72667,"October 05, 22",9.6E-4
2022-10-04,20.1100006,21.1100006,20.1100006,21.1100006,21.1100006,1733500.0,1733500.0,1.0,4.973,20.77667,"October 04, 22",0.04973
2022-10-03,19.5799999,20.0,19.3299999,19.9699993,19.9699993,1601500.0,1601500.0,0.39,1.992,19.76667,"October 03, 22",0.01992
2022-09-30,19.3500004,19.6000004,19.2700005,19.2900009,19.2900009,1794300.0,1794300.0,-0.06,-0.31,19.38667,"September 30, 22",-0.0031
2022-09-29,19.2600002,19.3999996,19.0200005,19.3700008,19.3700008,1427000.0,1427000.0,0.11,0.571,19.26333,"September 29, 22",0.00571
2022-09-28,19.2099991,19.6299992,19.1800003,19.4799995,19.4799995,1145900.0,1145900.0,0.27,1.406,19.43,"September 28, 22",0.01406
2022-09-27,19.2900009,19.4699993,18.8799992,19.0799999,19.0799999,1360000.0,1360000.0,-0.21,-1.089,19.14333,"September 27, 22",-0.01089
2022-09-26,19.4799995,19.7299995,19.0799999,19.1299992,19.1299992,1376800.0,1376800.0,-0.35,-1.797,19.31333,"September 26, 22",-0.01797
2022-09-23,19.6700001,19.8099995,19.4099998,19.6299992,19.6299992,1256500.0,1256500.0,-0.04,-0.203,19.61667,"September 23, 22",-0.00203
2022-09-22,20.6900005,20.6900005,19.8999996,19.8999996,19.8999996,1514100.0,1514100.0,-0.79,-3.818,20.16333,"September 22, 22",-0.03818
2022-09-21,21.0,21.1100006,20.6100006,20.6299992,20.6299992,783000.0,783000.0,-0.37,-1.762,20.78333,"September 21, 22",-0.01762
2022-09-20,20.9200001,20.9200001,20.5699997,20.8299999,20.8299999,1102100.0,1102100.0,-0.09,-0.43,20.77333,"September 20, 22",-0.0043
2022-09-19,20.6599998,21.1200008,20.6599998,21.0200005,21.0200005,876700.0,876700.0,0.36,1.742,20.93333,"September 19, 22",0.01742
2022-09-16,20.6900005,20.8500004,20.4799995,20.8199997,20.8199997,4126500.0,4126500.0,0.13,0.628,20.71667,"September 16, 22",0.00628
2022-09-15,20.6800003,21.1299992,20.6299992,20.8199997,20.8199997,1182000.0,1182000.0,0.14,0.677,20.86,"September 15, 22",0.00677
2022-09-14,20.9799995,21.0799999,20.5200005,20.6499996,20.6499996,1176300.0,1176300.0,-0.33,-1.573,20.75,"September 14, 22",-0.01573
2022-09-13,21.1499996,21.1900005,20.7999992,20.9300003,20.9300003,1157000.0,1157000.0,-0.22,-1.04,20.97333,"September 13, 22",-0.0104
2022-09-12,21.2700005,21.5200005,21.1499996,21.4500008,21.4500008,775400.0,775400.0,0.18,0.846,21.37333,"September 12, 22",0.00846
2022-09-09,20.7600002,21.1800003,20.75,21.1599998,21.1599998,1182000.0,1182000.0,0.4,1.927,21.03,"September 09, 22",0.01927
2022-09-08,20.3400002,20.6800003,20.2099991,20.6700001,20.6700001,1193600.0,1193600.0,0.33,1.622,20.52,"September 08, 22",0.01622
2022-09-07,20.2099991,20.5200005,20.1299992,20.4500008,20.4500008,1223600.0,1223600.0,0.24,1.188,20.36667,"September 07, 22",0.01188
2022-09-06,20.4200001,20.5799999,20.1000004,20.2000008,20.2000008,1712900.0,1712900.0,-0.22,-1.077,20.29333,"September 06, 22",-0.01077
2022-09-02,20.75,20.8899994,20.4400005,20.5200005,20.5200005,1035000.0,1035000.0,-0.23,-1.108,20.61667,"September 02, 22",-0.01108
2022-09-01,20.9899998,21.0499992,20.4799995,20.5400009,20.5400009,960100.0,960100.0,-0.45,-2.144,20.69,"September 01, 22",-0.02144
2022-08-31,21.3899994,21.4799995,21.0900002,21.1100006,21.1100006,1124100.0,1124100.0,-0.28,-1.309,21.22667,"August 31, 22",-0.01309
2022-08-30,21.6800003,21.7600002,21.3400002,21.4300003,21.4300003,791800.0,791800.0,-0.25,-1.153,21.51,"August 30, 22",-0.01153
2022-08-29,21.7399998,21.8199997,21.6100006,21.6599998,21.6599998,602600.0,602600.0,-0.08,-0.368,21.69667,"August 29, 22",-0.00368
