date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,20.36,21.275,20.27,21.23,21.23,1.0106806E7,1.0106806E7,0.87,4.273,20.925,"October 25, 22",0.04273
2022-10-24,19.69,20.6972,19.58,20.55,20.55,1.6159044E7,1.6159044E7,0.86,4.368,20.27573,"October 24, 22",0.04368
2022-10-21,19.85,20.69,19.095,19.52,19.52,2.4902605E7,2.4902605E7,-0.33,-1.662,19.76833,"October 21, 22",-0.01662
2022-10-20,20.85,21.1,19.61,19.74,19.74,1.695967E7,1.695967E7,-1.11,-5.324,20.15,"October 20, 22",-0.05324
2022-10-19,21.44,21.65,20.805,20.9,20.9,9927758.0,9927758.0,-0.54,-2.519,21.11833,"October 19, 22",-0.02519
2022-10-18,21.72,22.01,21.28,21.66,21.66,1.1202606E7,1.1202606E7,-0.06,-0.276,21.65,"October 18, 22",-0.00276
2022-10-17,21.23,21.42,20.945,21.25,21.25,9011565.0,9011565.0,0.02,0.094,21.205,"October 17, 22",9.4E-4
2022-10-14,21.0,21.51,20.645,20.68,20.68,9171962.0,9171962.0,-0.32,-1.524,20.945,"October 14, 22",-0.01524
2022-10-13,19.32,20.94,19.15,20.88,20.88,9796295.0,9796295.0,1.56,8.075,20.32333,"October 13, 22",0.08075
2022-10-12,19.83,19.99,19.59,19.6,19.6,8707830.0,8707830.0,-0.23,-1.16,19.72667,"October 12, 22",-0.0116
2022-10-11,20.17,20.27,19.79,19.89,19.89,7483344.0,7483344.0,-0.28,-1.388,19.98333,"October 11, 22",-0.01388
2022-10-10,20.55,20.68,20.11,20.26,20.26,7426150.0,7426150.0,-0.29,-1.411,20.35,"October 10, 22",-0.01411
2022-10-07,20.68,20.73,20.25,20.45,20.45,1.0461483E7,1.0461483E7,-0.23,-1.112,20.47667,"October 07, 22",-0.01112
2022-10-06,21.03,21.17,20.79,20.81,20.81,6031149.0,6031149.0,-0.22,-1.046,20.92333,"October 06, 22",-0.01046
2022-10-05,21.0699997,21.3099995,21.0,21.1700001,21.1700001,6821700.0,6821700.0,0.1,0.475,21.16,"October 05, 22",0.00475
2022-10-04,20.8500004,21.4200001,20.8500004,21.3999996,21.3999996,7203400.0,7203400.0,0.55,2.638,21.22333,"October 04, 22",0.02638
2022-10-03,20.3099995,20.6499996,19.8600006,20.5200005,20.5200005,9218900.0,9218900.0,0.21,1.034,20.34333,"October 03, 22",0.01034
2022-09-30,20.0200005,20.5400009,19.9200001,20.0699997,20.0699997,1.05935E7,1.05935E7,0.05,0.25,20.17667,"September 30, 22",0.0025
2022-09-29,20.1399994,20.3400002,19.6399994,19.8700008,19.8700008,1.0098E7,1.0098E7,-0.27,-1.341,19.95,"September 29, 22",-0.01341
2022-09-28,20.5799999,21.0599995,20.2099991,20.4599991,20.4599991,1.96657E7,1.96657E7,-0.12,-0.583,20.57667,"September 28, 22",-0.00583
2022-09-27,20.8199997,21.0400009,20.1000004,20.4099998,20.4099998,8328300.0,8328300.0,-0.41,-1.969,20.51667,"September 27, 22",-0.01969
2022-09-26,20.7099991,21.0499992,20.4799995,20.6900005,20.6900005,8071300.0,8071300.0,-0.02,-0.097,20.74,"September 26, 22",-9.7E-4
2022-09-23,21.0400009,21.1499996,20.5900002,20.8799992,20.8799992,6831000.0,6831000.0,-0.16,-0.76,20.87333,"September 23, 22",-0.0076
2022-09-22,22.0200005,22.0599995,21.2700005,21.3099995,21.3099995,6240600.0,6240600.0,-0.71,-3.224,21.54667,"September 22, 22",-0.03224
2022-09-21,22.3199997,22.5,21.8700008,21.8700008,21.8700008,8155000.0,8155000.0,-0.45,-2.016,22.08,"September 21, 22",-0.02016
2022-09-20,22.0799999,22.3500004,21.9799995,22.1900005,22.1900005,6310200.0,6310200.0,0.11,0.498,22.17333,"September 20, 22",0.00498
2022-09-19,21.7099991,22.3199997,21.6299992,22.2399998,22.2399998,5279200.0,5279200.0,0.53,2.441,22.06333,"September 19, 22",0.02441
2022-09-16,22.1700001,22.2299995,21.6700001,21.9300003,21.9300003,1.37041E7,1.37041E7,-0.24,-1.083,21.94333,"September 16, 22",-0.01083
2022-09-15,22.2399998,22.7999992,22.1900005,22.4400005,22.4400005,7467800.0,7467800.0,0.2,0.899,22.47667,"September 15, 22",0.00899
2022-09-14,21.7399998,22.2000008,21.4899998,22.1299992,22.1299992,1.10952E7,1.10952E7,0.39,1.794,21.94,"September 14, 22",0.01794
2022-09-13,21.9799995,22.1700001,21.5699997,21.6800003,21.6800003,9638900.0,9638900.0,-0.3,-1.365,21.80667,"September 13, 22",-0.01365
2022-09-12,22.3099995,22.6399994,22.2099991,22.4599991,22.4599991,8489100.0,8489100.0,0.15,0.672,22.43667,"September 12, 22",0.00672
2022-09-09,22.3600006,22.5300007,22.1900005,22.2099991,22.2099991,9929800.0,9929800.0,-0.15,-0.671,22.31,"September 09, 22",-0.00671
2022-09-08,21.4400005,22.2299995,21.2999992,22.2099991,22.2099991,6591400.0,6591400.0,0.77,3.591,21.91333,"September 08, 22",0.03591
2022-09-07,20.9400005,21.6299992,20.8700008,21.5499992,21.5499992,5726000.0,5726000.0,0.61,2.913,21.35,"September 07, 22",0.02913
2022-09-06,21.4200001,21.5,20.8199997,21.0100002,21.0100002,7301500.0,7301500.0,-0.41,-1.914,21.11,"September 06, 22",-0.01914
2022-09-02,21.6900005,21.8899994,21.1800003,21.2800007,21.2800007,6356700.0,6356700.0,-0.41,-1.89,21.45,"September 02, 22",-0.0189
