date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,3.5,3.63,3.44,3.56,3.56,2.0931048E7,2.0931048E7,0.06,1.714,3.54333,"October 25, 22",0.01714
2022-10-24,3.5,3.6,3.47,3.51,3.51,2.1634152E7,2.1634152E7,0.01,0.286,3.52667,"October 24, 22",0.00286
2022-10-21,3.43,3.64,3.405,3.59,3.59,2.9682338E7,2.9682338E7,0.16,4.665,3.545,"October 21, 22",0.04665
2022-10-20,3.43,3.505,3.38,3.4,3.4,2.712419E7,2.712419E7,-0.03,-0.875,3.42833,"October 20, 22",-0.00875
2022-10-19,3.19,3.37,3.145,3.37,3.37,3.2158245E7,3.2158245E7,0.18,5.643,3.295,"October 19, 22",0.05643
2022-10-18,3.18,3.225,3.03,3.12,3.12,1.801546E7,1.801546E7,-0.06,-1.887,3.125,"October 18, 22",-0.01887
2022-10-17,3.0,3.11,2.9597,3.09,3.09,2.1506159E7,2.1506159E7,0.09,3.0,3.05323,"October 17, 22",0.03
2022-10-14,2.92,3.0,2.87,2.91,2.91,1.5453687E7,1.5453687E7,-0.01,-0.342,2.92667,"October 14, 22",-0.00342
2022-10-13,2.78,2.97,2.74,2.95,2.95,2.1310374E7,2.1310374E7,0.17,6.115,2.88667,"October 13, 22",0.06115
2022-10-12,2.89,2.94,2.8,2.86,2.86,1.6548395E7,1.6548395E7,-0.03,-1.038,2.86667,"October 12, 22",-0.01038
2022-10-11,2.91,3.0,2.835,2.94,2.94,2.5679772E7,2.5679772E7,0.03,1.031,2.925,"October 11, 22",0.01031
2022-10-10,3.05,3.1,2.95,3.0,3.0,2.1209266E7,2.1209266E7,-0.05,-1.639,3.01667,"October 10, 22",-0.01639
2022-10-07,3.17,3.24,3.07,3.09,3.09,3.2590678E7,3.2590678E7,-0.08,-2.524,3.13333,"October 07, 22",-0.02524
2022-10-06,3.09,3.23,3.05,3.2,3.2,6.1491667E7,6.1491667E7,0.11,3.56,3.16,"October 06, 22",0.0356
2022-10-05,2.85,3.02,2.83,3.0,3.0,3.0942854E7,3.0942854E7,0.15,5.263,2.95,"October 05, 22",0.05263
2022-10-04,2.78,2.91,2.73,2.9,2.9,3.431891E7,3.431891E7,0.12,4.317,2.84667,"October 04, 22",0.04317
2022-10-03,2.6,2.7,2.57,2.67,2.67,2.1845007E7,2.1845007E7,0.07,2.692,2.64667,"October 03, 22",0.02692
2022-09-30,2.5,2.58,2.45,2.47,2.47,2.216949E7,2.216949E7,-0.03,-1.2,2.5,"September 30, 22",-0.012
2022-09-29,2.64,2.65,2.42,2.48,2.48,3.0387256E7,3.0387256E7,-0.16,-6.061,2.51667,"September 29, 22",-0.06061
2022-09-28,2.54,2.73,2.48,2.73,2.73,3.3286711E7,3.3286711E7,0.19,7.48,2.64667,"September 28, 22",0.0748
2022-09-27,2.51,2.635,2.44,2.48,2.48,4.0656206E7,4.0656206E7,-0.03,-1.195,2.51833,"September 27, 22",-0.01195
2022-09-26,2.36,2.44,2.34,2.39,2.39,3.2286266E7,3.2286266E7,0.03,1.271,2.39,"September 26, 22",0.01271
