date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,70.94,72.68,70.64,72.46,72.46,4959340.0,4959340.0,1.52,2.143,71.92667,"October 25, 22",0.02143
2022-10-24,70.31,71.29,69.52,70.7,70.7,5328226.0,5328226.0,0.39,0.555,70.50333,"October 24, 22",0.00555
2022-10-21,68.26,70.35,67.77,70.32,70.32,6621324.0,6621324.0,2.06,3.018,69.48,"October 21, 22",0.03018
2022-10-20,68.66,69.98,67.83,68.0,68.0,7762238.0,7762238.0,-0.66,-0.961,68.60333,"October 20, 22",-0.00961
2022-10-19,68.21,69.62,68.2,68.71,68.71,5917981.0,5917981.0,0.5,0.733,68.84333,"October 19, 22",0.00733
2022-10-18,69.64,70.94,68.27,68.61,68.61,1.1731435E7,1.1731435E7,-1.03,-1.479,69.27333,"October 18, 22",-0.01479
2022-10-17,70.57,70.57,65.39,67.43,67.43,2.0108494E7,2.0108494E7,-3.14,-4.449,67.79667,"October 17, 22",-0.04449
2022-10-14,74.32,75.0,68.46,68.98,68.98,1.3327008E7,1.3327008E7,-5.34,-7.185,70.81333,"October 14, 22",-0.07185
2022-10-13,70.32,74.58,70.0861,74.07,74.07,9073855.0,9073855.0,3.75,5.333,72.91203,"October 13, 22",0.05333
2022-10-12,71.71,72.67,70.74,71.89,71.89,8460759.0,8460759.0,0.18,0.251,71.76667,"October 12, 22",0.00251
2022-10-11,72.88,73.11,71.23,71.71,71.71,9676333.0,9676333.0,-1.17,-1.605,72.01667,"October 11, 22",-0.01605
2022-10-10,74.84,75.31,73.25,73.56,73.56,6184621.0,6184621.0,-1.28,-1.71,74.04,"October 10, 22",-0.0171
2022-10-07,75.5,75.88,73.59,74.31,74.31,8063783.0,8063783.0,-1.19,-1.576,74.59333,"October 07, 22",-0.01576
2022-10-06,75.74,77.04,75.5,75.99,75.99,6277144.0,6277144.0,0.25,0.33,76.17667,"October 06, 22",0.0033
2022-10-05,75.46,76.79,75.3,75.93,75.93,6384852.0,6384852.0,0.47,0.623,76.00667,"October 05, 22",0.00623
2022-10-04,74.68,76.59,74.58,76.22,76.22,8492273.0,8492273.0,1.54,2.062,75.79667,"October 04, 22",0.02062
2022-10-03,72.95,73.49,72.01,73.21,73.21,8142148.0,8142148.0,0.26,0.356,72.90333,"October 03, 22",0.00356
2022-09-30,72.44,73.635,71.35,71.87,71.87,7629807.0,7629807.0,-0.57,-0.787,72.285,"September 30, 22",-0.00787
2022-09-29,72.39,73.26,71.57,72.64,72.64,7057463.0,7057463.0,0.25,0.345,72.49,"September 29, 22",0.00345
2022-09-28,71.6,73.77,71.49,73.25,73.25,8274192.0,8274192.0,1.65,2.304,72.83667,"September 28, 22",0.02304
2022-09-27,71.77,72.655,70.645,71.63,71.63,5661846.0,5661846.0,-0.14,-0.195,71.64333,"September 27, 22",-0.00195
2022-09-26,70.46,71.98,70.27,70.89,70.89,1.0466876E7,1.0466876E7,0.43,0.61,71.04667,"September 26, 22",0.0061
2022-09-23,71.15,71.33,69.81,70.89,70.89,7989296.0,7989296.0,-0.26,-0.365,70.67667,"September 23, 22",-0.00365
2022-09-22,73.58,74.17,71.6,72.06,72.06,8133258.0,8133258.0,-1.52,-2.066,72.61,"September 22, 22",-0.02066
2022-09-21,74.36,75.34,72.85,72.91,72.91,8087229.0,8087229.0,-1.45,-1.95,73.7,"September 21, 22",-0.0195
