date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,6.24,6.31,6.23,6.28,6.28,1.4211614E7,1.4211614E7,0.04,0.641,6.27333,"October 25, 22",0.00641
2022-10-24,6.23,6.27,6.15,6.23,6.23,1.1052575E7,1.1052575E7,0.0,0.0,6.21667,"October 24, 22",0.0
2022-10-21,6.1,6.21,6.085,6.19,6.19,1.3159288E7,1.3159288E7,0.09,1.475,6.16167,"October 21, 22",0.01475
2022-10-20,6.11,6.37,6.09,6.1,6.1,1.2451258E7,1.2451258E7,-0.01,-0.164,6.18667,"October 20, 22",-0.00164
2022-10-19,6.15,6.22,6.08,6.14,6.14,1.1333026E7,1.1333026E7,-0.01,-0.163,6.14667,"October 19, 22",-0.00163
2022-10-18,6.24,6.345,6.18,6.23,6.23,1.4177411E7,1.4177411E7,-0.01,-0.16,6.25167,"October 18, 22",-0.0016
2022-10-17,6.13,6.22,6.12,6.19,6.19,1.8197932E7,1.8197932E7,0.06,0.979,6.17667,"October 17, 22",0.00979
2022-10-14,6.18,6.215,6.045,6.05,6.05,1.5283243E7,1.5283243E7,-0.13,-2.104,6.10333,"October 14, 22",-0.02104
2022-10-13,5.905,6.17,5.89,6.14,6.14,2.1105416E7,2.1105416E7,0.235,3.98,6.06667,"October 13, 22",0.0398
2022-10-12,5.98,6.02,5.95,5.96,5.96,1.1984929E7,1.1984929E7,-0.02,-0.334,5.97667,"October 12, 22",-0.00334
2022-10-11,5.9,6.0,5.88,5.97,5.97,1.7047275E7,1.7047275E7,0.07,1.186,5.95,"October 11, 22",0.01186
2022-10-10,5.88,5.98,5.875,5.93,5.93,1.191632E7,1.191632E7,0.05,0.85,5.92833,"October 10, 22",0.0085
2022-10-07,5.9,5.925,5.85,5.87,5.87,1.7133329E7,1.7133329E7,-0.03,-0.508,5.88167,"October 07, 22",-0.00508
2022-10-06,5.95,5.99,5.9,5.93,5.93,1.0579115E7,1.0579115E7,-0.02,-0.336,5.94,"October 06, 22",-0.00336
2022-10-05,5.9,6.0,5.855,5.97,5.97,1.1173791E7,1.1173791E7,0.07,1.186,5.94167,"October 05, 22",0.01186
2022-10-04,5.9,6.0,5.86,5.97,5.97,1.8515232E7,1.8515232E7,0.07,1.186,5.94333,"October 04, 22",0.01186
2022-10-03,5.75,5.89,5.71,5.86,5.86,1.3630423E7,1.3630423E7,0.11,1.913,5.82,"October 03, 22",0.01913
2022-09-30,5.82,5.84,5.71,5.71,5.71,1.3164812E7,1.3164812E7,-0.11,-1.89,5.75333,"September 30, 22",-0.0189
2022-09-29,5.9,5.905,5.73,5.78,5.78,1.4785471E7,1.4785471E7,-0.12,-2.034,5.805,"September 29, 22",-0.02034
2022-09-28,5.83,5.965,5.81,5.95,5.95,1.5760613E7,1.5760613E7,0.12,2.058,5.90833,"September 28, 22",0.02058
2022-09-27,5.88,5.94,5.82,5.82,5.82,1.500308E7,1.500308E7,-0.06,-1.02,5.86,"September 27, 22",-0.0102
2022-09-26,5.8,5.865,5.78,5.81,5.81,1.4156321E7,1.4156321E7,0.01,0.172,5.81833,"September 26, 22",0.00172
2022-09-23,5.875,5.89,5.79,5.81,5.81,1.4405953E7,1.4405953E7,-0.065,-1.106,5.83,"September 23, 22",-0.01106
2022-09-22,5.89,5.93,5.845,5.87,5.87,1.1654099E7,1.1654099E7,-0.02,-0.34,5.88167,"September 22, 22",-0.0034
2022-09-21,6.04,6.05,5.9,5.91,5.91,1.3925067E7,1.3925067E7,-0.13,-2.152,5.95333,"September 21, 22",-0.02152
2022-09-20,5.98,6.05,5.92,6.0,6.0,1.4523744E7,1.4523744E7,0.02,0.334,5.99,"September 20, 22",0.00334
2022-09-19,5.97,6.03,5.94,6.02,6.02,1.2937109E7,1.2937109E7,0.05,0.838,5.99667,"September 19, 22",0.00838
2022-09-16,5.92,5.98,5.88,5.97,5.97,3.5330478E7,3.5330478E7,0.05,0.845,5.94333,"September 16, 22",0.00845
2022-09-15,5.99,6.025,5.92,5.94,5.94,1.7958437E7,1.7958437E7,-0.05,-0.835,5.96167,"September 15, 22",-0.00835
2022-09-14,6.01,6.045,5.95,6.01,6.01,1.7893889E7,1.7893889E7,0.0,0.0,6.00167,"September 14, 22",0.0
2022-09-13,6.15,6.16,5.97,6.01,6.01,1.9357333E7,1.9357333E7,-0.14,-2.276,6.04667,"September 13, 22",-0.02276
2022-09-12,6.31,6.325,6.22,6.26,6.26,1.1146015E7,1.1146015E7,-0.05,-0.792,6.26833,"September 12, 22",-0.00792
2022-09-09,6.19,6.28,6.17,6.27,6.27,1.3942639E7,1.3942639E7,0.08,1.292,6.24,"September 09, 22",0.01292
2022-09-08,6.16,6.23,6.12,6.19,6.19,1.2825452E7,1.2825452E7,0.03,0.487,6.18,"September 08, 22",0.00487
2022-09-07,6.03,6.19,6.01,6.18,6.18,1.5907328E7,1.5907328E7,0.15,2.488,6.12667,"September 07, 22",0.02488
2022-09-06,6.095,6.1,5.97,6.0,6.0,2.0525943E7,2.0525943E7,-0.095,-1.559,6.02333,"September 06, 22",-0.01559
2022-09-02,6.15,6.18,6.07,6.07,6.07,1.6926023E7,1.6926023E7,-0.08,-1.301,6.10667,"September 02, 22",-0.01301
2022-09-01,6.09,6.14,6.065,6.13,6.13,1.6520054E7,1.6520054E7,0.04,0.657,6.11167,"September 01, 22",0.00657
2022-08-31,6.18,6.19,6.06,6.09,6.09,1.9946172E7,1.9946172E7,-0.09,-1.456,6.11333,"August 31, 22",-0.01456
