date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,51.89,52.68,51.21,52.47,52.47,1.8640988E7,1.8640988E7,0.58,1.118,52.12,"October 25, 22",0.01118
2022-10-24,50.06,52.51,49.66,52.15,52.15,2.7290771E7,2.7290771E7,2.09,4.175,51.44,"October 24, 22",0.04175
2022-10-21,46.97,50.54,46.79,50.41,50.41,3.5335654E7,3.5335654E7,3.44,7.324,49.24667,"October 21, 22",0.07324
2022-10-20,46.0,46.23,45.24,45.69,45.69,1.5889478E7,1.5889478E7,-0.31,-0.674,45.72,"October 20, 22",-0.00674
2022-10-19,44.0,45.62,43.84,45.47,45.47,1.6844597E7,1.6844597E7,1.47,3.341,44.97667,"October 19, 22",0.03341
2022-10-18,43.42,43.97,42.56,43.36,43.36,9729917.0,9729917.0,-0.06,-0.138,43.29667,"October 18, 22",-0.00138
2022-10-17,43.0,43.41,42.21,42.86,42.86,1.0326512E7,1.0326512E7,-0.14,-0.326,42.82667,"October 17, 22",-0.00326
2022-10-14,43.54,44.1,42.09,42.16,42.16,1.1504961E7,1.1504961E7,-1.38,-3.169,42.78333,"October 14, 22",-0.03169
2022-10-13,41.81,44.33,41.78,44.19,44.19,1.6363568E7,1.6363568E7,2.38,5.692,43.43333,"October 13, 22",0.05692
2022-10-12,41.5,42.33,41.2,42.02,42.02,1.127199E7,1.127199E7,0.52,1.253,41.85,"October 12, 22",0.01253
2022-10-11,41.27,42.29,41.1,41.76,41.76,1.0471774E7,1.0471774E7,0.49,1.187,41.71667,"October 11, 22",0.01187
2022-10-10,42.33,43.02,41.59,42.13,42.13,1.0379595E7,1.0379595E7,-0.2,-0.472,42.24667,"October 10, 22",-0.00472
2022-10-07,42.53,43.12,41.68,42.59,42.59,1.5947425E7,1.5947425E7,0.06,0.141,42.46333,"October 07, 22",0.00141
2022-10-06,41.38,42.84,41.22,42.49,42.49,1.6398839E7,1.6398839E7,1.11,2.682,42.18333,"October 06, 22",0.02682
2022-10-05,39.13,41.94,39.13,41.57,41.57,2.809758E7,2.809758E7,2.44,6.236,40.88,"October 05, 22",0.06236
2022-10-04,39.1699982,39.8400002,38.5900002,39.1199989,39.1199989,1.6268E7,1.6268E7,-0.05,-0.128,39.18333,"October 04, 22",-0.00128
2022-10-03,37.5800018,38.5299988,37.3199997,38.2999992,38.2999992,1.39782E7,1.39782E7,0.72,1.916,38.05,"October 03, 22",0.01916
2022-09-30,35.4700012,36.6100006,35.2700005,35.9000015,35.9000015,1.53285E7,1.53285E7,0.43,1.212,35.92667,"September 30, 22",0.01212
2022-09-29,35.1500015,36.0099983,34.2999992,35.9700012,35.9700012,1.21917E7,1.21917E7,0.82,2.333,35.42667,"September 29, 22",0.02333
2022-09-28,34.4099998,35.6399994,34.0999985,35.4399986,35.4399986,1.22054E7,1.22054E7,1.03,2.993,35.06,"September 28, 22",0.02993
2022-09-27,34.5999985,35.2999992,33.8600006,33.9799995,33.9799995,1.27125E7,1.27125E7,-0.62,-1.792,34.38,"September 27, 22",-0.01792
2022-09-26,34.9500008,35.3499985,33.7999992,33.8600006,33.8600006,1.20064E7,1.20064E7,-1.09,-3.119,34.33667,"September 26, 22",-0.03119
2022-09-23,36.25,36.4599991,34.3800011,35.0,35.0,1.74154E7,1.74154E7,-1.25,-3.448,35.28,"September 23, 22",-0.03448
2022-09-22,38.0999985,38.7400017,37.8400002,38.2299995,38.2299995,1.2875E7,1.2875E7,0.13,0.341,38.27,"September 22, 22",0.00341
2022-09-21,39.1100006,39.4300003,37.5499992,37.5800018,37.5800018,9153000.0,9153000.0,-1.53,-3.912,38.18667,"September 21, 22",-0.03912
2022-09-20,38.7099991,38.75,38.0400009,38.5,38.5,9360500.0,9360500.0,-0.21,-0.542,38.43,"September 20, 22",-0.00542
2022-09-19,37.1699982,39.0299988,37.0900002,38.9700012,38.9700012,7377600.0,7377600.0,1.8,4.843,38.36333,"September 19, 22",0.04843
2022-09-16,39.2999992,39.3800011,37.6399994,38.3699989,38.3699989,1.68896E7,1.68896E7,-0.93,-2.366,38.46333,"September 16, 22",-0.02366
2022-09-15,39.3600006,40.0400009,39.1500015,39.6300011,39.6300011,9945700.0,9945700.0,0.27,0.686,39.60667,"September 15, 22",0.00686
2022-09-14,38.9799995,40.4500008,38.9799995,40.2400017,40.2400017,9958200.0,9958200.0,1.26,3.232,39.89,"September 14, 22",0.03232
2022-09-13,39.5699997,40.0699997,38.2299995,38.4700012,38.4700012,1.11241E7,1.11241E7,-1.1,-2.78,38.92333,"September 13, 22",-0.0278
2022-09-12,40.0299988,40.4799995,39.5900002,40.1500015,40.1500015,8935200.0,8935200.0,0.12,0.3,40.07333,"September 12, 22",0.003
2022-09-09,39.0499992,39.8699989,38.6599998,39.6500015,39.6500015,9628600.0,9628600.0,0.6,1.536,39.39333,"September 09, 22",0.01536
2022-09-08,37.3899994,38.5099983,37.1699982,38.1699982,38.1699982,1.46818E7,1.46818E7,0.78,2.086,37.95,"September 08, 22",0.02086
2022-09-07,36.4399986,37.1800003,35.9900017,37.0600014,37.0600014,1.17599E7,1.17599E7,0.62,1.701,36.74333,"September 07, 22",0.01701
2022-09-06,38.2400017,38.5299988,37.1399994,37.3600006,37.3600006,1.07851E7,1.07851E7,-0.88,-2.301,37.67667,"September 06, 22",-0.02301
2022-09-02,38.0999985,38.6300011,37.4900017,38.0699997,37.8950005,1.13744E7,1.13744E7,-0.205,-0.538,38.005,"September 02, 22",-0.00538
2022-09-01,37.5499992,37.8300018,36.4300003,36.8499985,36.6806068,1.05167E7,1.05167E7,-0.86939,-2.315,36.9802,"September 01, 22",-0.02315
2022-08-31,37.7700005,39.1599998,37.2999992,38.1500015,37.9746361,1.2383E7,1.2383E7,0.20464,0.542,38.14488,"August 31, 22",0.00542
2022-08-30,39.6300011,39.7000008,38.2299995,38.6800003,38.5021973,1.21493E7,1.21493E7,-1.1278,-2.846,38.81073,"August 30, 22",-0.02846
2022-08-29,39.2999992,40.8400002,39.0600014,40.3800011,40.1943817,1.16637E7,1.16637E7,0.89438,2.276,40.03146,"August 29, 22",0.02276
2022-08-26,39.9199982,40.2700005,39.2000008,39.4199982,39.2387924,8944200.0,8944200.0,-0.68121,-1.706,39.5696,"August 26, 22",-0.01706
2022-08-25,40.1199989,40.9000015,40.0200005,40.1699982,39.9853477,1.27379E7,1.27379E7,-0.13465,-0.336,40.30178,"August 25, 22",-0.00336
2022-08-24,39.1399994,40.0999985,39.1399994,39.9099998,39.7265434,1.14984E7,1.14984E7,0.58654,1.499,39.65551,"August 24, 22",0.01499
2022-08-23,37.7099991,39.5600014,37.5600014,39.3600006,39.1790733,1.59836E7,1.59836E7,1.46907,3.896,38.76636,"August 23, 22",0.03896
2022-08-22,36.7099991,37.4199982,36.0900002,36.9199982,36.7502861,9126300.0,9126300.0,0.04029,0.11,36.75343,"August 22, 22",0.0011
2022-08-19,36.8600006,37.5699997,36.6100006,37.1199989,36.9493675,1.28939E7,1.28939E7,0.08937,0.242,37.04312,"August 19, 22",0.00242
2022-08-18,36.0400009,37.2299995,35.9700012,37.1300011,36.9593239,1.07587E7,1.07587E7,0.91932,2.551,36.71977,"August 18, 22",0.02551
2022-08-17,35.2299995,35.8199997,34.8499985,35.4000015,35.2372742,7703300.0,7703300.0,0.00727,0.021,35.30242,"August 17, 22",2.1E-4
2022-08-16,35.9799995,36.6100006,35.2900009,35.5800018,35.4164505,9698300.0,9698300.0,-0.56355,-1.566,35.77215,"August 16, 22",-0.01566
2022-08-15,35.7400017,36.0299988,35.0299988,35.7599983,35.5956192,7639400.0,7639400.0,-0.14438,-0.404,35.55187,"August 15, 22",-0.00404
2022-08-12,36.5900002,37.2299995,36.25,37.1399994,36.9692764,6642800.0,6642800.0,0.37928,1.037,36.81643,"August 12, 22",0.01037
2022-08-11,35.5999985,37.3100014,35.5900002,36.8899994,36.7204247,1.31409E7,1.31409E7,1.12043,3.147,36.54014,"August 11, 22",0.03147
2022-08-10,34.9900017,35.2700005,33.8199997,34.9199982,34.7594795,1.33026E7,1.33026E7,-0.23052,-0.659,34.61649,"August 10, 22",-0.00659
2022-08-09,35.2400017,35.3699989,34.6500015,34.9900017,34.8291626,7616100.0,7616100.0,-0.41084,-1.166,34.94972,"August 09, 22",-0.01166
