date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,8.3,9.8,8.26,9.6,9.6,1.37948078E8,1.37948078E8,1.3,15.663,9.22,"October 25, 22",0.15663
2022-10-24,7.58,8.57,7.49,8.31,8.31,1.61722999E8,1.61722999E8,0.73,9.631,8.12333,"October 24, 22",0.09631
2022-10-21,7.76,8.15,7.33,7.76,7.76,2.41373798E8,2.41373798E8,0.0,0.0,7.74667,"October 21, 22",0.0
2022-10-20,10.9,11.36,10.6201,10.79,10.79,9.6787811E7,9.6787811E7,-0.11,-1.009,10.92337,"October 20, 22",-0.01009
2022-10-19,10.82,11.39,10.66,10.86,10.86,5.2275996E7,5.2275996E7,0.04,0.37,10.97,"October 19, 22",0.0037
2022-10-18,10.96,11.135,10.54,10.6,10.6,3.8454984E7,3.8454984E7,-0.36,-3.285,10.75833,"October 18, 22",-0.03285
2022-10-17,10.28,10.88,10.28,10.59,10.59,4.0748526E7,4.0748526E7,0.31,3.016,10.58333,"October 17, 22",0.03016
2022-10-14,10.83,11.02,9.97,9.99,9.99,2.6686985E7,2.6686985E7,-0.84,-7.756,10.32667,"October 14, 22",-0.07756
2022-10-13,10.08,10.65,9.63,10.58,10.58,4.0389602E7,4.0389602E7,0.5,4.96,10.28667,"October 13, 22",0.0496
2022-10-12,10.3,10.555,10.01,10.51,10.51,3.1569999E7,3.1569999E7,0.21,2.039,10.35833,"October 12, 22",0.02039
2022-10-11,10.37,10.595,9.83,10.31,10.31,3.2996615E7,3.2996615E7,-0.06,-0.579,10.245,"October 11, 22",-0.00579
2022-10-10,10.62,10.6499,10.33,10.41,10.41,1.9464937E7,1.9464937E7,-0.21,-1.977,10.4633,"October 10, 22",-0.01977
2022-10-07,10.98,11.08,10.51,10.66,10.66,2.2448593E7,2.2448593E7,-0.32,-2.914,10.75,"October 07, 22",-0.02914
2022-10-06,11.3,11.8477,11.27,11.35,11.35,3.0871246E7,3.0871246E7,0.05,0.442,11.48923,"October 06, 22",0.00442
2022-10-05,10.85,11.215,10.57,11.2,11.2,2.8568534E7,2.8568534E7,0.35,3.226,10.995,"October 05, 22",0.03226
2022-10-04,10.3,10.82,10.25,10.82,10.82,3.4441787E7,3.4441787E7,0.52,5.049,10.63,"October 04, 22",0.05049
2022-10-03,9.96,10.03,9.425,9.98,9.98,2.7804743E7,2.7804743E7,0.02,0.201,9.81167,"October 03, 22",0.00201
2022-09-30,10.16,10.33,9.805,9.82,9.82,2.9122533E7,2.9122533E7,-0.34,-3.346,9.985,"September 30, 22",-0.03346
2022-09-29,10.54,10.61,10.0,10.19,10.19,2.2950739E7,2.2950739E7,-0.35,-3.321,10.26667,"September 29, 22",-0.03321
2022-09-28,10.42,10.79,10.4,10.76,10.76,1.8536832E7,1.8536832E7,0.34,3.263,10.65,"September 28, 22",0.03263
2022-09-27,10.36,10.73,10.19,10.45,10.45,2.1854729E7,2.1854729E7,0.09,0.869,10.45667,"September 27, 22",0.00869
2022-09-26,10.3,10.6,10.1,10.18,10.18,2.3436499E7,2.3436499E7,-0.12,-1.165,10.29333,"September 26, 22",-0.01165
2022-09-23,10.32,10.555,10.15,10.32,10.32,2.2998877E7,2.2998877E7,0.0,0.0,10.34167,"September 23, 22",0.0
2022-09-22,10.85,11.0,10.35,10.46,10.46,2.8337506E7,2.8337506E7,-0.39,-3.594,10.60333,"September 22, 22",-0.03594
2022-09-21,11.21,11.485,10.835,10.85,10.85,2.9118439E7,2.9118439E7,-0.36,-3.211,11.05667,"September 21, 22",-0.03211
2022-09-20,11.19,11.38,11.01,11.12,11.12,2.5234044E7,2.5234044E7,-0.07,-0.626,11.17,"September 20, 22",-0.00626
2022-09-19,11.1301,11.41,10.902,11.35,11.35,3.2213738E7,3.2213738E7,0.2199,1.976,11.22067,"September 19, 22",0.01976
2022-09-16,11.7,11.7,11.27,11.3,11.3,4.0379428E7,4.0379428E7,-0.4,-3.419,11.42333,"September 16, 22",-0.03419
2022-09-15,11.43,12.25,11.31,11.9,11.9,4.6013367E7,4.6013367E7,0.47,4.112,11.82,"September 15, 22",0.04112
2022-09-14,11.66,11.7212,11.2701,11.52,11.52,3.2717954E7,3.2717954E7,-0.14,-1.201,11.50377,"September 14, 22",-0.01201
2022-09-13,11.95,12.17,11.575,11.77,11.77,3.4506604E7,3.4506604E7,-0.18,-1.506,11.83833,"September 13, 22",-0.01506
2022-09-12,12.69,12.94,12.45,12.65,12.65,3.1968872E7,3.1968872E7,-0.04,-0.315,12.68,"September 12, 22",-0.00315
2022-09-09,12.45,12.91,12.36,12.65,12.65,5.4658779E7,5.4658779E7,0.2,1.606,12.64,"September 09, 22",0.01606
2022-09-08,11.32,12.68,11.3,12.53,12.53,8.4692538E7,8.4692538E7,1.21,10.689,12.17,"September 08, 22",0.10689
2022-09-07,10.82,11.66,10.7,11.46,11.46,5.6538349E7,5.6538349E7,0.64,5.915,11.27333,"September 07, 22",0.05915
2022-09-06,11.27,11.28,10.67,10.77,10.77,3.8115201E7,3.8115201E7,-0.5,-4.437,10.90667,"September 06, 22",-0.04437
2022-09-02,11.75,11.78,11.18,11.22,11.22,4.5737463E7,4.5737463E7,-0.53,-4.511,11.39333,"September 02, 22",-0.04511
2022-09-01,10.94,11.65,10.785,11.64,11.64,8.0019997E7,8.0019997E7,0.7,6.399,11.35833,"September 01, 22",0.06399
2022-08-31,11.25,11.6,10.2,10.88,10.88,1.9847252E8,1.9847252E8,-0.37,-3.289,10.89333,"August 31, 22",-0.03289
2022-08-30,10.43,10.59,9.85,10.01,10.01,5.9442031E7,5.9442031E7,-0.42,-4.027,10.15,"August 30, 22",-0.04027
2022-08-29,10.485,10.825,10.27,10.27,10.27,2.9419801E7,2.9419801E7,-0.215,-2.051,10.455,"August 29, 22",-0.02051
2022-08-26,11.23,11.34,10.56,10.67,10.67,3.5220469E7,3.5220469E7,-0.56,-4.987,10.85667,"August 26, 22",-0.04987
2022-08-25,11.03,11.2393,10.8,11.21,11.21,3.1255191E7,3.1255191E7,0.18,1.632,11.0831,"August 25, 22",0.01632
2022-08-24,10.68,11.02,10.63,10.86,10.86,2.7797275E7,2.7797275E7,0.18,1.685,10.83667,"August 24, 22",0.01685
2022-08-23,11.025,11.16,10.54,10.6,10.6,3.4914626E7,3.4914626E7,-0.425,-3.855,10.76667,"August 23, 22",-0.03855
2022-08-22,11.04,11.3499,10.89,11.01,11.01,4.0593139E7,4.0593139E7,-0.03,-0.272,11.0833,"August 22, 22",-0.00272
2022-08-19,12.2,12.255,11.51,11.56,11.56,4.5749072E7,4.5749072E7,-0.64,-5.246,11.775,"August 19, 22",-0.05246
2022-08-18,12.02,12.78,11.83,12.56,12.56,6.1727579E7,6.1727579E7,0.54,4.493,12.39,"August 18, 22",0.04493
2022-08-17,12.25,12.32,11.64,12.09,12.09,6.8591853E7,6.8591853E7,-0.16,-1.306,12.01667,"August 17, 22",-0.01306
2022-08-16,12.4,12.73,12.0,12.61,12.61,6.685306E7,6.685306E7,0.21,1.694,12.44667,"August 16, 22",0.01694
2022-08-15,11.61,12.388,11.56,12.24,12.24,6.3558944E7,6.3558944E7,0.63,5.426,12.06267,"August 15, 22",0.05426
2022-08-12,11.31,11.64,11.1301,11.62,11.62,4.0841079E7,4.0841079E7,0.31,2.741,11.46337,"August 12, 22",0.02741
2022-08-11,10.84,11.8,10.82,11.11,11.11,6.6636986E7,6.6636986E7,0.27,2.491,11.24333,"August 11, 22",0.02491
2022-08-10,10.46,10.87,10.4,10.57,10.57,5.0252773E7,5.0252773E7,0.11,1.052,10.61333,"August 10, 22",0.01052
2022-08-09,10.24,10.295,10.02,10.16,10.16,3.1321434E7,3.1321434E7,-0.08,-0.781,10.15833,"August 09, 22",-0.00781
2022-08-08,10.25,10.8,10.17,10.41,10.41,4.9096535E7,4.9096535E7,0.16,1.561,10.46,"August 08, 22",0.01561
2022-08-05,10.08,10.35,9.98,10.18,10.18,3.662001E7,3.662001E7,0.1,0.992,10.17,"August 05, 22",0.00992
2022-08-04,10.33,10.56,10.1,10.25,10.25,4.6926346E7,4.6926346E7,-0.08,-0.774,10.30333,"August 04, 22",-0.00774
2022-08-03,9.92,10.49,9.92,10.32,10.32,6.1691668E7,6.1691668E7,0.4,4.032,10.24333,"August 03, 22",0.04032
2022-08-02,9.55,10.13,9.51,9.87,9.87,6.5677741E7,6.5677741E7,0.32,3.351,9.83667,"August 02, 22",0.03351
2022-08-01,9.81,9.82,9.5,9.54,9.54,5.0126849E7,5.0126849E7,-0.27,-2.752,9.62,"August 01, 22",-0.02752
2022-07-29,9.67,9.93,9.47,9.88,9.88,7.44189E7,7.44189E7,0.21,2.172,9.76,"July 29, 22",0.02172
2022-07-28,9.55,9.92,9.34,9.67,9.67,9.6414474E7,9.6414474E7,0.12,1.257,9.64333,"July 28, 22",0.01257
2022-07-27,9.71,9.84,9.38,9.55,9.55,1.20732761E8,1.20732761E8,-0.16,-1.648,9.59,"July 27, 22",-0.01648
