date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,56.96,60.3156,56.96,59.66,59.66,1.2941942E7,1.2941942E7,2.7,4.74,58.97853,"October 25, 22",0.0474
2022-10-24,55.62,57.71,53.97,56.99,56.99,1.172343E7,1.172343E7,1.37,2.463,56.22333,"October 24, 22",0.02463
2022-10-21,54.0,56.33,52.34,55.99,55.99,1.3988412E7,1.3988412E7,1.99,3.685,54.88667,"October 21, 22",0.03685
2022-10-20,53.95,57.64,53.66,55.18,55.18,1.2555274E7,1.2555274E7,1.23,2.28,55.49333,"October 20, 22",0.0228
2022-10-19,56.55,56.55,53.49,53.94,53.94,1.3619126E7,1.3619126E7,-2.61,-4.615,54.66,"October 19, 22",-0.04615
2022-10-18,58.93,59.74,55.51,57.27,57.27,1.5211319E7,1.5211319E7,-1.66,-2.817,57.50667,"October 18, 22",-0.02817
2022-10-17,53.6,56.77,53.35,55.92,55.92,1.506408E7,1.506408E7,2.32,4.328,55.34667,"October 17, 22",0.04328
2022-10-14,57.0,58.28,51.45,51.51,51.51,1.6150654E7,1.6150654E7,-5.49,-9.632,53.74667,"October 14, 22",-0.09632
2022-10-13,53.03,56.5912,51.89,56.23,56.23,1.8122643E7,1.8122643E7,3.2,6.034,54.90373,"October 13, 22",0.06034
2022-10-12,53.59,56.5499,52.43,56.14,56.14,1.6652025E7,1.6652025E7,2.55,4.758,55.03997,"October 12, 22",0.04758
2022-10-11,56.22,56.3389,52.67,53.45,53.45,1.6716833E7,1.6716833E7,-2.77,-4.927,54.15297,"October 11, 22",-0.04927
2022-10-10,57.42,57.88,55.52,56.62,56.62,9453743.0,9453743.0,-0.8,-1.393,56.67333,"October 10, 22",-0.01393
2022-10-07,59.86,60.44,56.89,57.41,57.41,1.1180164E7,1.1180164E7,-2.45,-4.093,58.24667,"October 07, 22",-0.04093
2022-10-06,61.79,63.44,61.29,61.93,61.93,7705501.0,7705501.0,0.14,0.227,62.22,"October 06, 22",0.00227
2022-10-05,60.7,62.71,59.89,62.15,62.15,1.0563478E7,1.0563478E7,1.45,2.389,61.58333,"October 05, 22",0.02389
2022-10-04,58.275,63.14,58.15,62.41,62.41,2.1238829E7,2.1238829E7,4.135,7.096,61.23333,"October 04, 22",0.07096
2022-10-03,55.15,56.53,53.71,55.78,55.78,1.5167351E7,1.5167351E7,0.63,1.142,55.34,"October 03, 22",0.01142
2022-09-30,55.62,58.02,54.89,54.99,54.99,1.2970896E7,1.2970896E7,-0.63,-1.133,55.96667,"September 30, 22",-0.01133
2022-09-29,57.48,57.48,55.34,55.9,55.9,1.301134E7,1.301134E7,-1.58,-2.749,56.24,"September 29, 22",-0.02749
2022-09-28,55.06,59.24,54.87,59.07,59.07,1.4650384E7,1.4650384E7,4.01,7.283,57.72667,"September 28, 22",0.07283
2022-09-27,55.55,56.85,53.9,55.08,55.08,1.1376911E7,1.1376911E7,-0.47,-0.846,55.27667,"September 27, 22",-0.00846
2022-09-26,56.22,57.74,54.13,54.14,54.14,1.1951561E7,1.1951561E7,-2.08,-3.7,55.33667,"September 26, 22",-0.037
2022-09-23,55.0,56.98,54.43,56.27,56.27,1.3951022E7,1.3951022E7,1.27,2.309,55.89333,"September 23, 22",0.02309
2022-09-22,58.47,58.98,55.02,55.93,55.93,1.9779774E7,1.9779774E7,-2.54,-4.344,56.64333,"September 22, 22",-0.04344
2022-09-21,61.36,63.51,59.45,59.45,59.45,1.4235946E7,1.4235946E7,-1.91,-3.113,60.80333,"September 21, 22",-0.03113
2022-09-20,62.97,63.699,61.4,61.47,61.47,1.3408644E7,1.3408644E7,-1.5,-2.382,62.18967,"September 20, 22",-0.02382
2022-09-19,64.3,65.2,63.01,63.71,63.71,1.2841943E7,1.2841943E7,-0.59,-0.918,63.97333,"September 19, 22",-0.00918
2022-09-16,67.09,67.165,64.75,64.89,64.89,1.5760321E7,1.5760321E7,-2.2,-3.279,65.60167,"September 16, 22",-0.03279
2022-09-15,66.44,71.55,66.44,69.18,69.18,1.79867E7,1.79867E7,2.74,4.124,69.05667,"September 15, 22",0.04124
2022-09-14,66.7,68.71,65.6001,68.56,68.56,1.9201859E7,1.9201859E7,1.86,2.789,67.62337,"September 14, 22",0.02789
2022-09-13,70.07,71.375,69.25,69.58,69.58,1.23249E7,1.23249E7,-0.49,-0.699,70.06833,"September 13, 22",-0.00699
2022-09-12,75.21,76.7135,73.91,75.25,75.25,1.0126139E7,1.0126139E7,0.04,0.053,75.29117,"September 12, 22",5.3E-4
2022-09-09,71.62,74.73,71.62,74.29,74.29,1.2229125E7,1.2229125E7,2.67,3.728,73.54667,"September 09, 22",0.03728
2022-09-08,66.18,70.63,65.93,70.59,70.59,9213143.0,9213143.0,4.41,6.664,69.05,"September 08, 22",0.06664
2022-09-07,65.38,67.94,64.6,67.82,67.82,1.047901E7,1.047901E7,2.44,3.732,66.78667,"September 07, 22",0.03732
2022-09-06,66.06,66.38,63.65,65.3,65.3,1.1816793E7,1.1816793E7,-0.76,-1.15,65.11,"September 06, 22",-0.0115
2022-09-02,69.83,70.07,65.9,66.33,66.33,1.191226E7,1.191226E7,-3.5,-5.012,67.43333,"September 02, 22",-0.05012
2022-09-01,67.43,68.785,65.03,68.75,68.75,1.1687072E7,1.1687072E7,1.32,1.958,67.52167,"September 01, 22",0.01958
2022-08-31,70.59,71.752,68.41,68.91,68.91,1.000057E7,1.000057E7,-1.68,-2.38,69.69067,"August 31, 22",-0.0238
2022-08-30,68.6,70.13,66.69,69.05,69.05,1.1830201E7,1.1830201E7,0.45,0.656,68.62333,"August 30, 22",0.00656
2022-08-29,67.59,69.99,67.34,67.75,67.75,9471702.0,9471702.0,0.16,0.237,68.36,"August 29, 22",0.00237
2022-08-26,74.32,74.35,68.76,68.87,68.87,1.3724145E7,1.3724145E7,-5.45,-7.333,70.66,"August 26, 22",-0.07333
