date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,6.53,6.88,6.5,6.82,6.82,2.5922341E7,2.5922341E7,0.29,4.441,6.73333,"October 25, 22",0.04441
2022-10-24,6.2,6.67,6.12,6.57,6.57,3.8274648E7,3.8274648E7,0.37,5.968,6.45333,"October 24, 22",0.05968
2022-10-21,6.53,6.585,6.12,6.22,6.22,3.8825001E7,3.8825001E7,-0.31,-4.747,6.30833,"October 21, 22",-0.04747
2022-10-20,7.02,7.06,6.5,6.58,6.58,3.2107167E7,3.2107167E7,-0.44,-6.268,6.71333,"October 20, 22",-0.06268
2022-10-19,6.79,6.97,6.605,6.94,6.94,2.2829034E7,2.2829034E7,0.15,2.209,6.83833,"October 19, 22",0.02209
2022-10-18,6.81,6.97,6.705,6.74,6.74,2.5434171E7,2.5434171E7,-0.07,-1.028,6.805,"October 18, 22",-0.01028
2022-10-17,6.48,6.7199,6.42,6.68,6.68,2.7438772E7,2.7438772E7,0.2,3.086,6.60663,"October 17, 22",0.03086
2022-10-14,6.89,6.9603,6.51,6.51,6.51,2.5896241E7,2.5896241E7,-0.38,-5.515,6.6601,"October 14, 22",-0.05515
2022-10-13,6.58,6.99,6.56,6.95,6.95,2.244599E7,2.244599E7,0.37,5.623,6.83333,"October 13, 22",0.05623
2022-10-12,6.68,6.8,6.53,6.73,6.73,2.0230965E7,2.0230965E7,0.05,0.749,6.68667,"October 12, 22",0.00749
2022-10-11,6.61,6.85,6.57,6.7,6.7,2.3490615E7,2.3490615E7,0.09,1.362,6.70667,"October 11, 22",0.01362
2022-10-10,6.88,7.04,6.65,6.74,6.74,2.4749173E7,2.4749173E7,-0.14,-2.035,6.81,"October 10, 22",-0.02035
2022-10-07,6.89,7.06,6.75,6.78,6.78,2.7631941E7,2.7631941E7,-0.11,-1.597,6.86333,"October 07, 22",-0.01597
2022-10-06,7.19,7.33,6.93,6.95,6.95,2.7070013E7,2.7070013E7,-0.24,-3.338,7.07,"October 06, 22",-0.03338
2022-10-05,7.1,7.34,6.8,7.25,7.25,3.3450993E7,3.3450993E7,0.15,2.113,7.13,"October 05, 22",0.02113
2022-10-04,6.7,7.095,6.61,7.08,7.08,4.0841787E7,4.0841787E7,0.38,5.672,6.92833,"October 04, 22",0.05672
2022-10-03,6.25,6.6,6.25,6.55,6.55,4.5010169E7,4.5010169E7,0.3,4.8,6.46667,"October 03, 22",0.048
2022-09-30,5.97,6.255,5.96,6.12,6.12,3.0340971E7,3.0340971E7,0.15,2.513,6.11167,"September 30, 22",0.02513
2022-09-29,6.19,6.24,5.87,6.1,6.1,3.4620872E7,3.4620872E7,-0.09,-1.454,6.07,"September 29, 22",-0.01454
