date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,33.06,35.34,32.755,34.95,34.95,7575927.0,7575927.0,1.89,5.717,34.34833,"October 25, 22",0.05717
2022-10-24,32.72,33.24,32.37,33.07,33.07,9132239.0,9132239.0,0.35,1.07,32.89333,"October 24, 22",0.0107
2022-10-21,31.5100002,32.4399986,31.0300007,32.4099998,32.4099998,6706600.0,6706600.0,0.9,2.856,31.96,"October 21, 22",0.02856
2022-10-20,31.6299992,32.5499992,31.4799995,31.5599995,31.5599995,5180000.0,5180000.0,-0.07,-0.221,31.86333,"October 20, 22",-0.00221
2022-10-19,31.6299992,32.4650002,31.2749996,31.5900002,31.5900002,5584400.0,5584400.0,-0.04,-0.126,31.77667,"October 19, 22",-0.00126
2022-10-18,33.0400009,33.4900017,32.2849998,32.5900002,32.5900002,5750300.0,5750300.0,-0.45,-1.362,32.78833,"October 18, 22",-0.01362
2022-10-17,32.3400002,32.6500015,31.8400002,32.1699982,32.1699982,7097500.0,7097500.0,-0.17,-0.526,32.22,"October 17, 22",-0.00526
2022-10-14,32.5999985,33.0200005,31.3850002,31.4200001,31.4200001,5947200.0,5947200.0,-1.18,-3.62,31.94167,"October 14, 22",-0.0362
2022-10-13,30.5100002,32.6349983,30.0100002,32.3800011,32.3800011,7358500.0,7358500.0,1.87,6.129,31.675,"October 13, 22",0.06129
2022-10-12,30.9500008,31.7749996,30.7199993,31.2900009,31.2900009,5320200.0,5320200.0,0.34,1.099,31.26167,"October 12, 22",0.01099
2022-10-11,30.8199997,31.7199993,30.5349998,30.9200001,30.9200001,6906300.0,6906300.0,0.1,0.324,31.05833,"October 11, 22",0.00324
2022-10-10,31.1100006,31.3400002,30.7900009,31.0100002,31.0100002,5843600.0,5843600.0,-0.1,-0.321,31.04667,"October 10, 22",-0.00321
2022-10-07,31.0100002,31.1100006,30.6499996,30.8400002,30.8400002,7534000.0,7534000.0,-0.17,-0.548,30.86667,"October 07, 22",-0.00548
2022-10-06,31.3899994,31.8549995,31.1800003,31.4899998,31.4899998,6971200.0,6971200.0,0.1,0.319,31.50833,"October 06, 22",0.00319
2022-10-05,30.9599991,31.9650002,30.9599991,31.75,31.75,7347300.0,7347300.0,0.79,2.552,31.55833,"October 05, 22",0.02552
2022-10-04,30.6000004,31.7199993,30.5400009,31.6800003,31.6800003,9055000.0,9055000.0,1.08,3.529,31.31333,"October 04, 22",0.03529
2022-10-03,28.7999992,30.0100002,28.3400002,29.8600006,29.8600006,6801000.0,6801000.0,1.06,3.681,29.40333,"October 03, 22",0.03681
2022-09-30,28.8099995,28.9200001,28.1149998,28.1900005,28.1900005,5695000.0,5695000.0,-0.62,-2.152,28.40833,"September 30, 22",-0.02152
2022-09-29,28.4400005,29.2800007,28.3799992,28.8400002,28.8400002,6387200.0,6387200.0,0.4,1.406,28.83333,"September 29, 22",0.01406
2022-09-28,28.3099995,29.1499996,28.0200005,28.9899998,28.9899998,5598200.0,5598200.0,0.68,2.402,28.72,"September 28, 22",0.02402
2022-09-27,28.5900002,28.6800003,27.7700005,28.1100006,28.1100006,4399100.0,4399100.0,-0.48,-1.679,28.18667,"September 27, 22",-0.01679
2022-09-26,28.9200001,29.4799995,28.1550007,28.2099991,28.2099991,4289600.0,4289600.0,-0.71,-2.455,28.615,"September 26, 22",-0.02455
2022-09-23,29.1800003,29.6000004,28.7199993,29.2700005,29.2700005,4772400.0,4772400.0,0.09,0.308,29.19667,"September 23, 22",0.00308
2022-09-22,30.6599998,30.7900009,29.5849991,29.7299995,29.7299995,4116800.0,4116800.0,-0.93,-3.033,30.035,"September 22, 22",-0.03033
2022-09-21,31.8899994,32.0,30.6200008,30.6299992,30.6299992,3908300.0,3908300.0,-1.26,-3.951,31.08333,"September 21, 22",-0.03951
