date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,17.53,17.89,17.5,17.69,17.69,5.6642709E7,5.6642709E7,0.16,0.913,17.69333,"October 25, 22",0.00913
2022-10-24,17.43,17.85,17.4,17.51,17.51,6.4978961E7,6.4978961E7,0.08,0.459,17.58667,"October 24, 22",0.00459
2022-10-21,16.83,17.4,16.77,17.1,17.1,8.0192335E7,8.0192335E7,0.27,1.604,17.09,"October 21, 22",0.01604
2022-10-20,16.21,17.16,16.12,16.74,16.74,1.17436281E8,1.17436281E8,0.53,3.27,16.67333,"October 20, 22",0.0327
2022-10-19,15.46,15.76,15.4,15.54,15.54,4.7235263E7,4.7235263E7,0.08,0.517,15.56667,"October 19, 22",0.00517
2022-10-18,15.56,15.6974,15.45,15.6,15.6,4.9394502E7,4.9394502E7,0.04,0.257,15.58247,"October 18, 22",0.00257
2022-10-17,15.14,15.4,15.08,15.31,15.31,4.4175667E7,4.4175667E7,0.17,1.123,15.26333,"October 17, 22",0.01123
2022-10-14,15.19,15.266,14.97,14.99,14.99,4.7175654E7,4.7175654E7,-0.2,-1.317,15.07533,"October 14, 22",-0.01317
2022-10-13,14.49,15.15,14.47,15.12,15.12,6.0355843E7,6.0355843E7,0.63,4.348,14.91333,"October 13, 22",0.04348
2022-10-12,14.76,14.935,14.62,14.63,14.63,4.6724129E7,4.6724129E7,-0.13,-0.881,14.72833,"October 12, 22",-0.00881
2022-10-11,14.85,14.91,14.68,14.81,14.81,4.9560635E7,4.9560635E7,-0.04,-0.269,14.8,"October 11, 22",-0.00269
2022-10-10,15.0,15.13,14.76,14.9,14.9,4.3813165E7,4.3813165E7,-0.1,-0.667,14.93,"October 10, 22",-0.00667
2022-10-07,15.2299995,15.2399998,14.8999996,14.9399996,14.9399996,5.33995E7,5.33995E7,-0.29,-1.904,15.02667,"October 07, 22",-0.01904
2022-10-06,15.6400003,15.8100004,15.3100004,15.3199997,15.3199997,5.29239E7,5.29239E7,-0.32,-2.046,15.48,"October 06, 22",-0.02046
