date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,30.15,30.465,29.835,29.91,29.91,2040442.0,2040442.0,-0.24,-0.796,30.07,"October 25, 22",-0.00796
2022-10-24,29.84,30.445,29.66,30.1,30.1,2506629.0,2506629.0,0.26,0.871,30.06833,"October 24, 22",0.00871
2022-10-21,29.36,29.815,29.18,29.74,29.74,3022556.0,3022556.0,0.38,1.294,29.57833,"October 21, 22",0.01294
2022-10-20,29.32,29.68,29.16,29.23,29.23,2126503.0,2126503.0,-0.09,-0.307,29.35667,"October 20, 22",-0.00307
2022-10-19,28.68,29.23,28.52,29.13,29.13,2171348.0,2171348.0,0.45,1.569,28.96,"October 19, 22",0.01569
2022-10-18,28.47,28.8,28.04,28.59,28.59,2466241.0,2466241.0,0.12,0.421,28.47667,"October 18, 22",0.00421
2022-10-17,28.02,28.87,27.99,28.42,28.42,2564955.0,2564955.0,0.4,1.428,28.42667,"October 17, 22",0.01428
2022-10-14,27.92,27.92,26.9,26.96,26.96,2793943.0,2793943.0,-0.96,-3.438,27.26,"October 14, 22",-0.03438
2022-10-13,27.09,28.8,26.95,28.63,28.63,3297565.0,3297565.0,1.54,5.685,28.12667,"October 13, 22",0.05685
2022-10-12,27.08,27.22,26.75,26.91,26.91,3250897.0,3250897.0,-0.17,-0.628,26.96,"October 12, 22",-0.00628
2022-10-11,27.88,28.41,27.64,27.77,27.77,1376894.0,1376894.0,-0.11,-0.395,27.94,"October 11, 22",-0.00395
2022-10-10,28.93,29.12,28.06,28.27,28.27,1656787.0,1656787.0,-0.66,-2.281,28.48333,"October 10, 22",-0.02281
2022-10-07,28.92,29.54,28.76,29.12,29.12,2514996.0,2514996.0,0.2,0.692,29.14,"October 07, 22",0.00692
2022-10-06,28.16,29.26,28.14,29.17,29.17,2226860.0,2226860.0,1.01,3.587,28.85667,"October 06, 22",0.03587
2022-10-05,28.14,29.25,27.94,29.03,29.03,2441683.0,2441683.0,0.89,3.163,28.74,"October 05, 22",0.03163
2022-10-04,28.29,28.8,28.17,28.7,28.7,2021956.0,2021956.0,0.41,1.449,28.55667,"October 04, 22",0.01449
