date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,52.4,53.18,52.2,52.78,52.78,3.3680774E7,3.3680774E7,0.38,0.725,52.72,"October 25, 22",0.00725
2022-10-24,50.71,51.86,50.52,51.52,51.52,2.2540391E7,2.2540391E7,0.81,1.597,51.3,"October 24, 22",0.01597
2022-10-21,50.0,50.75,49.55,49.89,49.89,5.0734288E7,5.0734288E7,-0.11,-0.22,50.06333,"October 21, 22",-0.0022
2022-10-20,52.2,52.7,51.6,52.44,52.44,2.5394963E7,2.5394963E7,0.24,0.46,52.24667,"October 20, 22",0.0046
2022-10-19,51.8,52.16,51.26,51.83,51.83,8905093.0,8905093.0,0.03,0.058,51.75,"October 19, 22",5.8E-4
2022-10-18,51.1,52.09,50.85,51.78,51.78,1.708989E7,1.708989E7,0.68,1.331,51.57333,"October 18, 22",0.01331
2022-10-17,50.5,50.895,50.21,50.74,50.74,1.4079804E7,1.4079804E7,0.24,0.475,50.615,"October 17, 22",0.00475
2022-10-14,50.49,50.86,50.3,50.45,50.45,1.0011579E7,1.0011579E7,-0.04,-0.079,50.53667,"October 14, 22",-7.9E-4
2022-10-13,49.8,51.07,49.52,50.34,50.34,1.7875139E7,1.7875139E7,0.54,1.084,50.31,"October 13, 22",0.01084
2022-10-12,50.01,50.5,49.81,49.94,49.94,1.1814325E7,1.1814325E7,-0.07,-0.14,50.08333,"October 12, 22",-0.0014
2022-10-11,50.03,50.5502,49.8093,50.07,50.07,1.1427181E7,1.1427181E7,0.04,0.08,50.14317,"October 11, 22",8.0E-4
2022-10-10,49.66,50.86,49.5,50.36,50.36,2.2258247E7,2.2258247E7,0.7,1.41,50.24,"October 10, 22",0.0141
2022-10-07,49.02,49.52,48.14,49.18,49.18,3.258638E7,3.258638E7,0.16,0.326,48.94667,"October 07, 22",0.00326
2022-10-06,50.98,51.55,49.29,49.39,49.39,6.7338811E7,6.7338811E7,-1.59,-3.119,50.07667,"October 06, 22",-0.03119
2022-10-05,50.26,52.0,50.2,51.3,51.3,7.4322383E7,7.4322383E7,1.04,2.069,51.16667,"October 05, 22",0.02069
