date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,40.66,42.09,40.56,42.01,42.01,1.250001E7,1.250001E7,1.35,3.32,41.55333,"October 25, 22",0.0332
2022-10-24,40.69,41.52,40.45,41.13,41.13,8363009.0,8363009.0,0.44,1.081,41.03333,"October 24, 22",0.01081
2022-10-21,39.86,40.7,39.57,40.51,40.51,1.285232E7,1.285232E7,0.65,1.631,40.26,"October 21, 22",0.01631
2022-10-20,41.41,41.66,39.91,40.01,40.01,1.0508583E7,1.0508583E7,-1.4,-3.381,40.52667,"October 20, 22",-0.03381
2022-10-19,42.36,42.66,41.105,41.26,41.26,1.0203569E7,1.0203569E7,-1.1,-2.597,41.675,"October 19, 22",-0.02597
2022-10-18,43.42,43.655,42.32,42.8,42.8,1.6113858E7,1.6113858E7,-0.62,-1.428,42.925,"October 18, 22",-0.01428
2022-10-17,43.88,44.15,42.27,42.64,42.64,1.995858E7,1.995858E7,-1.24,-2.826,43.02,"October 17, 22",-0.02826
2022-10-14,42.15,43.29,41.67,42.76,42.76,1.9274409E7,1.9274409E7,0.61,1.447,42.57333,"October 14, 22",0.01447
2022-10-13,38.59,41.51,38.39,41.37,41.37,1.5854112E7,1.5854112E7,2.78,7.204,40.42333,"October 13, 22",0.07204
2022-10-12,38.76,39.48,38.59,39.11,39.11,1.0854049E7,1.0854049E7,0.35,0.903,39.06,"October 12, 22",0.00903
2022-10-11,39.54,39.55,38.635,38.79,38.79,8990724.0,8990724.0,-0.75,-1.897,38.99167,"October 11, 22",-0.01897
2022-10-10,40.4,40.59,39.67,39.83,39.83,6396256.0,6396256.0,-0.57,-1.411,40.03,"October 10, 22",-0.01411
2022-10-07,40.82,40.93,39.97,40.2,40.2,8696987.0,8696987.0,-0.62,-1.519,40.36667,"October 07, 22",-0.01519
2022-10-06,41.76,42.06,41.06,41.08,41.08,8529316.0,8529316.0,-0.68,-1.628,41.4,"October 06, 22",-0.01628
2022-10-05,42.01,42.4,41.84,42.2,42.2,6552649.0,6552649.0,0.19,0.452,42.14667,"October 05, 22",0.00452
2022-10-04,42.19,42.78,42.01,42.63,42.63,1.4653935E7,1.4653935E7,0.44,1.043,42.47333,"October 04, 22",0.01043
2022-10-03,40.84,41.75,40.37,41.57,41.57,8790133.0,8790133.0,0.73,1.787,41.23,"October 03, 22",0.01787
2022-09-30,40.7799988,41.2099991,40.2700005,40.3199997,40.3199997,9457900.0,9457900.0,-0.46,-1.128,40.6,"September 30, 22",-0.01128
2022-09-29,40.5200005,41.0900002,40.3100014,40.7299995,40.7299995,7888900.0,7888900.0,0.21,0.518,40.71,"September 29, 22",0.00518
2022-09-28,40.9199982,41.7299995,40.8100014,41.4199982,40.9399986,1.12781E7,1.12781E7,0.02,0.049,41.16,"September 28, 22",4.9E-4
2022-09-27,41.5099983,41.5499992,40.6500015,40.9599991,40.4853287,9556400.0,9556400.0,-1.02467,-2.468,40.89511,"September 27, 22",-0.02468
2022-09-26,41.7200012,42.1599998,40.75,41.0600014,40.5841713,1.65331E7,1.65331E7,-1.13583,-2.723,41.16472,"September 26, 22",-0.02723
2022-09-23,42.6199989,42.8899994,41.5499992,42.1199989,41.6318855,8185100.0,8185100.0,-0.98811,-2.318,42.02396,"September 23, 22",-0.02318
2022-09-22,44.0699997,44.2099991,43.0,43.0299988,42.5313416,6923700.0,6923700.0,-1.53866,-3.491,43.24711,"September 22, 22",-0.03491
2022-09-21,45.0600014,45.4300003,43.9199982,43.9300003,43.4209099,7051600.0,7051600.0,-1.63909,-3.638,44.25697,"September 21, 22",-0.03638
2022-09-20,45.7299995,45.8199997,44.5900002,44.9900017,44.4686279,8930300.0,8930300.0,-1.26137,-2.758,44.95954,"September 20, 22",-0.02758
2022-09-19,45.3100014,46.4000015,45.1500015,46.1500015,45.6151848,9303700.0,9303700.0,0.30518,0.674,45.72173,"September 19, 22",0.00674
2022-09-16,45.6199989,46.0800018,45.1800003,45.8699989,45.3384285,2.06513E7,2.06513E7,-0.28157,-0.617,45.53281,"September 16, 22",-0.00617
2022-09-15,45.2700005,46.1100006,45.1500015,45.8699989,45.3384285,1.26108E7,1.26108E7,0.06843,0.151,45.53281,"September 15, 22",0.00151
2022-09-14,45.3899994,45.4900017,44.4399986,45.0999985,44.5773506,6664300.0,6664300.0,-0.81265,-1.79,44.83578,"September 14, 22",-0.0179
2022-09-13,46.7400017,46.7599983,45.0200005,45.1800003,44.6564255,8109500.0,8109500.0,-2.08358,-4.458,45.47881,"September 13, 22",-0.04458
2022-09-12,47.8400002,48.0499992,47.4000015,47.5600014,47.0088463,7251000.0,7251000.0,-0.83115,-1.737,47.48628,"September 12, 22",-0.01737
