date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,190.87,195.23,190.72,194.38,194.38,1.166639E7,1.166639E7,3.51,1.839,193.44333,"October 25, 22",0.01839
2022-10-24,191.41,193.13,189.1,190.71,190.71,7070114.0,7070114.0,-0.7,-0.366,190.98,"October 24, 22",-0.00366
2022-10-21,185.8,190.95,185.05,190.37,190.37,7569742.0,7569742.0,4.57,2.46,188.79,"October 21, 22",0.0246
2022-10-20,186.46,190.98,186.43,187.22,187.22,5707246.0,5707246.0,0.76,0.408,188.21,"October 20, 22",0.00408
2022-10-19,185.49,187.64,184.755,186.41,186.41,4927316.0,4927316.0,0.92,0.496,186.26833,"October 19, 22",0.00496
2022-10-18,189.49,190.19,185.74,187.17,187.17,5209646.0,5209646.0,-2.32,-1.224,187.7,"October 18, 22",-0.01224
2022-10-17,186.0,188.57,182.85,185.25,185.25,1.3952319E7,1.3952319E7,-0.75,-0.403,185.55667,"October 17, 22",-0.00403
2022-10-14,186.79,187.13,182.07,182.62,182.62,6451264.0,6451264.0,-4.17,-2.232,183.94,"October 14, 22",-0.02232
2022-10-13,175.0,185.37,174.6,184.66,184.66,8426848.0,8426848.0,9.66,5.52,181.54333,"October 13, 22",0.0552
2022-10-12,179.09,180.59,178.22,178.24,178.24,4884694.0,4884694.0,-0.85,-0.475,179.01667,"October 12, 22",-0.00475
2022-10-11,180.37,181.64,178.19,179.14,179.14,6294940.0,6294940.0,-1.23,-0.682,179.65667,"October 11, 22",-0.00682
2022-10-10,184.13,184.78,180.9,182.18,182.18,4743234.0,4743234.0,-1.95,-1.059,182.62,"October 10, 22",-0.01059
2022-10-07,183.45,184.61,181.93,183.83,183.83,5610458.0,5610458.0,0.38,0.207,183.45667,"October 07, 22",0.00207
2022-10-06,186.65,188.05,185.25,185.59,185.59,5163131.0,5163131.0,-1.06,-0.568,186.29667,"October 06, 22",-0.00568
2022-10-05,183.34,188.82,182.36,187.67,187.67,6119877.0,6119877.0,4.33,2.362,186.28333,"October 05, 22",0.02362
2022-10-04,185.05,186.2125,183.07,185.65,185.65,7081467.0,7081467.0,0.6,0.324,184.9775,"October 04, 22",0.00324
2022-10-03,179.34,183.36,178.15,181.65,181.65,8841573.0,8841573.0,2.31,1.288,181.05333,"October 03, 22",0.01288
2022-09-30,180.06,182.92,177.595,177.65,177.65,9472572.0,9472572.0,-2.41,-1.338,179.38833,"September 30, 22",-0.01338
2022-09-29,178.83,182.24,178.725,180.06,180.06,9105344.0,9105344.0,1.23,0.688,180.34167,"September 29, 22",0.00688
2022-09-28,177.26,180.1,174.83,179.18,179.18,9751048.0,9751048.0,1.92,1.083,178.03667,"September 28, 22",0.01083
2022-09-27,182.51,184.85,177.0208,177.87,177.87,9799651.0,9799651.0,-4.64,-2.542,179.9136,"September 27, 22",-0.02542
2022-09-26,183.04,184.5,179.9,180.59,180.59,9913434.0,9913434.0,-2.45,-1.339,181.66333,"September 26, 22",-0.01339
2022-09-23,183.47,184.58,182.23,183.96,183.96,1.0756507E7,1.0756507E7,0.49,0.267,183.59,"September 23, 22",0.00267
2022-09-22,186.35,187.21,184.66,185.79,185.79,6604929.0,6604929.0,-0.56,-0.301,185.88667,"September 22, 22",-0.00301
2022-09-21,192.5299988,193.0899963,187.0,187.0200043,187.0200043,6702800.0,6702800.0,-5.50999,-2.862,189.03667,"September 21, 22",-0.02862
2022-09-20,191.1000061,193.0299988,190.2899933,192.0700073,192.0700073,5292500.0,5292500.0,0.97,0.508,191.79667,"September 20, 22",0.00508
2022-09-19,191.5899963,193.9900055,190.7100067,193.1300049,193.1300049,8133600.0,8133600.0,1.54001,0.804,192.61001,"September 19, 22",0.00804
2022-09-16,190.2200012,193.8200073,188.2200012,193.3000031,193.3000031,9395500.0,9395500.0,3.08,1.619,191.78,"September 16, 22",0.01619
2022-09-15,198.0899963,200.3099976,194.5299988,195.3699951,195.3699951,6099300.0,6099300.0,-2.72,-1.373,196.73666,"September 15, 22",-0.01373
