date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,13.33,13.78,13.3,13.55,13.55,6.3389776E7,6.3389776E7,0.22,1.65,13.54333,"October 25, 22",0.0165
2022-10-24,13.92,13.94,13.42,13.5,13.5,7.1424945E7,7.1424945E7,-0.42,-3.017,13.62,"October 24, 22",-0.03017
2022-10-21,13.7,14.43,13.61,14.33,14.33,6.5204908E7,6.5204908E7,0.63,4.599,14.12333,"October 21, 22",0.04599
2022-10-20,13.41,14.04,13.36,13.74,13.74,4.6894099E7,4.6894099E7,0.33,2.461,13.71333,"October 20, 22",0.02461
2022-10-19,13.56,13.66,13.34,13.45,13.45,3.9873753E7,3.9873753E7,-0.11,-0.811,13.48333,"October 19, 22",-0.00811
2022-10-18,13.67,13.79,13.32,13.64,13.64,4.3329381E7,4.3329381E7,-0.03,-0.219,13.58333,"October 18, 22",-0.00219
2022-10-17,13.25,13.4991,13.18,13.28,13.28,4.1928884E7,4.1928884E7,0.03,0.226,13.3197,"October 17, 22",0.00226
2022-10-14,13.7,13.7,13.03,13.07,13.07,4.1716093E7,4.1716093E7,-0.63,-4.599,13.26667,"October 14, 22",-0.04599
2022-10-13,13.41,13.88,13.27,13.67,13.67,4.5437586E7,4.5437586E7,0.26,1.939,13.60667,"October 13, 22",0.01939
2022-10-12,13.77,13.92,13.62,13.66,13.66,2.9630522E7,2.9630522E7,-0.11,-0.799,13.73333,"October 12, 22",-0.00799
2022-10-11,13.85,14.19,13.785,13.85,13.85,4.1068841E7,4.1068841E7,0.0,0.0,13.94167,"October 11, 22",0.0
2022-10-10,14.54,14.54,14.05,14.09,14.09,4.8200102E7,4.8200102E7,-0.45,-3.095,14.22667,"October 10, 22",-0.03095
2022-10-07,14.64,15.19,14.35,14.42,14.42,8.2938769E7,8.2938769E7,-0.22,-1.503,14.65333,"October 07, 22",-0.01503
2022-10-06,14.63,14.88,14.38,14.51,14.51,3.7733818E7,3.7733818E7,-0.12,-0.82,14.59,"October 06, 22",-0.0082
2022-10-05,14.72,14.93,14.63,14.8,14.8,4.3018495E7,4.3018495E7,0.08,0.543,14.78667,"October 05, 22",0.00543
2022-10-04,14.51,14.7591,14.305,14.64,14.64,4.6566165E7,4.6566165E7,0.13,0.896,14.56803,"October 04, 22",0.00896
2022-10-03,13.73,14.3,13.68,14.25,14.25,4.7558333E7,4.7558333E7,0.52,3.787,14.07667,"October 03, 22",0.03787
2022-09-30,12.7,13.47,12.68,13.32,13.32,5.4431076E7,5.4431076E7,0.62,4.882,13.15667,"September 30, 22",0.04882
2022-09-29,12.65,12.73,12.4,12.66,12.66,4.3999135E7,4.3999135E7,0.01,0.079,12.59667,"September 29, 22",7.9E-4
2022-09-28,12.67,12.88,12.63,12.77,12.77,3.6676576E7,3.6676576E7,0.1,0.789,12.76,"September 28, 22",0.00789
2022-09-27,12.75,12.86,12.462,12.55,12.55,4.1744776E7,4.1744776E7,-0.2,-1.569,12.624,"September 27, 22",-0.01569
2022-09-26,12.76,13.0,12.59,12.59,12.59,4.9602755E7,4.9602755E7,-0.17,-1.332,12.72667,"September 26, 22",-0.01332
2022-09-23,13.16,13.165,12.9,13.04,13.04,5.5028283E7,5.5028283E7,-0.12,-0.912,13.035,"September 23, 22",-0.00912
2022-09-22,13.5,13.705,13.35,13.64,13.64,4.0289855E7,4.0289855E7,0.14,1.037,13.565,"September 22, 22",0.01037
2022-09-21,13.5,13.55,13.13,13.13,13.13,4.6174243E7,4.6174243E7,-0.37,-2.741,13.27,"September 21, 22",-0.02741
2022-09-20,13.34,13.48,13.13,13.4,13.4,4.294267E7,4.294267E7,0.06,0.45,13.33667,"September 20, 22",0.0045
2022-09-19,12.88,13.64,12.81,13.6,13.6,4.6665097E7,4.6665097E7,0.72,5.59,13.35,"September 19, 22",0.0559
2022-09-16,12.79,13.05,12.685,12.98,12.98,5.3304136E7,5.3304136E7,0.19,1.486,12.905,"September 16, 22",0.01486
