date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,0.35,0.35,0.3001,0.308,0.308,272673.0,272673.0,-0.042,-12.0,0.31937,"October 25, 22",-0.12
2022-10-24,0.3188,0.3188,0.305,0.31,0.31,295258.0,295258.0,-0.0088,-2.76,0.31127,"October 24, 22",-0.0276
2022-10-21,0.33,0.345,0.3188,0.3399,0.3399,170666.0,170666.0,0.0099,3.0,0.33457,"October 21, 22",0.03
2022-10-20,0.34,0.35,0.3,0.33,0.33,647430.0,647430.0,-0.01,-2.941,0.32667,"October 20, 22",-0.02941
2022-10-19,0.38,0.38,0.3471,0.3473,0.3473,309796.0,309796.0,-0.0327,-8.605,0.35813,"October 19, 22",-0.08605
2022-10-18,0.3482,0.36,0.346,0.358,0.358,121003.0,121003.0,0.0098,2.814,0.35467,"October 18, 22",0.02814
2022-10-17,0.334,0.349,0.334,0.34,0.34,27237.0,27237.0,0.006,1.796,0.341,"October 17, 22",0.01796
2022-10-14,0.3332,0.34,0.3332,0.3332,0.3332,253488.0,253488.0,0.0,0.0,0.33547,"October 14, 22",0.0
2022-10-13,0.3654,0.3654,0.3302,0.334,0.334,423388.0,423388.0,-0.0314,-8.593,0.3432,"October 13, 22",-0.08593
2022-10-12,0.33,0.35,0.33,0.34,0.34,267819.0,267819.0,0.01,3.03,0.34,"October 12, 22",0.0303
2022-10-11,0.3325,0.349,0.3325,0.3325,0.3325,207019.0,207019.0,0.0,0.0,0.338,"October 11, 22",0.0
2022-10-10,0.34,0.35,0.33,0.33,0.33,300202.0,300202.0,-0.01,-2.941,0.33667,"October 10, 22",-0.02941
2022-10-07,0.37,0.37,0.34,0.35,0.35,319908.0,319908.0,-0.02,-5.405,0.35333,"October 07, 22",-0.05405
2022-10-06,0.37,0.37,0.34,0.37,0.37,256220.0,256220.0,0.0,0.0,0.36,"October 06, 22",0.0
2022-10-05,0.37,0.37,0.34,0.35,0.35,452523.0,452523.0,-0.02,-5.405,0.35333,"October 05, 22",-0.05405
2022-10-04,0.3351,0.3663,0.33,0.3631,0.3631,1197152.0,1197152.0,0.028,8.356,0.35313,"October 04, 22",0.08356
2022-10-03,0.32,0.34,0.32,0.33,0.33,398033.0,398033.0,0.01,3.125,0.33,"October 03, 22",0.03125
2022-09-30,0.335,0.3494,0.32,0.32,0.32,560849.0,560849.0,-0.015,-4.478,0.3298,"September 30, 22",-0.04478
2022-09-29,0.3525,0.3527,0.3358,0.3361,0.3361,294528.0,294528.0,-0.0164,-4.652,0.34153,"September 29, 22",-0.04652
2022-09-28,0.34,0.36,0.33,0.3525,0.3525,819453.0,819453.0,0.0125,3.676,0.3475,"September 28, 22",0.03676
2022-09-27,0.3549,0.374,0.3422,0.3422,0.3422,216351.0,216351.0,-0.0127,-3.578,0.3528,"September 27, 22",-0.03578
2022-09-26,0.36,0.37,0.35,0.36,0.36,423641.0,423641.0,0.0,0.0,0.36,"September 26, 22",0.0
2022-09-23,0.385,0.385,0.3537,0.3719,0.3719,471863.0,471863.0,-0.0131,-3.403,0.3702,"September 23, 22",-0.03403
2022-09-22,0.37,0.3773,0.364,0.37,0.37,401701.0,401701.0,0.0,0.0,0.37043,"September 22, 22",0.0
2022-09-21,0.39,0.39,0.37,0.372,0.372,687336.0,687336.0,-0.018,-4.615,0.37733,"September 21, 22",-0.04615
2022-09-20,0.4,0.4,0.38,0.39,0.39,1185650.0,1185650.0,-0.01,-2.5,0.39,"September 20, 22",-0.025
2022-09-19,0.399,0.4098,0.3905,0.4071,0.4071,620035.0,620035.0,0.0081,2.03,0.40247,"September 19, 22",0.0203
2022-09-16,0.439,0.44,0.3601,0.3601,0.3601,2066749.0,2066749.0,-0.0789,-17.973,0.38673,"September 16, 22",-0.17973
2022-09-15,0.4302,0.44,0.4208,0.44,0.44,449330.0,449330.0,0.0098,2.278,0.4336,"September 15, 22",0.02278
2022-09-14,0.416,0.4399,0.416,0.4277,0.4277,245329.0,245329.0,0.0117,2.813,0.42787,"September 14, 22",0.02813
2022-09-13,0.4583,0.4583,0.411,0.4273,0.4273,834559.0,834559.0,-0.031,-6.764,0.4322,"September 13, 22",-0.06764
2022-09-12,0.4145,0.4603,0.408,0.455,0.455,1494395.0,1494395.0,0.0405,9.771,0.4411,"September 12, 22",0.09771
2022-09-09,0.4126,0.4131,0.403,0.4131,0.4131,692389.0,692389.0,5.0E-4,0.121,0.40973,"September 09, 22",0.00121
2022-09-08,0.403,0.4145,0.403,0.403,0.403,369608.0,369608.0,0.0,0.0,0.40683,"September 08, 22",0.0
2022-09-07,0.4027,0.4201,0.4011,0.402,0.402,971449.0,971449.0,-7.0E-4,-0.174,0.40773,"September 07, 22",-0.00174
2022-09-06,0.42,0.4296,0.4011,0.4058,0.4058,856620.0,856620.0,-0.0142,-3.381,0.41217,"September 06, 22",-0.03381
2022-09-02,0.43,0.4388,0.42,0.4209,0.4209,483044.0,483044.0,-0.0091,-2.116,0.42657,"September 02, 22",-0.02116
2022-09-01,0.4355,0.44,0.4223,0.426,0.426,374432.0,374432.0,-0.0095,-2.181,0.42943,"September 01, 22",-0.02181
2022-08-31,0.45,0.455,0.4352,0.44,0.44,396732.0,396732.0,-0.01,-2.222,0.4434,"August 31, 22",-0.02222
2022-08-30,0.4592,0.46,0.445,0.4462,0.4462,337609.0,337609.0,-0.013,-2.831,0.4504,"August 30, 22",-0.02831
2022-08-29,0.46,0.465,0.4508,0.4525,0.4525,159480.0,159480.0,-0.0075,-1.63,0.4561,"August 29, 22",-0.0163
2022-08-26,0.46,0.47,0.4554,0.46,0.46,359207.0,359207.0,0.0,0.0,0.4618,"August 26, 22",0.0
2022-08-25,0.46,0.47,0.46,0.47,0.47,229517.0,229517.0,0.01,2.174,0.46667,"August 25, 22",0.02174
2022-08-24,0.47,0.47,0.46,0.46,0.46,449521.0,449521.0,-0.01,-2.128,0.46333,"August 24, 22",-0.02128
2022-08-23,0.47,0.47,0.46,0.47,0.47,2111345.0,2111345.0,0.0,0.0,0.46667,"August 23, 22",0.0
2022-08-22,0.46,0.47,0.46,0.47,0.47,448123.0,448123.0,0.01,2.174,0.46667,"August 22, 22",0.02174
2022-08-19,0.46,0.47,0.46,0.47,0.47,967183.0,967183.0,0.01,2.174,0.46667,"August 19, 22",0.02174
2022-08-18,0.47,0.47,0.47,0.47,0.47,587009.0,587009.0,0.0,0.0,0.47,"August 18, 22",0.0
2022-08-17,0.46,0.47,0.46,0.4651,0.4651,695893.0,695893.0,0.0051,1.109,0.46503,"August 17, 22",0.01109
2022-08-16,0.47,0.47,0.455,0.47,0.47,386247.0,386247.0,0.0,0.0,0.465,"August 16, 22",0.0
2022-08-15,0.475,0.4796,0.46,0.4649,0.4649,585940.0,585940.0,-0.0101,-2.126,0.46817,"August 15, 22",-0.02126
2022-08-12,0.49,0.49,0.46,0.47,0.47,2807782.0,2807782.0,-0.02,-4.082,0.47333,"August 12, 22",-0.04082
2022-08-11,0.4938,0.4938,0.47,0.4701,0.4701,1389374.0,1389374.0,-0.0237,-4.8,0.47797,"August 11, 22",-0.048
2022-08-10,0.47,0.49,0.46,0.49,0.49,911583.0,911583.0,0.02,4.255,0.48,"August 10, 22",0.04255
2022-08-09,0.472,0.4798,0.4605,0.4661,0.4661,833307.0,833307.0,-0.0059,-1.25,0.4688,"August 09, 22",-0.0125
2022-08-08,0.47,0.49,0.47,0.48,0.48,961375.0,961375.0,0.01,2.128,0.48,"August 08, 22",0.02128
2022-08-05,0.47,0.5,0.47,0.4883,0.4883,1096020.0,1096020.0,0.0183,3.894,0.4861,"August 05, 22",0.03894
2022-08-04,0.505,0.5195,0.472,0.485,0.485,3987372.0,3987372.0,-0.02,-3.96,0.49217,"August 04, 22",-0.0396
2022-08-03,0.45,0.48,0.45,0.47,0.47,702151.0,702151.0,0.02,4.444,0.46667,"August 03, 22",0.04444
2022-08-02,0.4581,0.462,0.4522,0.4532,0.4532,711544.0,711544.0,-0.0049,-1.07,0.4558,"August 02, 22",-0.0107
2022-08-01,0.45,0.4674,0.447,0.4579,0.4579,387628.0,387628.0,0.0079,1.756,0.45743,"August 01, 22",0.01756
2022-07-29,0.45,0.48,0.44,0.48,0.48,652100.0,652100.0,0.03,6.667,0.46667,"July 29, 22",0.06667
2022-07-28,0.4342,0.4505,0.4342,0.446,0.446,650868.0,650868.0,0.0118,2.718,0.44357,"July 28, 22",0.02718
