date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,7.23,7.435,6.89,7.08,7.08,6945709.0,6945709.0,-0.15,-2.075,7.135,"October 25, 22",-0.02075
2022-10-24,6.72,7.05,6.36,7.04,7.04,8220543.0,8220543.0,0.32,4.762,6.81667,"October 24, 22",0.04762
2022-10-21,7.28,7.56,7.14,7.51,7.51,3528749.0,3528749.0,0.23,3.159,7.40333,"October 21, 22",0.03159
2022-10-20,7.5,7.86,7.385,7.43,7.43,4150005.0,4150005.0,-0.07,-0.933,7.55833,"October 20, 22",-0.00933
2022-10-19,7.62,7.82,7.27,7.37,7.37,4942551.0,4942551.0,-0.25,-3.281,7.48667,"October 19, 22",-0.03281
2022-10-18,8.1,8.21,7.76,7.91,7.91,5945278.0,5945278.0,-0.19,-2.346,7.96,"October 18, 22",-0.02346
2022-10-17,7.95,8.13,7.78,7.79,7.79,4674301.0,4674301.0,-0.16,-2.013,7.9,"October 17, 22",-0.02013
2022-10-14,8.24,8.34,7.72,7.74,7.74,4886469.0,4886469.0,-0.5,-6.068,7.93333,"October 14, 22",-0.06068
2022-10-13,7.86,8.3,7.705,8.19,8.19,3841672.0,3841672.0,0.33,4.198,8.065,"October 13, 22",0.04198
2022-10-12,7.94,8.24,7.78,8.15,8.15,3088177.0,3088177.0,0.21,2.645,8.05667,"October 12, 22",0.02645
2022-10-11,7.94,8.32,7.8,7.98,7.98,4995460.0,4995460.0,0.04,0.504,8.03333,"October 11, 22",0.00504
2022-10-10,8.37,8.37,7.85,8.09,8.09,2639432.0,2639432.0,-0.28,-3.345,8.10333,"October 10, 22",-0.03345
2022-10-07,8.48,8.64,8.4,8.5,8.5,2928046.0,2928046.0,0.02,0.236,8.51333,"October 07, 22",0.00236
2022-10-06,8.85,9.02,8.64,8.65,8.65,2745493.0,2745493.0,-0.2,-2.26,8.77,"October 06, 22",-0.0226
2022-10-05,9.0,9.19,8.8,8.94,8.94,2899021.0,2899021.0,-0.06,-0.667,8.97667,"October 05, 22",-0.00667
2022-10-04,8.7,9.08,8.68,9.06,9.06,6140120.0,6140120.0,0.36,4.138,8.94,"October 04, 22",0.04138
2022-10-03,8.4,8.615,8.29,8.51,8.51,2462371.0,2462371.0,0.11,1.31,8.47167,"October 03, 22",0.0131
2022-09-30,8.21,8.54,8.16,8.41,8.41,4538056.0,4538056.0,0.2,2.436,8.37,"September 30, 22",0.02436
2022-09-29,8.34,8.54,8.19,8.32,8.32,3868481.0,3868481.0,-0.02,-0.24,8.35,"September 29, 22",-0.0024
2022-09-28,8.14,8.74,8.14,8.7,8.7,5054316.0,5054316.0,0.56,6.88,8.52667,"September 28, 22",0.0688
2022-09-27,9.22,9.22,8.2628,8.38,8.38,8842099.0,8842099.0,-0.84,-9.111,8.62093,"September 27, 22",-0.09111
2022-09-26,9.3,9.515,9.2091,9.31,9.31,2539739.0,2539739.0,0.01,0.108,9.3447,"September 26, 22",0.00108
2022-09-23,9.18,9.38,9.03,9.18,9.18,3276711.0,3276711.0,0.0,0.0,9.19667,"September 23, 22",0.0
2022-09-22,9.41,9.66,9.34,9.46,9.46,2571697.0,2571697.0,0.05,0.531,9.48667,"September 22, 22",0.00531
2022-09-21,9.63,9.675,9.3,9.31,9.31,3417678.0,3417678.0,-0.32,-3.323,9.42833,"September 21, 22",-0.03323
