date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-10-25,35.91,36.475,35.8,36.43,36.43,2.3396564E7,2.3396564E7,0.52,1.448,36.235,"October 25, 22",0.01448
2022-10-24,35.66,36.39,35.57,35.97,35.97,2.5701079E7,2.5701079E7,0.31,0.869,35.97667,"October 24, 22",0.00869
2022-10-21,35.52,35.7,34.55,35.35,35.35,5.1479687E7,5.1479687E7,-0.17,-0.479,35.2,"October 21, 22",-0.00479
2022-10-20,36.57,37.53,36.55,37.0,37.0,3.5497257E7,3.5497257E7,0.43,1.176,37.02667,"October 20, 22",0.01176
2022-10-19,36.57,37.37,36.56,36.57,36.57,2.9378213E7,2.9378213E7,0.0,0.0,36.83333,"October 19, 22",0.0
2022-10-18,37.67,37.7,36.83,37.07,37.07,2.7150115E7,2.7150115E7,-0.6,-1.593,37.2,"October 18, 22",-0.01593
2022-10-17,36.72,37.295,36.59,37.18,37.18,2.1951177E7,2.1951177E7,0.46,1.253,37.02167,"October 17, 22",0.01253
2022-10-14,36.8,36.91,36.34,36.38,36.38,1.906303E7,1.906303E7,-0.42,-1.141,36.54333,"October 14, 22",-0.01141
2022-10-13,35.12,36.59,35.1,36.4,36.4,3.0123993E7,3.0123993E7,1.28,3.645,36.03,"October 13, 22",0.03645
2022-10-12,35.9,36.2,35.6,35.68,35.68,2.3331264E7,2.3331264E7,-0.22,-0.613,35.82667,"October 12, 22",-0.00613
2022-10-11,36.56,36.68,35.93,35.94,35.94,2.7687286E7,2.7687286E7,-0.62,-1.696,36.18333,"October 11, 22",-0.01696
2022-10-10,37.13,37.32,36.37,36.62,36.62,2.1600476E7,2.1600476E7,-0.51,-1.374,36.77,"October 10, 22",-0.01374
2022-10-07,37.6300011,37.7000008,36.8100014,36.8499985,36.8499985,3.18226E7,3.18226E7,-0.78,-2.073,37.12,"October 07, 22",-0.02073
2022-10-06,39.4700012,39.6599998,37.7700005,37.8400002,37.8400002,3.66633E7,3.66633E7,-1.63,-4.13,38.42333,"October 06, 22",-0.0413
2022-10-05,39.3400002,39.6199989,38.8699989,39.4000015,38.7470016,1.77979E7,1.77979E7,-0.593,-1.507,39.079,"October 05, 22",-0.01507
2022-10-04,39.5,39.8499985,39.25,39.8100014,39.1502075,2.59225E7,2.59225E7,-0.34979,-0.886,39.41674,"October 04, 22",-0.00886
2022-10-03,38.5,39.3699989,38.3899994,39.1599998,38.5109787,2.14953E7,2.14953E7,0.01098,0.029,38.75699,"October 03, 22",2.9E-4
2022-09-30,38.5400009,38.7900009,37.9500008,37.9700012,37.3407021,2.34919E7,2.34919E7,-1.1993,-3.112,38.0269,"September 30, 22",-0.03112
2022-09-29,39.1100006,39.2000008,38.4500008,38.6399994,37.9995956,1.78069E7,1.78069E7,-1.1104,-2.839,38.54987,"September 29, 22",-0.02839
2022-09-28,39.0600014,39.5099983,39.0099983,39.3899994,38.7371635,2.05674E7,2.05674E7,-0.32284,-0.827,39.08572,"September 28, 22",-0.00827
2022-09-27,39.2000008,39.7000008,38.7799988,38.8899994,38.2454529,2.03577E7,2.03577E7,-0.95455,-2.435,38.90848,"September 27, 22",-0.02435
2022-09-26,39.2299995,39.3800011,38.6300011,38.9300003,38.28479,2.13457E7,2.13457E7,-0.94521,-2.409,38.76493,"September 26, 22",-0.02409
2022-09-23,39.5600014,39.8699989,39.1100006,39.5200005,38.8650131,1.94353E7,1.94353E7,-0.69499,-1.757,39.28167,"September 23, 22",-0.01757
2022-09-22,39.4700012,40.4000015,39.2599983,39.9300003,39.2682152,1.98064E7,1.98064E7,-0.20179,-0.511,39.64274,"September 22, 22",-0.00511
2022-09-21,40.6899986,40.9000015,39.4700012,39.4799995,38.8256721,2.56121E7,2.56121E7,-1.86433,-4.582,39.73189,"September 21, 22",-0.04582
